Review_Date,Author,Rating,Review_Title,Review,Review_Url
0,17 June 2003,simon_booth,10, Unmatched accomplishment,"Sometimes reading the user comments on IMDB fills me with despair for the species.  For anybody to dismiss 2001: A Space Odyssey as ""boring"" they must have no interest in science, technology, philosophy, history or the art of film-making.  Finally I understand why most Hollywood productions are so shallow and vacuous - they understand their audience.",/
1,14 April 2018,Wesley-Wang,10, Legendary,"A stand-alone monument in cinema history, Stanley Kubrick's magnum opus 2001: A Space Odyssey (1968) is an undeniable masterpiece. 2001 not only shattered science fiction genre conventions, but gave cinema a whole new meaning. From the grandiosity of its futuristic idea to its ambitious execution, 2001 isn't concerned with entertaining us- but rather to inspire us with awe. I've never seen a person say, ""2001: A Space Odyssey? I don't think I've seen it... oh wait, the one with like, the spaceships and stuff?"", while most movies today are forgotten once the credits roll. What viewers must understand is that 2001 not the type of movie where you ""get it"" or not, nor is it designed to thrill us with flashy special effects- but as Kubrick said, is ""...intended to be an intensely subjective experience that reaches the viewer at an inner level of consciousness."" In it of itself, exploring the philosophical and scientific arenas of mankind while serving as a groundbreaking achievement both on a conceptual and technical level is a hell of an accomplishment, but to transcend the audience to a whole new dimension all in one- that's sheer genius at its highest form.",r
2,24 June 2013,suws1,7, Ahead of its time but...,"I felt the need to review this movie after reading some reviews from other users, simply because I agreed with all. Those who love it, those who hate it, those who enjoyed it, all of them. And the reason is simple: everything they say makes sense to me. I watched the movie for the first time about 10 years ago, and watched it again last night. It still doesn't make perfect sense to me. I mean, the story is absent, the characters don't really get through you, and the ending...who gets that ending?? #SPOILERS# BELOW",e
3,10 August 2020,briancham1994,6, I don't get it,"Count me as one of the philistines who is too simple-minded to appreciate this so-called masterpiece. Actually, I have a degree in media studies and a great interest in science, science fiction and anything thought-provoking (the technical term is ""need for cognition""). But I am just baffled by this film and why it is so esteemed. It is simply slow, empty and lifeless. When absolutely nothing is happening on screen, am I supposed to feel or think something profound? Even when my professor explicitly explained to me why this film is so great, I still cannot convince myself that it is so.",v
4,5 January 2005,Manthorpe,10, A film of monolithic proportions.,A review I have put off for far too long....,i
5,6 February 2005,Lechuguilla,10, Cosmic Art,"Mankind's Self awakening is the theme of ""2001: A Space Odyssey"", a process that unfolds along a space-time continuum. We ""see"" our primordial past, and we ""infer"" a cosmic future. The powers of intuition thus become the doors of perception, in our ongoing collective journey.",e
6,20 April 2003,drn5,10," My god, it's full of stars","For all those bewildered by the length and pace of this film (""like, why does he show spaceships docking for, like, 15 minutes?""), here's a word you might want to think about:",w
7,7 March 1999,Don-102,10, Tribute to one of the top 5 filmmakers of our time...,"I write this review just after hearing of Stanley Kubrick's death. It's a great loss, and I write about 2001: A SPACE ODYSSEY, because I feel it is the consummate Kubrick film, the one he will be most remembered for. It is a picture like no other, not only revolutionizing science fiction, but changing the way films are conceptualized. It was probably America's first 'art' film and has inspired the likes of George Lucas and countless other writers and directors.",/
8,3 January 2005,sol-,10, My brief review of the film,"A whimsical, often spectacular view of a future in which advances in technology dominate the world. It is well shot and although slow-moving it is intense and enjoyable throughout. The featuring of classical music to establish atmosphere works brilliantly; it provides a feeling of awe, mystery and intrigue  the same aura that Walt Disney worked in creating 'Fantasia'. The special effects, both sound and visual, are still spellbinding by the standards of today's technology. Aside from the technical pluses of the film, it stands strong as it is one of not many films out there that has something important to say about humankind, and where the human race is heading in terms of our increasing reliance on machines and our unquenchable thirst to discover. Despite an ending that is hard to understand, it is even harder to overlook this film a true cinema classic.",r
9,22 November 2022,Xstal,8, Planet of the Hominins...,"There's a monolith that seeks to influence, the evolution of the simian confluence, teaching apes how to compete, how to kill to get their meat, all leading to, a lunar revolution. On the moon, another block has been discovered, the apes now have the means to open wings and smother, it's to Jupiter they go, what they'll find nobody knows, but it doesn't seem to fill primates with dread. To protect they have a powerful A. I., it misses nothing, and nothing passes by, everything will not be fine, if you rely on an airline, as it watches with satanic, evil eye. At Jupiter, Darwin gets dispatched, down kaleidoscopic, psychedelic hatch, death brings birth and birth brings earth, a giant foetus wants to berth, I'm not sure hominins will make much of a match.",w
10,1 December 2014,gavin6942,6," Visually Stunning, But Perhaps Overrated","Humanity finds a mysterious, obviously artificial, object buried beneath the Lunar surface and, with the intelligent computer H.A.L. 9000, sets off on a quest.",3
11,12 December 2015,BA_Harrison,4," In space, no-one can hear you yawn.","I was born in 1968, the year that saw the original release of 2001: A Space Odyssey; of course, I didn't really get into sci-fi cinema until almost a decade later, when that other movie—you know, the one with the droids, blasters and aliens—broke box-office records. Now aged 47, and fully prepared (or so I thought) for a more cerebrally challenging experience than George Lucas's space opera, I've finally caught up with Kubrick's celebrated sci-fi 'masterpiece'. And I haven't been so bored in a long time.",3
12,28 February 2005,Smells_Like_Cheese,1, 2001: A Cure for Insomnia,"I'm sorry, good music and cool special effects do not make a good movie! What the heck? I mean, I saw this movie when I was a kid, and I didn't like it. Now, I have a growing appreciation for movies, and I wanted to write a comment from a more grown up point of view. I had 2 hours to spare and I watched this movie, I swear I nearly went insane. I normally put on the subtitles, in case I miss something or misunderstand the dialoug, 89% of the movie is silent! Apes?! I could just go to the zoo and say I saw this movie! I could watch ""Star Wars"" and say I saw this movie! It's the same friggin' thing. I'm not trying to be so harsh on this film, but how can anyone find this entertaining?! How?! Unless you are 150 years old, that is the only way I could understand. Geez, people. This movie is so out dated and needs to be thrown away, especially from the top 250! Why are so many bad movies on top 250?! I'm getting sick of these over hyped movies! 1/10",3
13,3 June 1999,mmt02,10, Greatest Movie of All Time,"Instead of writing a paragraph, I'll give four good reasons why 2001 is  the greatest cinema experience of all time:  1) It is a visual Odyssey that could only be told on the big screen.  The special effects that won Kubrick his only Oscar are the most  stunning effects before that age of Jurassic Park and T2. They allow  Kubrick to give an accurate (or at least are the most accurate)  depiction of space travel to date. The silence that fills the space  scenes not only serves its purpose as accurate science, but also adds  to the mood of the film (to be discussed in a later point with HAL).  The fact that Kubrick shot the moon scenes before the Apollo landing is  a gutsy yet fulfilling move. Many have said that upon its original  release, it was a favorite ""trip"" movie. I can think of no other movie  that has such amazing visuals for its time and even of all time (sorry  Phantom Menace fans!)  2) Kubrick's directing style is terrific. As in all his films, Kubrick  likes to use his camera as means to delve into the psychology of his  characters and plots. His camera is not as mobile as other greats, such  as Scorsese, but instead sits and watches the narrative unfold. Faces  are the key element of a Kubrick film. Like classic movies, such as M  and Touch of Evil, Kubrick focuses on the characters' faces to give the  audience a psychological view-point. Even he uses extreme close-ups of  HAL's glowing red ""eye"" to show the coldness and determination of the  computerizd villain. I could go on, but in summation Kubrick is at the  hieght of his style.  3) HAL 9000 is one of the most villainous characters in film history. I  whole-heartedly agree with the late Gene Siskle's opinion of HAL 9000.  Most of this film takes place in space. Through the use of silence and  the darkness of space itself, a mood of isolation is created. Dave and  his crewmen are isolated between earth and jupiter, with nowhere to  escape. Combine this mood with the cold, calculated actions of HAL 9000  and you have the most fearful villain imaginable. I still, although  having see this film several times, feel my chest tighten in a  particular scene.  4) The controversial  ending of 2001 always turns people away from this film. Instead of  trying to give my opinion of the what it means and what my idea of  2001's meaning in general is, I'd like to discuss the fact that the  ending serves to leave the movie open-ended. Kubrick has stated that he  inteded to make 2001 open for discussion. He left its meaning in the  hands of the viewer. By respecting the audience's intelligence, Kubrick  allowed his movie to be the beginning, not the end, of a meaningful  discussion on man's past, present, and future. The beauty of 2001 is  that the ending need not mean anything deep, it can just be a purely  plot driven explanation and the entire movie can be viewed as an  entertaining journey through space. No other movie, save the great  Citizen Kane, leaves itself open to discussion like 2001. It is truly  meant to be a surreal journey that involves not only the eye but the  mind. Instead of waiting in long lines for the Phantom Menace, rent a  widescreen edition of 2001 and enjoy the greatest cinematic experience.",2
14,23 December 2007,Chaves7777,10," Strange, beautiful and excellently made for an open and patient mind","Undoubtelly, one of the best photographed movies of all time is Kubrick's masterpiece ""2001: A Space Oddisey"", but is maybe one of that masterpieces that much can see over and over again, and others not even finished in spite that know how much people and critic loves this movie.",6
15,19 October 2010,TheLittleSongbird,10, 2001: A Mesmerising Odyssey,"To me, this is not only Kubrick's best film but also a milestone of the genre. It is quite long at around two and a quarter hours, and it is slow, that I agree with. But it is never boring, well not to me it isn't. Besides, and this is up to interpretation, but I think the slow pacing is deliberate, it adds to the haunting and eerie quality 2001 has and also to assimilate every shot which speak volumes, and also 2001's greatest strength is actually in the details.",8
16,11 August 2005,Nazi_Fighter_David,9, The final landing scene is the very hallmark of cinematic genius...,"""200l: A Space Odyssey"" is a supremely intriguing space-travel journey with a profound look at mankind's future... It is one of the very few great films of our times... It gives us something to think, talk and argue... It wonders about our importance in the universe and ignites our imagination and curiosity... It inspires us to dig for insights...",3
17,25 January 2012,rooprect,10," If only one film makes it off this planet, it should be 2001.","If the Earth was about to blow up and I could choose only 1 film to survive us, it would definitely be this. What's funny is ""2001"" isn't even my favourite movie. But I believe it tells the story of humankind better than anything else I've ever seen on the big screen. Essentially it asks the age old question ""what is the meaning of life?"", and for my money, it provides a very satisfying answer.",/
18,21 June 2014,utgard14,10, Kubrick's Masterpiece,"What can I really say about one of the greatest films of all time that hasn't been said already? The first time I saw it as a teenager I was left amazed at what I had seen but at the same time confused as to what it all meant. This was the first movie I saw that didn't spell everything out for me. It took time for me to learn to enjoy that. It's a beautiful film. I've heard it described as visual poetry and I think that is as accurate a way of putting it as anything else. The visuals are stunning. The special effects, sets, costumes are all first-rate. I recently watched it with my girlfriend who had never seen it and has tastes that are strictly mainstream. She was in awe of the look of the film, particularly given its age. Not enough good things can be said about Kubrick's use of classical music in this, as well. It's a masterpiece that deserves every bit of praise it's received. Obviously a film that every serious film fan has to see. It might not be to everybody's tastes but it's an experience unlike any other and, in my opinion, worth repeated viewings. For those of you interested, there's obviously the Arthur C. Clarke books that are worth reading but I'm also going to recommend you check out the Jack Kirby 2001 comics. They're trippy and lots of fun!",?
19,13 June 2020,alexcole10,10, Leaves the Viewer Thinking for Weeks on End,2001: A Space Odyssey is my favourite film of all time for simply one reason: the ending. Kubrick's ambiguous finish to this suspenseful trip will leave you debating and theorising its purpose for a long time.,r
20,15 June 2021,Med-Jasta,1, Terribly amazing,"I give this a 1 star because ultimately it's not enjoyable. Who can actually watch this movie? Because that's what movies are about. This can come in many shapes and sizes but this movie is unwatchable. I think people confuse it's enjoyably with it's technically achievements. Don't get me wrong, this is one of the most important movies of all time. But is it good? No. It's not good. And anybody who says it is is lying to themselves and either doesn't want to ruin their nerd credit or they want to make their film school teacher happy.",e
21,23 October 2008,preppy-3,2," Selt-indulgent, painfully slow and just boring",There are spoilers throughout this review.,f
22,16 November 2001,Cain47,10, Nietzsche and 2001,"I'm always surprised, given that the famous title track of 2001 is called ""Also sprach Zarathustra"", that nobody (nobody I've read, anyway) has noted the parallels between the movie and Nietzsche's famous work, ""Also sprach Zarathustra"". The idea of man's rebirth into a star child; an infant form of an indescribably more advanced being, is an explicit part of N.'s ""Zarathustra""; there is a prominent passage called ""On how a camel becomes a lion, and a lion becomes a child"", in which N. describes the first incarnation of the overman as a child, transcending both the ascetic, altruistic side of man (the camel; always asking to bear more weight) and the rapacious, brutish, will-to-power side of man (the lion). The fact that the song plays during the star child sequence can hardly be coincidence. And also, Zarathustra said that ""man is a rope tied between beasts and the overman."" The structure of the movie fits that description: a brief history of man as beast, until we become truly man by mastering weapons and acquiring reason, then a long sequence about man (the rope, as it were), and then a brief glimpse of the overman. The inscrutability of how these transformations occurred, and the suggestion that an external force caused them, is also Nietzschean; in ""Zarathustra"", he makes it pretty clear that he doesn't have a clue how people are going to be able to enact these changes themselves and suggests that we will have to depend on an outsider (Zarathustra) to show us how to ""go under"". Bowman's psychedelic sequence at the near-end could be seen as Kubrick's best 1960's-style attempt at depicting the mystical ""going under"".",_
23,13 November 2007,MCL1150,1," Great to Look at, but...","""2001: A Space odyssey"" is one of the great cinematic visual experiences ever put on film. And flying across the United States from coast to coast while staring out the window is also a great visual experience. Yep, you're certainly glad that you weren't asleep the whole trip, but there's no way to stay awake the whole time either. Such is 2001. Looks Fantastic, but at some point you're just staring out that window wondering ""For God's sake! When will we FINALLY touch back down and get on with it? Some fans see Stanley Kubrick as God. I see their point. God created this incredible planet and there's so much surrounding heavenly beauty to behold, just like Kubrick stuffs into 2001. That said, you just reach a breaking point at which you're like ""OK, nice planets! Nice starry heavens!! Nice lens flare!!! Assuming though that I'll live at least one more day, I'll try and see the rest of it tomorrow 'cause I'm like really freaking' bored silly right now! Yep, tomorrow. I'll admire it . . . tomorrow . . . or the day after that, but for now it's just putting me to sleep. And guess what? My own dreams never leave me bored! I just don't commit them to film and then charge admission. THAT would be cruel.",=
24,5 April 1999,averjee,5, Visually stunning but not as deep as it pretends,"I bet that Stanley Kubrick spent the last thirty years of his life laughing his tuckus off that of all of his works, this one most profoundly affected the cultural consciousness which he consistently satirizes.",t
25,12 August 2006,Nessy_Gliana,1, Don't believe the hype-,I did and I lost two and a half hours of my life that I can never regain again.,t
26,6 February 2009,bkoganbing,8, The Biggest Fast Forward,What the meaning of the black monolith is in 2001: A Space Odyssey has been puzzling moviegoers for generations. I confess I haven't any better idea than any of the others who have written on this board. I guess Stanley Kubrick and Arthur Clarke wanted everyone to make their own evaluation. A little more evidence could have helped.,_
27,19 August 2006,Torgo_Approves,10, Mesmerizing experience,(r#54),u
28,26 September 2005,sveknu,1, One word: AVOID!,"Warning! Do not see this movie unless you're planning to waste more than two hours of your life. This has (without doubt) to be one of the most boring movies I've ever seen. If you're still going to watch this, then just remember that you can easily skip the first 25 minutes, because they add nothing of interest except from some great background music by Strauss. The first 15 minutes or so,.for example, is just a bunch of scenes with some apes in a prehistoric environment, and is totally pointless. To be more general about it, the movie has no point at all. It has way too many scenes that last way too long. The plot is boring nearly all the way. There was some hope for it at a moment in the movie, but nothing exciting happened after all. The ending is also incredibly stupid and a really strange one. This is not a movie. This is total garbage and an insult to all the movie fans out there.",r
29,1 February 2010,TheUnknown837-1,10," recently, I saw ""2001: A Space Odyssey"" for the third time, but understood it for the first","For a long time, Stanley Kubrick's most influential and controversial movie, ""2001: A Space Odyssey"", was a befuddling enigma to me. I've pondered over the movie for ages now, trying to reason really what it was about and more importantly, what I thought of it. A few moments ago, I saw the movie for the third time, but for the first time I understood it and I understood why it has gone on to become one of the most celebrated movies of all time. I'll be honest; for a long time, I didn't think much of ""2001"" and now that I look back on those previous two experiences of watching it, I feel a little embarrassed that I was so far off the mark before. I just had to learn that ""2001: A Space Odyssey"" was not a film to be taken at face value; it was about something else. And that something else cannot be determined by a majority. ""2001: A Space Odyssey"" is about the individual's relation to the universe around him, and because human minds are as infinite as the stars, they are just as varied.",v
30,25 July 2005,Theo Robertson,5, Let Me Explain Why I Gave It Half Marks,2001 is a movie that stirs up polemical opinions . You almost certainly love it or hate with no one having an opinion that falls into the middle ground . Ironically enough I gave it 5/10 which indicates I thought this movie is average . I didn't think it was an average movie - I thought it was a pile of pretentious pseudo intellectual garbage and a cinematic update of the parable about the Emporers New Clothes,
31,18 March 2005,The_Mantis,1, Overrated tripe,"2001 is one of those movies where, if you don't like it, you are told that you don't 'get it' and need to look at the deeper meaning and symbolism. You're told that you clearly have a slow attention span, and just want to see sex, explosions, and have the plot handed to you on a platter.",
32,24 December 2011,Boba_Fett1138,10," Still one of the best- and certainly most unique, thought provoking science-fiction movie out there.","""2001: A Space Odyssey"" is truly a milestone in the history of filmmaking. It showed the possibilities of what you could do with the science-fiction genre, besides having aliens trying to conquer the Earth. It showed that there was a reason as to why the word science is in science-fiction. But not only just story-wise is this a great movie within its genre but also technically. ",
33,4 August 2005,lee_eisenberg,10, Are machines more human than humans?,"Most people probably know the story. One group of apes forces another away from a water hole. The other group then comes across the monolith, which seems to imbue them with a new ability. One of the apes realizes that he can use a bone as a weapon, and forces the other group away from the water hole. Millions of years later, a bunch of people on the moon discover the monolith, which has indeterminate effects on their equipment. Eighteen months later, supercomputer HAL tells astronaut Dave Bowman (Keir Dullea) that there will be a failure. When the failure never happens, Dave and his co-astronaut Frank Poole (Gary Lockwood) realize that HAL may be malfunctioning and get into a pod so that they can talk about disabling him. But HAL can read their lips, and begins plotting against them. He kills Poole, and so Dave quickly disables him. After coming across the monolith, Dave then goes through a time-space continuum, which ends with him seeing an elderly version of himself. The elderly version then sees an even older version. The older version sees the monolith, which then portrays a fetus, which seems to introduce a new stage of humanity.",
34,19 March 2020,mahmus,10, 2001: A Space Odyssey is a miracle of cinema,"A thought-provoking exploration of the mankind's place in the universe, but most surprisingly, an incredibly entertaining and endlessly rewatchable audio-visual experience, despite its slow pace.",
35,29 August 2002,indraya,10, film is a poetical contemplation of most exciting eternal questions,"This movie is certainly one of the greatest films ever made. It is a story told in a steady pace, told mostly not by words but by cinematic means of expression. Perfect blend of spectacular special effects and classical music bring to life creations of human imagination in both realistic and poetical way. The story itself is quite simple at a first glance. As the title implies, there is an archetypal journey, a motive repeated for thousands of years. This motive was always used not only to depict a trip in space and time, and beyond, but also had rich philosophic meaning. The film is a poetical contemplation of most exciting eternal questions. It is not just an odyssey of a person; it is an odyssey of our species. The film is great by itself, yet, in my case, the impression from it will always be mingled with that from the book. I've read it at the age of 10, really not thinking about problems like 'what is the relationship between evolution of humankind and development of human morality'. But the impression was great enough to make me fall for entire genre of science fiction.",
