Review_Date,Author,Rating,Review_Title,Review,Review_Url
0,2 November 2021,santhosh-10290,10, Jai Bhim,Excellent Movie. Everybody acted well in the movie. Songs and BGM in the movie were excellent. The movie was so interesting and thrilling. This is the Best Tamil Movie of 2021. Excellent Movie.,/
1,2 November 2021,ahamedmn,10, OSCAR LEVEL 🔥,This is a movie which all the people in India should watch. It shows the pain and the problems which the 'Tribes' are faced by Police brutality. Manikandan and Anumol has done a national award peformance. Suriya beautifully carried the movie. Please watch.,r
2,2 November 2021,magadalwarmayur,7, What a great film,I'm not a native tamil speaker but I had seen the film trailer which had intrigued me.,e
3,3 November 2021,cs_rahul_kumar,10," Suriya's Jai Bhim Deserves To Get An Oscar Award For The Best Movie, And Suriya Deserves To Get The Best Actor Award !!!","In a scene in Jai Bhim, a group of tribals man meet a police office who is heading an inquiry commission about the disappearance of three missing tribals who were being interrogated by the police about a theft case. One man tells him that he was once arrested by cops just for greeting them. Another tells him about how he was arrested just because he tried to slink away fearing them. A woman narrates how her husband was forced to 'confess' to a crime which he had not committed after the cops started molesting her. A young boy mentions that the police picked him up just because they could not get his father, and how that one incident made him a perennial suspect at school. These people are clearly damned if they did, and damned if they didn't.",v
4,2 November 2021,rosheenkan,10, The Powerful Film,The film is based on true story which was happened 28 years ago.,i
5,2 November 2021,ashishpalatown,10, Brilliant movie,"The best movie i have seen in a long time. This movie should be send to Oscar , cause it really deserves an oscar for the wonderful performance . Really brilliant cast and directions ..",e
6,5 November 2021,m-ramanan,10," It could have become documentary at any point, but not....","RATED 10/10
Language: Tamil
Source: Amazon Prime
RECOMMENDED",w
7,9 November 2021,classicsoncall,8," ""It will be quite an uphill battle.""","There's some serious upvoting for this film here on IMDb; if not for a weighted averaging of the film's rating by viewers, this would be the number one movie of all time having just come out this year, and that by a wide margin. I thought the movie was good for it's portrayal of corrupt authorities taken down by a dedicated attorney, it hit on many of the points that social justice advocates clamor for here in this country. Based on a true story, one can only marvel at the dedication of a man like Chandru (Suriya), who utilized every bit of means and cunning to humiliate the brutal police authorities and their corrupt political allies. Many times it's a difficult story to watch, as the beatings and punishment doled out by district police against members of lower castes approach grotesquely inhumane treatment. Chandru's efforts eventually pay off, and it was inspiring to see him honored by the citizens he represented at the finale, reminiscent of that final scene of Gregory Peck in ""To Kill A Mockingbird"".",/
8,2 November 2021,ajaynkumar,10, Amazing ..hard-hitting movie,Its must watch ..had hitting real story based story with amazing story and cinematography. Its amazing and mind blowing the writing and acting of evry one is just another level ..its a overall another level movie a another gem by gem surya sir.,r
9,4 November 2021,hxzr-18144,10, One of the best movie in todays era.. Splendid and worth every minute.,This was one of the best movies I have watched in recent years.. that too based on true facts.,w
10,7 November 2021,akshatmahajan,8, South Indian Industry is rocking,"This movie is much needed movie which raises questions on police, custody murders and casteism. Nowadays, South India Cinema is giving us much better movies than bollywood.",7
11,2 November 2021,arunraveendraraj,10, Intense must watch,"Very excellent Film
After soorori Pottru another masterpiece from surya.",5
12,2 November 2021,jaybhakta-80095,10," OSCAR WORTHY, read below.",Its not An opinion only because the performance was great and story was real. Its because if its get world attention at oscars maybe the world and its people can realize police brutality is still alive in every corner of the world. Do not completely dead quiet yet. Its blood boiling story how it happens easily and gets covered up in a believable lie. Justice Chandru is a legend for shedding light.,0
13,3 November 2021,mohamedshakir-03491,10, No words! Undoubtedly the best movie of 2021.,"We know that this movie is based on a true events. Hats off to Suriya for choosing this kind of a role. What an outstanding performer he is. Rajakannu and his wife that two characters oh my goodness, every single scenes the performance of both 👏 wowwww. I'm damn sure that this movie will take all the awards this year. Don't miss this gem of a movie.",6
14,7 November 2021,ketgup83,8," Do Yourself A Favor, Leave Everything And Watch Suriya's Hard-Hitting Drama","Jai Bhim turned out to be a hard-hitting, raw and powerful court-room drama. The purpose of cinema is not just to entertain but also educate and empower the audience. The courtroom drama based movies are always engaging as the prosecutor and defendant both fight to solve the case with solid evidences and innumerable witnesses.",2
15,2 November 2021,divyapraba,9, TERRIFIC AND GONNA LAST FOR YEARS 🔥,JAI BHIM ✊,1
16,14 November 2021,Xstal,8," Tamil Tragedy, Turmoil & Torture...","This extraordinary story will leave you aghast at the injustice and corruption endemic in the constabulary of India, or at least in the state of Tamil Nadu where these events take place. Based on true events relating to prejudice and persecution, activities that still permeate these societies today, this film is best watched in Tamil with subtitles if the language is not one you own.",0
17,2 November 2021,TreeFiddy53,8," Brilliant, hard-hitting & a must watch.","Turns out, the movie is based on a real-life incident from 1993.",/
18,2 November 2021,nidhunmoviebuff,8, A hard-hitting courtroom drama on custodial violence!,"Despite being over 2 hours and 45 minutes long, 'Jai Bhim' is an engaging, thoroughly entertaining watch backed by an astonishing real life story of custodial violence, police cover-ups and systemic corruption.",?
19,5 November 2021,WorldMovie99,9," JAI BHIM is Real, Brutal and Thoughtful","Jai Bhim is real. No doubt about it. A real story portrayed with gripping narration. Makes you fixed on the movie. Jai Bhim is brutal. Yes, the horror of stereotyping people. It breaks your heart throughout the event. Jai Bhim is thoughtful in the sense that it will keep you thinking about who is really the culprit in today's society. Finally it will gives you a silver lining throughout the dark episode. An intellectual war between constitution and unconstitutional surpassing caste creed and divisons.",r
20,3 November 2021,xrionitx,10, Excellent!,"This is what is called as a perfect Movie. The story was good, the acting of all the characters was commendable. This is realistic but a dramatic tinted movie which was really a need of the moment when there are only the fabricated one sided masala films which only glorify the image of the cops, where as that is a rare case. This movie shows the reality. And the harsh truth. Well made.",e
21,2 November 2021,airjordanyk,10, A riveting and raw legal drama with mind-blowing performances from Suriya and Lijumol,"Director Gnanavel captures the raw nature of police brutality with a high degree of realism, and every scene was emotionally charged. Suriya brings another firebrand performance after SP, and delivers with his impeccable dialogue delivery and mannerism. I'm glad they didn't add any unnecessary mass/commercial scenes just because it is a Suriya film, and even the songs went along with the story instead destroying the pace. Another important mention is Lijomol Jose's performance as the Irular women who nailed it in every scene.",f
22,12 November 2021,vluckylkv,10, Agar kuch dekhna hai toh isko jarur dekho,"What a movie!! I usually don't cry while watching movies but this movie left me in tears, Suriya and supporting cast performance is top notch. This story will force you to think about social injustice in our society and police custodial death is horrifying truth of our country. It's a must must watch film for everyone. Don't miss.",_
23,3 November 2021,shaeshatriashwin,10, Jai Bhim - Best movie Of 2021,Definite National Award Winning Movie. A great social message film with Thrilling Crime ScreenPlay. Suriya's Next Level performance after SP. Supporting Actors done extraordinadry especially by lijomoljose as sengeni & Manikandan as rajakannu stunned everyone by their national award winning perfomance. Prakashraj Comeback film. An impactful must watch film.,=
24,3 November 2021,kishorkure,10, Speechless 😢😢,"The movie tells us the meaning of Dr Ambedkar's philosophical thoughts, Jai Bhim meaning a journey from Darkness to Light. What a movie!!! Wow!!! Just wow!!!! This movies lets us know the true meaning of fight against injustice. The brutal scenes of the movie really broke my heart many times watching the movie.",t
25,26 November 2021,Fella_shibby,10," Captivating, well acted n thought provoking. Not a single dull moment. Definitely deserves an Oscar.","If Atticus Finch is the greatest movie hero, then Chandru is the most underrated real life hero.",t
26,2 November 2021,mysterychannel,10, No words to describe,"Wonderful 👏 Brilliant Heart touching . Everyone outperformed , Hat's off to Surya . Must watch , no words to say . Brilliant movie, 100% , emotionally shaking...",_
