Review_Date,Author,Rating,Review_Title,Review,Review_Url
0,16 January 2010,AlsExGal,9, Ahead of its time,This is a very interesting film on so many levels. It's interesting to see just how far ahead German cinema was of its American counterpart at this point in time. Although there is not that much talking in this early German talking picture - Fritz Lang resisted going to sound in the first place - what conversation that does take place is well done and natural sounding. Compare it with any American film from 1931 and you can't help but see the difference.,/
1,29 July 2005,Quinoa1984,10," Fritz Lang's (sound) masterpiece- a taut and quintessentially suspenseful story, and Lorre","The first time I saw M, by Fritz Lang, I almost didn't know what to make of it. I was overwhelmed by the power of the performances, the staging of the scenes, the locations, and the power that the simple story had with such complex circumstances. Then I saw it again, and a third time, and I know that this is one of the best films ever to come out of Germany- it's a powerful statement about protecting our children (if you're looking at it as a ""message"" movie), but in reality it is just a piece of cinema heaven. Thrillers today only wish they could draw a viewer into the mystery elements, and have such unconventionality of the times. Boiling down to this, M is about a child Killer - the legendary character actor Peter Lorre in his first major role - who snatches children when their parents don't watch, and continues on until an investigation goes underway. But as the police investigate overly thoroughly into the real criminal underworld, they know something is up, that this is someone far more gone than they could ever be, so they join in the hunt. This all leads to one of the supreme dramatic climaxes in any thriller.",r
2,31 January 2002,Nazi_Fighter_David,8, Moments of menace..,"The economy, austerity and directness of the films of Fritz Lang made him one of the most profound, and precise filmmakers... ",e
3,1 June 2000,Movie-12,10, A masterpiece of visual drama; brilliantly acted by Peter Lorre. **** out of ****.,M / (1931) **** ,v
4,31 March 2006,EThompsonUMD,10, Influential and unforgettable masterpiece.,"Fritz Lang's highly influential career as a film director began in post World War I Germany, where he was a leading figure in the German Expressionist film movement, and ended in the United States in 1953 with the production of The Big Heat, a film noir classic. Perhaps his greatest film, M (Germany, 1931) forms an historical bridge between expressionism and film noir. Like the former it uses strange and disturbing compositions of light and dark in order to symbolize the inner workings of the human mind; like the latter it more realistically sets its story in a modern urban setting and blends in sociological issues along with the psychological and moral ones. ",i
5,30 June 2009,alexkolokotronis,10, Far Ahead Of Its Time And May Always Will Be,"M is a monumental film and seriously should be watched by all. For a film like this to be made in 1931 is just shocking. Even if the film was released today it would still be nothing like we have seen before. In our modern age of film making there has been a considerable rise in the production of films about serial killers, their complexities and particularly about pathological ones. Yet, M is the first movie that comes to my mind when I think of the themes that have been in Psycho, Silence of the Lambs, Seven and not to mention countless more.",e
6,2 May 2003,FilmOtaku,8, German Expressionism at its cinematic best,"Being a huge fan of German Expressionist art, I'm naturally drawn to the films of Fritz Lang.  I recently was able to see the restored version of ""Metropolis"" on the big screen, and was delighted to see ""M"" on the Sundance channel - especially since it was the uncut version.  M follows the trail of a child killer (Peter Lorre), sought both by the police and the members of the underworld whose businesses are being effected by the investigation. ",w
7,8 September 2020,Xstal,9, Mörder...,"Casting its shadow through motion picture history and continuing to do so to this day, suggesting that societies throughout the world have struggled to resolve the most despicable actions of their citizens (inc. those in the police and armed forces) and the penalties they should pay - as seen by the gamut of forfeits that can be incurred for the same crimes across the planet, as well as those that are crimes in some territories and not in others.",/
8,11 September 2018,jamesrupert2014,10, Excellent film from the early days of European cinema,"Outstanding German expressionist film from Fritz Lang that follows first the police, then the underworld, as they search for a child killer in Berlin. The cinematography is moody and dramatic as the story moves through the poorer sections of the great city and the acting, while of a more melodramatic style than is currently popular, is very good*. Peter Lorre is outstanding as the killer who taunts the police as the noose slowly tightens around him. To some extent the film is an early 'procedural drama' as the police use (then) modern forensic techniques such as finger printing and graphology to try and find the killer. Tired of the increased police surveillance, the city's criminal element begins their own search, mobilising the numerous beggars to be 'eyes on the street'. The film touches on a number of issues that are as relevant now as in the 1930s including mob mentality (men are accused of being the killer simply for talking to a child), rights of the accused, the 'end justifies the means' use of torture, and the ever thorny issue of mental health and culpability. One of the great pre-WWII German films. *I watched a subtitled version on TCM.",r
9,21 April 2008,WriterDave,10," ""L"" Before ""M""","In an eerie propagandist fashion, the phrase ""in the name of the Law"" is repeated over the last two scenes of Fritz Lang's ""M"" as a child killer is brought to justice. If ""L"" represents the State and the Law, then ""M"" is meant to represent the Individual (who in this case is a Murderer). Lang boldly asked us way back in 1931, whose rights come first: the State or the Individual? A master of his craft, Lang leaves the question open-ended and let's the audience decide.",w
10,2 February 2010,gavin6942,10," The Ultimate Crime Drama, Years Before The Genre Took Off","A serial killer who favors children (Peter Lorre) is on the loose in Berlin. He is wanted by the police. But, even worse for him, he is wanted by the Berlin underworld, who have been targeted falsely by the police for being involved. Watch out, child killer! ",6
11,12 December 2018,davidcarniglia,9," Thoroughly Creepy, Thoughtfully Done","Like many great movies, M has a simple plot. It's the cinematography, acting, and screenplay that make such an intense drama. There's multiple levels to explore as well. Clearly, a psychological theme is drawn. Then, there's a political aspect; the waning of the Weimar Republic must have been a palpable experience of doom for plenty of Germans. Also, there's the theme of alienation; and, relatedly, the role of criminal underworld.",3
12,6 August 2018,ElMaruecan82,9, M or the Mark of a Disillusioned Genius...,"M like Manichean? What can you say of a plot driven by criminals and where good people are rather inefficient for the most part and where the most despicable character earns our own sympathy. This is a movie using such stark black-and-white contrasts, noir in its soul and gray in its core.",2
13,27 April 2018,TheNabOwnzz,8, A masterful take on compulsive immorality,"M has to be one of the most influential movies ever made, both technically and psychologically. With an outstanding Peter Lorre, suspense that outsuspenses Hitchcock, excellent cinematography and a deep sociological layer added to it, M is one of the masterpieces of the psychological thriller genre.",8
14,27 May 2009,Steffi_P,9," ""This won't bring back our children""","While many of the problems of early sound pictures lampooned in Singin' in the Rain were more or less myths, the early talkies did present a big challenge for filmmakers everywhere. Europe however was at an advantage over Hollywood because even though it took them a few years to gain the same access to sound technology, films from the US would be screened abroad only six months or so after their first domestic release. Thus directors like Fritz Lang were able to witness Hollywood's first faltering steps with sound before giving it a go themselves.",9
15,21 October 2007,charchuk,10, The first sound masterpiece,"Probably the first sound masterpiece. Though it's one of the first to use the new technology, it doesn't feel like it, as the camera is fluid and expressive and the sound effects are utilized perfectly and are even essential to the story. Lang's direction is superb, amping up the suspense and terror by using the cinematography, lighting, and sound together to create a very tense and distinctive atmosphere. Peter Lorre is fantastic in what is really the lead role of the film, making us feel sympathy and pity for a horrific child-murderer. The combination of German expressionism, film-noir tendencies, and social commentary that Lang injects into the film makes for a brilliant and gripping work. Simply a terrific film all-around.",5
16,25 March 2016,elvircorhodzic,9, The birth of a psychological thriller!,"M"" is primarily a bold and controversial piece of work. Lang's first sound film. Directed us to the beginning of the game offers shade and excellent cinematography. The atmosphere is gloomy and tense. The case of child killer is thematically processed. The focus of the story is not a serial killer but on how his murder affect people.",8
17,2 May 2011,TheLittleSongbird,10, Unforgettable masterpiece,"Fritz Lang was a fine director with an artistic vision that is just genius. This is seen perfectly in pretty much all of his resume, especially in Metropolis and this unforgettable masterpiece, M. The film has a great story that unfolds without feeling too fast or too slow in development with a theme that is still relevant today, and to this day I never thought I would see a film that would make me think that the music of Grieg(Peer Gynt being the murderer's motif in a form of a truly chilling whistle) was scary.",/
18,25 February 2010,Eumenides_0,10, A Lesson in Film History,"Watching Fritz Lang's M is watching the history of cinema unfold before one's eyes. Made in the transition period between the silent and sound film, this 1931 masterpiece remains fascinating for several reasons.",?
19,3 November 2001,Quicksand,10, Timeless.,"As riveting as it is intellectually demanding.  And that's just by 2001 standards-- Fritz Lang directed this film, his first with sound-- in 1931, when hardly anyone knew how to integrate dialogue into a previously silent art form, and in the midst of the Nazi uprising at the same time.",r
20,4 January 1999,Caliban-6,10," 60 years old, and still uber-suspenseful","The opening scene of this movie is the first clue to its near perfection  A mother preparing dinner for her child, waiting anxiously for her to return from school.  Her hope, and then distress as she hears people pass outside her door.  While down in the streets of Berlin, her daughter is receiving a balloon from a strange man in a long black coat.  We know what's going to happen, but it's still horrific to watch.",e
21,1 November 2017,meathookcinema,10, As relevant today as when it was made,This film works on many different levels.,f
22,10 February 2017,grantss,10, M for Masterpiece,"Someone is murdering children in a German town. The police are doing all they can to solve the case but, after several months, several murders and exhausting work, still have no clues. Their methods of trying to find the murderer start to adversely affect the local criminal community. Due to this, the local organised crime syndicate takes it upon themselves to find the murderer and mete out punishment...",_
23,20 July 2017,christopher-underwood,10, This film is almost 90 years old,"There is really nothing that can be said about this groundbreaking film that has not already been said, so just a few impressions on watching this after a gap of several years. This film is almost 90 years old and as the Blu-ray release has reinstated, if that is the word, the silent sequences it is well worth a re-watch. Made at the beginning of sound, this was not made with sound throughout, mainly for financial reasons. These silent passages are difficult for present day audiences but strangely effecting too, especially with such startling images. Overhead shots of streets and people scurrying. Peter Lorre lurking, eyes almost bursting. It is an amazing creation that impresses now, goodness knows what affect it had upon audiences of the time. Even without the nazi connotations, this is scary and worrying stuff. Beggars as detectives, criminals as jurors, it is mind boggling. And for a finale as the 'proper' police bumble about we go underground in the most amazing cave like structure packed with those who will decide the child killers fate, looking far too much like the very people that would drag Germany into oblivion.",=
24,29 June 2014,utgard14,9," ""...they never leave me. They're always there...""","There's a serial killer in Berlin who targets children. The police have been unable to catch him but their increased presence has made life more difficult for the criminal underworld. So the criminals band together to try and find the child killer themselves and issue their own brand of justice. Exceptional German film from the great Fritz Lang. His best sound film and second best film overall, behind only the silent sci-fi masterpiece Metropolis. The cast is terrific. Peter Lorre is amazing in this, which put him on the map. The direction, the cinematography, the angles, the lighting, the dark atmosphere all help to create this visually arresting film. It's a classic in every sense. Don't let its age or the subtitles turn you off from trying it. You're missing out on a truly great film if you do.",t
25,19 September 2005,Boba_Fett1138,10, Chilling.,"This movie has an extremely realistic feeling and provides a view on a child-murderer and the effect it has on the normal everyday society of Germany in 1930. It's one of the most chilling movies I have ever seen along with movies like ""Psycho"" and ""Se7en"".",t
26,1 December 2012,Kubris,9, Dark and suspenseful,"M is quite the film. It shocks you throughout its runtime: the subject matter is scary and mature, the acting isn't over-the-top like its counterparts from the era, and there's swearing. Extreme swearing for the time. To top this all off, it's suspenseful. The entire last half is edge of your seat.",_
27,9 April 2009,lastliberal,9," I can't help what I do! I can't help it, I can't...",We see the beginnings of film noir in Germany's first talking picture. It also has some remnants of German Expressionism. But what is most impressive is the story itself.,u
28,14 May 2006,TBJCSKCNRRQTreviews,10, This film is a masterpiece... and I don't use that term lightly,"My father has often told me about this movie. It's been available for next to nothing at the local DVD/CD shop here for longer than I can remember, and not long ago, I finally pulled myself together and bought it. Today, we sat down to watch it. I must say, this movie astounded and impressed me. From the first frame, it had me. It gripped me and didn't let go until the ending... if even then. If I'm not still in its clutches. The plot is excellent, and the way it's told is very interesting. It develops constantly, though never too quickly; the film never stands still, yet never moves too fast, either. The pacing is among the best in any of the films I've watched... and that list count nears one thousand titles(as I'm writing this, I'm nearing my way to 700 written reviews... but I've got a good 17 years of watching movies prior to my starting to comment on them). The acting is incredible. I can't think of a single performance I found anything less than flawless. The characters are well-written, credible and interesting. The cinematography is nothing short of amazing. The way they created all those great shots, be it stationary or those with movement, at that time, with that equipment... magnificent work. Fritz (either Lang or the cinematographer, they share a first name) knows his way around cameras, and knows when to use movement... and, perhaps more importantly, when not to. This film has its share of both kinds of shots, and both work perfectly. The film uses the art of hinting to the fullest; something Hitchcock, the very master of suspense, would later employ, in huge thrillers such as Psycho. Shadows, suggestive camera movements, a tiny movement in body or face... things that, in a film of today, would be simply not be found. The silent and unclear would replaced by loud and obvious. One of the most important things to note about this film is how little it says outright... and how much it merely... hints. A careful, subtle remark, presented casually... in place of an absolute. Having recently watched Scarface, a film from the same period(it was released about a year later) which leaves little to be pondered over by the viewer(and much to be desired in that very area), the contrast between an open movie and a closed one is blatantly obvious. There is much to debate over and consider in this film. It reminded me of Alejandro Amenábar - a man whom I very much admire - the Spanish director who also employs few definite truths in his films. It's not up to the director to decide what is right... but rather us, the viewers, the movie-going audience. Alejandro knows that. So did Fritz. I will have to watch more films of his. Another thing is the level of detail in this film... reminiscent of Kubrick, another master of the art of film-making, this film is packed with detail. So many seemingly meaningless, but endlessly insightful little things. A scene that shows shady types idle... a subtle touch that would be edited out as early as during the script-writing phase of most newer movies... characters that are seen once and then never again... the examples are endless. Fortunately, this review isn't that, and on that note, I'll refrain from further listing of them. The dialog is well-written and well-delivered. If you can, get a original version of this film... not a dubbed one. No matter how awful you are at the language, it just fits better in German. Just make sure you've got good subtitles... I myself am rather hopelessly poor at the language, and I noticed that many times, the lazy Danish translator skipped entire sentences(though I noticed it to be prominently used words and sentences, that, when uttered and translated once, were from then on left to only be heard, and not seen, which I guess is at least more acceptable than the worse alternatives). This film is full of suspense, and some of the best I've ever seen. Again, I would guess that Mr. Hitchcock took a lesson or two from Lang and this film. I was on the edge of my seat for just about all of this, and I couldn't have taken my eyes off it had the house been on fire. Well, I might've gotten up, once my chair was caught in the flames. Last but not least... the film-noir qualities. The interplay of light and dark, the dreary atmosphere and the tone... all spot-on. The film deals with several very difficult subjects... not to be mentioned here. I suggest you watch it for yourself and make up your own mind about each of them. Lang won't force his opinion on you. For such an old film, this is really not terribly dated... apart from some things that have obviously changed over the 75 years, three generations, yes, three quarters of a century that has passed, but they're really not that obvious. Had this film been made today, little would have to be changed. Sadly, it would not get made today... for many reasons. Unless it was on the indie scene, this simply would not be made. I can't see any studio accepting it as profitable. By today's standards, it's event-less, tame and, well, black and white. Of course, that says quite a lot more about today's standards(which, in my humble opinion, are far, far lower, and, indeed, too low) than the quality of this film, which is impeccable. I recommend this to any fan of Lorre, Lang and noir. Heck, crime, thriller and suspense fans will enjoy it as well. As would most anyone, really, who aren't too used to the films of today to enjoy an old great work. 10/10",r
29,24 November 2014,Rickting,10, A bone chilling masterpiece,"Many love detective stories. We love trying to figure out who did it. I am a lover of detective stories and cannot wait to finally see Se7en. However, do I really need to see it? It is already clear that I will never see a murder mystery movie as chilling, menacing, borderline harrowing as Fritz Lang's masterpiece 'M'. The plot concerns a child murderer on the loose in Berlin. Both the police and the criminal underworld hunt for him. Trying to find a more haunting detective story than M is like trying to find a needle in a haystack. Every single frame is meticulously composed and oozes with suspense, menace and terror. Reflections and symbols are used brilliantly. The lighting is hauntingly atmospheric. Visually, the film is a total masterclass. The film's decision not to have a clear protagonist and to observe the action from an objective viewpoint may seem detached to some, but ultimately it makes the film feel more real and if even possible even more disturbing than it already is.",v
30,5 January 1999,Oliver1984,10, Chilling movie,"This movie is definitely one of the scariest movies I've ever seen. It's about this childlike, pity evoking man (brilliantly played by Peter Lorre), who also happens to be a psychotic child killer. The city in which he lives is, of course, panicked by the mysterious child-killings, and both the criminals and the police starts to haunt the man down. I won't reveal more then this, but I will say this: Just because it's an old movie, don't let your guard down. This movie is one of those rare movies, which are so good that you'll never forget them.",
31,12 October 1998,SMK-4,9, Lang's Child Murderer Classic,"Fritz Lang's first sound film is undoubtedly a classic.  Peter Lorre is utterly convincing as the serial child murderer, but an even bigger asset of the film is its realism.  When we see the children playing we believe they are playing, it does not look staged.  When we see the mother calling for her daughter and she doesn't respond then we can relate to it.  It is much more chilling and effective than the special effects bonanza of a modern slasher film, simply because it is much closer to our (speaking as somebody who lived in similar housing estates) everyday experiences.  This must have been even more impressive in its own period when viewers were accustomed to villains in comic book style, like Henry Bergman in the early Chaplin films.",
32,8 June 2015,SnoopyStyle,10, fascinating Fritz Lang,"A serial child killer (Peter Lorre) is on the loose in the city. $10k Marks is the posted reward. The city is helpless and paranoia is spreading. All the latest forensics and police tactics are laid to bear. The police crackdown is ruining the criminal class and they join forces to find the killer themselves by calling in the organization of beggars. Polic inspectors track down Mr. Beckert. The blind balloon vendor recognizes his whistling and his friend marks Beckert with the letter M. While Beckert is hiding in a building, the criminal class gather to break in and catch the child killer themselves in one of the strangest heist movie ever. They eventually bring him to an underworld trial.",
33,25 March 2013,blanche-2,8, Peter Lorre's star-making film,"Peter Lorre stars in ""M,"" a 1931 German Expressionist film directed by Fritz Lang.",
34,27 October 2018,Amyth47,9, M - Fritz Lang's Masterpiece.,My Rating : 9/10,
35,20 August 2016,Leofwine_draca,9, Harrowing and profound,"Every once in a while there comes along a film about a serial killer. There's usually a lot of hype, and the film is no doubt controversial. The best known example of a serial killer film is PSYCHO. More recent examples would be MANIAC and American PSYCHO. But the film that started them all off was this black-and-white thriller/chiller that came from Germany, a shocking and disturbing film which still holds up as being powerful and frightening this day. Surprisingly, it's a film which hasn't dated, a film which looks at psychology - both individual and mob-orientated.",
36,5 October 2004,Coventry,10, M = Milestone...Mesmerizing...Masterpiece!,"Fritz Lang's second absolute landmark (after the equally brilliant but completely different 'Metropolis') and also his first opportunity to work with the wonders of sound. And boy, did he ever deliver a great piece of work! Like the M (for murderer) is marked on Peter Lorre's coat, the film M (for masterpiece) is branded on cinema history annals for all eternity. Lang's film is a triumph in every possible viewpoint and it covers a lot more genres and elements than just simply the manhunt for a child-molester.",
37,24 October 2022,kosmasp,10, M marks the ... M?,"No pun intended - a city looking for a murderer. Not just any murderer mind you. Because the crime our perpetrator is committing in this case ... something that is not easily forgiven or forgotten. But and that is the great thing about the movie - it is about much more than ""just"" an individual who has lost his way ... and wrecks havoc.",
38,22 June 2008,RJBurke1942,9, M-1931: Where Fritz Lang bares the soul and psychology of the child-killer.,"This is, unequivocally, a psychological thriller that all films buffs must see. I've now seen it three times, but I'm certain to see it again.",
39,16 December 1998,Scott-4,10, You'll Remember This One Forever,"This is one of those movies that will stay with you for the rest of your life.  The characters are ugly and disturbing, there is nothing ""cute"" in this movie.",
40,10 July 2006,planktonrules,9, Exceptionally chilling and effective,"This German film is about the search among the underworld for a sadistic child rapist-murderer. Even among the lowest elements of society, they are outraged and the film shows the underworld figures mobilizing to find the murderer and bring him to justice. This is an exceptionally interesting and unusual idea, and their intent is NOT to bring him to the police,...at least not alive! No, they are out for blood and have no intention of letting the perpetrator go. ",
41,25 December 2001,m_madhu,10, sheer genius!!!,"what outstanding movie making!!! M is the most intelligent thriller about a serial killer that ive ever seen. the movie acts on so many levels, the suspense, the trauma, the questions of justice, morality, right and wrong.",
