Review_Date,Author,Rating,Review_Title,Review,Review_Url
0,3 March 2018,Bored_Dragon,8," ""People should not be afraid of their governments. Governments should be afraid of their people.""","Placed in futuristic Britain, this movie tells a story about dictatorship and the man who became symbol of it's downfall. People from many, not to say majority, countries in today's world can easily identify with the characters. Great adaptation of DC comic and always gladly seen Natalie Portman.",/
1,31 October 2016,seige-hound,10, My Personal Favourite Movie of All Time,"It's been quite a few years since I first saw V for Vendetta. I didn't see it at release, because I was far under the age demographic at that time, but I managed to catch up to the film at around 2011-2012. Not sure the exact year, but I was a teenager at the time, and I loved the Matrix (still do), and heard that V for Vendetta was written by the Wachowskis, so I thought I'd give it a shot.",r
2,17 November 2020,benxrichardson,9, Terrifying and inspirational,"This is a very unique film. Watching it again 15 years later, it's amazing how much closer we are to this totalitarian future. A must see.",e
3,27 March 2022,BrunoRatesTheMovies,7," ""remember the Fifth of November, gunpowder, treason and plot""","While the Visuals look dated, the Vibe is Very current. The parallels in this Version of reality is ominously similar to our own 2020. Viral disease, politicising Vaccines, at least this pulls the Veil on what a true fascist totalitarian regime is like along with government control media.",v
4,14 November 2021,beschuitfluiter,10, More relevant than ever,"Here we are, 2021, almost 2022",i
5,19 March 2006,atzimo,10, A Bloody Masterpiece!,"I am speechless. I just came back from the theatre, where I watched 'V for Vendetta'. There are three main elements in the movie and it excels on all three of them.",e
6,16 November 2019,planktonrules,9, Among the best stuff you'll see from DC Comics.,"DC Comics has a rather poor reputation lately. Despite having some great superheroes, the films based on their characters often have sucked. However, one of the best and most worthwhile films based on their comics is WELL worth seeing...""V for Vendetta"".",w
7,15 November 2022,Xstal,9, V for Vigilance at all Times...,"A masked messiah seeks to topple fascist rule, despotic government's so brutal and so cruel, all diversity has gone, being different is now wrong, poor Britannia is no longer calm and cool. The police have spies and cameras everywhere, their eyes and ears observe the wires, seize and snare, but disguises cause surprises, hero V knifes, Fawkes and prises, to derail those, that sit in the top chairs. Removing dread, concern and fear is the key, which V does tormentingly to friend Evey, enables her to have the power, as the clock counts down the hour, to raze a tomb that sets the shackled people free.",/
8,8 November 2021,alexkzapf,9, Very pertinent for our times.,I feel every person on the world should watch this movie. It's very time important. And is a real reflection of what's going on as of right now. On top of that. It's a fun ride with great acting and a fantastic cast. If you watch this movie. You should realize the goal of all politicians. Absolute control and rule thru whatever means necessary. All governments should be de-centralized And this movie shows what happens when people let the government run rough shot.,r
9,12 August 2006,claudio_carvalho,10, Ideas Are Bulletproof and One Man Can Make the Difference,"In a near future, a totalitarian state is ruling England. On November, 5th, a man self-calling V (Hugo Weaving) explodes a symbolic monument and starts fighting for freedom using terrorist technique. He also rescues Evey Hammond (Natalie Portman) from the claws of the abusive secret police and later she becomes her allied. The man in charge of the investigation, Inspector Eric Finch (Stephen Rea), discloses the truth about his leaders while chasing V.",w
10,4 January 2019,sauravjoshi85,10, If you are a movie buff 'V for Vendetta' is for you,Honestly I am speechless after watching this masterpiece. Hugo Weaving is a genius who played such a difficult role with such a perfection. Full marks to Natalie Portman. A great movie which will keep you indulging. A must watch.,1
