Review_Date,Author,Rating,Review_Title,Review,Review_Url
0,24 December 2005,bkoganbing,10, The Hero As Comedian,"In his autobiography, The Name's Above the Title, Frank Capra said that until It Happened One Night drama had four stock characters, the hero, the heroine, the comedian, and the villain.",/
1,8 November 2005,aimless-46,9, Clean Sweep,"Consider this, ""It Happened One Night"" was made in 1933 which gives it the distinction 70+ years later of being the oldest film still widely viewed by mainstream audiences. And most of the runner-ups for oldest film are 1930's screwball comedies inspired by the success of this seminal film which made a clean sweep of the 1934 Academy Awards. The genre has held up over the years because these are small human stories with themes that are still relevant. ",r
2,29 September 2020,Xstal,8, 'The Limb is Mightier than the Thumb'...,"Many things don't mix or go together, quite often they repel but when things do gel, when they seamlessly merge and mingle like two dancers combined as one, the end result can often be quite memorable, magical and spectacular. As here, with Claudette Colbert and Clark Gable, where the story is pretty immaterial but the interactions between the pair makes this, to this day, as engaging, charming and funny a conjuring as any you might previously have come across and, quite probably, any you might venture to find in the future.",e
3,11 December 2003,FilmOtaku,8, A cute romantic comedy that was a pioneer of its genre,"It Happened One Night is one of those films that is so classic, and on so many `must-see' lists that I actually assumed that I had seen it at one time or another.  It wasn't until I actually looked into the film when I in fact realized I hadn't.",v
4,6 April 2010,claudio_carvalho,10, Love Triumphs (and the Wall of Jericho Falls),"In Miami, the spoiled socialite Ellie Andrews (Claudette Colbert) is trapped in the yacht of her controller father, the Wall Street banker Andrews (Walter Connolly), who has just annulled her secret marriage with the snobbish aviator King Westley (Jameson Thomas). Out of the blue, Ellie jumps overboard and swims to the shore. Andrews hires a detective agency to find her and offers a 10,000 dollars reward for any information about his daughter. But Ellie pawns her watch, buys some clothing and a bus ticket to New York to meet her lover. She seats side- by-side with the cynical reporter Peter Warne (Clark Gable). However, when a thief steals her purse with her money in a bus stop and Ellie does not report to the police, Peter recognizes and blackmails Ellie, asking her to travel together with him. He promises to protect her and in return he would write her adventure to meet King Westley. Along their journey, Ellie falls in love for Peter; but when he vanishes from the motel where they are lodged and contacts her father later, she believes he was only interested in the reward. In the end, love triumphs and the wall of Jericho falls. ",i
5,22 August 2003,lugonian,9, The Runaway Heiress,"IT HAPPENED ONE NIGHT (Columbia, 1934), directed by Frank Capra, based on a short story ""Night Bus"" by Samuel Hopkins Adams, ranks one of the best known and popular romantic comedies from the 1930s, thanks to the star chemistry of Clark Gable (on loan from Metro-Goldwyn-Mayer) and Claudette Colbert (on loan from Paramount), with fine direction by Frank Capra, witty screenplay by Robert Risken, and for being the very first motion picture to win all five major Academy Awards, including Best Actor (Gable); Best Actress (Colbert); Best Director (Capra); Best Screenplay and Best Picture. This might have been an ""upset"" in 1934, considering other top-rated films and performances of the year, but who would have imagined IT HAPPENED ONE NIGHT to still be as entertaining today as it was back in 1934?",e
6,12 August 2004,Smells_Like_Cheese,10, One of the funniest movies in history,"In my college film class we had begun watching ""It happened one night"". I was laughing my head off. But of course my professor stops the movie right when it was getting good. After that, I wanted to see this movie so badly. My father lucky enough had the movie. I watched it and it is one of the funniest movies I have ever seen. Clark Gable is histerical. He really does a great job in the film. I always did prefer the old comedies to today. Do you blame me? If you watch the flick, you will enjoy it. This is one of the first romantic comedies. It'll send all the others to the back of the bus. I would higly recommend this movie. It's a classic.",w
7,23 June 2002,comix-man,9, Introducing... the Screwball Comedy,"Frank Capra's idealistic outlook on life is evident in his films. From It Happened One Night to It's a Wonderful Life, Capra has always had a tendency to let the little guy rise above it all and beat the odds. It is no small wonder that Capra enjoyed much of his success during the Depression, when movies were used to truly pull an audience out of the despair of the 1930s into a world where anything can happen, where being a nice person is all you need to succeed. While the fact that the country was in the middle of the Depression was not completely ignored, an overly optimistic view on life was taken to counter the despair of everyday life.",/
8,11 March 2005,lovable_lil_devil132,10, It happened one night...I fell in love with this film!,"IHON rightly earns it's place as one of the greatest romantic comedies in film history. A pioneer of the screwball comedy genre, it holds up very well 71 years after it was made.",r
9,6 October 2007,ackstasis,8," ""I want to see what love looks like when it's triumphant. I haven't had a good laugh in a week.""","Released in 1934, Frank Capra's 'It Happened One Night' ushered in a new era of Hollywood film-making  the screwball comedy  and made Academy Award history in the process. It became the first film to be awarded the top five awards on the night (Best Picture, Director, Actor, Actress and Screenplay), a feat that remained unequaled until 'One Flew Over the Cuckoo's Nest (1975)' and 'The Silence of the Lambs (1991).' As I watch more of his films, Frank Capra is fast becoming one of my most respected directors, with such classics as 'Mr. Smith Goes to Washington' and 'It's a Wonderful Life' ranking among my favourites of all time. This screwball comedy, however, posed a certain problem, since I've never been a huge fan of the sub-genre. Whilst I had enjoyed such films as 'My Man Godfrey' and 'His Girl Friday,' they hadn't really offered anything other than comedy. This means that they did a good job of making us laugh, but never really inspired any other emotions  which isn't necessarily a handicap, but doesn't appeal to my tastes.",w
