Review_Date,Author,Rating,Review_Title,Review,Review_Url
0,2 June 2011,planktonrules,10, Wonderfully entertaining.,"It's hard for me to review this film, as I have not seen a huge number of Indian films--probably no more than a couple dozen. Most of the ones I've seen were wonderfully entertaining but I am far from an expert on Bollywood. Because of this, I have a hard time knowing how good this film is relative to other films from this country. So, consider this when you read this review. This may be among the very best India has to offer or it just seems that way to me.",/
1,20 November 2011,donutpizza,9, Wow this American loves this movie,"I asked my co-workers to recommend a Bollywood movie. I expected ""Dumb and Dumber"" by the title. It wasn't that at all. It is more of an inspirational comedy with some serious but good messages. A more accurate title would have been ""The Legend of Rancho"".",r
2,9 September 2013,Fella_shibby,10, Finally a masterpiece from Bollywood. Aamir Khan is the best thing to happen to Bollywood.,"Awesome film man. Saw this with my family in a theatre. Worth every penny n worth every minute. Never seen such an amazing film from Bollywood.
What is so great about the movie is that it moves you, it gives you hope. It is a simple film, yet it has an everlasting message. The last 30 mins were beautifully shot. Very good direction by Hirani. The star cast is good n Aamir khan steals the show.
The editing is top notch. U don't feel bore for even a sec. Awesome screenplay. It's hands down the best film in the history of Bollywood.",e
3,15 June 2021,pawanpunjabithewriter,10, THE BEST OF BOLLYWOOD; please sing along....,"When I was 13, I had my first movie-love;
There was nothing that compared to this movie;
Nobody could eva stop me watchn this cult;
It had me goin crazy, oh I was star-struck!",v
4,2 October 2020,Xstal,9, Hat-Trick Heroes x 3...,"Like Dead Poets Society but with Robin Williams as a student and some extra tonic and spice thrown in for good measure. Serious, sad and silly, often concurrently but overwhelmingly very, very funny and engaging, as engineering students at an Indian college end up teaching as much as they learn. Who could disagree with the distinction between education and learning while recognising the often sizable gulf that exists between the two after watching this. Who would dissuade those with aspiration and passion from pursuing their dreams and goals. Weighing in not too shy of three hours you'll be shocked how quickly the time flies as your attention is vacuumed up and your view of the world turned on its head, or inverted, depending what you've learned.",i
5,3 August 2021,jack_o_hasanov_imdb,9," Don't be fooled by its name, it's a great movie","The film not only shows the mistakes of the education system, but also reveals how the truth should be. That life is not actually a race; reveals that this is imposed on us by the education system. Rancho, our character who opposes the order at every opportunity, cannot make sense of not talking about new ideas but grades at schools. Because he goes to school to learn, not for a diploma, he gives importance to knowing the meaning, not memorizing, he does not say ""what I learn at school stays at school"", he applies what he learns in daily life. The secret of its success; Reading the part he is passionate about.",e
6,6 February 2016,deloudelouvain,7, One of the better Bollywood movies I saw,"Because the movie had such a high rating on IMDb I was intrigued. Bollywood movies are not particularly on the top of my list I must admit. But I gave it a shot and I'm glad I did. It only has two scenes where they start singing and dancing so that was not too much. Why they start singing and dancing that I will never get. The story does not need that at all. The story itself was very pleasant to follow. Full of mixed emotions, happy ones and sad ones. The cast and the filming was great. All actors gave a good performance throughout the whole movie. Like in most American television series they want to give you a lesson in life and most of the time it makes me want to barf but in this Bollywood movie it works perfectly well. I had fun watching this and I get why I am not the only one. Certainly worth a watch.",w
7,3 January 2013,StevePulaski,10," Scarcely has a comedy provided its audience with so much insight, intelligence, and human affection","""All is well,"" the three ""idiot"" heroes of 3 Idiots recite when they become frazzled or nervous, while frantically tapping their hearts. They know that reciting the oversimplifying phrase will not provide their problems with a solution, or even a catalyst, but it gives them the onset courage they desperately need at a time of uncertainty and despair. One character even tries to use the line after an amateurishly-given birth may have gone terribly wrong. It's times like that when the saying may not be so effective, even if its goal is not to provide certain relief.",/
8,24 December 2009,naman-avastol,9," Aal izz very, very, very, very, very Well","""Whatever the problem in life is... just say to yourself 'Aal Izz Well'.. This wont solve your problems but it will give the courage to face it.."" ""Chase Excellence and success will follow"".. "" Life is not about getting marks, grades but chasing your dreams"".. These are the golden rules which 3 IDIOTS teaches you in a very light and entertaining way.. The movie makes you laugh and in the process you learn many golden rules which can alter your life in a big manner...",r
9,2 May 2021,ShaukathX,10, Missed this gem for 12 years - Thanks to my wife,"Thought provoking movie, it shows how Indian Parents force their children's. In every aspects (what to study, what to wear, where to work, so & so.",w
