Review_Date,Author,Rating,Review_Title,Review,Review_Url
0,7 July 2016,ctowyi,10, Masterclass Cinema,"This is hands down the most perfect film I have seen so far this year. I gave a score of 5/5 to movies like The Revenant, Spotlight and The Songs We Sang. But even with these excellent films I can always find a spot that doesn't quite sit right with me. With The Handmaiden, it is perfect; every frame handcrafted to perfection. Even with 4min of explicit sex taken away by my country's dumb censors, this is still perfect every way I see it.",/
1,5 August 2016,tenshi_ippikiookami,10, Just amazing,"""The Handmaiden"" is a crazily imaginative and beautiful movie by Chan-wook Park, who is at the top of his game in this story of a pickpocket that tries to steal the fortune of a naive, innocent rich woman that has been secluded in a mansion in the middle of nowhere. Of course, things will start to get complicated soon enough.",r
2,1 January 2017,claudio_carvalho,8, Classy South Korean Erotic Thriller Divided in Three Parts,"In Korea, the pickpocket Sook-Hee (Tae-ri Kim) is hired by the Japanese heiress Lady Hideko (Min-hee Kim) to be her personal servant. Hideko is supported by her Uncle Kouzuki (Jin-woong Jo) and the gold-digger ""Count Fujiwara"" (Jung-woo Ha), who is indeed son of peasants, wants to marry her to steal her inheritance. Sook-Hee is a small-time thief of the ring of the conman ""Count Fujiwara"" and is sent to help him in the confidence game. But soon Hideko and Sook- Hee get close to each other and become lovers. But Sook-Hee is pressed by Fujiwara to betray her friend. When Fujiwara marries Hideko, they go with Sook-Hee to an asylum and the nurses hold Sook- Hee believing that she is Hideko. Why Hideko poses of servant and leaves Sook-Hee in the asylum to stay with Count Fujiwara?",e
3,20 November 2016,Quinoa1984,8, will need a 2nd viewing. I mean that as a compliment (mostly),"The Handmaiden is a film that unfolds with a classic film stylist (in particular I felt like Chanwook Park was in a kind of Brian De Palma mode as far as making an erotic dramatic-thriller with a camera that luxuriates in long shots, elaborate camera movements, and cinematic grammar that emphasizes operatic intentions, though it's maybe not the first time he's done this anyway), and is LOADED with story. What appears to be the story of a handmaiden who is put in as part of a long con by a man who wants to steal this wealthy woman's money is actually a story about storytelling, about weaving a pack of lies and an entire personality and, in reality, how that can start to crack apart when it comes to seeing humanity in another person and their vulnerabilities.",v
4,22 July 2016,sossevarvo,10, Sublime cinema - like Hithcock with the extremity of Oldboy and the sexual candour of Blue is the Warmest Colour.,"I consider Park Chan-Wook to be among the greats of cinema, alongside Scorsese, Tarantino, Fellini, Truffaut, Coppola, Tarkovsky and Nolan. So I had huge expectations going in, and boy, they were met.",i
5,16 October 2016,videorama-759-859391,8, You gotta hand it to Park Chan-wook,"The Handmaiden is a beautifully told story in a beautifully shot film. Some of it's chosen exterior locations are so captivating and mesmerizing, you almost feel you're there, or wish you were. The actresses are beautiful and perform nothing short of excellent, the young girl (The Handmaiden) especially, such a professionally acted job. You'd expect more so sex scenes, that kind of left me a little downtrodden. The major lesbian one, amidst only a couple of others, in this near two and half hour piece, is one of the hottest and most explicit, I've ever seen, this one again, beautifully shot. The story involves a young girl, a new handmaiden, forced to defraud the wife of the husband, only the young girl falls for the wife, where the story kind of manipulates you, as to where the girl's intentions will lead, where revenge is thrown in too, as we go back in time to an earlier period, involving our young girl, and the wife, where we find ourselves returning to some old scenes, but with added stuff- purpose here. This is one you'd have to watch a couple of times to get the complete picture. Didn't understand the change in color of the subtitles, my only qualm. Acting by all is top notch, and our handmaiden is definitely something to ogle at. A handmaiden who's beautifully made. We too have some violence, and some humorous moments. Hopefully this film will command more attention from moviegoers in Adelaide, as here's one faultless cinematic experience, you should experience, and by no accounts, miss, as it will be your loss. The most impressive thing here though, above everything else here is the filming/photography from obviously a very talented photographer.",e
6,21 June 2016,wcoleparks,9, Park Chan-wook crafts another masterpiece!,"When going into a movie by one of your favorite directors, it is easy to set high expectations. Rarely does the film fully meet those expectations, but when it does it is something special. Such is the case with Park Chan-wook's The Handmaiden (Mademoiselle). He has crafted an intricately woven tale of love and betrayal that highlights everything he can do so well from heightened sexual tension to gorgeous imagery. ",w
7,30 July 2017,lee_eisenberg,10, there are places that you can't truly understand,"You may have heard Park Chan-wook's ""Ah-gah-si"" (""The Handmaiden"" in English) called an erotic psychological thriller. That's true, but the movie is more. It addresses relationships and abuse. Very well, I might add. I'm not sure how much of it I can describe without giving a lot away. I can just say that you have probably never seen anything like this. There's plenty of sex, but none of it gratuitous.",/
8,10 August 2016,BrendanMichaels,10, Blue is the Warmest Color + Oldboy = The Handmaiden,"Not the craziest film content wise, that award goes to The Neon Demon, but definitely the craziest film storytelling wise. Park Chan-Wook's The Handmaiden is almost as good as the film that put him on the map, Oldboy, and brings such ferocity and energy that it will be one of the most unforgettable films of 2016. ",r
9,22 January 2022,Xstal,9, Maid in Heaven...,"It's a slightly sordid affair, with plenty of flesh that's flayed and bare, but it is worth a look, it deploys quite a hook, to entice, to entangle, ensnare.",w
