Review_Date,Author,Rating,Review_Title,Review,Review_Url
0,20 September 2015,Ed-Shullivan,10, Imagine yourself as a 5 year old child discovering for the first time a brand new world exists outside of your room,"SPOILER: At the 2015 Toronto International Film Festival the film ""ROOM"" won the People's Choice Award today. It tells a story of a young woman and her five year old son who have been held in captivity in a confined and windowless living space for six years. Brie Larson stars as Ma and her son named Jack is played by Jacob Tremblay who is so believable that you will feel empathetic towards their captivity but relief as to how Ma convinces Jack that their little world is real and is wonderful. ",/
1,14 December 2015,Red-125,10," A brilliant movie, but painful to watch","Room (2015/I) was directed by Lenny Abrahamson. It stars Jacob Tremblay as Jack and Brie Larson as his mother (""Ma"")",r
2,8 November 2015,howard.schumann,9, A tense and compelling film,"Lenny Abrahamson's Room opens in a 10 x 10 room that has no windows, a locked door, and no light other than that provided by an overhead skylight. Jack (Jacob Tremblay), a slight five-year old boy with hair down to his shoulders wakes up each morning as he has all his life, saying hello to his world. He says hello, not to the sun or the grass outside his front door where he can run and laugh and play but only to the objects which is all his world consists of: the lamp, the sink, the plant, the refrigerator. His only friend is a mouse that he feeds with some pleasure.",e
3,19 December 2015,namashi_1,9, A Harrowing Film with Incredible Performances!,"Based on the novel of the same name by Emma Donoghue, 'Room' is a challenging, unsettling, harrowing film, that leaves you disturbed. But that is its sheer power. The Incredible Performances only add to the film's hefty nature.",v
4,2 February 2018,TheLittleSongbird,9, Claustrophobic beauty,"That review summary may sound very oxymoronic, but to me it applies to a film such as 'Room'. A film with a difficult subject, that is the stuff of nightmares, but tells it so beautifully with an interesting approach that works better than all the potential traps that films of its genre could fall under.",i
5,27 January 2016,bob-the-movie-man,9, Awesome film - shame about the trailer,"Room, based on the book by Emma Donoghue, starts on young Jack's 5th birthday. He gets a birthday cake from his mother (but no candles); a visit from his father; and a gift, albeit belatedly. This would all be perfectly normal except that all of this takes place within 'Room' - a confined space with only a single skylight for daylight and no means of escape. For the mother, Joy, was abducted as a teen and locked away for sex in the style of the dreadful real-life examples such as that perpetrated by Josef Fritzl in Austria. Jack is the (presumably) unintended result: a boy with no perception of the real world beyond his four single-sided walls and with the staunchly-held view that the things he sees on a flickering TV screen are in 'TV land' and unreal. Will Jack and Joy survive and ever see freedom again? ",e
6,6 January 2016,ryan-bfd,10, This one is gonna stick with me,"""Room"" is an adaption of an internationally best-seller novel written by Irish playwright and novelist, Emma Donoghue. This is her first book to be adapted into a major motion picture and I have to say that it is a rather impressive one. I have not read Emma's novel yet, but I can only guess that this movie sticks to the novel's roots, considering that Emma decided to write the screenplay herself. Room is a story about a women who was kidnapped during her high school years and locked in a shed for 7 years. She was impregnated by her kidnapper in this room and was locked inside with the child. The child grows up and around the age of five is when the movie picks up. Throughout this entire movie we are taken through this story strictly from the Jack's (the child) point of view. Even though this story is experienced through the lens of this child, the story is in no way filtered or gussied up. It is this intimate and raw story about a child and his mother spending a hugely relevant portion of their existence stuck in this dull, dirty and claustrophobia-inducing shed. This shed contained one small window that emits a tiny portion of daylight into the room. To me, this represented a light at the end of the tunnel. Sort of like a tiny glimmer of hope in a deep and dark abyss. Throughout this entire movie, Jack narrates his experiences as he embarks upon the world. Jacob Trembley portrays this character with such a sense of wonder and innocence that every single narration that I hear from this boy is just heartbreaking. Every time Jack takes away something from the world, he takes it in as something new and exciting even if it is scary. They are things that everyone takes for granted everyday: trees, dogs, the sky, etc. You would think that the dramatic climax would be at the beginning when Jack gets out of the tiny room he has been locked in his entire life, but after-wards, this film just drags in one dramatic scene after another in a way that turns this film into one big heartache an experience. I do have say that Jacob Trembley and Allison Brie's performances carry a lot of the weight of this film. Allison gives a very natural and organic performance. You never catch her overacting or being too stiff during any scene in this movie. Jack Trembley gave one of the most, if not the most, impressive performances of the year. Not just because of his age, but because of how well of a dramatic performance that he gives without over or underacting in any of his scenes. He seemed to take his role with a very adult-like seriousness that translated into a lot of the movie's themes of innocence that are chased by the persistent and harsh reality that Jack and his mother are facing. The directing and cinematography in this film are beautiful. The film's intense theme is complimented with a variety of out-of- focus and close up shots that highlight the child's immediate consciousness as he takes the outside world with fresh- eyes. Many of the scenes are also complimented by a beautiful and breathtaking film score composed by the award-winning Stephen Rennicks who has been crafting soundtracks in the indie film world since 1997. Overall, this is a film that I won't be forgetting for the rest of my life. Mainly because it is a film about escaping outside of the room that you have been stuck in your whole life and discovering a world that has been hidden from you. I know that sounds kind of cheesy but this film does it in the most grounded and intense way possible. Not to mention that it is dosed with themes of abandonment, human-kindness, and media exploitation. I don't usually give films a 10/10. As a matter of fact, I could probably count the films this year that I do consider 10s on one hand. The films I consider perfect are life changing in some way or benchmarks in cinematic history. While this film will probably be washed away by the ever expanding ocean that is cinema, it is not a movie that I will be personally ever forgetting. I can't remember watching a film that made me feel so grateful for just being alive.",w
7,17 April 2017,claudio_carvalho,8, Sensitive and Delicate,"Joy Newsome (Brie Larson) and her son Jack (Jacob Tremblay) live in a small room in a shed without windows and with only a skylight on the roof. When Joy has encounters with a man, Jack locks himself in a closet. When Jack is five years old, Joy tells him that she lived with her parents in a comfortable house and a man called Old Nick lured and kidnapped her seven years ago. Joy plots a scheme to let Jack flee from the room and call the police. When they are rescued, they move to the house of Joy's mother and they have to begin the adaptation to the routine of a normal life. But is it not easy.",/
8,20 September 2019,CubsandCulture,10, Jacob Tremblay gives one of the finest child performances of all time.,"There is a lot to admire about this film. The direction in the first hour and the final minutes, especially gets the most out of the concept and manages to make a 10 by 10 foot space seem like everything and eventually nothing. Likewise, the direction leaves much of the horror to the imagination and it is all the more chilling as a result. The screenplay is sparse and spartan in the way real life is around such horrific events. I like that several of the tensions in the story, i.e. grandfather's inability to deal with his grandson, are left unresolved. Finally Larson gives one hell of an understated, yet raw, performance that elevates the already strong material.",r
9,28 October 2016,kosmasp,9, Inside out,"But that title was already taken. Also Room is pretty accurate and hits ""home"" (no pun intended). But while I had no idea what I would get with this (apart from the title and the lead actress I didn't know one piece of information), most will go into this knowing what it's about. The general idea is explained fairly quickly, though the why of the closed space or rather location and the reason for staying might take a while to sink in.",w
10,2 January 2016,imdmt,10," Infinitely deep, an experience I will not forget.","*Insert all 9 & 10 reviews here* I was in awe during the entire film. Lenny Abrahamson & the writing team made sure there was not one dull moment. The addition of ""insignificant"" characters and plot twists are later realized to be so significant and influential in keeping the film alive throughout its duration. It was the little things that made this story one of the best I've seen in a long time. I experienced an entire palette of emotions all at once and was left in a deep level of curiosity and reflection. Very few films have the power to continue to influence its audience after the credits. Room is endless in the most beautiful way.",3
11,24 October 2015,mulandarkside,10, The best film I've seen in years: indescribable!,"I know one thing, I will never, ever forget this heartrending, unbelievably-acted 'movie' for the rest of my days. I'm just at a loss for words and struggling to describe how truly powerful and heart-grabbing this story was. I'll go so far as to say that if you don't cry, shed a tear, or feel the urge to weep profusely after (or while) watching Room, you don't have a heart. The mother (Brie Larson) and her son (Jacob Tremblay, 9 years old!) carry this entire movie. The beauty of Room is in its bare rawness, realness and universally relatable nature. What can I say? It tapped into something deep, deep, deep within me and just ripped my heart to shreds and had me in tears; sometimes tears of sadness, and other times tears of heavenly joy. It made me smile at times and even laugh. But most of all, it always had my eyes glued to the screen and my soul enthralled by what I was witnessing. This is one of the best, truly real stories ever told and one of the best uses of cinema I've ever seen. ...Try not to read much/anything about it before going in to see it (and yes, definitely catch it in a theater near you ASAP). Go in and be engrossed and moved (in ways I can't describe) by this experience. 10/10 *Hands down* the best film of 2015, and the single best thing I've seen in years. :')",3
12,21 August 2020,ivantheeditor,7, Incredibly real & disturbing. A bit slow though,"I really enjoyed this movie. Although it was a bit slow overall there were definitely a few moments where I held my breath. However, I feel like the movie should have focused more on the room and the escape instead of life after the escape. Once they got out it was quite boring. The movie should have just ended there IMO.",9
13,19 November 2015,JankiSharma,9, room is perfect,"Too many tears, too much sadness. Story of a teenager Ma kidnapped, raped and made a mom. And mom and son Jack locked in a room away from the world. Really sad when Jack said I don't want to be 5 I want to be 4. Even a 5 year old wants continued happiness in simplicity and in the arms of his only friend his own mother. He wants to be breast fed , he wants to shower with his Ma. He enjoys the only place he knows for his first 5 yrs of his life. There is no chaos from the real person he knows. Ma wants Jack to rescue them from the room. Life outside the room has its' own problems of tears, cries, fights.",3
14,16 September 2016,jamesthecat-67828,10," Beautiful, moving, intense","I haven't seen a genuinely emotional, smart, non-manipulative, heart- felt drama in a loooong time. Brie Larson deservedly won an Oscar for her performance in this, but Room should've swept the board in every category.",4
15,16 December 2015,fredf-67149,10, (Insert Expletive Here).... Perfect!!!!!,"Don't listen to the haters or those that want to chip away at the overall brilliance of 'Room'. What film doesn't have small flaws, they pale into insignificance during the 2 hours of continuous emotional maelstrom that follows. This film wrings every last drop of emotion and drama out of the allotted playtime. Make no mistake, despite short bursts of touching serenity, this films starts up full throttle and doesn't let-up. I can only assume reviewers here scoring this film 8 or less must be Vulcan by birth, or just terminally insensitive. This is a first rate drama with stand out performances all round. Especially from the child protagonist. ",1
16,29 January 2016,Turfseer,5, Disturbing abduction plot and subsequent redemption tale doesn't rise above the level of an average Lifetime Movie,"Room is based on the 2010 novel of the same name by the Irish turned Canadian novelist/playwright Emma Donoghue. The film has already garnered accolades from almost all critical quarters with heaps of approbation for its lead actress, Brie Larson. It's a rather uncomplicated story with a plot that is broken up into two distinct parts.",6
