Review_Date,Author,Rating,Review_Title,Review,Review_Url
0,16 August 2004,Quinoa1984,10," My third favorite Kurosawa film- deliberately paced (not painfully so), heavy on tragedy, and glorious in overall artistry","I would agree with Ebert's review on a point, that Akira Kurosawa, legendary director of such samurai classics as Seven Samurai, Yojimbo, Hidden Fortress, and Kagemusha, as well as human dramas like Rashomon, The Lower Depths, and Red Beard, could really best direct this film in his old age. There's something about his version of the doomed King Lear of Shakespeare, his Lord Hidetora Ichimonji that could be truly captured by someone in old age. Not to say that directors can't make great films when they're young, or in middle age, about a man in the dark days of the golden years (About Schmidt, Tokyo Story, Bob Le Flambeur, and Kurosawa's own Ikiru come to mind). But it's clear that Kurosawa must've seen or felt or understood at least an element of Hidetora's character, something that goes beyond tragedy that is stuck with all who are mortal. ",/
1,19 August 2010,Loving_Silence,10, The Best Film based on one of Shakespeare Best Works. This Masterpiece is recommended for anyone that loves movies . Truly one of the Greatest Films of all time!,"Akira Kurosawa's 1985, Ran, is based one of Shakespeare's greatest works, King's Lear. The Film proudly stands along with his other classic such as Seven Samurai, Yojimbo, Roshomon, Sanjuro and the Hidden Fortress. He is a master in the art of filmmaking, no one can film an epic battle scene quite like Kurosawa. This is recognized as the most expensive film ever made by Akira Kurosawa, it was at that time, Japan's most expensive film ever. Being at the age of 75, he still showed us, he's one of the best in the business.",r
2,26 July 2001,smakawhat,9, A film requiring patience with huge rewards for the viewer!,The 'Kurosawa' adaptation of King Lear in his film 'Ran' is a tremendous memorable film.,e
3,3 November 2005,zolaaar,10, Jester and Warlord,"'Ran' is the Japanese word for chaos, riot, dissension. Akira Kurosawa's masterpiece is indeed a feast of destruction and perdition, charged with symbols and powerful in pictures like it is found very rarely in today's cinema.",v
4,3 July 2009,murtaza_mma,10, Greatest rendition of a Shakespearean Epic,"Ran is probably cinema's greatest rendition of a Shakespearean Epic, ironically coming from an oriental film-maker. Adapted by Kurosawa from Shakespeare's King Lear, Ran undoubtedly features amongst the best works of the master auteur. It captures with sheer vividness and surreal resplendence, the true essence of human struggle for survival, highlighting the cruelties associated with life. Ran is strictly indicative of the sole consistency of life i.e. Change, an attribute that not only makes the humans vulnerable but also gives them the hope to rise after a fall.",i
5,13 April 2003,rbverhoef,9, Very well made,One of the last great films directed by Akira Kurosawa. A father gives his land and his power to his three sons. They turn against each other and against their father.,e
6,31 March 2004,Elendil87,10, The Greatest Shakespeare Film,"Throughout his career Kurosawa strove to achieve what he called ""real cinema"", proclaiming that ""in all [his] films, there's [only] three or four minutes"" of such quality. Many would argue that he was his greatest critic. For if not in ""Seven Samurai"", then definitely in ""Ikiru"" and if not in ""High and Low"", then definitely in ""Rashomon"" he must have achieved this plateau of greatness. Well, if not in any of his other films, then definitely in ""Ran"" Kurosawa finally came to the apex of cinematic artistry. With the both lyrical and grandiose tone of its craft, its beautifully spare imagery, its haunting score by Toru Takemitsu, and its lead Tatsuya Nakadai's masterful understated performance, ""Ran"" is perhaps the most fully realized epic ever made.",w
7,7 August 2001,Anonymous_Maxine,10," Sometimes, given sufficient objectives, even the people who are closer to you than anyone else can turn against you.","In another lengthy samurai epic, Akira Kurosawa approaches the boundaries between family members and the damaging affects of one of his rather common themes - reckless ambition. This is very clearly a Kurosawa film, a respectable trait that is most clear in the cinematography, in which Kurosawa uses many extensive shots with little to no camera movement, as well as the common natural setting, characterized by the far-reaching landscapes of sweeping hillsides. ",/
8,5 August 2009,Samiam3,7, Strong but Sloooooooowwww,"I am not certain, but I think Ran was Akira Kurosawa's last big feature. Visually, It might be his most distinctive. Being in color opens a lot of doors to cinematography, and makes it easier to see how much artistic creativity went into the sets and costumes. There is something else distinctive about Ran. It is his slowest picture. You need extreme patience to make it through this very long movie, and you also need to understand the context of the story.",r
9,30 December 2004,O_L_D_B_O_Y,10, RAN - A Classic Of Its Time And For All Time,"Based on Shakespeare's King Lear, this film follows the story of the aging warlord Hidetora who, in an attempt to restore peace, divides his kingdom between his three sons - Taro, Jiro, and Saburo - and retires from his duties. However, one of his sons sees this as unwise and is banished by his father, leaving his two brothers in charge of two of the three castles left in their hands. It isn't long before they are overtaken by greed and eventually betray their father, leaving him in the hands of a philosophical jester and a loyal retainer. This betrayal ultimately leads to war, dividing the family and driving Hidetora insane.",w
10,3 June 2005,FilmOtaku,5, Not as great as I thought it would be,"Realizing that it is practically heresy in the film world to criticize a Kurosawa film, much less downright dislike it, I'd like to precede my review by saying that I have absolutely loved every Kurosawa film I've seen  until now. ""Ran"", Kurosawa's 1985 film based somewhat on Shakespeare's ""King Lear"" is the story of an elderly emperor who hands down his kingdom to the oldest of his three sons. While the oldest and middle son fan over each other, saying that they are not deserving, etc. it is the youngest who speaks his mind about the subject, incurring the wrath of his father and ultimately, banishment from the area. Meanwhile, the two older sons are making a mess of things with the kingdom, leading to wars, fratricide and the dismissal of their father, even attempting his murder. None of their motives are noble or honorable, only avarice and power motivate them, leading to tragedy for all.",4
11,10 June 2012,TheLittleSongbird,10, Akira Kurasawa's take on King Lear,"I loved Kurasawa's Throne of Blood, and heard this was even better. And indeed it was, for me second only to Seven Samurai as his best film and one of the finest movies ever made. As with any Kurasawa film, it is superbly made with the camera work in look and technique masterly and the colour and period detail really sumptuous. The battle sequences are even more epic in scope and emotional impact than Seven Samurai, aided by the spectacle and camera work. The music is rousing and haunting, almost sometimes paying homage to Mahler, the script is literate and thoughtful and the story intensely moving. Add to that Kurasawa's ever immaculate direction and the truly remarkable lead performance Tatsuya Nakadai and you have an even more brilliant film. Rounding off is the truly Machiavellian performance of Mieko Harada as the daughter-in-law figure. The over-two-and-a-half-hour length and slow pacing didn't hinder Ran in the slightest, at least to me anyway, though some not used to Kurasawa's style may be deterred. In conclusion, there wasn't much I really could add to the wonderful reviews already, but I do think Ran is a superb film with much to admire. 10/10 Bethany Cox",4
12,17 July 2012,kluseba,4, Failure at the highest level,This movie came as a big disappointment to me. I really adore Japanese culture and history and I am a big fan of Asian cinema. I was looking forward to see a film that is considered as a masterpiece by many and has risen to world wide fame.,7
13,24 October 2016,Leofwine_draca,9, Kurosawa's late historical masterpiece is one of the best Shakespeare adaptations out there,"This was my fourth Kurosawa film and my favourite to date. Previously, I'd started off by watching SEVEN SAMURAI (a great film), then trying out KAGEMUSHA (which I thought was okay, but too constrained by budget). Next up was an early classic, RASHOMON, which was a fine human drama, and now comes RAN, Kurosawa's final historical epic and the film that he claimed KAGEMUSHA was a mere warm-up for. I can see that. RAN is an epic film, truly epic and one of the best-shot films I've ever seen. Every frame of the film seems to have been painstakingly composed and the result is a bright, colourful, and vivid production that fully brings to life the castles, costumes, and characters of feudal Japan.",9
14,9 July 2005,raistlin_lukas,10, Single. Greatest. Shakespeare. Adaptation. Ever.,Thankee kindly.,5
