Review_Date,Author,Rating,Review_Title,Review,Review_Url
0,22 February 2005,jotix100,10, Georgia on my mind,"This film shows the best of the American cinema. Whether we like the film, or not, one has to recognize the greatest achievement, perhaps, of the creative talent of the people working in the movie industry. ""Gone with the Wind"" represents a monumental leap, as well as a departure, for the movies, as they were done prior to this film.",/
1,21 October 2006,bkoganbing,10, Scarlett's So High Spirited And Vivacious,"Before I ever saw Gone With the Wind, I was well acquainted with Max Steiner's theme. It opened WOR TV's Million Dollar Movie before every broadcast in New York in the Fifties and Sixties. When my parents took me to see Gone With the Wind in one of MGM's re-releases as the film music started in my youthful eagerness to show off my knowledge I remarked to all who could hear that that was stolen from Million Dollar Movie.",r
2,5 August 2006,planktonrules,10, About as good as it gets in 1930s Hollywood,"I've done so many reviews on IMDb and despite this, I can't believe I never reviewed this super-famous film. Well, much if this is because with so many reviews, I truly doubt if anyone will ever read this! I was surprised that when I perused the reviews, there were quite a few knuckleheads that gave the film a score of one!! While I do agree that the film is rather dated in the way it deals with minorities, it is truly insane to trash a film just because it offends your easily damaged sensibilities. One person even compared the film to PLAN 9! Come on, folks,...this is an amazing film. And what makes it even more amazing is that the film had several different directors because producer Selznick was so difficult to work with on this film! And, despite this, the film wins (among many other awards), the BEST DIRECTOR Oscar! While I do think that many Oscars should have been earned, giving it to just one man seemed pretty cheeky! Despite this, this is a magnificent sweeping spectacle about the South--but even more about a selfish beauty who ultimately creates chaos of her decent life. Magnificent, well-acted and memorable--this is one of the greatest films of all time.",e
3,12 June 2020,Turanic,10, The tragedy of Scarlet the wise 2020 review,"At first you would think, the main theme of the film is the horrors of war and the idea that both sides suffer , but that is not the only case in ""Gone with the Wind"", the war is just a background...
Scarlet lives almost her entire life in an illusion of love... She has a target she want to achieve and she thinks if she achieves it she will be happy, while missing the point on the way to that target... Something that I realised on a 2nd viewing is that Scarlet is a pretty selfish person with sociopaths behaviour. She can easily manipulate men and sometimes women in order to achieve her goal. She can kill a person and not feel that bad about it,she can exploit prisoners rather than hire free men. The goal is what pushes her forward and sometimes makes her do good things, but these deeds are never done out of big heart, they are usually done in self interest. You would think she ends up achieving everything she wanted, but she does not. Scarlet lives in a personal hell which partially she created herself and only when the last obstacle to her big love, the female friend that loves her is gone, she realises that all this time, she lived the illusion of love, she was hurting the people that loved her. Is scarlet a horrible person? Probably... Does she pay for her sins? She does more than anyone... Does she understand what true love is? Yes in the end she does... What makes this film so great, it's a tragedy like ""War And Peace"" with monumental character development ...Any scenes of war and racism fade compared to the tragedy of Scarlet which lives in personal hell...",v
4,29 September 2020,Xstal,9, A Tempestuous Hurricane of a Tornado...,"When a film is consistently recognised through the wisdom of the crowd, over so many years, as being great and epic and, for the duration of that film to run close to four hours - it really does suggest something a bit special. That something a bit special is a timeless story set during some of the darkest times in American history but it isn't the setting that makes this special, it's the story, the story of a cruel, selfish and manipulative opportunist performing her craft to perfection, it's the story portrayed through one of the greatest cinematic performances the world of movies has ever seen. While the leading man and the supporting cast are outstanding, you walk away from this with only one person holding and controlling your thoughts, just like the character she plays, just as she does through the whole of the picture - the incredible and sublimely talented, the beautiful and vivacious, the tempestuous hurricane of a tornado that is Vivien Leigh. Setting the bar so high it remains unparalleled, even to this day.",i
5,8 July 2011,murtaza_mma,10," A Potpourri of Vestiges Review: An American magnum opus which must be watched and often, and by those who understand cinema","Margaret Mitchell's Gone with the Wind, in its true essence, is a case study on the Old American way of living where pride and honor were the very essence of human existence. Victor Fleming's rendition of the classic novel, a classic within its own right, does full justice to the themes propagated by Mitchell's evocative masterpiece. In the words of Mitchell herself, Gone with the Wind is the story of the people whose gift of gumption gave them a definitive edge to endure the tribulation and throes of the American Civil War vis-à-vis those who lacked an inner resolve and determination needed for survival.",e
6,30 March 2022,PCC0921,9," Margaret Mitchell won the Pulitzer Prize for her novel on May 3rd, 1937","The year 1939 was a busy year for the Hollywood industry. Large-scale, majestic epics were front and center that year. You should look up the list of films released in 1939. It was a very, busy year, with huge titles from the golden age. Lots and lots of entertainment for a pre-WW2 audience. The Wizard of Oz (1939), Stagecoach (1939), Son of Frankenstein (1939), Drums Along the Mohawk (1939) and this little film, are just some of the titles on that list. Everyone was competing for perfection in the film industry. The first two hurtles, being sound and color film, had been implemented into the technical side of the filmmaking process, to this point in film history. Technicolor had been utilized for, about, five years to this point and it was perfectly utilized in this film too. Technicolor always was a good film stock, rich with colors, that pop on the screen. Head cinematographer, Ernest Haller's camera, captures images, not seen before on film and blazes colors across the screen, in Gone With the Wind (1939).",w
7,19 March 2012,ElMaruecan82,10, A universal masterpiece and one of the few privileged films where every scene is a classic on its own ...,"For some nostalgic dreamers, ""Gone With the Wind"" is a glorious swan song depicting the fall of the South during a devastating Civil War, and its reconstruction on the ashes of the Old Order, a Civilization forever ""gone with the wind"". It's the adaptation of Margaret Mitchell's epic tale written in bold letters with this peculiar ability to portray the Yankees as the 'bad guys', so common in the stories related by Southerners, as they invite us to understand their idealism if not to root for it: a vision of Gallantry and Old European Nobility where women were courted, wives were submissive to their husbands and slaves treated with paternalism.",/
8,15 December 2019,IshtiaqAhmed,10, Miracle in Film Making - Can't believe they did it in 1939!,This movie was on my watch list since 1996 or 1997 when I read its review in a local newspaper. I though it must be a dull movie as it is very old and procrastinated to watch until Dec 2019.,r
9,26 April 2008,Nazi_Fighter_David,9, A rich romantic film...,"Gerard O'Hara (Thomas Mitchell), an Irish immigrant, settles in North Georgia and becomes a prosperous plantation owner By great luck he marries young Ellen Robillard (Barbara O'Neill) of Savannah, the daughter of one of the noblest Georgian families and becomes accepted by his aristocratic neighbors They are blessed with three daughters, Scarlett (Vivien Leigh), Suellen (Evelyn Keyes), and Carreen (Ann Rutherford).",w
