Review_Date,Author,Rating,Review_Title,Review,Review_Url
0,20 April 2009,ccthemovieman-1,10, Great Paintings Come To Life,"Some movies - I wish there were more of them - simply look like a series of great paintings. This film has that look. You could freeze-frame many of the scenes and swear you were looking at a Gainsborough, a Vermeer, a Hogarth or similar work of art by one the great artists of three to five centuries ago. It's just beautiful.",/
1,11 March 2002,Spleen,10, I can't believe that there are people who find this dull.,"In fact it's one of Kubrick's most gripping pictures, with a narrative drive second only to that of ""Dr. Strangelove"" (and it's unquestionably a more glorious creation than, say, anything he made in the 1950s).  English director Michael Powell (while attributing a similar failing to one of his own works) says that Kubrick fell into ""the trap of the picturesque"", but while I admire Powell as a creator, the judgment is absurd: at the VERY least, each lush image shows us people not just occupying a part of the screen but inhabiting a world, and tells us much about their relation to that world.  Many shots are indeed amazing and beguile the eye, but they don't have the effect they do simply because they would make nice postcards.",r
2,18 May 2007,Galina_movie_fan,10," "" good or bad, handsome or ugly, rich or poor, they are all equal now"".","The beauty, the depth, and the mystery of this film are unsurpassable - what Kubrick was doing with light is just a miracle. Special lenses were designed to shoot interiors and exteriors in natural light. In one scene Barry (Ryan O'Neil) was having a dinner with a German woman who was feeding her baby and the candle light made the whole scene look like a Caravaggio's painting. This is just one of many scenes. Each of them is perfection and harmony. Costumes and sets were crafted in the era's design. Age of Enlightenment with its gallantry, wars, and duels, had been recreated in the film with the precision of the celebrated landscape and portrait masters of the period such as Thomas Gainsborough; Sir Joshua Reynolds, founder of the Royal Academy of Arts; George Romney to name just a few. If nothing else, watching BL is pure aesthetic delight - and there is one man who responsible for it, Stanley Kubrick. If ever divine film was made, ""Barry Lyndon"" was it and Kubrick could've quoted the Bible - ""God looked at everything he had made, and he found it very good"".",e
3,3 November 2004,Captain_Couth,10, The World of Stanley Kubrick: A young rapscallion makes good in 18th century Europe.,"Barry Lyndon (1975) has to be Stanley Kubrick's most realized project that he has ever taken. A big task for the maverick director. For a film like this to be made during the free wheeling seventies had to take some big stones. One must admire Mr. Kubrick for even trying to produce and direct such a complex and expensive film that had all the ear markings of a financial and personal disaster. Not only did Kubrick manage to out do his last epic ""2001"" but he has created a movie that not only showcases the untapped acting abilities of Ryan O'Neil, but a beautifully lensed film that uses minimal lighting , gorgeous sets, perfect balance, positioning and meticulous timing. I have never seen such a magnificent film such as this one. Every shot and frame plays out like an eighteenth century oil painting.",v
4,18 December 2004,TBJCSKCNRRQTreviews,10," A tale of love, war and power","While this is, in my opinion, not the best of Kubrick's films, it is in no way a bad film of his... some have claimed it is overlong and dull, but I don't think so. From what I've heard, it does the novel justice, and I believe that is what Kubrick went after, more than anything else. That is admirable, for a man who throughout his career was known for making unfaithful film adaptations of famous and popular novels, much to the dismay of the authors. The film perfectly presents everything from the time period in which it takes place... something that few, if any, other films have accomplished. It deals with the life of Redmond Barry, his ups and downs. The first half has us feeling sympathy with him, and shows his rise to a high position and gain the name Barry Lyndon, and everything that entitles. The second seems to turn us a little more against him, as he goes through the expected downfall that must always follow an unexpected rise to high life. Through the film he gets desensitized and careless. We follow him through most of his life, and an uneventful one it is not. As all other Kubrick films, the visual side is probably the most prominent one of the film, as he grants us several long looks at the beautiful sets and locales, and there are more than a few of his trademark shots slowly zooming out from the focus point to display the surroundings. The plot is great, and almost constantly developing. It is narrated with a good sense of irony and clever social satire on the time period. There's plenty of humor in the film to make the three hour run-time seem less long. The pacing is good and thorough without the film being slow(though I do admit that it isn't a film for those who are not used to long, visual films). The characters are well-written and credible. The acting is excellent all the way. Not even the child-actors seemed less than perfectly convincing. The costumes and sets are great. From what I understand, there is no detail in the film that is even slightly historically inaccurate. That is quite impressive for a film that takes place about a century and a half before it was made. I have heard of great deals of work done to keep many films accurate, but I don't believe one exists that manages to do so with such perfection as this. Even the very language that they speak is accurate. The special effects in the film also deserve mention here... for a film that is almost thirty years old, it's impeccable how believable and convincing the effects are... I couldn't tell how most of them were done. Kubrick was indeed one of the most brilliant directors ever... he was not only a master at his craft, he was also one of the most innovative and inspiring film-makers to have ever lived. I recommend this great piece of cinema to anyone who has an interest in the time period the film is set and any fan of Stanley Kubrick. Don't miss this one. Not his greatest, but a truly great one nonetheless. 10/10",i
5,6 February 2002,DennisLittrell,10," Lavish, engrossing, picaresque","(Note: Over 500 of my movie reviews are now available in my book ""Cut to the Chaise Lounge or I Can't Believe I Swallowed the Remote!"" Get it at Amazon.)",e
6,24 January 2005,KimotoCat,10, A film so easily dismissed,"In the midst of the many wonderful films made by Stanley Kubrick, it is strange to note how rarely people mention ""Barry Lyndon"".",w
7,21 August 2021,TheAnimalMother,8, Death Or Glory - Just Another Story,"In terms of story this is on the surface at least, the simplest thing Kubrick ever made. However in terms of the technical aspect, it must have been one of his most challenging. The plot is basically about how greed, arrogance and ignorance can easily become the ruin of a man. The story itself is well told, but mostly quite simple as I said. The humor keeps us interested in the story, as does its undeniable visual beauty. It is not a stretch to say that this must be among the most beautiful looking films ever made. Every scene is filmed in all natural light, whether it be by sun or fire, and the landscapes and architecture handpicked by Kubrick himself are amazing. As in all Kubrick films, so much attention to small details equates to a great result in the end. Spielberg himself has called this film ""possibly the most beautifully shot film in history."".",/
8,14 August 2003,Angry_Arguer,10, The Camera and the Stage,"When I was in high school, it was considered ""cool"" to watch Stanley Kubrick movies as they were seen as ""more enlightened forms of entertainment"" over stuff by Steven Spielberg and John Hughes.  If you didn't memorize the opening speech to Full Metal Jacket or hadn't seen Nicole Kidman in Eyes Wide Shut then you were rejected from the clique.  This was at the time when I was first viewing Kurosawa's Rashomon and Ran and accidentally came across this gem.  Sure, the rest of the gang would be quoting along with Alex DeLarge in A Clockwork Orange, but not one of them would dare sit down and watch this or 2001: A Space Odyssey.  Fools.",r
9,26 November 2017,jamesrupert2014,10, Magnificent costume drama from a master director,"""Barry Lyndon"", William Makepeace Thackeray's tale of the rise and fall of young Irish ne'er-do-well Redmond Barry in late 18th century Europe is brought to the scene by legendary auteur Stanley Kubrick. The cinematography is outstanding as Kubrick was experimenting with a number of high-aperture lenses originally developed for NASA to allow filming in minimal light, allowing him to shoot candle-lighted interiors in ambient light. There are also extremely long-distance wide-angle shots of the English countryside and long-distance pull-back zoom shots. There was some criticism of Ryan O'Neil's limited range as an actor when tasked to play such a complicated and central character and the long film (184 min) moves at a very languid pace (ultimately, not a lot happens), but I found the story interesting and the character development superb. Overall, ""Barry Lyndon"" is a beautifully crafted 'costume drama' and if a bit of patience is required to see the story through, it is well rewarded.",w
