Review_Date,Author,Rating,Review_Title,Review,Review_Url
0,6 October 2020,Xstal,8, Guilty Until Proven Innocent...,You're left wondering how many people over the years have been through the legal system in the UK and have been framed by those we place the ultimate trust within. It really does shake your confidence in a system and the people responsible for implementing it. Daniel Day-Lewis and Pete Postlethwaite bring this story to life with two magnificent performances and allow you to forgive those slight variations that misalign with actual events.,/
1,29 March 2001,Howlin Wolf,10, Stunning.,Words cannot accurately describe how affecting this movie is.,r
2,2 September 2005,jcanettis,10," Extremeley Powerful, With Superb Performances","A film fully deserving to be in IMDb's top 250, Jim Sheridan's ""In The Name of the Father"" is an excellent piece of work. Based on a true and very touching story, the film recounts the story of Gerry Conlon (Day-Lewis) who is wrongly accused as an IRA terrorist. Not only are the police bending the facts to prove their case, but in the process they also implicate members of his friends and family, including his father Giuseppe (Postlethwaithe) whose health condition is rather frail. Gerry is a rebellious and mildly delinquent boy who does not seem to have grown up, and his attitude toward his father is not the appropriate one; however, as they start to go through the ordeal together, Gerry gradually matures, and starts feeling a deep affection and respect for Giuseppe.",e
3,9 August 2002,Theo Robertson,7, Innocence Is Not An Absolute,"Like MIDNIGHT EXPRESS , IN THE NAME OF THE FATHER is a an extremely well made film , but like MIDNIGHT EXPRESS much of it is total invention . Reviewers on this page have already pointed out the numerous errors such as Guiseppe and Gerry Conlon never being imprisoned in the same jail or the "" Guilford four "" and "" Mcguire seven "" trials taking place in completely seperate court cases but no one seems to have pointed out the erroneous backgrounds this film paints of Gerry Conlon and Paul Hill. In their book THE PROVISIONAL IRA authors Patrick Bishop and Eamon Mallie state the facts quite clearly that Paul Hill was a member of the Belfast brigade of the provisonal IRA ( And Hill later did confess to being a member ) while Conlon had been a member of Na Fianna Eireann which is the youth section of the provisionals though Conlon was quickly kicked out ( Literally ) due to his heavy drinking and drug taking . They didn`t meet on the ferry as shown in the film but Conlon bumped into Hill in Southampton where Hill was staying . What was Hill doing in Southampton ? He was on the run from the IRA who wanted to question him about guns going missing and about the possibility of Hill being an informer , something that is always punishable in IRA ranks with death and prior torture . When Conlon returned to Belfast in December 1974 he did drunkenly mention to IRA acquaintances in pubs that he`d met Hill in England and in order to punish Hill for his suspected crimes against the organisation and to take the heat off their own cells active in Britain at the time it was the IRA themselves who deliberately leaked the false information to the intelligence services about Conlon and Hill being involved in the Guilford bombings , not as the film shows a jealous boyfriend . Hill was also later found guilty of the murder of a former soldier though is never shown in the film and it`s this playing hard and loose with the facts that almost threatens to destroy the film . It could have been worse though , there might have been the suggestion that the bombing could have been a mass suicide ",v
4,14 August 2006,JamesHitchcock,7, In the Name of the Father- and of the Son,"Although considerable liberties have been taken with historical facts, this film is based upon true events. In 1974 an IRA bomb in a pub in Guildford, England, killed several people. Four young Irish people (""the Guildford Four"") were convicted and sentenced to life imprisonment. Several others (""the Maguire Seven"") were convicted of assisting them and sentenced to lengthy prison terms. All were innocent of this crime, and were later exonerated and released from prison when fresh evidence was discovered, particularly evidence that their confessions had been obtained under duress.",i
5,9 April 2015,gavin6942,8, History and Court Drama,A man (Daniel Day-Lewis)'s coerced confession to an IRA bombing he did not commit results in the imprisonment of his father as well. An English lawyer fights to free them.,e
6,5 October 2005,michelerealini,9, Disquieting great film,"The movie is based on a true story. Belfast guy Gerry Conlon is suspected of being one of the IRA terrorists responsible for a bomb in Guilford, London, in 1974, which killed several people. He spends 15 years in jail, fighting for his innocence and for truth.",w
7,1 January 2005,philip_vanderveken,8, Perhaps a bit too black and white but still very impressive.,"Even though this movie seems a bit too black and white from time to time I must say that it still is an impressive piece of cinema. Too black and white because I sometimes had the feeling that they had left out some parts to make it all a lot easier for the viewer. I can't help believing that Conlon and Hill weren't the nicest guys either, but the movie shows them almost as saints (except for the fact that they steal some lead from the roofs, they never really do anything wrong). Does that mean that this movie isn't any good? Certainly not! It still remains very impressive and the idea that injustice in the name of protecting the country should be allowed is awful and so it is good that at least some movie makers aren't afraid to protest against it.",/
8,31 July 2013,evelyn_illa,10, Some Reflections On My Country,"(English is my second language, so please excuse my language problems:)",r
9,7 January 2008,gcd70,8, Will stir your soul and disturb you,"In 1974 a London pub in the town of Guildford was hit by I.R.A. activists with a terrorists bomb, and no warning was given. Five people were killed and several others maimed and injured in a tragedy which sent shock waves through a then terrified and outraged public who demanded police bring the culprits to justice.",w
10,18 February 2007,TOMASBBloodhound,8, Terrorism hurts everyone.,"In watching this fine film, on idea kept running though my mind. That being terrorism often hurts the innocent much more than the declared enemy. In the Name of the Father is a powerful, well-acted drama about terrorism and injustice. And also the love one man feels for his father. Some of the events in this film are factual, and others are not. Despite some liberties taken with history, the film still makes a strong point, however.",1
11,3 April 2020,bevo-13678,10, Gripping,Powerful drama. I like the bit where they cooked and ate all those sausages o,2
12,16 December 2014,SnoopyStyle,8, Incredible father and son story,"It's 1974. The IRA bombs a pub in Guildford, England. Gerry Conlon (Daniel Day-Lewis) is an aimless petty thief. His father Giuseppe (Pete Postlethwaite) is a straight-arrow soft-spoken man. He and his friend Paul Hill (John Lynch) are in London staying with hippies. They leave the flat when the pub bombing happens. A prostitute drops her keys and Gerry breaks in. The parliament passes the Prevention of Terrorism Act which allows for suspects to be held for 7 days. Gerry, Paul and others are arrested and coerced into false confessions. Giuseppe and other relatives are also implicated. The actual bomber Joe McAndrew (Don Baker) is arrested and tells the police. However the police refuses to admit its mistake. Gerry befriends Joe in prison while ignoring the peaceful faith of his father. Joe becomes the leader of the prison as Giuseppe declines in health. British attorney Gareth Peirce (Emma Thompson) works to free the falsely imprisoned. After Joe burns the lead guard, Gerry saves him and turns on Joe.",0
13,30 December 2007,dead47548,10, A powerful story with one of the best performances of all time.,"An emotionally wrenching and immensely powerful true story of an innocent man who is put in prison for fifteen years, after being forced by interrogators to sign a confession out of the threat that they'd kill his father if he didn't, and this man's fight to clear his name and his father's. Due to an incident with the IRA, Gerry Conlon (Daniel Day-Lewis) moves to London and after a chance opportunity to rob a prostitute he returns to his home in Belfast, coincidentally the day after a huge bombing committed by the IRA in London. His best friend, who was with him that night, Paul Hill is arrested and after being forced to confess with a gun in his mouth he lists Conlon and two other friends as members of the IRA. Now known as the Guildford Four, these innocent people were all sentenced to very lengthy jail sentences and, after painful torture, the government plants false accusations on members of Conlons' family including his father Giuseppe (Pete Postlethwaite). Gerry has to deal with pent-up aggression that he has built up against his father for years while also trying to survive in a British prison as an accused IRA member.",0
14,27 August 2013,planktonrules,9, Well worth seeing...but I'd sure love to see a follow-up,"I am not British nor am I Irish. And, as far as 'the troubles' go, I don't have a very strong opinion one way or another. A lot of crazy stuff went on for so long and there's so much guilt, it's hard to take a side--though I sure hate the idea of terrorism. So, I am not a person with a dog in the fight, so to speak. I just thought I'd mention this so you don't think I had a particular stake in the film.",2
15,10 October 2006,ccthemovieman-1,6," An Involving, Sometimes Brutal Story","I might have rated this higher had Emma Thompson had a bigger role. I am a fan of hers, plus I think most people would agree she's an excellent actress, so it was disappointment to see her appear much until the last 15 minutes of the film. That's especially misleading when she gets second or third billing in this movie.",1
