Review_Date,Author,Rating,Review_Title,Review,Review_Url
0,2 February 2017,A_Different_Drummer,10, could be the greatest love story of all time,"In truth, the most competitive area of fiction is not invasions from outer space or talking dogs or impossible missions but rather the most basic narrative of all, the love story.",/
1,9 December 2016,TheLittleSongbird,10," Once seen, never forgotten- truly magnificent","'Your Name' is not just one of the best animes in recent years (and there have been some very good ones), but one of the best animes ever from personal opinion.",r
2,8 February 2018,jbbianchino,10, Forget Disney! We have movies like Your Name.,"Your Name is just a good movie. This movie felt long, but not too long. All the way through, I was asking what would happen next. It was clever, emotional, and left me crying after the movie. The twist was done really well, and I almost wanted to pause the movie. Also, the animation is gorgeous. You get to see detailed images from many angles and perspectives, and there were hundreds of animators! The credits didn't start out with the cast like it usually would. The first thing you saw after a black screen was hundreds of names of animators and designers. I watched this movie again and I still felt my muscles ready to let tears out. I would not recommend this movie any less than the next guy, so what are you waiting for? Get a couple of friends and watch Your Name!",e
3,10 November 2017,Tweekums,10, Your Name,"This delightful Japanese animation follows two strangely interlinked lives; Mitsuha, a high school girl living in a rural area of Japan, and Taki, a similarly aged boy in Tokyo. They have never met but they somehow start switching places in their dreams. At first each thinks they are having strange but very realistic dreams but the following day as the 'dream' fades they are surprised when friends and family tell them that they had been behaving oddly the day before; not recognising anybody and not knowing where they are meant to be then each finds a note from the other. They continue to swap days until suddenly it stops Taki can't recall many details but he has a memory of the place Mitsuha lived and is drawn to find her. Armed with a sketch of the location he finds the village and learns a shocking truth it had been destroyed in a natural disaster three years previously and Mitsuha was amongst the five hundred people who died! He is determined to find a way to swap places again so he can save her.",v
4,27 November 2016,SpoilerAlertReviews,10," Cosmically enchanting, touching and visually beautiful.","It's been a while since I've seen something outside of Studio Ghibli, being the most recent When Marnie Was There. I'm not familiar with Makoto Shinkai's work but this certainly encourages me to watch the rest of his catalog. ",i
5,16 May 2017,planktonrules,9, You wonder HOW the Academy didn't nominate this lovely picture...,"A few months ago when they announced the Oscar nominations for 2017, I was very surprised to see the French film, ""The Red Turtle"", among the nominees for Best Animated Feature. After all, this strange film featured a plot involving a man who falls in love with a woman who used to be a turtle.and has also earned less than a million dollars at the box office worldwide. At the same time, the Japanese animated film, ""Your Name."", earned over $350,000,000setting box office records throughout Asia for a Japanese animated movie. It has even earned more than any of the films from the terrific Studio Ghibli.home of the legendary Hayao Miyazaki!",e
6,30 October 2020,Xstal,8, As Deep as the Mariana Trench...,"... and as intricately woven from an abstract and mysterious loom. Using spectacular animation to draw in the viewer and steal their attention this story of finding love, of finding it in yourself and others, may well have you occasionally scratching your head. Don't worry, you're not alone, but there are plenty of resources online that can help you recompile what you've just consumed in order to make more sense of this beautiful, enchanting and imaginative Japanese composition.",w
7,10 September 2016,malcydon,10," Yes, yes and yes!",Absolutely fantastic! Recommended for everyone.,/
8,9 September 2016,itsnemra,10, I am speechless.,"So the movie is named ""Your name?"" and its a perfect title, it doesn't reveal anything about the content and yet it caught my interest. I tend to watch animated movies because they have so much more to offer at the same time it is a tougher competition.",r
9,25 September 2016,yuschaa,9," What seems to be a silly premise evolved into something even more trifling. But with its unbearable charm, it worked astonishingly well.","Your Name (Kimi No Na Wa) tells the story of two teenagers with vastly different backgrounds. One is a boy who lived in Tokyo and has the word ""city"" described all around him. One is a girl who lived in rural town far from technology and anything interesting. One morning, somehow, they found out that they have swapped bodies. Together, they must help each other find solution in daily life problems, and solve the mystery of the reason why this whole conundrum started.",w
10,1 April 2019,muknenesti,9, Unforgettable,May I ask you a favor?,5
11,3 October 2016,kevinxip,10, One of the Greatest movies i watched in my entire life.,"I have followed Makoto Shinkai's older works and most of them really have a bad ending, though still good, but this movie's sweet. He really know how to play with our emotion, especially for his work's fans who have followed his works, i'm hoping its not a bad ending during the entire movie.",4
12,11 August 2016,DoubleCshinobi,10, Phenomenal,"Kimi no Nawa is up there with the quality of work Studio Ghibli makes. It's a journey in a world breathing with atmosphere, mystery, and visual wonder. A journey about growth and resilience in the face of overwhelming odds. A journey about human emotion that transcends space and time, as we watch our two protagonists struggle relentlessly against fate. A journey that might just be one of the most captivating anime movie experiences I've had in years. ",5
13,12 March 2018,Pjtaylor-96-138044,8," Wistful, poignant and ultimately uplifting; beautifully animated and wonderfully inventive.","There's a distinct and slightly jarring protagonist switch just far enough in for you to really notice it, but it's a testament to 'Your Name (2016)' that - though it could have been ironed out relatively easily with some structural smoothing or a slightly simpler two-handed approach - this is perhaps its only real issue and it isn't even all that detrimental, considering that it allows us to develop a proper emotional connection to both leads from an internal perspective, actually mirroring the fantastical conceit driving the beautifully animated and wonderfully inventive narrative. The piece is a joy to watch and takes a number of turns that are genuinely unexpected. It's a wistful, soulful and poignant experience that's also an entertaining and, ultimately, uplifting one. It does seem to say something quite profound while always managing to delight and mystify with its deftly handled story and properly stirring themes. 8/10",0
