Review_Date,Author,Rating,Review_Title,Review,Review_Url
0,18 June 2004,Galina_movie_fan,10, 'The human face is the great subject of the cinema. Everything is there',"When talking of Bergman, critics and viewers usually name Wild Strawberries, The Seventh Seal, Cries and Whispers ahead of Persona. While those films are all amazing and stay very high on my list of all time favorites, for me, the truly unique and inspirational s 'Persona' - Bergman's enigmatic masterpiece.",/
1,21 April 2005,gftbiloxi,10, A Masterpiece,"PERSONA may well be Ingmar Bergman's most complex film--yet, like many Bergman films, the story it tells is superficially simple. Actress Elizabeth Volger has suddenly stopped speaking in what appears to be an effort to cease all communication with the external world. She is taken to a hospital, where nurse Alma is assigned to care for her. After some time, Elisabeth's doctor feels the hospital is of little use to her; the doctor accordingly lends her seaside home to Elisabeth, who goes there with Alma in attendance. Although Elisabeth remains silent, the relationship between the women is a pleasant one--until a rainy day, too much alcohol, and Elisabeth's silence drives Alma into a series of highly charged personal revelations.",r
2,18 May 2019,dromasca,8, the enigmas of 'Persona',"'Persona' is one of the most enigmatic movies in the history of cinema. Those who read the chronicles written right after the 1966 release of the film or the articles dedicated to it in the books of cinema history will encounter as many interpretations as authors. The same happens if we read the opinions written by film lovers on sites like IMDB, or we discuss the film between us. Ingmar Bergman had the inspiration not only of not talking a lot about this film (even less than about his other films) but he also avoided sharing too much of his personal thoughts or ideas even with the actresses or the other members of the production team. The result is an enigma. Each of us who sees or sees again this movie has his own Persona'.",e
3,25 November 2019,davidmvining,10," Complex, beautiful, and difficult. It's also incredibly worthwhile.","Four-fifths of the way into my second viewing of Persona within a week, I placed my hands on my head and exclaimed, ""I got it!""",v
4,22 February 2005,nycritic,10, Who Am I?,"When I viewed PERSONA recently, I didn't know what exactly to make of it: what was it telling me, what was its intentions, its ultimate meaning. Not being a conventional director by far, I felt that Bergman had deliberately left all this 81 minute of storytelling to me to figure out... and I may have been right, but I either wasn't getting it or this was too much of an abstract film to merit any analysis, so my review was at face value and even ended with the sentence ""this is exactly how Bergman wants it."" Seeing it later more emerges, and the deeper story takes place even if it still seems linear: Elisabeth Vogler (Liv Ullmann) loses her speech midway through Electra and will not speak again (except once throughout the entire film, and in an imagined sequence). There is no apparent reason as to why she has lost her speech, and the only hint is the horror she witnesses on the television as war, genocide, and destruction rage on. Other than that it is never alluded to, her muteness.",i
5,5 September 2012,TheLittleSongbird,10," A brilliant film, but is not for everybody I don't think","I can understand the viewpoints of those who loved and were moved by Persona and those who were confused or frustrated by it. I personally love it, but I was underwhelmed by it first time. Persona is definitely not the most accessible of Ingmar Bergman's films, Wild Strawberries and The Magic Flute were much more in that regard, and it is also not an easy film to talk about or review. I have seen those who didn't like Persona finding that the story structure is disjointed. In a way it is, but what also made it fascinating in my view was how it explored the nature of art and reality in an ever thought-provoking(by Bergman standards) manner. Sven Nykvist's cinematography is fantastic, the melting frame was an interesting and well-done technique here, as is the scenery, and it is not a Bergman film with a memorable image or two. Persona definitely has those, with the disturbing and somewhat daring images at the start, the immortal image of the two main characters' faces becoming an entity and the more retrospective one with Alma reminiscing with the sexual encounter. The score is hauntingly beautiful, and the way it's written Persona comes across(like Cries and Whispers) as emotionally complex, somewhat disturbing and very moving, and as ever thoughtful also. The inclusion of off-screen voices are well-incorporated. Bergman's direction I cannot fault, and it's the same with the two leading ladies. Liv Ullman proves that a performance where actions and gestures speak louder than words can still move you, and she does that splendidly. But for me it is Bibbi Andersson's film, she is just heart-breaking in her loyalty and compassion. Overall, a brilliant film but understandably not the easiest of films to watch or review. 10/10 Bethany Cox",e
6,12 April 2008,ackstasis,7," ""Your hiding place isn't watertight. Life trickles in from the outside, and you're forced to react.""","Ingmar Bergman's 'Persona (1966)' opens with a bewildering montage of sounds and images, a frenzied newsreel of sex, death, cinema and comedy. The sequence is so far removed from my previous experience with the director that its effect is jarring, shocking; I momentarily wondered if I'd hit a wrong button and started playing Buñuel's 'Un chien andalou (1929)' by mistake. I question Bergman's motives for including such an uncharacteristic opening, for it appears to have very little to do with the narrative that follows. Is this montage - an account of the sickening and concealed horrors and desires of society - a possible explanation for Elisabeth's continued silence? Even so, it all seems somewhat exploitative, as though Bergman was simply going for shock-value, obliterating any notions of subtlety with which I had begun to associate him {though I'll admit that the strength of 'The Seventh Seal (1957)' arose from its not-so-subtle representation of Death}. The opening scene concludes with a young boy awakening in the morgue, his hand outstretched towards the vague image of a woman's face. Elisabeth's unloved child? Alma's aborted fetus?",w
7,5 February 2005,Quinoa1984,10," The most ambiguous, inviting, surreal, whatever-you-can-think philosophical experiment by Bergman","Writing from a hospital bed (as he did with Wild Strawberries, two of these being films strung out from anguish), Ingmar Bergman put down almost anything that was in his head to start with (the first five minutes- some of the most startling and thoroughly symbolic minutes he's ever directed), then transposed into a story of two women, or one. This was one of the landmark 'art-films' of the 1960's, with hints of the horrors of war (in one memorable scene, Elisabeth looks at a television screen at images of death), introspection regarding sex and identity, existentialism, and what it means to be an actor. ",/
8,20 November 2022,reelreviewsandrecommendations,7," Intriguing, Abstract & Unique","There are few directors whose films have sparked as much rumination and analysis as Ingmar Bergman. His cinematic creations, utterly unique in style and tone, have been and shall continue to be debated and critiqued for decades. Many consider him the master of minimalism, whose work subtly exposes the truth of the human condition, while others hail his films as unnecessarily abstruse and pretentious. Whatever one's feelings on Bergman, it must be said that his films are certainly intriguing; and perhaps none more so than 'Persona.'",r
9,9 February 2007,Vincentiu,10, Liv Ulmann's smile,"Profound studie of the human psyche. Honest story about nooks of existence and vain hopes. Anatomy of helplessness and deep solitude. Life as convention, mask for feelings and expectations.",w
