Review_Date,Author,Rating,Review_Title,Review,Review_Url
0,2 July 2006,bkoganbing,10, They Couldn't Take An Ant Hill,"Almost one hundred years later the concept of that static war of the trenches that was the Western front of World War I is almost unfathomable. After the French army stopped the German offensive at the Battle of the Marne, the French and British armies faced the Germans in a line of trenches that stretched from Belgium to Switzerland. About a quarter of France was occupied for four years in that time. The casualties ran into the millions in that stalemate that gains were only measured in meters.",/
1,15 October 2006,Steffi_P,9," ""Let the men have a few minutes more""","Although Kubrick's films are marked by their massive variation of genre and tone, one theme that crops up again and again is a strong anti-war sentiment, and this was never stated more strongly than in Paths of Glory. A relatively early Kubrick picture and, despite coming before what is considered his classic period, it is one of his best.",r
2,7 July 1999,Hermit C-2,10, Kubrick--a fully-formed genius in 1957.,"At only 29 years of age and in only his second major studio release, Stanley Kubrick showed the world that he was a force to be reckoned with. By the time he died 42 years later his films were epochal events waited for breathlessly by his large band of devotees who considered him a director without equal. He seldom disappointed them.",e
3,9 December 2009,TheLittleSongbird,10, Kubrick at the height of his powers- a wonderfully atmospheric film about the First World War,"I saw this movie for the first time on television today, after being persuaded by the reviews I read beforehand praising it. Also I like Kirk Douglas. Although I am not directly familiar with Kubrick's work, a shameful admission I know. Out of what I have seen so far I loved Dr Strangelove and despite only seeing it once while flicking through channels liked The Shining too. Anyway back on target, Paths of Glory was brilliant in my opinion! ",v
4,28 July 2007,WriterDave,9, Stands the Test of Time,An arrogant French general (a superb George Macready) orders his men on a suicide mission and then has the gall to try to court marshal and execute three of them for cowardice in the face of the enemy. A former lawyer turned colonel (Kirk Douglas in his prime) is the voice of reason against gross injustice. This excellently staged and wonderfully acted production is as much an acting showcase for Douglas as it is a directorial masterstroke by a young Stanley Kubrick who adapted this to the screen from a novel based on actual accounts.,i
5,11 May 2004,claudio_carvalho,10, An Anti-War Masterpiece,"In France, in the First World War, the insane and ambitious general Gen. Paul Mireau (George Macready) orders Colonel Dax (Kirk Douglas) to lead his men in a suicide attack against Germans in the unattainable Ant Hill. After a massacre of the French soldiers, Gen. Mireau orders his artillery to drop bombs between the French front line of attack and the trenches, to avoid the soldier to return to the protection of the trenches. The commander of the French artillery refuses to accomplish the order. Gen. Mireau asks his superior, Gen. George Broulard (Adolphe Menjou), to send three men to Court Martial and execute them for cowardice through shooting, as an example to the other soldiers. Colonel Dax, a former lawyer, defends his men in the unfair trial. Yesterday I watched this outstanding masterpiece for the first time and certainly it is among the best movies of the cinema history. The disgusting story shows the insanity of a war, where men are treated like numbers and not as human beings. The reality of the battles scenes is amazing. The cast has a stunning performance, highlighting the trio George Macready, Adolphe Menjou and Kirk Douglas. The lack of sensibility and respect for the human life and the cynicism in the dialogs of the two generals are fantastic. Two other points that called my attention are the fancy reception for the general staff, while their subalterns are fighting in the front and the misunderstanding of the real intentions of Colonel Dax by Gen. George Broulard. A must-see movie! My vote is ten.",e
6,19 January 2000,gbheron,10, Gripping Anti-War Film,"Paths of Glory is one of the best movies ever made, and possibly the best ""war"" movie, period. Paths of Glory does not portray war as conflict between armies or individual soldiers arrayed against one another on the battlefield.  Nor does it portray the acts of great leaders and heroes of war. No this film takes a different tact. ",w
7,15 August 2010,ma-cortes,8, Awesome movie stands as a broody statement against war and man's inhumanity to man,"Sensational antiwar treatise based on facts with a relentless and vivid denounce against the military commanding class represented by two senior Generals (George Macready , Adolphe Menjou ) who order his men a suicidal mission . France 1916 , an upright officer , Colonel Dax (Kirk Douglas), must lead his soldiers against difficult enemy positions called the 'Ants Hill' . Then he's also the Colonel lawyer assigned to defend three (the privates Timothy Carey , Ralph Meeker , Joe Turkel) of them when the attack is lost against charges of cowardice and submitted to eventual firing squad. Never has the screen thrust so deeply into the guts of war! The most explosive motion picture in 25 years ! Bombshell! The roll of the drums... the click of the rifle-bolts... the last cigarette... and then... the shattering impact of this story... perhaps the most explosive motion picture in 25 years! It explodes in the no-man's land no picture ever dared cross before! Now the screen blasts open the bombshell story of a Colonel who led his regiment into hell and back - while their maddened General waited for them - with a firing squad!",/
8,15 November 2006,planktonrules,10, A marvelous film about the STUPIDIST war in history with a dynamic performance by Douglas,"This is a wonderful film and for those who are looking to see a Stanley Kubrick film that the average person can relate to, this is a great initiation to the director's work. Some of his films are a bit hard to understand or frankly make my head hurt (2001 is a great example), but this one is much more straight-forward and conventional than most of his other films while still being a great film.",r
9,9 October 2022,Xstal,8," War, What is it Good For...","You've been posted to the front, to serve your country in the war, now they want you to go over, and face the enemy once more, only problem that you have, is you know it's certain death, there'll be no gains made here today, but there'll be, almighty mess.",w
10,7 June 2002,kamerad,10, Kubrik's First Masterwork,"""Paths of Glory"" (1957) (and this is personal opinion of course) is Stanley Kubrick's first real masterpiece in what would be a long line of subsequent masterpieces.  I know that Kubrick had a reputation for making cold, unemotional films (which is a false impression, but that's the subject for another essay) but I don't believe there are many people who can deny how powerful this film is.  Through the editing, camera movement, incredibly realistic dialogue, and a now more fully realized use of irony, Kubrick creates an unforgettable anti-war parable.  I realize that my love for this film is incredibly obvious, but I'll try to focus on an analysis of the film rather than a review, but the movie is just so good!  ",4
