Review_Date,Author,Rating,Review_Title,Review,Review_Url
0,22 December 2019,cricketbat,8," In a sea of generic Christmas movies, Klaus stands out","Klaus is an amusing new twist on a very old story. It's a heart-warming tale with an uplifting message about kindness, featuring beautifully unique animation, interesting characters, and a clever plot. In the sea of generic Christmas movies that get churned out each holiday season, Klaus stands out because it tried something different and it succeeded.",/
1,14 November 2019,Joejoesan,9," Wow, we finally have a new Christmas classic","Okay, when it comes to Christmas movies to me there was only one: It's a wonderful life by Frank Capra. The Bishop's Wife and Love Actually are also very good but they don't have the same magic.
This year I can finally add a new classic: Klaus. It's a funny and surprising tale of how the real Santa Claus was born. I love the story and especially the look of this movie is amazing. Klaus is hand drawn animation but thanks to computers it has astonishing lit scenes. That makes the journey extra special.",r
2,16 November 2019,andymhancock,10," Never thought I'd give a ""sappy"" cartoon a 10, but what a surprise","Sure, sappiness is cute, and fun to indulge in. I thought I'd seen it all. But what sappiness was in the movie well used. The main thrust was not sappy. It was a well told story, with the proper nuances in the animation and the vocalization. I consider this movie to be for adults. You will thoroughly enjoy it.",e
3,9 December 2019,CubsandCulture,10, My Christmas watchlist just got a little longer,"Everything about this droll take on the Santa myth is inspired. JK SImmons as the title character, the animation style, the way in which the various elements of the mythos come together organically and so forth all just fit. Even the final moment of magical realism is just right. It all adds up to a heart warming tale of Christmas.",v
4,28 December 2020,morrison-dylan-fan,10, Claus.,"Whilst I was vaguely aware of the title from seeing it mentioned at the Oscar's, I became aware of Klaus from seeing a large number of fellow reviewers highly praising the film this year,which led to me meeting Klaus.",i
5,25 November 2019,kaleem_091983,10," I am not crying, you are crying.","I haven't felt this good after watching a movie. I feel good about myself. I am not kidding, I actually cried during and after the credit rolled. Thank you Netflix.",e
6,17 November 2019,keikoyoshikawa,9, Anti-Postmodern Santa Claus,"If postmodernism is defined as a rejection of morality and human nature, then this animated story is a repudiation of that rejection, but done in a refreshingly adult and not too overly sentimental way.",w
7,17 November 2019,mmehedihopuu,10, Haven't cried after watching an animated movie in so long.,"One of the sweetest, emotional and best Animated film of the year. Netflix please keep bringing us movies with great script such as this.",/
8,17 November 2019,tarapov-92-654064,8," Watch and learn, Disney","Very solid original story, awesome visual style and great writing. All it takes. On the contrary, reinventing 30 year old cartoons and doubling down on puritan stuff does not help.",r
9,23 November 2019,edicionccq,10, KLAUS: The Netflix Classic for Christmas.,I typically wouldn't mention a movie as a classic except for the two first films of Shrek. But Klaus it's amazing.,w
10,16 November 2019,gauravleoheart,10, Best christmas movie ever,"Yes i said it. That is a big statement to back up but i believe that this movie covers anything christmas is all about. Not just that, it is really one of the best Santa Klaus story ever if not the one.",5
11,15 November 2019,c-bevan,10, Well done.,"For my first holiday movie of the season this is a must see.
Well written and beautifully done, also absolutely hilarious yet so heartwarming.",2
12,4 April 2020,SnoopyStyle,8, great Christmas movie,"Jesper (Jason Schwartzman) is a spoiled young man who fails at his job which was given by his Postmaster General father. As a disappointment to his father, the father sends him to the kingdom's far north island and offers him a deal to come back to the comforts of home after 6000 letters. The locals have ongoing feuds and generally express themselves in person rather than in letters. With a desperate need for any letters at all, he goes to the far end of the island where he finds an old reclusive toymaker named Klaus.",9
