Review_Date,Author,Rating,Review_Title,Review,Review_Url
0,21 February 2006,gavin6942,10, Pure Bloody Genius,"Guy Ritchie has a skill: the skill to take multi-layered gangster plots, weave them together, and come out with a fabric of the finest quality. I first watched ""Snatch"", which came after this film. Loved it. Watch this film, which had a similar set-up (the interwoven gangster theme). Loved it. As far as I'm concerned, if Ritchie can maintain this level of creativity, he can keep on making these films until the end of time. His characters are so well scripted and the actors so well chosen, there is a three-dimensional quality to this film, as if you can almost taste the sulfur in the shotgun blasts.",/
1,1 March 2002,Quag7,10, Have a butchers...,I was a total and complete sucker for this film.,r
2,23 December 2007,brando647,8, Guy Ritchie's Hilarious Feature Debut,"This is one seriously funny movie. I've probably seen it close to 10 times and it hasn't gotten old yet. Guy Ritchie brings us a hilarious look into the London criminal underground in one of his earliest features. The story revolves around four friends who become indebted to the local crime lord after a card game goes horribly wrong. The humor in this movie is sharp and fast-paced. At times, it becomes a little hard to keep up with the thick British accents and the cockney rhyming slang but overall, it doesn't detract from the movie. The movie keeps you guessing as to the outcome when the story becomes complex with multiple lies and double-crosses but the ending satisfies.",e
3,14 January 2000,SKG-2,9," As T.C. said, this movie rocks!","You all may know the story at how Tom Cruise saw this movie at a screening in London, and afterwards said, ""This movie rocks.""  Whatever you may think of Mr. Cruise, I happen to agree after watching this film.  Although I had trouble following the story at times, it was a lot of fun, and Ritchie managed to juggle all the characters around and keep me interested and compelled to watch.  I also didn't have any trouble understanding what the characters were saying, and I think those who blind themselves to films like this by saying, ""Oh, I can't understand them"" lack patience.  I also liked all the actors, particularly, of course Lenny McLean and Vinnie Jones(one of my few complaints is I would have liked to see more of them in the film). And for a film which feels violent, there's surprisingly little actual violence, which is refreshing.  Overall, not a particularly deep film, but a lot of fun.",v
4,18 December 1999,CriticNick,10, Seriously addictive movie - The most balanced movie ever made?,"The first time I saw this movie I had difficulty in understanding a lot of the dialogue not just because of the weird accent, but because the actors spoke so damn fast.  But despite this I became literally addicted to it. To begin with my wife got pretty annoyed because any other movie we rented would be ejected after about 20 minutes of viewing and in would go LS&2SB. Now she is hooked as well.",i
5,5 November 1999,jedidp,10," Brilliant script, brilliant cinematography, great acting and soundtrack","Best comedy in years, friend turned me on to this hilarious comedy of errors and glad she did. The film is damn near flawless, forces you to pay attention to the twists and turns through it's witty dialogue. Wonderfully photographed with brilliant camerawork but not overdone. Worth several sittings and we could learn alot in Hollywood from this one....",e
6,5 March 2008,poolandrews,9," Very funny, very witty & very excellent British crime caper.","Lock, Stock and Two Smoking Barrels is set in London where four close friends Eddie (Nick Moran), Bacon (Jason Statham), Tom (Jason Flemying) & Soap (Dezter Fletcher) all chip in £25,000 to make up the £100,000 entrance fee to a big high stakes poker game held by hard as nails villain & crime boss 'Hatchet' Harry Lonsdale (P.H. Moriarty). Eddie is an expert poker player & figures he can make each of them a clear £100,00 profit, if they play their cards right (ha!). Unfortunately 'Hatchet' Harry doesn't like losing & cheats, Eddie not only loses the £100,000 but actually ends up owing 'Hatchet' Harry £500,000 after borrowing it from him to continue in the game. 'Hatchet' Harry is not the sort of person you owe money to, Eddie & his friends must find a way to raise a half a million pounds in the next four days or start losing their fingers...",w
7,25 April 2021,briancham1994,9, Stylish clockwork,"This film's plot starts off a bit convoluted but gradually meshes together like clockwork, with every scene and line having significance. The varying plotlines weave in and out with expert craft, always leaving the audience wondering what will happen next and never alienating them. These are all funny in a subtle, situational way - muted reactions to extraordinary events, chance encounters and thwarted masculine bravado. The characters are exaggerated, the style is frenetic and the environment is gritty and urban. These all amount to an expertly made crime-comedy with a unique British 90s music video feel.",/
8,29 June 2006,Flagrant-Baronessa,8," Watch this with subtitles, if you can","Lock, Stock and Two Smoking Barrels features a lot of local slang and Cockney accents and, while it is far from impossible to comprehend, you will be doing yourself a favour if you follow the dialogue in subtitles. In fact, even the unbearably annoying 'hard-of-hearing' option is welcomed. It follows a group of four very ""working class"" blokes as they try to help their friend Eddie (Nick Moran) get out of an enormous debt he amassed one night, playing high-roller with a local gang-boss that cheated. The lads resort to illegal ways to get the money, like ripping off their pot-selling next-door neighbours.",r
9,13 October 2004,s-dewitt,10, Brilliant,"I have watched this film countless times and it is always funny, entertaining and visually appealing. It combines a great story (actually about 8 stories), lush cinematography (a personal must have), and superb dialog. When I first saw it, I thought it was a good rip-off of pulp fiction (a common theme on the message boards), but later you come to realize that this simply is not the case. IMO, it is much more like ""The Usual Suspects"", another great film.",w
10,26 February 2006,OriginalMovieBuff21,8, A British Reservoir Dogs,"Lock, Stock and Two Smoking Barrels is about four London class act stiffs who put their money to a test in a card game until things end up horribly wrong as they owe half a million pounds within a week to come up with the cash. The movie is by all means, enjoyable. The characters are all likable and their sense of humour makes the movie tick up a notch. I found myself laughing a couple times in the film to the jokes. All the actors played their parts pretty well, but my favorite character of the film had to go to Big Chris as Vinnie Jones. He was the most entertaining and how he was always correcting his son if he ever made any mistakes was priceless. The dialogue was really well done by Guy Ritchie, as well as his directing. What I noticed about the movie, was how much it was alike to the 1992 film, Reservoir Dogs. Lock, Stock had colorful characters, robbery that ends up bad, unexpected tragedies, good screenplay as well as directing by one person, and a good sense of humour. All those resemble to Reservoir Dogs, it's not even funny. Overall, Lock, Stock and Two Smoking Barrels is a good and entertaining comedy/crime film that shows a good future to Guy Ritchie aka ""The Next Quentin Tarantino"", to many. Although it's not up to par with Reservoir Dogs, I still enjoyed it and will be paying a lot of attention to Guy Ritchie's films. I recommend it.",7
11,24 April 2008,RainDogJr,10," Luck, Irony and Two Old Shotguns","After being in love with ""Snatch"", my cousin and I began to look out for this film and finally we saw it on a bootleg of the imported DVD. That was about 3 or 4 years ago and the last year I saw for the very first time the Region 4 DVD so I get my own copy of the film and enjoyed for the second time. Last week I saw ""The Transporter"" and I decide to enjoy once again this magnificent work so I'm here writing, after a third view, my thoughts about Guy Ritchie's first feature film.",3
12,5 November 2006,dunmore_ego,10," ""Lock, Stock"" comes at us with two smoking barrels","""Right! Let's sort the buyers from the spiers, the needy from the greedy and those who love me from the ones who don't"" Bacon (Jason Statham) and Eddie (Nick Moran) work a street crowd with their hot merchandise. Cops. They flee. When the film suddenly crashes into super-slomo, and a hard, street-savvy narration kicks in (Alan Ford's voice) telling us of Bacon's and Eddie's street chicanery on its last legs, we hark back to the opening of *Pulp Fiction* (where Tim Roth and Amanda Plummer are dialoguing intriguingly and cooing like lovebirds over coffee in a diner one minute and in the next, suddenly viciously holding up the joint). Like *Pulp*, this Guy Ritchie-penned and directed trash whore promises to be a dialog-luscious film with a rabid style all its own.",2
13,28 September 2007,kenjha,6, Slick but Unpleasant,"This slick film details the lives of a bunch of blokes in the British underworld as they fight over drug money. The Cockney accents of most of the characters are so thick that anyone outside Britain would have to have the subtitles turned on to understand what is going on. There are too many characters and not a single one of them is likable. It's difficult to keep track of the three gangs, who all seem to have similar looking young men. The plot is interesting though somewhat convoluted. Ritchie directs with a lot of energy but his cinematic tricks (freeze-frames and voice-overs) are distracting. Songs are overused on the soundtrack.",8
14,10 September 2006,lee_eisenberg,10," sooner or later, we're all eighteen with a bullet","Guy Ritchie made his mark on the world with the madcap ""Lock, Stock and Two Smoking Barrels"", about organized crime in London's underbelly. I remember that when it came out was right after Columbine, so some people got irked by the violence, but I suggest that you ignore that and luxuriate in the pure hilarity. As great as the plot - maybe better - is the soundtrack. The song ""18 with a Bullet"" may have also reminded people of Columbine. But anyway, this is a movie that you're sure to like. Ritchie followed it up with the equally great ""Snatch."", but unfortunately followed that up with the dreadful ""Swept Away"" remake. But this one is a hoot.",4
15,30 January 2014,planktonrules,9," A lot like ""Snatch"" but with fewer laughs.","Considering that this film was written and directed by Guy Ritchie, it's certainly not very surprising that it is strongly reminiscent of ""Snatch""--another one of Ritchie's film. Obviously, he did well with ""Lock, Stock and Two Smoking Barrels"" and decided to repeat the formula for his next film. Both have very dark and dry senses of humor, a lot of bad guys (nothing but bad guys), bad language and crude material all wrapped up in an incredibly stylish package. You like one film, you'll like the other. You hate one, you'll hate the other.",7
16,20 January 2001,Keyser Soze-12,9, Easily one of my all time favorites,"I didn't know what to expect when I popped this movie in my VCR.  On one hand, I had heard this movie is hilarious, fun, and three steps from Pulp Fiction.  On the other hand, it's British and it may not transfer into my American head very well.  I had heard also that the movie is a rip-off of Pulp.  Well, let me tell you what I think.",2
17,1 December 2004,preppy-3,10, Just incredible,"A bunch of British lads combine their money and enter a high stakes, illegal card game with a vicious criminal. They lose and must pay all the money within a week...or they lose their fingers--one for every day missed.",/
18,20 October 2014,SnoopyStyle,7, Good start for Guy Ritchie,"Bacon (Jason Statham), Eddy (Nick Moran), Tom (Jason Flemyng), and Soap (Dexter Fletcher) are lifelong friends. Eddy is the card player. Bacon, and Tom are hustlers. Soap is straight and legal. They pull together the money to go into Harry 'The Hatchet' big card game. Harry rigs the game and the guys are down £400,000. Harry gives them a week before his muscle Barry the Baptist takes care of them. They decide to rob their drug dealing neighbor. Meanwhile Barry is looking to steal a priceless antique shotgun but it ends up in the hands of the four friends.",?
19,12 December 1999,Popcorn-28,9," Now do you understand everything I've said? Because if you don't, I'll kill ya","I've avoided this movie for sometime now.  Firstly because friends told me that it was 'Pulp Fiction'-ish (and boy do I hate that movie). Secondly, because its British and although I'm from South East London myself and love British television comedies, I have rarely found British humour well translated onto the big screen.  Normally it is toned down to plain slap-stick goofy uncomplicated Inspector Cleuseau type humour tailored for American audiences.",r
20,27 February 2021,anselmdaniel,9, Raw and focused,This review contains spoilers.,e
21,21 January 2002,Lumpenprole,6, entertaining,"For $8 million, this is a fricking monument of 1990's film.  The first time I saw it I laughed at most of the jokes and followed the plot with pleasure. That's more than I can say about any number of movies in the 1990's that cost ten times as much to make and starred pricey talent.  The editing is clever and cute.  The casting is just short of flawless.  Of the four principles, only Bacon seemed consistent to me.  The minor parts were sometimes spectacular, esp. Big & Little Chris and Barry the Baptist.",f
22,25 February 2008,emuir-1,9, Vera Day,"I want to know how Vera Day, the sexy blond of British films in the 1950's, who had not made a film since 1964, came to do such a wonderful cameo in this film. The moment she came on the screen, she was the epitome of the attractive, aging, hardboiled sports/pub owner, the kind where they stage boxing matches, and the kind of woman who knows how to keep her mouth shut.",_
23,31 July 2008,pinkliz41,1, Lock Stock and 2 hours of rubbish,"I really cant see why this film is so highly rated. In my eyes it's just a complete mess and Ritchies worst film. Compared to Snatch, this has nothing on it, not even close. The other critics on this website debate that Lock Stock has a better ending and story, but i didn't really see that. The pacing of Lock Stok is astonishingly slow and the characters feel like their cardboard cutouts without a soul. This also brings a negative thrall over this poorly directed and acted mess.",=
24,27 October 2022,Jackblyth8,9, Guy Ritchie Perfection,"The classic crime comedy from Guy Ritchie ranked in high regard of all time British film for its trademark style, memorable nicknames and intricate writing, Lock, Stock and Two Smoking Barrels is just as popular among cinephile's today, as it was twenty-four years ago.",t
25,6 January 2023,gillmurphydogg,10, All the components of a perfect film,"Guy Ritchie and Dexter Fletcher make this a great film. It's the ultimate crime thriller comedy drama. The writing, direction and casting are perfect. The characters are unique and will move between having you in hysteric laughter and on the edge of your seat, not knowing what these unpredictable characters will do next. This is British story-telling at its finest. There are twists and turns in this story that will have you engaged throughout.",t
26,15 December 2010,rps-2,2, Tasteless violence,"Hollywood has no monopoly on crass, vulgar, tasteless, blood spewing depravity.This ghastly piece of British trash is as good (bad?) as anything the schlockmeisters of US cinema have ever done. The film runs 110 minutes. The F word is used 125 times. !!! There is not one character with one redeeming quality. Indeed, if I was a British criminal I would be offended. The story line is complicated enough --- you can't tell the bad guys from the good guys because there are no good guys --- but the thick east end London accents make the dialogue incomprehensible for the most part. There are two or three attempts at comedy. But none of them is funny. Cinema can be so downlifting!",_
27,5 January 2001,zetes,1, Quite possibly the worst film ever made,"This movie is so bad, it is an insult to all those films it ripped off, particularly Reservoir Dogs, which I didn't even like all that much anyway. I know the director claimed that he never saw any of Tarantino's films, and it actually shows in just how terrible Lock Stock and Two Smoking Barrels was. ",u
28,7 October 2020,Xstal,1, Carry On Vincent...,"What a carry on, the franchise reinvents itself with the poorest incarnation of an actor that ever kicked a football. Coupled with the wooden performances of the rest of the cast, diabolical dialogue and timing - you can almost hear the words 'Action' and 'Cut' as the pantomime continues - this has to go down as one of the worst British films ever made.",r
29,12 March 2021,Filmdokter,6," I like it, but I don't love it like Snatch","This might be a bit of a controversial statement, but I'm not a huge fan of Lock, Stock....
Off course the dialogue is sharp and witty, the camerawork is inventive and the editing is frenetic but both the story and it's characters just don't seem to hit me as it successor does. And what's with that washed out, brownish look? It is more disturbing than stylish. Overall Lock, Stock... is a good first effort of a new director, but I think Guy Ritchie really hit his all time high with Snatch. Just call this a very good dry run.",v
30,19 December 2008,Jacques98,1, Pointless.,What was the point of that? I'm going to go do my laundry.,
31,6 March 2000,kevin c,1, VERY POOR,"I missed this at the cinema, but heard many good things from my friends about this. I finally caught it on Sky last Saturday, and what an overrated film I saw. The film didn't contain a decent actor to take the lead, and comprised rejects from 'The Bill', sitcoms and Wimbledon F.C. The film didn't contain an original idea, and stole shamelessly from 'Reservoir Dogs', 'Trainspotting', 'Goodfellas', 'Only Fools & Horses' and 'The Italian Job'. The humour and stereotypes were like a bad episode of 'Minder'. It was shot in a grainy stock to compare with some of the British 70s classics. However this most certainly is not a 'Get Carter' or 'The Long Good Friday'. It was more a wet dream for FHM readers. All stylish clothes and no substance, and where was a female character?",
32,15 March 2021,kosmasp,8, And so it began,"It had been quite some time since I first saw this. The beginning of Guy Ritchie and the beginning of Jason Statham. If you watch this after all the movies he has done since, you may be a bit surprised by his role here. But back then, he was not a big shot, quite the opposite was the case. And this movie was quite rough on the edges. While I remembered the humor and comedy, I had forgotten about the grimness at places. About how down and dirty it is sometimes.",
