Review_Date,Author,Rating,Review_Title,Review,Review_Url
0,14 June 2006,bkoganbing,10," ""I've Decided to Take My Doctor's Advice, I'm going to become a mensch.""","In the recent biography of Billy Wilder by Ed Sikov, it is mentioned that for the first time Wilder used as his protagonist a lovable loser. Think about it. In a whole lot of his previous films the main lead in Ace in the Hole, Double Indemnity, Stalag 17 are the people who are the takers as Shirley MacLaine describes Fred MacMurray here.",/
1,28 June 2001,moonspinner55,10," Likewise, it's a love-fest Lemmon-wise","One of the finest examples of smart, satiric comedy-drama ever created for the screen. Jack Lemmon (in amazing comic form) plays a working stiff in Corporate America--via New York City--whose bachelor apartment inadvertently becomes a love-nest for amorous, married executives. The film is extremely modern for 1960 and features a non-stop barrage of funny, clever talk. Lemmon is a mad genius at frenzied (yet sympathetic) characterization, and ""The Apartment"" catches him at his professional peak in the movies. Working alongside huggable neurotic Shirley MacLaine (also at her peak) and shady Fred MacMurray (parlaying his slimeball role with curt persuasion), Lemmon creates a new kind of acting: screwball realism. **** from ****",r
2,21 January 2005,davidals,10, Becoming A Mensch,"Ohhh - after my 4th or 5th viewing, I think this may be one of the most remarkable blends of comedy and drama to have ever been filmed - THE APARTMENT - in subtle ways - rises well above the conventions of any genre. It was my introduction to the great Billy Wilder, and my fondness for Jack Lemmon (a remarkable and sorely missed actor) begins here as well.",e
3,24 March 2002,gaityr,10, That's the way it crumbles...,"What a wonderful way to spend an evening--dinner, Christmas and New Year's with CC Baxter (Jack Lemmon) and 'friends', accompanied by much champagne and laughter, and spaghetti and meatballs lovingly prepared by the host himself. There's even a game of gin rummy to get into that Baxter and Fran can't ever seem to finish--here's hoping it never does!",v
4,24 May 2001,KatMiss,10, WILDER'S GREATEST ACCOMPLISHMENT,"Billy Wilder's ""The Apartment is his greatest accomplishment. It is his most successful melding of comedy and drama that he never quite pulled off again. I'm glad the Academy had enough good taste to award Wilder The Triple Crown: Best Picture/Director/Screenplay. But they still had enough bad taste to deny Jack Lemmon a Best Actor award, Shirley MacLaine a Best Actress award and Fred MacMurray a nomination and award.",i
5,11 May 2018,bankofmarquis,10, A classic in every sense of the word,"My local cinema does ""Secret Movie Night"" once a month, you just show up and watch a ""classic"" of their choosing, you just don't know what it is until it starts.",e
6,15 June 2011,markdroulston,9, They don't make 'em like this anymore,"Billy Wilder's The Apartment was one of a huge list of movies that are considered classics which I haven't seen, and indeed knew very little about (other than the level of admiration which many people have for it). Having a vague knowledge of the stars of the film (Jack Lemmon, Shirley MacLaine), for one reason or another I was expecting a light-hearted comedy filled with innuendo and witty banter, a tradition of filmmaking that was common around the period when this film was released. Thankfully I wasn't disappointed, as these elements are all in play in The Apartment, but what really thrilled and surprised me was the much more serious subject matter that the film deals with. To say this is simply a comedy is completely false, as it's a somewhat dark and daring study of the nature of love and infidelity, and the stunning performances and filmmaking on display had me enthralled from the first frame.",w
7,15 October 2004,cwelty1,10," A rare gem, this is a blessedly adult comedy with great performances, great writing and the kind of depth hardly ever seen in the more vapid, formulaic romantic comedies of today.","Written by the great filmmaker Billy Wilder, this is a serious, sardonic comedy for people who've known what's its like to feel the pressure of compromising your principles or your self- respect for the sake of getting ahead in life. And there are very few over the age of consent who haven't had to at one time or another. This isn't the laugh out loud comedy of Jim Carrey or the Farrelly brothers, but a subtle, nuanced comedy about two people who have both been jaded in love and yet continue to hope again and again that it will someday work out for them -- mainly because despite the unlikeable things they do, they are both basically decent, nice people. Flawed and even weak at times, but good people. This is a movie that doesn't just make it you laugh, it makes you think. A rare find indeed.",/
8,14 August 1999,Primtime,8, Another Wilder classic,Jack Lemmon is the man.,r
9,22 October 2006,claudio_carvalho,10, One of the Most Delightful Movies of Hollywood,"On 01 November 1959, in New York, C.C. ""Bud"" Baxter (Jack Lemon) is a popular clerk of ""Consolidate Life"", an insurance company with 31,259 employees. The secret of his success is a well located apartment where he lives that he sublets for his superiors, making him climb to the executive position of 2nd Administrative Assistant very early. He likes the elevator girl Fran Kubelik (Shirley MacLaine), a reserved woman considered a ""jackpot"" among the executives. Fran is the secret lover of the director Jeff D. Sheldrake (Fred MacMurray), a married man that seduced her convincing that he will divorce his wife to stay with her. When Fran tries to commit suicide in Baxter's apartment after a meeting with Jeff, she stays with Baxter while recovering, and he falls in love for her. Later he has to come up to a decision between his excellent position in the company and his love.",w
10,1 May 2006,jdoan-4,9, A precise satire,"Billy Wilder has made some tremendous satires. ""Sunset Boulevard"" is one of the greatest satires on film. ""The Apartment"", though not as cynical, is a very good one as well. I like that the satire is a backdrop for the main love story, and yet an integral part of it. The film shows just how much people are will to prostitute themselves in order to get what they want, whether that be a family or an executive office. Wilder handles some very serious and bawdy themes with a precise touch. This film could have easily turned into a wacky comedy of errors, but he is much to talented and sympathetic for that. He gives Baxter's character some sincere emotional depth. I could almost feel his loneliness and longing in many scenes. He is never really sure what he wants and how he can get it. He is a man searching for something, and he doesn't quite know it. Lemon plays this role to perfection. He doesn't go overboard. He gives the character the right amount of silliness and charm. McClaine is very strong. Her character is not stereotyped. She is a wounded soul that is looking for respite in the absolutely wrong place. I found her very charming and lovable. Some much of the film is in the wonderful cinematography. Wilder uses the widescreen to its fullest capability. The framing is so precise. You get a feeling of utter separation and distance. I really like the nearly infinite succession of desks in the office.",6
11,28 March 2022,BandSAboutMovies,10, The Apartment,"The Apartment is astounding because it makes me consider how we view actors based on where we arrive in reality. For me, Fred McMurray is the kind Steve Douglas from TV's My Three Sons. For those born before 1960, they probably saw him on that show and wondered how the heel from Double Indemnity and The Caine Mutiny could be trusted around three growing children.",3
12,27 July 2017,JohnHowardReid,10, Deserved all its awards!,"In many ways, the best of Wilder's comedies and of Lemmon's performances, and by any standards one of the best films of its period. Scene after scene is worked out in terms that are both moving and funny, as when Lemmon tries to cheer MacLaine with such housekeeping tricks as straining the spaghetti with a tennis racket (""You should see me serve the meat balls!"") or the ending with the build-up of the run along the street turned into a laugh by the shot of Lemmon standing with the champagne pouring over his hand.",1
13,27 August 2014,ComedyFan2010,8, A classic romantic comedy with depth and drama,The movie is already half a century old but it has kept its charm which makes it worthy of being considered a classic.,5
14,19 November 2022,marcelbenoitdeux,10," Sweet and Sour, Wilder Style","Certain films travel in time, undisturbed. Always relevant. ""The Apartment"" is such a film. Jack Lemmon at the top of his form and the luminous Shirley MacLaine at the center of this bitter romantic comedy. The cynics with the keys and the ambition are also the corruptors of the little man. The ones dangling the golden carrot. Billy Wilder finds a way out, where love, if not triumphs, survives. Fred MacMurray is a surprisingly believable corruptor, living a socially acceptable life, at least on the surface. The laughs are well earned but with that Wilderian aftertaste that makes ""The Apartment"" a unique piece of film art.",7
15,24 July 2015,AlsExGal,8," It's lost a step over time, but still satisfies even if it does not surprise","This film was groundbreaking in the sense that it dealt with sexual harassment in the workplace in a way that was quite realistic for 1960. All the women are in menial jobs at the insurance company where Jack Lemmon's character works, and all of the executives are men. The executives look at their female workforce as one big harem and won't let a little thing like the fact that they are married and intend to stay that way interfere with their stepping out from time to time. This is where C.C. Baxter (Jack Lemmon) comes in. He trades the use of his apartment to these executives in return for promotions and perks. However, Baxter has an attack of conscience when he comes face-to-face with the collateral damage that one of these executives is doing in the person of Fran Kubelik (Shirley MacLaine). Fran, the elevator operator, has just found out she is one of many affairs for big boss Mr. Sheldrake (Fred McMurray), whom she genuinely loves, and when she and Sheldrake quarrel in Baxter's apartment and Sheldrake leaves her some money for her troubles, unintentionally making her feel even cheaper than she already feels she swallows a bottle of sleeping pills hoping not to wake up, slipping into a coma on Baxter's bed.",9
16,4 October 2001,MotoMike,10, A masterpiece,"***SPOILERS***   ***SPOILERS*** Anyone that knows about comedy knows about ""Some Like It Hot"", and anyone that know about ""Some Like It Hot"" knows about Billy Wilder. This was his next film, and the reason I mention that is that this is a serious and melancholy drama with the form and rhythm of comedy. But it's not a funny movie, and part of the genius of the writing and direction is that Lemmon's character especially only figures this out in the third act.",4
