Review_Date,Author,Rating,Review_Title,Review,Review_Url
0,4 February 2005,rmax304823,10, Don't Forgo Fargo,"Boy, is this a good movie. In its bare bones it is a crime drama but the Coen brothers constantly undercut the seriousness with a quirky irony. The acting, the script, and the direction lift the movie light years above most of the movies of its decade.",/
1,19 June 2021,kevin_robbins,10, I'd score this a 10/10 and is an American film masterpiece.,"Fargo (1996) is a movie I recently watched again on Amazon Prime. The storyline follows a group of kidnappers executing a paid job for a scammer of sorts. As some eccentrically behaved local detectives start investigating a recent murder conducted by the previously referenced kidnappers, the entire kidnapping may get blown up. This move is directed by the amazing Coen Brothers (Raising Arizona) and stars William H. Macy (Shameless), Steve Buscemi (Reservoir Dogs), Kristin Rudrüd (Drop Dead Gorgeous), Frances McDormand (Nomadland) and John Carroll Lynch (Zodiac). The storyline for this is so interesting and contains intricate characters, sub plots and primary plot. There's so much depth in every aspect of this movie you get fascinated by every facet, and both the good and bad guys. Loved how the entire story unfolds and every aspect of this movie is satisfying. I'd score this a 10/10 and is an American all time masterpiece.",r
2,24 November 2006,ccthemovieman-1,10, The Best Effort From A Number Of People,"I didn't see this in the theater but saw it the first week it was out for rental, and have enjoyed it ever since. In fact, I probably enjoy this more each time I view it. It's a sick movie, though, make no mistake about that. However, it holds a strange fascination, probably because of the odd characters.",e
3,2 October 2005,blanche-2,10, You have no call to get snippy with me.,"I just love McDormand's face when she says that line - she takes a beat, her facial expression doesn't change, and then it comes out of her mouth like she's ordering a hamburger. Brilliant.",v
4,31 July 2015,AlsExGal,9, Another jewel from the Coens,"This movie opens with the words ""This is a true story. The events depicted in this film took place in Minnesota in 1987. At the request of the survivors, the names have been changed. Out of respect for the dead, the rest has been told exactly as it occurred."" I never challenged these words, but apparently no such incidents as depicted in this film ever occurred. The movie plays out quite believably - A middle-class car salesman gets in over his head financially by embezzling from his employer, thinking that the business deals he is making with the money will allow him to replace the stolen goods before he is detected. When his schemes don't pan out he must find a way to replace the money. The salesman's father-in-law - and employer - is wealthy but distant and indifferent towards him, so he hatches a plan to fake his wife's kidnapping with the help of two felons he doesn't know at all who are ""vouched for"" by an ex-con mechanic that works at the same dealership he works for. He figures his father-in-law will pay the ransom, he'll split it with the felons, and his problems will be solved. This is not to be the case. It turns out that these felons are more violent and uncontrollable than the salesman counted on, and they leave quite a body count in their wake. Also, in another clever twist, what becomes of the ransom money over which so many greedy people in the film have fought and died is quite ironic to say the least. Although I wouldn't exactly say we read this story in the paper everyday, we all have read something similar - someone who has lived an ordinary life for several decades suddenly gets tempted into some criminal activity that quickly escalates out of control.",i
5,13 April 2005,paul2001sw-1,7, Cold-hearted,"The Coen brothers' 'Fargo' is nearly a great film: a beautifully shot, blackly comic thriller that quietly subverts every convention of the genre. This is a film where the remote mid-western city of Minneapolis plays the same role as New York in a normal crime story, a hub of civilisation and vice; where the hero is a woman (and a heavily pregnant, happily married woman at that); and the chief villain a car salesman of absolutely no slickness whatsoever. In a final irony, most of the action doesn't even take place in Fargo, but in the even more obscure town of Brainerd. Yet I found it hard to love this film. At brief moments (in depicting the relationship of policewoman Marge, played superbly by Frances McDormaid, and her husband), it feels astonishingly tender, yet at others, it feels as if it is simply making fun of the strange folks from outer America with the wacky accents and absurdly stoical demeanour. And the combination of deadpan acting and frankly silly plot excess sometimes works and sometimes doesn't. Above all else, perhaps, 'Fargo' lacks a beating heart: while nearly moving, and nearly funny, there's a part of this film that refuses to commit itself, that prefers to hold back and mock not just its subjects, but also the idea that a film should take itself seriously. The Coens are widely celebrated as among the best film-makers of our age, but watching their films, I usually end up wondering whether irony is not a slightly over-rated virtue. Fargo looks lovely, and weird, and has a wry outlook all of it's own; but it won't make you laugh out loud, or cry. If it wasn't called a masterpiece I might almost like it.",e
6,12 November 2005,Stibbert,8, Thank's a bunch for this one,Fargo is a great piece of movie. It has a strong story and a strong cast. It's down to earth and believable.,w
7,11 July 2016,Leofwine_draca,10, My favourite Coen brothers movie,"The Coen brothers can always be guaranteed to deliver a quirky, diverting, off-key movie experience, and FARGO remains their most successful movie to date; a story of small-town life, dead cold temperatures, and a bloody crime wave. As with the majority – if not all – of their films, it's a densely-plotted, intelligently-scripted story, with a cold grasp on reality throughout but nevertheless some absurd situations to enjoy.",/
8,31 January 2006,jotix100,10, Paul Bunyan territory,"Joel Coen the director of ""Fargo"", proves he is one of our best directors with this tale of deception and murder told in a style that takes humorous turns in the action. ""Fargo"" is one of the best American films of the nineties. Joel Coen working together with his brother, Ethan, have made pictures that will be viewed as classics, as time will tell. Their movies are always an excellent way to spend some time because they always manage to deliver, even in films that aren't popular with the public.",r
9,23 February 2021,planktonrules,8, I'm glad I gave this one a second chance.,"I saw and reviewed ""Fargo"" long ago and I decided to re-watch it tonight....and I am glad that I did. The first time I saw it, I gave it a very poor review....and this time I appreciated it much more. I think the reason, though, isn't all my fault. I think it is because the film had SO much hype....so many people saying it was brilliant that the film simply could NOT live up to all the hype. In other words, while a very good film, it certainly was hyped a LOT when it debuted and garnered a lot of attention during the Oscars. I think it also didn't help that they called it a comedy...which it really isn't.",w
