Review_Date,Author,Rating,Review_Title,Review,Review_Url
0,13 January 2012,claudio_carvalho,10, Mankind Is Flawed,"In Tehran, the teacher Simin (Leila Hatami) has requested the divorce from her husband, the bank clerk Nader (Peyman Moadi). Simin wishes to live abroad to give a better life to her eleven year-old daughter Termeh (Sarina Farhadi) and Nader, who is a family man but very arrogant, wants to stay to take care of his father (Ali-Asghar Shahbazi) that has Alzheimer. Simin moves to the house of her mother and Nader hires the religious Razieh (Sareh Bayat) to take care of his father while he is working. ",/
1,2 September 2011,krisrox,9, Do yourself a favor - make sure you see this movie,"Caught ""A Separation"" in Amsterdam last night, fully unprepared for its greatness. I hadn't been swept off my feet for a while, but this Iranian Hitchcockian drama sucked us in for 123 minutes and left us very, very impressed.",r
2,10 October 2011,stensson,9, Maybe the movie of the year,"And it comes from Iran. The first thing you read on the screen is ""In the name of God"". Well, anyway it's the best story, the best cutting, the best actors you've seen for long. And few films are that stomach-turning, although there's hardly any physical violence.",e
3,16 February 2011,Radu_A,10, The Swan Song of Iranian cinema?,"Asghar Farhadi's new film after the ingenious 'About Elly' is running for the Golden Bear at this year's Berlin Film Festival and, with half of the competition done and the rest of the program not looking too promising, appears to be an almost inevitable winner. Although maybe it won't for that very reason: Jahar Panahi's repeat inability to attend his jury duties because of Iran's government refusal to issue him a travel permit, a retrospective of his works including the 2006 Silver Bear-winning 'Offside', a variety of other Iranian productions and renewed demonstrations in Iran proper put the spotlight firmly on that country's elaborate, yet constrained film industry. All that buzz may outshine the film's artistic value, and prompt the jury to go for a less favored competitor. I should hope not, for Farhadi manages once again to embed lots of social criticism into a straight-laced, realistic narrative.",v
4,28 December 2011,Ramascreen,10, Wow! Just.. wow!,-- www.Ramascreen.com --,i
5,28 February 2012,ElMaruecan82,10, A gripping and heart-pounding universal masterpiece ... made in Iran ...,"""A Separation"" is an intense and powerful examination of the eternal conflict between human emotions, personal convictions and Law, whether political or religious, and it happens to be –I believe- the best film of 2011.",e
6,9 July 2011,markgorman,9, Iranian cinema lands in the west with a bang. Phenomenal.,"I've never seen an Iranian move but the country has a rich movie culture that has broken through with A Separation which won the Golden Bear, best actor and best actress awards at Berlin earlier this year. And I can understand why.",w
7,25 March 2011,mrbarooee,10, unsaid words can turn into a separation,"It seems that a court room drama could be the best place for Frahadi to recreate his very own world and confront us with a short and somehow faraway situations and incidents in life. We think these kinds of happenings and conflicts would not take place in our lives but with his realistic world and characters they seem so close and possible to anyone. Asghar Farhadi loves to put his audience in place of judge, as his other pictures like About Eli or Fireworks Wednesday and here with no fear he takes us straight to a court room. But the thing is that the judge does not provide any help for us to make a clear judgment and surprisingly makes the situation even more complicated. Yes Farhadi doesn't want us to make a judgment, He makes us watch and observe and leave the theater with a big fork in front of us.It Seems that any single decision creates another world full of forks and not taken ways.",/
8,1 February 2012,planktonrules,9," While not especially pleasant viewing, it's a very complex film--the sort that will get you and your friends talking.","Over the years, I have watched perhaps thousands of international films. And, I've come to be impressed by the films of three countries--France, Japan and, surprisingly, Iran. In fact, although I've seen far fewer Iranian films than either Japanese or French, the Iranian films have always been exceptional...always. Their track record with films you can see here in the States is amazing. Part of it is because the nation has produced Majid Majidi--a truly brilliant filmmaker who, oddly, has only received on Oscar nomination and no wins. Yet, easily, he could have won several times with such brilliant films as ""Chidlren of Heaven"", ""The Color of Paradise"", ""The Willow Tree"" and ""Baran"". I have also seen several other wonderful film by other Iranian directors. So, I was quite interested in seeing ""A Separation"" when it arrived at a local theater. And, I am glad I had a chance to see it.",r
9,7 April 2013,TheLittleSongbird,10, For me A Separation is definitely one of the best films of 2011,"Hearing how highly regarded A Separation was among my IMDb friends, I knew I had to see it. My only question is how on earth did it take so long for me to do so? I can only put it down to being behind with my film watching because of uni, because A Separation is a fantastic film and deserves all ounces of praise it gets and some. That is my opinion though, because I know people will find that it is not their cup of tea and have no problem with that. What was it I loved about A Separation? A lot of things actually. It was a very well made film. The scenery is striking and authentic, and the cinematography is intrusive and relentlessly, but this adds to the impact of the story rather than detracts from it. Asghar Farhadi's direction similarly is supremely controlled. A Separation is remarkably written as well. The writing is intelligent and insightful, avoiding any kind of melodrama or moralising. Not just that but it succeeds also in exploring the characters without any kind of prejudice, and that is including Hodjat. The story is quite a complicated set-up, but compelling and moving. It gives the audience time to breathe, but with the tension and drama that fuels what is happening in the storytelling I found myself never being able to look away. The characters are sensitively explored, and while I've not seen About Elly in a while I do remember that I didn't relate as much to the characters there than I did here. The acting is wonderful, Leila Hatami(especially good), Peyman Moadi, Shahab Hosseini and Sareh Bayat give performances that wholly justified the sharing of the Silver Berlin Bear. One mustn't forget Sarina Farhadi, whose increasing intensity in her acting is what makes A Separation's storytelling and the case it depicts even more engrossing. In conclusion, one of the best of 2011, considering how hit and miss that year was for films that's saying a bit. 10/10 Bethany Cox",w
10,2 December 2011,jsrees,10," thoughtful, brilliant film","This is the first Iranian film I've seen, and I'm recommending it to every-one I know. It is so well-crafted; the twists of the plot throw up new moral dilemmas for all the protagonists, which are explored sensitively and without judgement - so refreshingly unlike mainstream American films. I felt sympathy for all the characters, even the threatening Hodjat, full of misplaced rage which often erupts volcanically. And as a footnote, the film felt like an intimate view into a society that our news media portray as monochromatic and extremely foreign. (I am writing this a few days after the UK embassy in Tehran was ransacked)",4
11,28 May 2012,CrisPat,10, right or wrong. right and wrong.,"I wouldn't have been more glued to the screen if I watched a blockbuster action movie. I've seen too many of them, I forget them before the credits roll. Now, it's a film without any nudity, crime lords, drugs or swearing to pin me down for a breathless, profound two hours.",2
12,24 March 2011,hideous_stranger,10, You be the judge...,"I'm an Iranian, but I've never been interested in Iranian cinema. I only watch Iranian films when they win awards or receive international recognition. I'm a fan of Kiarostami and Majidi, but I can't really say that I like all of their films. I watched Farhady's previous film (About Elly) about a year ago, and the first thing which struck me was how culturally detached the movie was in its depiction of an event. At the time, I believed this to have been the cause of this director's success. Watching Nader and Simin, however, proved that I was terribly mistaken.",1
