Review_Date,Author,Rating,Review_Title,Review,Review_Url
0,5 March 2007,bkoganbing,10, Working The Big Con,"The Sting, evoking a bygone era of gangsters and con men, was the deserved Best Picture of 1973. The Sting won that Oscar plus a whole flock of technical awards. One award it didn't win was for Robert Redford as Best Actor.",/
1,29 December 2004,slokes,9, Everything's Jake In Second Trip To Well,"The fix is in, the odds are set, and the boys are ready to play for the big time, both on the screen and behind the camera in this breezy, endlessly entertaining movie classic.",r
2,14 May 2005,Doylenf,9, The clever plot makes multiple viewings mandatory for full enjoyment...,THE STING is so full of twists and turns at every unexpected moment that it never stops drawing you into all of its traps. All of it is performed at a fast clip and the performances have all the nuances needed to keep you entertained and in suspense.,e
3,15 March 2004,JamesHitchcock,9, The Moral Order Restored,"Johnny Hooker and Luther Coleman are 'grifters' or confidence tricksters in 1930s Chicago. Unknown to them, however, one of their victims works for a vicious local gangster named Doyle Lonnegan, and when Lonnegan finds out what has happened he has Luther murdered. Hooker is not a violent man by nature and admits that he does not know much about killing, but nevertheless wishes to take revenge for his partner's death. He decides that the best way is to hurt Lonnegan's pride by relieving him of some of his wealth. He joins forces with another con man named Henry Gondorff, and together they come up with an elaborate plan, not only to cheat Lonnegan, but also to do it in such a way that he never realises that he has been cheated. The plot unfolds with great ingenuity; until the final denouement the audience are never quite sure which developments are for real and which are part of the elaborate scheme.",v
4,5 May 2014,planktonrules,10, Quite good--especially the first time you see it.,"It's been decades since I've seen ""The Sting"" and I decided to try watching it again. As a result of having seen it a couple times, I have some impressions I might not have had the first time. First, the film is awfully pretty--with some of the nicest titles and intertitle cards I've seen. It also is well-constructed--with several plots being interwoven quite well--a tribute to the director, George Roy Hill. The acting is quite nice and it's interesting that the film won seven Oscars--and none of them for acting! And, just like the first time, the Scott Joplin tunes are terrific. The only real negative is that because I'd seen it before, there were no surprises--and surprises are what makes this such an enjoyable film. Without the surprise, the film lacks something the second time--something that isn't true for all films. ""O Brother, Where Art Thou?"", for example, seems to get better each time you see it--but ""The Sting"" does because the movie is so dependent of surprise plot twists.",i
5,14 September 2013,AaronCapenBanner,7, Fun Caper Comedy.,"Paul Newman & Robert Redford reunite for this Academy Award winning film directed by George Roy Hill about two con men who team up to avenge the death of a mutual friend by ""stinging"" a mob boss(played by Robert Shaw). Film details their intricate plan to do so, which involves an excellent cast including Charles Durning, Ray Walston, & Eileen Brennan, among others. The story climaxes in an elaborate swindle that may well fool the audience. Fine use of vintage 1930's jazz music appropriate for the period.",e
6,21 February 2005,gelman@attglobal.net,10, And Don't Forget Scott Joplin!,"I agree 100 percent that this is a wonderful movie. I first saw it over 30 years ago, and it remains vivid in my mind while I can't remember zip about movies I saw last week which others have praised and I found wanting. I can't think of another film about double and triple crosses that deserves to be mentioned in the same sentence with ""The Sting"" (which doesn't mean that some of the others haven't been good). In addition to all the things that others have praised, one of the most memorable features of this film is the use of a Scott Joplin rag, which both lends a distinctive period touch and adds a sense of fast-paced motion to the action. I'm not much for ranking films -- top five, top ten, top 250 -- but this is one of the best. If you haven't already seen it, drop everything and find the DVD. As pure entertainment, it can't be beat.",w
7,4 July 2005,Nazi_Fighter_David,9," Undoubtedly a captivating tour de force...,","Newman was again teamed with director George Roy Hill and Robert Redford, and the two stars again played outlaws who are basically easy-going and human, and whose criminal exploits are comically engaging ",/
8,14 April 1999,Coxer99,10, The Sting,"Great comedy-crime caper with giants Newman and Redford rekindling their ""Butch & Sundance"" flame to take down crime lord Robert Shaw (his finest role). Marvin Hamlisch beautifully recreates Scott Joplin's great music, while director George Roy Hill and screenwriter David S. Ward keep the film moving with snappy dialogue, wonderful art direction and editing and an excellent supporting cast. Followed by a sequel ten years later with Jackie Gleason.",r
9,17 November 2013,SnoopyStyle,7, Reunion isn't quite as fun,Johnny Hooker (Robert Redford) cons a passerby of his cash. The problem is that the passerby was delivering money for a mob boss Doyle Lonnegan (Robert Shaw). Doyle vows to hunt down the petty crocks and kills Hooker's partner. Hooker goes on the run and gets the help of Henry Gondorff (Paul Newman) seeking a long con revenge.,w
10,5 March 2006,gavin6942,7, Newman and Redford: The One-Two Punch,"As I type this, this movie sits at #83 on the all-time greatest movies list. Almost makes me guilty for only giving it a 7 and possibly dropping it to 84, but to be honest it wasn't the greatest movie I've ever seen. But it also wasn't the worst.",0
