Review_Date,Author,Rating,Review_Title,Review,Review_Url
0,28 November 2013,SnoopyStyle,9, The quintessential Vietnam war movie,"It's September 1967, and Chris (Charlie Sheen) has just arrived in Vietnam. He is sheltered and his father and grandfather fought in the military. As the new guy, nobody cares to be his friend. Lt. Wolfe (Mark Moses) is a weak ineffective leader. His men are divided in two. Some are followers of the cruel Sgt. Barnes (Tom Berenger). Others are followers of the humane Sgt. Elias (Willem Dafoe). In the end, Barnes and Elias are in a struggle for Chris' soul.",/
1,14 October 2015,ivo-cobra8,10, A Realistic Vietnam film Oliver's Stone's masterpiece,"Platoon is a 1986 American war film written and directed by Oliver Stone one of the most strongest realistic anti war films of all time. It is one of the best Vietnam war films I have ever seen that won the Academy Award for Best Picture of 1986 and best Director for Oliver Stone, as well as Best Sound Mixing and Best Film Editing. Stone's Vietnam film portrayed a real life human been on his point of view of the story telling that went on in his real life that he experienced after his tour of duty in Vietnam ended in 1968, Oliver Stone wrote a screenplay called Break: a semi-autobiographical account detailing his experiences and the life he was in Vietnam. The characters were portrayed more then a few soldiers they were portrayed more as a human been than been soldiers obeying an order.Platoon shows the Vietnam War was a big mistake, but being a fictional documentary on Vietnam is far from its purpose. It is one of my personal favorite war movies. I love this movie to death. ",r
2,3 September 2003,Theo Robertson,9, One Of The Best Movies Of The 1980s,"The 1980s in general and the mid 1980s in particular aren't highly regarded where pop culture is concerned , this is most especially true in cinema where films seemed to be written around their soundtrack in much the same way as Hollywood movies nowadays seem to be written around their special effects . PLATOON is one of the very few films from that period that has an emotional impact , an impact that it still retains while watching it in 2003. ",e
3,4 January 2011,gigan-92,10," ""When I﻿ die, bury me upside-down, so the world can kiss my ass""","A+ Undoubtedly one of the best war films ever made, if not one of the THE best films of all time. Where to begin with such a film? A lot of this goes to Oliver Stone, who actually served in the God-forsaken jungles of Vietnam. The film really brings to light the atrocities and pointlessness of the Vietnam War full force, all cleverly represented by the soldiers who fought these not so courageous and valor-filled battles.",v
4,27 October 2016,tomgillespie2002,9, Still packs a punch 30 years on,"Ever since Steven Spielberg wowed the cinematic world and changed the aesthetic of the war movie forever with the exceptional opening 25 minutes of 1998's Saving Private Ryan - the film went downhill from there - audiences have come to expect the same grainy camera-work and ultra-realism of Spielberg's breathtaking vision whenever a battle is depicted. Anything else would be 'unrealistic', and many movies dated horribly almost overnight as a result. While Oliver Stone's Platoon, which was once considered difficult to watch due to its unflinching depiction of the insanity of war, may not seem quite as brutal as it used to, it possesses one thing that no war other movie can boast - the guiding hand of a veteran.",i
5,9 January 2010,planktonrules,10, Thoroughly unpleasant viewing...,"This is a very, very hard film for me to review. I was too young to be in Vietnam (thank God) and I have no idea what the real Vietnam War was like. Was it like John Wayne's THE GREEN BERETS? I am sure it was not! But, was it like PLATOON? I just don't know. Did the soldiers in the war do drugs, kill civilians and run amok? Yes, but whether or not it was the norm (like it was shown in this film), I just can't say. Some Vietnam vets I've spoken with say this film is accurate, others say it over-emphasizes isolated incidents because it has an agenda. I just don't know, especially since director Oliver Stone does have problems, at least in some films, with fictionalizing events (such as in JFK and Alexander). Regardless, it is a very powerful film.",e
6,15 May 2002,Agent10,8, Excellent look at Vietnam,"This certainly rates as one of the best Vietnam films of all time. What I especially enjoyed was the realistic atmosphere of the film, entrenching the viewer into a world which seems surreal yet believable. Oliver Stone's real-life experience in Vietnam brought a gifted outlook to this film, one drawn by experience, not common Hollywood conventions. While this proved be a lesser film to the equally amazing Full Metal Jacket, it was not by much. The performances by Tom Berenger, Willem Dafoe, Charlie Sheen and John C. McGinley were exceptional, capturing the plight of the tortured soldiers.",w
7,2 February 2018,asifahsankhan,8, Platoon focuses on the moral decay of the soldiers in the most unpopular war in modern American history,"Many great war films of the Vietnam conflict are centered around these themes of blurred morality and the uselessness of war, and Oliver Stone's Platoon is among the most well known. Stone, who wrote and directed the film and also served as an infantryman in Vietnam, first rose to fame for his war films that dramatized the infamous Cold War conflict. The main premise of his magnum opus are the inner conflicts within US forces deployed to southeast Asia, rather than the actual physical conflicts between them and the Communist-allied Vietnamese forces. More broadly, Platoon analyzes the ""duality of man"" concept that has been studied in numerous other works, from fellow Vietnam War films like Full Metal Jacket (1987) and Apocalypse Now (1979), all the way back to the latter's source material and inspiration in Joseph Conrad's Heart of Darkness. ",/
8,8 May 2004,red_core,9, within Vietnam and beyond,"Platoon is generally regarded as one of the strongest anti-war films of all time. While this is certainly true, what's often overlooked -- at least after only one run through the film -- is that it's chiefly a tale of God vs. Satan, and the war is there to set a perilous backdrop. No doubt, Platoon shows the Vietnam War was a big mistake, but being a fictional documentary on Vietnam is far from its purpose.",r
9,10 November 2013,ASuiGeneris,8," An illuminating expose on the long-lasting, personality-changing effects of the military and war...","I don't usually like war movies, at all. Platoon was an unexpected exception. Oliver Stone's first of three Vietnam War films, for me it really came down to an educational expose of the psychological trauma unique to war. With an all-star ensemble cast, the performances were exceptional. From what I have read, this can be attributed to training from a retired Marines Captain as well as director Oliver Stone's personal history as a Vietnam soldier. I believe Platoon to be an accurate representation of war on a micro scale, but not a macro one- any and all of these events could have and probably did happen at some time during the war, but it is unlikely that this much could happen between such a small number of men in such a short amount of time. The protagonist is played by none other than a young Charlie Sheen at his prime. Taylor's words of wisdom throughout the film are a testament to the long lasting effects of war. Veterans have a stereotype personality: more often than not, someone more logical than emotional; a lover of order, rules, and regimen; individuals willing to sacrifice for the greater good; a cool, collected, logical decision maker and leader even under high-pressure circumstances. As with all stereotypes, it is rooted in truth. Studies have shown that individuals attracted to the military tend to, overall, be a little less agreeable, extroverted, and friendly than those who do not seek it out. One study in particular finds them to be ""more aggressive"", ""interested in competition rather than cooperation"", and ""less concerned about the feelings of others"". These particular personality traits, whereas obviously not so great for romantic relationships or for forming lasting friendships, are often an asset in career success. For example, these individuals are more likely to make the difficult decisions sometimes necessary for success. ",w
