Review_Date,Author,Rating,Review_Title,Review,Review_Url
0,11 April 2005,nycritic,10, What an Action Thriller Should Be.,"VERTIGO did nothing to advance Hitchcock's career in 1957 when he released it, and it's actually not a shame: the following year he decided to go completely against the slow-moving erotic thriller genre and do something shamelessly commercial, escapist and single-handedly create the spy movie. Ian Fleming, author of the James Bond novels, states he based his character on the physical characteristics and the suave personality of Cary Grant, as an added note. This could well amount to be the first James Bond film -- a dangerous villain complete with a sidekick, an alluring woman with a dubious nature and an enigmatic ""boss,"" a dashing hero, lush locales setting the scene for powerful chases and escalating danger.",/
1,30 October 2005,jotix100,10, Strangers on a train,"Alfred Hitchcock's ""North by Northwest"" is one of the best films in his long and distinguished career. Part of the success of the movie lies in the screen play by Ernest Lehman, one of the best writers of that era. Also, the haunting music by Mr. Hitchcock's usual collaborator, Bernard Hermann, adds texture to what we are seeing. Together with all the above mentioned qualities, ""North by Northwest"" was photographed by Robert Burks and was edited by George Tomasini, both men did outstanding jobs to enhance a film that shows a mature and inspired Alfred Hitchcock.",r
2,9 June 2009,TheLittleSongbird,9, Enormously entertaining film from Alfred Hitchcock!,"My favourite director, Alfred Hitchcock has directed many classics like Psycho, Rear Window and Vertigo, and I will say that this deserves to be up there among his best. I absolutely loved it! The best aspect of this movie is the always charming Cary Grant in a brooding and entertaining performance as Roger Thornhill, a man wanted for the murder of a diplomat. Solidly supporting him all the way are the lovely Eva Marie Saint as Eve Kendell and oily James Mason as the villainous Vandamme. They are further advantaged by some excellent camera-work and a wonderfully atmospheric music score. The script is focused and suspenseful, and Hitchcock's direction ensures the film rarely slips, even if some of the complicated plot does fly over people's heads. The climax though is simply the icing on the cake. Overall, a hugely enjoyable film, which I will give a 9.5/10. Bethany Cox",e
3,20 October 2001,bsmith5552,9, Superb Hitchcock Thriller!,"""North By Northwest"" is another of Alfred Hitchcock's thrillers where an ordinary man is put into an extraordinary situation. As in most of these movies, the hero has to quickly adapt to his situation or perish.",v
4,24 July 2004,Ben_Cheshire,8, I finally get how great it is: Hitch infuses his wrong-man caper with ironic movie language and reality-be-damned escapism and suspense.,"Its Hitch's most briskly entertaining movie, and one of his most comic, adventure-caper type movies, largely thanks to the persona of Cary Grant. But its also one of his most suspenseful - in the fact that Grant is being recognised as someone else, and that he may be put in jail for someone else's crime.",i
5,12 January 2009,Nazi_Fighter_David,8," ""That wasn't very sporting, using real bullets.""","Cary Grant handles the twisted expressions of his face, his astonished look, his impulsive smile with professional self-assurance and charm while taking us right in the middle of confusion on a breathless 2000-mile cross-country chase which has its gripping showdown across the giant faces of the presidents sculptured on Mount Rushmore high above Rapid City, South Dakota ",e
6,10 November 2003,slokes,8," Smoke and mirrors, without apologies","The one famous gaffe people point out in this film is when a small boy can be seen plugging his ears just before Eva Marie Saint brings her café conversation with Cary Grant to a sudden end. Another gaffe, just as egregious and apparent but not nearly as commented on, is when Cary and Eva, clutching an incriminating statute, are rock-climbing around a quartet of famous presidential heads until a bad guy suddenly appears and leaps upon him. Whereupon the surprised, backward-falling Cary has the presence of mind to hand the statute to Eva, who takes his from him whilst in mid-scream. Do me a favor and read that last sentence again. What director today would allow such a scene past the editing room?",w
7,25 December 2000,movieman9,10, Top-notch suspense /adventure film still looks great after 40 years!,"For Christmas this year, I received my first to-own DVD: Hitchcock's classic, NORTH BY NORTHWEST. After over 40 years, this rip-racing adventure-thriller still packs a punch and looks great on widescreen. This movie came along during a renaissance period for the Old Master, between masterpieces like VERTIGO and PSYCHO, but this excursion into the world of suspense is so different from anything else Hitchcock had created up to that point. Never did he challenge our endurance to keep still in our seats for such a long period of time, and yet the film's 135 minutes go by so fast it could only be explained by movie magic itself.",/
8,18 April 2018,artoffilmorg,9, North by Northwest and then some,"Hitchcock at his sharpest. Art and commerce in a delicious salad with all the right ingredients. A brisk screenplay by Ernest Lehman a Cary Grant that is just pure delight, Eva Marie Saint fresh out of her Oscar from ""On the Waterfront"" is an icy blonde with a brain. James Mason, the ultimate foreign sinister not to mention Jessie Royce Landis and Hitchcock brings Bernard Herrmann to wrap it all up in one of the most infectious scores imaginable. A real treat.",r
9,23 April 2008,ags123,10, A towering achievement.,"This is Hitchcock's best film  quite an accomplishment, considering how many great films he created. And after half a century, ""North By Northwest"" holds up beautifully. This film has it all: suspense, glamour, humor, and images that capture the imagination and remain etched in memory. The legendary crop-dusting sequence alone is a master class in the art of pure cinema. Like the rest of the film, it's brilliantly conceived and brilliantly executed. All the elements come together to produce the finest form of entertainment. Bernard Herrmann's frantic fandango captures the complexity and pace of the action. Ernest Lehman's script is full of sophisticated dialogue. Performances are spot on. Has Cary Grant ever been more engaging? Is James Mason the ultimate in charming villains? And Eva Marie Saint's allure is multi-faceted. Movies just don't get better than this.",w
