Review_Date,Author,Rating,Review_Title,Review,Review_Url
0,16 January 2005,slokes,10, The Fundamental Things Apply...,"""Casablanca"" remains Hollywood's finest moment, a film that succeeds on such a vast scale not because of anything experimental or deliberately earthshaking in its design, but for the way it cohered to and reaffirmed the movie-making conventions of its day. This is the film that played by the rules while elevating the form, and remains the touchstone for those who talk about Hollywood's greatness.",/
1,23 August 2003,Jaymay,10, HOW TO WATCH THIS MOVIE,There are literally hundreds of comments about this movie on IMDB.  Many of them exhort its greatness.  I don't disagree with them.,r
2,8 March 2006,bkoganbing,10," .....it's still the same old story, a fight for love and glory, a case of do or die, the world will always welcome lovers, As Time Goes By.""","It's one of the great Hollywood legends how George Raft helped make Humphrey Bogart a leading man by turning down in succession, High Sierra, The Maltese Falcon, and Casablanca. Maybe Raft showed some good sense in letting a better actor handle those roles. In any event we've got some proof in the case of Casablanca.",e
3,10 November 2004,kdryan,10, A masterwork for all time...,"There is a scene about halfway through the movie Casablanca that has become commonly known as 'The Battle of the Anthems' throughout the film's long history. A group of German soldiers has come into Rick's Café American and are drunkenly singing the German National Anthem at the top of their voice. Victor Lazlo, the leader of the French Resistance, cannot stand this act and while the rest of the club stares appalled at the Germans, Lazlo orders the band to play 'Le Marseilles (sic?)' the French National Anthem. With a nod from Rick, the band begins playing, with Victor singing at the top of HIS voice. This in turn, inspires the whole club to begin singing and the Germans are forced to surrender and sit down at their table, humbled by the crowd's dedication. This scene is a turning point in the movie, for reasons that I leave to you to discover. ",v
4,14 July 2011,ElMaruecan82,10," We'll always have ""Casablanca"" ...","A few movies managed to achieve such a legendary status. Think about it, all you have to do is to hum the first notes of 'As Time Goes By'  ta-da ta-da ta-daaa  and a whole universe resurrects in your memories, forever incarnated by these two profiles staring at each other, Humphrey Bogart in the iconic trench-coat of his career-defining role, and Ingrid Bergman, as gracious as ever.",i
5,30 November 2004,smatysia,10, Here's looking at Ingrid Bergman,"Wow! Ingrid Bergman was at her best in this one, as well as her most sad, doe-eyed, beautiful. The part of Rick seemed made for Bogey, with the snappy repartee, and the cynical shell around what Renault refers to as ""a rank sentimentalist"". It seems like every time I see this film I notice something new. This time it had to do with the Bulgarian woman, Annina Brandel, who Rick rescues from the carnal plotting of Captain Renault. I never gave this scene much thought, just assuming that it was a way to plumb the limits of Rick's cynicism, as noted above. But later, during the scene where Ilsa tells Rick that she'll stay with him if he will use the letters of transit for Laszlo, I realized that the two scenes were a common theme, that Rick realizes he'd be no different from Renault if he followed through with that. I guess one gets lazy seeing modern Hollywood fare. Nowadays, the director would have used a flashback image or something, in order to bludgeon the viewer with the correlation. But back then, with a better-educated public, one could allow audiences to discover things for themselves. It was also skillful how these films could be more or less suitable for children, as well as adults. When I saw this film as a child, it never occurred to me that Rick and Ilsa had had sex. But the clues, while too subtle for a child, were pretty obvious to me as a man. Like many people this film is my all-time favorite. Grade: A+++++",e
6,17 March 2003,Dockelektro,10, Now I finally know why this one is one of the best,"Probably the most legendary movie of all time, I finally got to see it, it was a great hole in my movie-viewing history. And finally I got to understand why a classic movie like this has made its mark in history. The intricate political plot comes first, and sets the movie on a melting pot of the second world war, where everyone hopes and dies for an opportunity to reach the USA via Lisbon. This would provide sufficient material for hundreds of movies, but enter Humphrey Bogart, Ingrid Bergman, magnificent cinematography, role model storytelling, a perfect supporting cast, some of the best dialogue ever commited to celluloid and Dooley Wilson singing THAT song, and history was made. More than 60 years of jaw-drops are sufficient to give the sceptics a good reason to make them understand that this is probably the greatest classic movie of all times, and one of the best ever made in the past, present and future.",w
7,30 December 2008,planktonrules,10, A perfect film.,"Although I have so far reviewed over 5700 films, I haven't yet reviewed CASABLANCA--mostly because nothing I can say about the film can add to the many excellent and insightful reviews for this cinematic masterpiece. But, having seen it several times, I guess it's worth at least saying a few words out the film.",/
8,25 March 2018,Sober-Friend,10, A Perfect Film But Let's Clear Up A Few Rumors,"In December 1941, American expatriate Rick Blaine owns an upscale nightclub and gambling den in Casablanca. ""Rick's Café Américain"" attracts a varied clientele, including Vichy French and German officials, refugees desperate to reach the still-neutral United States, and those who prey on them. Although Rick professes to be neutral in all matters, he ran guns to Ethiopia during its war with Italy and fought on the Loyalist side in the Spanish Civil War.",r
9,1 April 2019,gpeevers,10, Greatest Film Ever for Me,"Why do I consider this to be the greatest film ever, to begin with I consider it to be the most enjoyable film I have ever watched and the most re-watchable. The key ingredients in my mind include; wonderful dialogue (so many quotable oft repeated lines), amazing performances, a superb story that while relatively straightforward is also highly enjoyable and finally the great black and white cinematography. Beyond these ingredients its also a film moves quickly and I can't think of a single scene I found either uninteresting or unnecessary.",w
10,21 June 2009,TheLittleSongbird,10, One of the best black and white films I have ever had the privilege of watching!,"Casablanca is just an extraordinary film, if I had to describe it in one word, it would have to be perfection! I honestly don't care that it's an old film, I personally think that's not a convincing enough excuse for hating a film as wonderful as this , because you are seriously missing out, if you haven't seen it. The cinematography is just fantastic, with clever brooding camera-work. The music by Max Steiner is outstanding, from the sweeping haunting love theme As Time Goes By, to the excerpts of the french national anthem. The scene where everyone starts singing in the café was extraordinary and one of the many highlights of the film. The screenplay is unquestionably one of the finest in the history of cinema, right up there with Shawshank Redemption and All About Eve, containing great memorable lines such as ""seems as though Destiny is at hand"". The performances were superlative, Humphrey Bogart giving one of cinema's greatest lead performances as the ""cynical sentimentalist"" Rick Blain. Also superb are Ingrid Bergman who positively lights up the screen as Ilsa, the young woman who breaks his heart, Paul Henreid as the fugitive husband, and Claude Rains as Captain Renault. The plot is a little complicated, but I couldn't help being impressed with the performances and the screenplay. Not to mention a timeless love story that I don't think has ever been topped. Overall, a masterpiece, that quite rightly received an academy award for best picture. 10/10 Bethany Cox",5
11,28 November 1999,Nazi_Fighter_David,10, Cinema par Excellence!,"Michael Curtiz's ""Casablanca"" opens on maps while a narrator gives a detailed exposition of the many twists and turns of Casablanca in the French Morocco, as a refugee route from wartime Europe...",8
12,17 October 2009,secondtake,10," The writing, the character actors, the lighting, and then, for dessert, some romance, too. Oh, and America goes to war at last.",Casablanca (1942),6
13,1 February 2012,gigan-92,10," ""It seems destiny has taken a hand.""","This film is a monumental piece of film history. I can honestly it might just be one of the best movies of all time. If anything, you have to acknowledge the writing. Almost every single line of dialogue in the film is a household terminology to this day, most people paying tribute to the film without even knowing it. That's why I wanted to use a less popular quote for the title, and it has its own meanings within the film. Another joy of the film is composer Max Steiner; yes, Max Steiner of 1933's ""King Kong"". His music is timeless, and he captures the mystery and romance of the film perfectly.",8
14,27 August 1999,Danimal-7,10," For all-around entertainment, the best I've ever seen","CASABLANCA is the best treatment ever of the ancient theme of the love triangle.  Set in World War II Casablanca, a Moroccan city under the control of the collaborationist Vichy French government, the movie starts with a news wire that two German couriers have been murdered and their letters of transit stolen.  Each letter will permit one person to leave Casablanca to a neutral country.",1
