Review_Date,Author,Rating,Review_Title,Review,Review_Url
0,20 March 2017,mark.waltz,10, One of the great theatrical examples of what makes for superb drama.,"Theater at its best is practically impossible to get down on film correctly. When Hollywood gets it right, they create a work of art. In this case, they did it simply, without frills, casting actors who looked real and fell into their individual parts like kids into a swimming pool on a hot summers day. It's the hottest day of the year, and these twelve men must decide the fate of an accused killer. But twelve men means twelve personalities, twelve temperaments, twelve political views, twelve religious opinions and twelve preconceived notions. As the temperature swells, so does the temperament. ",/
1,31 January 2020,henriquelrf,10, Dont judge by the age!,"For a while I was not very receptive to watching films that were too old. I always thought it would be difficult to get involved in the context, I couldn't be more wrong! 12 angry men, is a great example of how a simple film can do magic with good actors, and what great actors they are!",r
2,29 December 2006,Smells_Like_Cheese,10, Terrific drama with some of the greatest actors in cinematic history,"Gosh, I don't know how many times I studied this play and performed it in high school, not to mention how many television shows had an episode that was inspired by 12 Angry Men. It was always a great drama because of the raw human emotions that were so true and remain timeless, this play will never be dated. I couldn't wait to see this movie when I saw it at the video store and it was the first movie I slipped into the DVD player. First off, I was incredibly impressed with the credits, we not only had Henry Fonda, we had Lee J. Cobb in the cast! This movie was so well performed and such a treasure, god, I couldn't ever say any words to justify it. I've done this a million times, but here is another summary of what 12 Angry Men is all about.",e
3,10 June 2010,TheLittleSongbird,10," Brilliant, brilliant, brilliant!!","There are a few wonderful courtroom dramas out there, Anatomy of a Murder, To Kill a Mockingbird and Witness for the Prosecution immediately springing to mind. 12 Angry Men is so brilliant, it could very well be the definitive courtroom drama on film. Sidney Lumet's direction is masterly, and although the action takes place on one set(an actual New York drawing room) there are a huge variety of innovative camera angles and visual set-ups. The screenplay is sophisticated and smart, and the story is compelling and intelligent. The film is also brilliantly made, and the acting is superb. Henry Fonda especially dominates the film, with an integrity that makes his character so wonderful, but the other actors are wonderful as well, Ed Begley, Jack Warden, John Fiedler, Lee J Cobb, Rudy Bond et al. are all impeccable support to Fonda. Overall, brilliant courtroom drama. 10/10 Bethany Cox",v
4,21 October 2019,kosmasp,10, Classic in every sense and moment and frame,"I could go on, but I thought I'd stop there before my summary line gets too big. Now just because this is a classic movie (and we really should try to use that term lightly, but this movie really deserves it and I'll elaborate on that), does not mean everybody will love it. And if one does not like it, it does not mean they have no taste. They just have different tastes, which is a good thing, because if every human on earth would have the same taste, life would be very boring now wouldn't it? The asnwer is yes, in case you were wondering.",i
5,1 July 2000,vukodlak,10, Excellent,"An excellent courtroom drama with a unique twist. Instead of following the trial itself, the viewer has a unique chance to observe the events behind the closed doors of a jury room. The film begins with the end of the trial. The jurors retire to deliberate the case. A preliminary vote is taken and the result is 11:1 in favour of the guilty verdict. Eleven jurors have raised their hands to convict a young man of killing his father. Only Juror #8 has doubts. At first even he does not truly believe the young man to be innocent but notes (rightfully) that the case for the defence might have been presented in a more convincing manner and that the boy might be given the benefit of a doubt. Since the boy is to be executed if found guilty his life is now in the hands of the jury and juror #8 reasons that the least they could do is talk about the case a bit. As time goes on some of the jurors change their minds and find that there is perhaps enough reasonable doubt not to convict the young man after all. But not everyone is easy to convince.",e
6,23 October 2004,juho69,9, Simple but great.,"'12 Angry Men' is an outstanding film. It is proof that, for a film to be great, it does not need extensive scenery, elaborate costumes or expensive special effects - just superlative acting.",w
7,11 January 2005,Freddy_Levit,10, Should be in everyone's top ten list of greatest films of ALL TIME.....,"........Films rarely get this uplifting and brilliant. I cannot think of the last time I was so intrigued by the flawless plot, dialogue and acting since 12 Angry Men. For such a simplistic story set in one jury room, it is surprising that Sidney Lumet can drain you of all your emotions and leave you on the edge of your seat with suspense, mystery, and some of the best acting your bound to ever see grace the silver screen!",/
8,13 April 2007,planktonrules,10, An absolute must for anyone who considers themselves a film buff,"This is one of the greatest films ever made...period. Much of this can be attributed to the exceptional writing and much of this can be attributed to the amazing performances in one of the best ensemble casts in film history. In fact, anyone who considers themselves a film buff or a serious student of film cannot say so unless they have seen this film. I also wish all young directors and writers were forced to watch the film as it demonstrates the power of excellent writing and acting. Imagine...a film that is great that does NOT have special effects, was filmed in black and white, and 99% of which takes place in one small room.",r
9,18 September 2002,Andrew Devonshire,10," No bombs, no car chases but edge of the seat stuff none the less","This film is superb, in fact as Shakespeare once said ""Its the bees' knees"". The film captivates the audience from the beginning.  Each of the twelve jurors are introduced to us as they are introduced to themselves. The characters are well draw out and individual, each with his own personality.",w
10,5 January 2020,Marwan-Bob,10, Flawless,"Oh Boy Oh Boy, it Took me Seven years to Rewatch This Masterpiece, Damn why don't they make em like this Anymore.",6
11,22 September 2005,Thelightbulb,10," If you only ever see one Black and White movie, make this it.","I watched this film for the first time, when it was shown at about 1 o'clock in the morning. I made an effort to see it as it is rated as one of the best movies ever made, however I must admit that I watched it with a sense of reluctance as I'm not a great one for old ""classics"". This film blew me away however; how ignorant can I be about old films? How many other pre-1960s gems are there out there that I haven't seen? What strikes me most about this film is how progressive it is for its day. Indeed the issues this film makes about American society of the 1950s, still ring true for western society today. This film concerns twelve jurors debating the sentence of an 18 year old Puerto Rican boy who on the face of it, has no real alibi. However one man, played brilliantly by Henry Fonda, is ill-at ease putting a young boy to death without even debating his case, much to the despair of the other jurors. What follows is a brilliant piece of film making, slowly revealing many of the juror's complex characters to the audience as they react to Fonda's concerns with their own mix of metal scars, prejudices and insecurities. What especially struck me about this film is how ordinary most of the characters are, none of the jurors are shown to be especially bad men, indeed most are portrayed as honest everyman type people. The use of ordinary characters is the films master-stroke because as one by one they begin to question their initial instincts, the flaws of society that have let this Puerto Rican boy down are presented to the audience. Tragically it appears that many of the issues that were beginning to be discussed in the 1950s have only got worse. For me there is one immortal comment in this film: one of the jurors, a man in his 50s says that the youths of today have no respect and have changed so much for the worse since his day. How ironic is it that some grumpy old men of today who may not even of have been born when this films was made, still say exactly the same thing? Finally a quick look at the cast shows that Fonda aside many of the cast were only moderately successful after this film. I think that's a shame as everyone of these actors is excellent and plays their part in making it one of the best films of all time. However within the cast there are a couple of treats; look out for Jack Klugman (Quincy) and John Fieldler who is the voice of many of Disney's characters such as Piglet. I urge you all, if you have not yet seen this film, please do so now.",0
12,25 February 2019,FrenchEddieFelson,10, 2 thumbs up!,"I saw this movie 3 or 4 times, and each time, I remain speechless in front of such a masterpiece. An unforgettable acting game with poignant plot twists. Awesome!",0
13,8 February 2022,Xstal,9, Birds of a Feather...,"A room of jurors take their seats, deliberate; a young man's future on the line, his life at stake; twelve white middle aging men, show us time and time again, what diversity and difference helps negate.",5
14,7 February 2022,CubsandCulture,10, Juror #4 is why this is a great film,"The film is considered a classic because of the heroism and humanitarianism of Juror #8, because of the film's great direction of keeping such a small space visually fresh and because well it's a darn good story. I think a lot of people think the film is about an innocent man being freed by a jury that was initially hobbled by prejudice and vindictiveness. I.e. Juror #10 is a bigot, Juror #3 was trying to convict because of personal demons around his son. That is the first impression the film gives. But the film is a lot more nuanced than that. Instead, the film is about a man-who probably did commit the crime-being freed because the state failed to met its evidential burden. The first take on the film is a moral polemic, the second take is compelling legal drama.",0
15,6 August 2005,lee_eisenberg,10, I find this movie guilty of being a masterpiece.,"Shot in real time, this story of a jury trying to decide whether a young man is innocent or guilty never lets the viewer's attention go. Henry Fonda plays Juror #8, who is convinced the entire time that the defendant is innocent, while everyone else has already called him guilty. Throughout the movie, we not only get to hear everyone's opinions on the matter, but also every possibility of the verdict. With ""12 Angry Men"", Sidney Lumet brought to the screen the same kind of ""closing in"" feeling that he brought to movies like ""Network"". In the end, the issue is not whether the defendant is innocent or guilty; the important point is the process by which the jurors reached their decision. This may be THE perfect movie.",5
16,24 April 2019,navidveradi,10, Masterpiece!,"The only thing I can write as an average Joe who watches movies simply to be entertained or see a story being told, is that I watched 12 Men argue in a room for more than an hour and I couldn't look away from the screen. Simply a masterpiece!",7
17,1 September 2003,jomipira,9," Good script, great dialogs and a set of actors who would be the envy of the world","This is one of those movies where everything could go wrong. The story is as simple as it can be: 12 men are jurors on a open and shut murder trial, but one man thinks that another persons life deserves at least some thought on the matter and votes not guilty. From this point on we have 12 actors and a closed room. This could be the most boring film ever made. Lumet however is a master of mise-en-scene and provides a tense movie that keeps you locked on from the word ""go"". The dialogs are great and supported by incredibly talented actors. Joel Schumacher in Phone Booth needed to see this movie and draw a few ideas on how to make a character built, dialog driven movie. A must see for everyone.",/
18,30 July 2011,classicsoncall,9," ""You can't send someone off to die with evidence like that"".","When I was a store manager for a regional supermarket chain, about thirty years or so ago, our team was presented a developmental seminar featuring ""12 Angry Men"". Breaking into work groups, our task was to watch the film, and at strategically paused moments, predict which of the jurors would be the next to change their verdict from guilty to not guilty. It was an exercise in analytical thinking and observation of human behavior, characteristics that a good manager needs in order to develop a work force toward a common goal. There was actually a group that got all the positions right from one through twelve, which astounded me. Watching today, I got stuck again right at the outset, figuring Jack Klugman's Juror #5 would be the first to be influenced by Henry Fonda's argument.",?
19,31 January 2020,gcanfield-29727,10, The only version to see.,"In my opinion, the best movie ever made. Brilliant performances all around. A whole lot of dialogue, but you never get tired of listening. Lumet's first film-what an amazing talent. Henry Fonda and Lee J Cobb stand out, but all are excellent. There was a prior TV version, which is horrible. Lumet's version is the only one to see.",r
20,8 April 2022,marcelbenoitdeux,10, Gripping and Irresistable,"1957! 65 years ago and look at it, just look at it. This is Sidney Lumet's first feature film, up to this moment he had built his reputation on television. This was also the only film that Henry Fonda ever produced. He must have trusted Sidney Lumet very much and God was he right. Lumet concocts a masterful, choreographic coup. Within the four wall of the jury room the sense of claustrophobia, propels the drama forward in such a way that it's enough to catch a few minutes of the film to be totally hooked. Henry Fonda is superb and the rest of the cast a who's who of New York stage actors. From Jack Warden to Jack Klugman, from Lee J Cobb to E G Marshall. In my book, flawless.",e
21,17 March 2019,ElJimbooo,10, 12 men in a room. Genius.,"In my opinion, 12 Angry Men is the greatest film that has ever been created. A perfect example of less is more, the simplicity of the plot, the setting of the one room, and the acting talent of the 12 main cast members is enough to conquer the dramatic genre, and ensure that it remains a timeless classic.",f
22,30 January 2020,THE-BEACON-OF-MOVIES-RAFA,10, 12 men in a room. perfect relistic legal movie,"This is one of the best legal movie ever made in the history
if you are laywer then you better watch this one",_
23,25 February 2022,KissEnglishPasto,10, The CASE for 12 ANGRY MEN,"This film is my submission as the greatest ensemble cast performance in the HISTORY of CINEMA! As it was released when I was only 9 years old.... I have viewed it on multiple occasions... But to be honest, I cannot remember exactly when I saw it for the first time!",=
24,4 January 2014,ma-cortes,8, A top-notch cast under superb direction by Sidney Lumet makes this movie excellent in every aspect,"A dissenting juror (Henry Fonda) in a murder trial slowly manages to convince the others (Jack Klugman , Martin Balsam , Jack Warden , Lee. J. Cobb , Ed Begley , E.G. Marshall , Robert Webber , among others) that the case is not as obviously clear as it seemed in court. As Juror #8 holds out with a verdict of not guilty, thus setting the stage for arguments and reasons why or why not the boy may be guilty . As he desperately seeks to convince his eleven peers to reconsider their hast conviction of a boy framed of murdering . As 12 jurors are struggling to decide the fate of a teenager who allegedly killed his father . ",t
25,17 March 2003,misha-wilkin,8, A Classic not to be Missed,"The plot of12 Angry Men revolves around the murder trail of a Latino boy who is accused of killing his father. The conviction of the boy would mean a death sentence and the destiny of the boy's life is in the hands of twelve male jurors of ranging personalities. The case seems open and shut with a murder weapon and several witnesses to place the boy at the scene of the crime. For eleven of the jurors the decision is apparent that the boy is guilty but for one juror, Mr. Davis (Henry Fonda), the boy's life should entail some discussion to eliminate any reasonable doubt the jurors may have. As the film progresses the personalities of the jurors become apparent and many underlying issues influence the guilty decision chosen by the majority of the jurors.",t
26,19 February 2017,AlsExGal,9, A timeless film that shows the flaws in the jury system,"... the main flaw being that everybody brings their own life experiences and history into the jury room with them, no matter how hard they try to be impartial.",_
27,29 March 2020,cjyork-03423,10," Simple, yet brilliant","This film is investing from start to finish. None of the performances feel like actors playing characters, but instead as people who just happen to be being filmed. The dialogue is phenomenal, the camerawork is absolutely phenomenal, the heat and claustrophobia of the environment sets in right away and gradually gets more and more intense. This film is absolutely phenomenal, and I would recommend it to absolutely anybody who enjoys film as an art form.",u
28,2 June 2022,kevin_robbins,8, The acting is splendid and Fonda and Cobb's back and forth is very good.,12 Angry Men (1957) is a movie I recently watched for the first time in a long time on Tubi. The storyline follows a jury trying a case for murder where everyone agrees but one person. That one person discusses the case with the jury and explains why he doesn't agree based on the evidence. Will the jurors change their mind and align with the man or will it be a hung jury?,r
29,6 May 2022,I_Ailurophile,10," One of the best, most essential movies you could ever watch","At risk of repeating myself a few words in, let's not bury the lede: '12 angry men' is one of the greatest movies that will ever be made.",v
