Review_Date,Author,Rating,Review_Title,Review,Review_Url
0,8 September 2016,Leofwine_draca,10, A cinematic bad boy,"Oldboy really is an odd movie. It's totally unconventional, completely original, and unlike anything else you'll probably find out there, even in the realms of Asian cinema. To say too much would be to spoil the ride, but this is a film where you'll always be guessing what's going to happen next and never quite sure what's really going on.",/
1,22 January 2022,Xstal,10, You Only Live Once...,"Imagine what you'd do, when you wake from a bad dream, to find you're held by four square walls, for as long as someone deems. No idea why you're trapped, what you've done, why you're kidnapped, just a ceaseless line of dumplings going down your gyoza hatch. Now some fifteen years have passed, every question has been asked, and you're suddenly set free, can start your own avenging spree. Before you do you need to feed, by eating something that's in need, so an octopus is ordered, and head first you cross the borders. But things aren't what they might seem, tied and tethered and undreamed, as the puppet master hovers, manipulates what you'll discover.",r
2,22 July 2007,johnny-08,10, Excellent in it's sickness,"I looked at program for today and I saw movie ""Oldboy"". I read plot and I liked it. What I expected is decent thriller from very good South Korean cinematography,something like ""Salinui chueok "". But once again I was wrong. ""Oldboy"" is masterpiece, so unusual from all other movies. I've seen lots of violence on screen and to me this isn't nothing new but I think that people under 18 really shouldn't watch this one. It's because movie is brutal and I don't think that younger ones would fully understand this one.",e
3,19 December 2007,bur_007,10, If only we were all living in Asia....,"To start off; This is the one and only film that kept me quiet for a whole 5 mins after seeing it. I literally couldn't close my mouth, and yet there wasn't any sound coming out of it. Oldboy had such an impact on me that words are too little to describe that impact. Therefore this film is definitely in my top 3 films ever made. It belongs there because it has a massive ingredient that a lot of films seem to miss out on; a divine plot. Even though the acting and screenplay are world class, the plot is really the cherry on the cake.",v
4,29 July 2007,Genevieve_X,9, Freaked me out,"I haven't written a comment on IMDb for about 3 years but was inspired to with this film. It is not very often that I come across a film by accident (World Movies on cable) and the spend the next day scouring the internet to find out information about it and can't get it out of my head! Anyway, yep there are plot holes, but Old boy borrows a lot from surrealism and you are meant to suspend your disbelief! I don't buy comments when people say ""it is so unrealistic because he should've done this ..."" because it is a surrealist film and meant to be unrealistic! For me the sign of a good film is if it sticks on your head! THis one surely does (althought I did have to look away a few times ... ) Loved it!!!! Work of cruel genius!!! (HOLLYWOOD - Please don't ruin it by remaking it!!!)",i
5,3 February 2009,LeroyBrown-2,8, As good and disturbing as expected.,"I read the review for ""Oldboy"" a few years ago and have since read praise about the movie from IMDb posters. Often times movies with that kind of hype tend to fall short and is a major disappointment. I don't know anything about Korean cinema so I had fairly low expectations. I had expected it to be a simplistic revenge film, shot in bad film stock. Well I have to say that I'm glad I was wrong, and even gladder still that I actually watched this film.",e
6,17 March 2007,lucas739,9, Great film!,"I feel compelled to defend this film from some quite frankly unwarranted criticism. Although it isn't without its flaws, and all films have a few,it certainly isn't a one star film.What this film has is the ability to be sublime, shocking, ridiculous, mildly amusing and visually stunning which is some feat for any film.The sheer scale of the comments here suggests that here is a film that gets to you in one way or another. This film is as far away from Maborosi as you can get yet both films are up there as great pieces of cinema. I wont divulge the plot or end this comment with a Latin quote to reinforce my self importance i'll just say go and watch it, preferably if you're not too squeamish and don't mind subtitles.This film left me thinking about it the following day which is normally a good thing (atleast it shows my memory is working!)",w
7,12 February 2008,kywoo7,9, A couple of answers that may be useful to understand this film better!!,"Hi! I am a South Korean national student here in London, and would like to give you some clues why the main character, Oh Dae-Soo, was kept in the private prison for exactly 15 years and why he ate the live octopus as I hope you all understand this film a little better.",/
8,4 March 2007,LoneWolfAndCub,10, One of the most gripping movies I have ever seen,"Oldboy is one of the most intense movies you will ever see. Breathtaking, brutal and easily one of the best revenge movies ever made. The acting is amazing, especially Choi as the main protagonist Dae-su Oh. All the actors did great but his performance was powerful and emotional (all you need to do is see the infamous squid scene). Chan-wook Park gives this movie a very unique style with his direction. The plot starts off like a fairly standard revenge drama but he slowly makes the movie darker through a series of beautifully shot flashbacks and a huge scene involving nothing but a family photo album.",r
9,16 June 2018,paulclaassen,5, I don't get it; what's the hype all about?,"'Oldboy' is constantly mentioned as one of the greatest Korean films ever made, and has also been called the most disturbing Korean film (followed by 'I saw the Devil' and 'The Chaser', which were both incredibly disturbing). I therefore eagerly watched the film in high anticipation, but am quite sad to say I was very disappointed. It started off very interesting and mysterious, and the story was told in a very unique way. The moment Oh Dae Su is released, the film becomes very neo-noir-ish (and I don't enjoy neo-noir) and I actually found it to me more comedic than disturbing or suspenseful. Choi Min-sik was excellent, as usual, and without him in the lead I might have liked the film even less. So, essentially the film is about an old school friend, Lee Woo-jin, who wants to avenge Oh Dae-Su for Lee's sister's suicide. Because of this he locks him up for 15 years, then sets him free after 'programming' both him and his daughter via hypnosis to fall in love. Uhmm, ok... Ok, spoilers to follow, so stop reading if you don't want to know. Is this filmed said to be the most disturbing film simply because it is revealed the woman he so eagerly had sex with is actually his daughter? Nothing else in the film is disturbing. When all is said and done and Lee kills himself (what an anti-climax!!), Oh Dae-Su tracks down the hypnotist and asks her to erase his memory of his daughter so they can have a relationship. Seriously!!?? So he'd rather have her as his lover than his daughter?? I rest my case...",w
