Review_Date,Author,Rating,Review_Title,Review,Review_Url
0,1 May 2018,neil-476,10, Succeeds on all levels,"Music is banned in Miguel's household after his musical great-grandfather abandoned his great-grandmother and her young daughter. On Mexico's Day Of The Dead festival, a convoluted series of events sees Miguel transported to the Land of the Dead, where he discovers that the dead disappear when no-one remembers them. He also discovers that unless he returns to the land of the living by dawn, he will join the dead. And there are problems ahead!",/
1,31 October 2018,planktonrules,10, What's not to like?!,"I am very glad I saw ""Coco"" and understand exactly why it won the Oscar for Best Animated Feature, as it's terrifically entertaining, fun to watch...and quite touching as well.",r
2,1 December 2017,jon-stokes21-539-17875,10, Shocked!,"I knew absolutely nothing about this movie walking in, the only reason I was there was to take my daughter to see it is strictly because my wife said there was a short Frozen film that played along with the movie and my daughter just so happens to be the biggest Frozen fan on the face of the planet.",e
3,18 July 2020,h-42927-48851,10, Coco is the number one Pixar cartoon I've seen so far,"There are no shortcomings in the picture, connotation and plot of animation, each of which touches the hearts of the people. The animation of ""death is not the end, forgotten is"", let us move, don't forget our dead relatives.",v
4,2 December 2017,pramsalim,10, I cried twice watching this.,"I have always been a fan of Pixar. They are really good at what they do. These guys set the bar for quality animated movies. Back then, animated movies were pretty much made for kids only. They were just your usual Sunday morning cartoons. Large eyeballs, goofy voice, exaggerated slapsticks. Disney had its classics like Bambi, Fox and The Hound, Cinderella, Sleeping Beauty. However, it felt more like fairy tales. Bedtime stories your parents give as they tuck you in. In this day and age, it wouldn't work that well. Then came Pixar with it's revolutionary debut, Toy Story. Funny, sweet, modern, relatable and plus, completely 3D animated, which marks the first time a feature film was completely 3D animated. And Pixar has been doing just this ever since.",i
5,28 October 2017,fjhuerta-2,10," Stunning, beautiful, colorful, powerful, sad, happy. A joy of a ride.","I may be biased, since this movie portrayed perfectly what life is all about in a small Mexican town. ",e
6,10 January 2018,Jared_Andrews,8, A Charming Depiction of a Beautiful Spanish-Language Tradition,"Coco tells the story of young boy named Miguel living in Mexico (Coco is his great grandmother). Miguel loves music and must keep his love a secret from his family who has forbidden music of any kind since the days of his great great grandmother. On Día de Muertos, Miguel wants to enter a contest to showcase his musical talent, but his grandmother intervenes, reiterating the family's ban on music. ",w
7,28 November 2021,jp_91,10, The magic of Mexico!,"""Coco"" is the best animated film from Pixar and the best animated film of the present time. The script full of Mexican traditions and customs is rich in story, which is deep and emotional. The animation is impressive capturing the magic of Mexico and día de muertos, with colorful cinematography and tremendous characters. The voice work of the Mexican and Mexican-American actors is impressive, each voice full of emotions and with a great talent for singing that excels in each musical theme. ""Coco"" is the best film based on a Latin American country, a masterpiece!",/
8,28 December 2019,Tweekums,10, Another great film from Pixar,"This Pixar animation is centred on Miguel a Mexican boy who dreams of becoming a musician. Unfortunately for him his family has banned all music because his great great grandfather had abandoned his great great grandmother to become a musician... they expect him to become a shoemaker like the rest of his family. On the Day of the Dead he plans to sneak off and take part in a music competition but his grandmother destroys his guitar. Needing a new instrument he breaks into the tomb of his hero, legendary musician Ernesto de la Cruz, to borrow his guitar. As soon as he plays a chord something strange happens... nobody alive can see him but he can interact with his dead relatives who can enter the world of the living that one day. He returns to the Land of the Dead with them. He learns that if he stays past the end of the night he will become one of the dead! His family could return him but add the condition that he must give up on music... he refuses believing that Ernesto is his great great grandfather so could return him without such a condition. Héctor offers to help in exchange for taking his picture back to the Land of the Living. In what follows Miguel learns more about his family and culture.",r
9,13 April 2018,classicsoncall,10," ""Music's the only thing that makes me happy.""","I'm not an animated movie fan per se, so this one caught me in just the right frame of mind or it was indeed brilliantly done. Probably the latter because I'd have no qualms about watching it again, as it was cleverly written, very colorful and had an unusually interesting story line. Not to mention that it had enough Espanol sprinkled in to make my four years of high school Spanish appropriately worthwhile. I also enjoyed some of the traditional folk concepts introduced by the story, like the Mexican 'Dia de Los Muertos', the annual Day of the Dead Celebration, along with it's fantastical sprit creatures called 'alebrijes'. One thing you'll have to do is pay attention at the beginning of the story to understand the relationship of young Miguel to his past and present family members; we go back in time all the way to his great-great grandfather, which turns out to be one of the twists in the story. At first I was upset that Ernesto de la Cruz turned out to be a villain, but the story handled that switch perfectly and helped inspire the entire Rivera Family to love music once again. The best concept for me however was in the explanation of how the spirits in the afterworld disappeared when there was no one left alive to think about them any more. Thoughtful families would do well to take that instruction to heart to keep alive the memories and traditions of their ancestors from the past.",w
10,3 May 2018,Vuraxis,9, Pixar has created a masterpiece of cinema,"I'm no critic, but Coco is close to movie perfection. It definitely deserved the Oscar for Best Animated Feature, no doubt, and is by far the best animated movie ever created. The visuals are stunning, the characters are fantastic, the twist is somewhat predictable but still great, and the story is so touching. This is the best film I have ever seen, over Shawshank, over The Godfather, over The Matrix; this film is a godlike creation from the very, very best of cinema. Do not be fooled by the haters who say it is a poor portrayal of a tradition; the tradition is likely far more beautiful in Coco than in real life. Fantastic, I am blown away.",4
11,18 February 2018,namashi_1,9, A Pure Delight!,"Pixar has done it AGAIN! 'Coco' is a yet another delightful ride from the prolific animation studio, who's winning streak seems to never end. And that's good for all, since 'Coco' is all heart & soul, rewarding the moviegoer wholeheartedly.",2
12,28 August 2018,morrison-dylan-fan,10, Celebrating the Day of the Dead.,"With a friends daughter having a birthday soon,I looked for a DVD to pick up that they would all enjoy. Having heard praise about this film over the last few months,I was pleased to see that it had come out on disc, leading me to meet Coco.",5
13,15 April 2018,Charliedog2015,10, Heartbreakingly beautiful. Surpasses Up and Inside Out,"Coco is about Dias de las Muerte (Day of the Dead), family, family crises and musical passion. The posters have a boy and an adult skeleton capering through the afterlife. So you can know that upfront, Pixar is going to fully deal with the subject of death that it touched upon I UP and hinted at in the death of childhood innocence in Inside Out.",4
14,22 January 2018,TheLittleSongbird,10, It is absolutely a celebration of a lifetime,"Have always loved Pixar, and really like to love most of their films (all three 'Cars' films and 'The Good Dinosaur' are my least favourites, and although the second 'Cars' had a lot of problems for me the third one is the only less than average one).",9
15,22 April 2020,p-35646,10, love it,"Like the culture of the dead embodied in the film, they worship the dead without sadness, and even sing and dance, singing and laughing, to commemorate the reunion with the deceased family members gathered together. Before I was afraid to hear and see and spirit, ghost related topics, those words in my impression is associated with terror, but let me after seeing this film has the different understanding to the dead, people become dead still have colorful life after death, have relatives, friends, there are joys and sorrows, is no longer so afraid of death. As long as the world remembers, it will still exist in this world, only when the world is completely forgotten, that is, when you no longer have anything to do with the world, will be turned into a golden powder, facing real death",8
16,4 September 2019,Calicodreamin,10, Absolutely lovely,"Everything about this movie is wonderful. The characters, the meaning, the songs, the cinematography, the storyline. An absolutely lovely movie. Even as an adult, or perhaps because, I cried at the ending. Such love and such joy.",5
17,27 October 2017,mryohual,10, Gracias Pixar,"Im Mexican and all i can say is Thanks you Pizax,I just saw this movie and i just remembered all my childhood with my grandparents, Mexico was represented beautifully,the music, the colors. This movie touched me in my soul and i cried a lot, i created an account just to say how good pixar made everything, again gracias pixar por tan hermosa pelicula.",/
18,27 October 2020,Xstal,9, Riotous Rocking Resurrection & Insurrection...,"An absolutely spectacular animation, story and message that's appropriate for all ages, persuasions, dogmas, societies and cultures - universal you might suggest. If you're looking to take ninety five minutes and turn it into what will feel like no time at all, then this delightful, endearing, engaging and sincerely beautiful story about a young boy trying to establish his direction in life amongst the backdrop of the Día de Muertos in Mexico is just for you, because its just for everybody! although dogs might love it too.",?
