Review_Date,Author,Rating,Review_Title,Review,Review_Url
0,3 April 2018,classicsoncall,8," ""When a person grows up, do his dreams become smaller?""","I'm gradually becoming less and less surprised when I see a foreign film that's every bit as good as those produced by Americans or the Brits. This was my first Turkish film, and for those of you struggling to find it, I would direct you to Youtube where you can find it in it's entirety with English subtitles. As the translated title suggests, the story is about a man struggling to come to terms with a father who disowned him, and his feelings of growing away from his own seven year old son. The back story of Sadik's (Fikret Kuskan) personal history does not fully come to light until well into the picture, when we learn that he became an anarchist journalist, much to the dismay of his father, who had designs for his son to take over the family farm upon attaining an agricultural degree. For viewers with a Turkish background, the conflict that resulted in Sadik's jail time and torture will probably be understood better within the context of that country's history, so for someone like myself, a lot of that perspective is lost. However that doesn't affect the impact of the story when it's finally revealed that Sadik's reconciliation with his father occurred because of his impending death due to a pulmonary edema condition. The man did a noble thing for his own son Deniz (Ege Tanman) by returning him to the village of Sadik's childhood to remain with family and friends. I would challenge the viewer to maintain a dry eye as the mystery of father/grandfather Huseyin's (Çetin Tekindor) 'secret room' reveals Sadim's happy and hopeful youth before he left his family. One comes away from the film with a serene sense of family bond that transcends nationality, as in the end, we are all humans subject to the same emotions of love and loyalty.",/
1,1 January 2010,denpolites,10, A masterpiece that must be seen by everyone!,A masterpiece that must be seen by everyone!,r
2,5 December 2005,ydurgut,8, One of the best Turkish movies ever,"The movie starts on the days of military government, which started Sep.12th, 1980, and lasted 3 years (Effects of this action against democracy lasted more than 15 years). A young socialist newspaper writer (Fikret Kuskan) loses his wife on birth of his only son on the very first day of the military action, because he can not find any help for delivery of the child. After 6 years past, the father was desperate to find any jobs on the papers, which are now supporters of the new order, and decides to return his father (Çetin Tekindor)'s home in a small village near Izmir: A house that he has left years ago fighting his father's wills to make him a person that his father would like him to be.",e
3,2 October 2006,matrixus-1,10, This movie will touch your soul and will not let go!,**** 10 out of 10 for this movie **** One of the best movies ever made worldwide.,v
4,12 December 2005,ethernaldreams,10, An Incredible Movie,"As I watched that movie, I saw the Turkish relationships in the best way that it could be shown. A very good choice of cast is the most powerful criterion of the success of the movie. Humeyra, the grandmother is a very talented woman in acting. Emotional scenes become more frequent while we see the movie to get to the end. Unfortunate events make the Turkish people get closer to each other. The movie shows that perfectly. Hospitality, love, grief, laughs... Everything is included in this movie. An emotional breakthrough. The movie also points on the elderly reality -now an impossibility- the torture, made by the cops.",i
5,28 December 2005,scanan,10," Clever, poignant, brilliant and ""human""..","A simple story becomes a sad and poignant movie about ordinary people.. Every person I know who had the chance to watch this wonderful movie have cried -especially during the second half.. I applause everyone involved in the production of this magnificent piece of work.. Really brilliant work, presenting some top-notch performances (esp by Humeyra and Cetin Tekindor) and a clever collection of spectacular moments. No special effects, no superhuman strengths no fantastic landscapes.. Just human and the ordinary feelings. I felt some rush to call my mom and dad just after the movie to be sure that they are OK and to make them know once again that I really care about them. This movie makes you think deeper on values that make us human and also etches itself irreversibly to your memory by touching the deepest possible regions of your soul.. Highly recommended; a must-see! Do not forget your tissue papers because you probably will not be able to keep your tears from flowing...",e
6,9 December 2012,curreir,10, A Must See!,"Having seen a lot of Turkish films, I do agree with someone writing in this site that this is perhaps the best Turkish movie ever and one that can hold proudly its place amongst the best worldwide. Everything is perfect, direction, photography, acting, you cannot help but feel for its characters and identify with them, especially if you share the same location in the map, similarities in history and personality traits.",w
7,1 March 2009,aswins,10, AWESOME - the word is not enough,"I have never seen a movie ever before, that brings a tear to anybody who sees it, at the sound of a violin, or a single word uttered.",/
8,30 June 2006,snoopx,10, An emotional roller-coaster of epic proportions!,"Very rarely can you find a movie that can make a person shed tears of sorrow one minute, then laugh out loud the next. This is a heart wrenching tale that will make people look at themselves and how they can better their own family units. ",r
9,31 December 2014,ligertigon26,10, Haven't seen it? oh watch it already.,"I am always in search of great foreign movies.I had never seen a Turkish movie and then I decided to watch The Bandit(1996) and loved it! Without any effort i was able to find this masterpiece. I laughed, cried, loved every single minute of it! I first watched it in 2013 and today decided to watch it again. ",w
