Review_Date,Author,Rating,Review_Title,Review,Review_Url
0,16 July 2011,TheLittleSongbird,9," Gives meaning to the phrase, save the best until last","I have enjoyed all the films and love the books, and after how much I loved Deathly Hallows Part 1 this entry, continuing from exactly where the previous film left off, had a lot to live up to. It is less faithful to the mammoth but very interesting and wonderful book than its predecessor. However I found this, apart from one or two disjointed parts where you could tell that details had been left out and the arrival in Hogsmede and the duel between Mrs Weasley and Bellatrix seemed a little rushed, had more flow, was better paced and had more coherent storytelling and less of admiring the scenery than the previous entries.",/
1,3 December 2018,nogodnomasters,10, LIGHTNING HAS STRUCK,"Perhaps this is the best place to review the series as well as the last installment. We have seen Daniel Radcliffe mature from a fairy bad actor to one that is fairly convincing, particularly in his standing up to Aberforth Dumbledore. Emma Watson has gone from awkward kid who wore her emotions on her sleeve to Maxim's top 100 Hottest women. The passing of Richard Harris was a major let down to the series as Michael Gambon couldn't really fill his shoes. The most interesting and complex character was that of Snape. Alan Rickman made the series with his portrayal. The casting of the quirky minor characters made the story most enjoyable, all the way down to Mrs. Fink. Rowling's use of classical mythology, astronomy and the occult made the series an incredible educational experience. One of my favorite characters was the under used Luna Lovegood. She was a breath of fresh air.",r
2,30 April 2018,Pjtaylor-96-138044,8, The series ends on a very strong note.,"The conclusion to the series hits some of the strongest emotional beats, mainly due to our long-standing connection with the characters, and provides some grand visual treats in the form of extended magical battles. While 'Harry Potter And The Deathly Hallows: Part 2 (2011)' may be the biggest in scale and it is entertaining, it does feel lacking in depth - since some things are left oddly unexplained - and instead comes across as an extended third act for its duration. It actually plays out like one long climax, with little of the build-up required to further invest the audience, but at least it's well paced and doesn't hang about. A strong note on which to end a phenomenal series. 8/10",e
3,2 January 2014,SnoopyStyle,7, Satisfying end to the series,"This movie continues right after the death of Dobby, and closes out the Harry Potter series. There is a lot of action in this one, and it closes out the series satisfactory.",v
4,26 December 2015,hjpog,10, My childhood..,"At the start of J.K. Rowling, thank you for this wonderful series of books forever. I can tell you this current state of my childhood and my future. Sign up everywhere it has always been a part of Harry Potter's name. I'd say the most important series of my life. I owe my childhood such wonderful pass to the books and movies of this series. In this series, even though I know better than the series it has always been a special place for me in this series and it will always continue. This movie is definitely the best in the series. And the players is the most mature film. You feel throughout the film until the end of the final air and this is an amazing thing for fans like me. Book series as well as certainly never did. However, in each film it was pretty cool. And with incredible finale made this film. Harry certainly kept the best for last. Put all the music from the beginning to the end of the movie you are very successful and internal chills. You feel deeply cool is really going on. When the film ended up being a very big gap within you. Of course, you are a part of this world...",i
5,12 July 2011,Loving_Silence,10, Harry Potter and the Deathly Hallows: Part II gets everything right to send off Harry on a cinematic high,"I am a huge fan of the Harry Potter books, they're all so great and magical. But I didn't think the film series were perfect at all, but they were still great movies. With that, I was extremely excited to see the end of the film franchise, and impressed with the trailers. So I had high expectations. And thankfully it did not disappoint, Harry Potter and the Deathly Hallows: Part II, blew past my already high expectations and I was enthralled!",e
6,7 July 2011,theycallmemrglass,9, An Exhilarating and Beautiful Conclusion to a Magnificent Saga.,I saw this at a preview screening in London.,w
7,15 July 2011,akash_sebastian,7," Good Movie, But a Disappointing & Unsatisfying End to the series...","Overall, it may be said that the movie was good. The direction, cinematography & the special effects were brilliantly executed. The acting was good too. The children have grown so much.",/
8,13 July 2011,moviexclusive,10, An exhilarating action-packed spectacle that delivers a magnificent finish to the beloved fantasy franchise,"An incredible journey that began a decade ago finally arrives at its close with David Yates' ""Harry Potter and the Deathly Hallows: Part II"", as 'The Boy Who Lived' comes face to face with 'He Who Shall Not Be Named' in an epic showdown between good and evil. And what a showdown it is- tense, thrilling, breathtaking, and fitting of just about any superlative you can think of. ",r
9,31 August 2021,faaiisal-50256,10, A 2021 opinion of someone who has not read the novel and watched the series at two different decades of his age,"In the beginning, I want to thank the author j.k. Rowling, even tho I didn't read her books but I saw it in this magnificent series of films
I didn't read it because English is not my mother language at that time and I didn't think the translated version will be as great as the original.",w
10,19 July 2011,TourettesPersonal,9, Better Ending,"Endings are usually the problems of most movie series. They usually end up being mediocre & unsatisfying or they are made to cash in people. The great thing about Harry Potter movies, the filmmakers are taking their job seriously. Harry Potter and the Deathly Hallows Part 2 is a great ending of the series. It's more than throwing a lot of action and exposition. Harry Potter and the Deathly Hallows Part 2 is one of those conclusion that actually care about the series.",2
11,31 July 2011,DonFishies,8, A breathtaking finale to an amazing series,"Moments after I saw the very first trailer for Harry Potter and the Deathly Hallows, I was crawling with goosebumps and plagued with anxiety. After almost a decade, the franchise was coming to an end. I had already read the book, knew the plotting, and remembered the fates of all the characters, but the trailer left me in a near unfathomable state -- the end was coming, and there was nothing I could do to stop it.",4
12,10 February 2016,ironhorse_iv,8," Action packed, genuine heart and emotional drama made this movie, a very engrossing magical epic spectacle. It has everything, a finale should have.","While, personally, I'm not the biggest fan of the books in which these films was based on, I do have to say, this movie is a great movie to end the Harry Potter film series with. 10 points to Griffindor & director David Yates! Author J.K Rowling would be proud. The movie is very memorable. It's so unlike the other movies, which I found to be somewhat boring or below average. For me, personally, this movie, by far, is the best movie in the 2001 to 2011 film series, because how entertaining, it was. To all of the millions of Harry Potter fans around the world; most of them, agree with my statement. Unlike the other movies that are cut into two formulaic plot directions; one being the subplot is which tells the student life of Harry Potter at Hogwarts, while the other, being about the mystery that Harry Potter must uncovered that year. This most recent one has Harry Potter (Daniel Radcliffe) and his gang of misfits, Hermione Granger (Emma Watson) & Ron Weasley (Rupert Grint) going to various settings away from Hogwarts, in a last ditch attempt to their school from the oncoming invasion of Dark Lord Voldemort (Ralph Fiennes). The only way, they can stop this, is to find, all the missing objects call Horcruxes; that hold a part of a Voldermont's soul, protecting him or her from death. Seeing how epic in scope, this main plot is, it was no surprised that this 2007's novel with the same name, was adapted into two feature-length parts, with Part 1, being released in November 2010, and Part 2 was released in July 2011. While, some people might have complaints about why the final book being split, I'm not one of those. However, I'm starting to hate the recent trends of films, split into multiple parts; in which this movie brought back. Still, I do understand why the studios felt like they had to. After all, there is still way too exposition sub-stories from supporting characters from the book to fit, even in two films. Despite the film omitting a lot of things, the movie is stil mostly faithful to the source material, with only a few things, change that I didn't like. One of the biggest faults of the film is how both young and old Lily Evans (Ellie Darcey-Alden & Geraldine Somerville) doesn't have the same eye color as Harry Potters. The reason why this is a big deal, is because how much, everybody in the film series, point out how Harry Potter remind them of his mother, because of his eyes. It makes no sense. Another big jarring confusing plot-holes, is how wizards, can or cannot being able to use, other people's wands. In the film, one thing that really baffled me, is how Voldermont thinks that he can't use the elder wand, until he kills Professor Severus Snape (Alan Rickman). Yet, it's show, before-then, that he can indeed use that wand to do magic and other people's wand. The same with Harry Potter. It's weird, how the film makes it seem like they can't do magic without a wand, but yet, they show, them, just doing that with potions. Also, why does people still die in this universe, if Harry Potter has all of the three deadly hallows? Oh Snap! Didn't they establish that one of the wizards knows, how to heal himself with magic, if it's a bleeding wound? How is that character, even dead? Also, how can a living object become a horcrux? It doesn't make sense. In my opinion, don't bother, trying to understand the logic of all the wizard terms, because it will take you out of the fantasy movie, and give you a headache. The movie is full of unbelievable, deux ex machina that is very confusing, and not very logical. You just have to go with it. Nevertheless, I still don't get, why this movie is continuing its insulting black & white one-dimensional views of good Vs evil. A good example in this movie, is how everybody still treat Slytherin's house as an evil community of people, when the movie show that, there are mostly not!? Another thing, that bug me, is the fact, that the underage students weren't evacuated from Hogswarts. I guess, the school is trying to continue, its high death count record of being one of the most dangerous schools, ever. I swear, it always seems like the castle is always in danger. So, I wouldn't call the battle plot, anything new. It is very clichés and prediction. Despite that, the battle sequences are well done. Visual and special effects masterpiece. Lots of heart-breaking, yet fun moments. The music by composter John Williams really set the tone of the film, as always. The pacing for this film is also not a drag. Very well-pace. It's the shortest of all 9 films. The main cast was surprising better, too. Yes, they still, have that wooden delivery in some of their lines, but at least, it's more emotional driven than a normal read-through. Also, the over the top hammy lines by the season actors weren't so annoying this time, because how few lines, they were given. However, I didn't like the Epilogue ending as much as other people did. I can understand why a lot of people don't like it; in a way it feels a bit jumbled because so many characters of this new generation are introduced too quickly, and it's a bit much to take in. I personally am not too keen on the idea. It felt like sequel baiting. After all, it's clear, by Warner Bros that we haven't seen the last of this world completely, as spin-offs movies are indeed, coming soon. Overall: In the meantime, I urge you all to revisit the world of Harry Potter for yourself. Check out all 9 movies. It will be a trip, worth taking.",8
13,17 July 2011,nilanna999,6," Explain, movie!! EXPLAIN!!!",Everything that could have been said about this movie has probably been said.,7
14,14 July 2011,cchip96,10," ""It all ends"" well","This movie could not do any better, it ended the Harry Potter series with a bang. It is a good balance from the first part of The Deathly Hallows. The first part was more of a drama, while part two was action packed left and right. This may be my favorite movie of the series, though all of them are equally amazing. I have read the books, and there are definitely major changes in the movie, but I find they fit perfectly well with the story, even if it isn't the original plot. Even for those who haven't read the books (why wouldn't you?!), it is equally enjoyable. This movie, along with the rest in the series, will be loved for years and years to come.",0
15,20 December 2019,Students_SimoneVeil,10, Awesome Harry Potter,"The plot is very original and incredible, I think it is one of the best film ever. IF you love fantasy movies you should watch this. The cast is excellent, I love Emma Watson in this movie, she plays very well. In my opinion, this movie is the best adventure movie in the world because the plot is really awesome. Thank you JK Rowling and Steve Naves !
The special effects are incredible and the soundtrack epic. I think it the greatest movie. It lasts 2 hours and 10 minutes but it is not boring. Even is you don't like drama, adventure and Fantasy movies, you must watch this one, it will change your opinion.",6
16,13 July 2011,ephoratus,10, Epic End,Even though I consider myself to be a huge HP fan I never thought I would actually give a movie from this series straight 10 out of 10. Just saw the movie today and the word epic is almost an understatement. This movie really lives up to the promises that have been made. Further more it is (in my opinion at least) the movie that stays most loyal to the book. I did miss some scenes from the book yet nothing relevant was left out. I don't want to give out any spoilers 'cause I don't want to ruin it for you but if you have read the book it will be very easy to follow and if not - well I think it still makes sense most of the time. I highly recommend you to watch it whether you're a fan or not. 10/10,4
17,24 July 2011,jburtroald95,10, I can't believe this is the last Harry Potter review I'll ever get to write!,"Fifteen years of tireless, incredible hard work from some of the best of Britain's storytelling talent, supported by an equally faithful and eagerly devoted fan base, now culminates in the cinematic experience of a lifetime. Ever since the frothily juvenile but still undeniably good quality Harry Potter and the Philosopher's Stone first hit cinema screens in 2001, the Harry Potter saga has experienced countless crucial plot developments, more and more introductions of new characters and actors, several new directors and frequent changes of tone, all to give an astounding and vastly rewarding end result. ",/
18,16 May 2020,annbss,10, Childhood/teens favorite movie saga!,"Harry Potter is one of my favorite childhood movies ever. I discovered my passion for films and movies by watching these and I still adore all of them. There's absolutely no doubt about it. I always have an interest about the kind of movies I like. So, Harry Potter has been quite a journey. Emma Watson, Daniel Radcliffe and Rupert Grint have been awesome from start to finish. These are the best memories that I can keep on forever. This is a lifetime movie. It brings adventure, travel, humor, sports, and a spectacular epic soundtrack and storyline throughout this whole process of filmmaking. There's also a sense of generosity and above all love. So, I'd highly recommend watching the movie saga.",?
19,15 July 2011,Houmatt,5, Am I the only one to be disappointed??? ***spoilerrific***,Yeah. I came out of the film disappointed. Not feeling like I had a good time.,r
20,11 July 2011,saarvardi,9, They finally got it right!,"While never an avid Harry Potter fan, I have watched all eight Harry Potter films on the big screen over the past decade. It's been a long, bumpy ride, with some films stronger than others - mainly the first few (in my own honest opinion). After a while, however, it all felt like the biggest cinematic tease ever. I mean, we've been told about Voldermort ever since the beginning, and we've known all along that the saga will end with this big, epic fight between good and evil... err, I mean Harry vs. Voldermort. However, that never came (except for a few teases here and there), and when the producers decided to postpone the inedible and split the last film into two, it became ever so frustrating.",e
21,12 July 2011,ruddaga,6," 2 Films for 1 Book, yet misses 1/4 of the story....","I don't know what I was expecting... To be honest apart from the first HP movie... every single one of the following movies has left out major plot points, characters and story lines. I guess I figured that was mainly because the movies only have a certain length of time to tell the story. Thus it was natural for me to assume that with 5+ hours they would be able to include everything in the one book... I assumed wrongly.",f
22,14 July 2011,elie-fares16,10, The Movie Of The Year,"Harry Potter and the Deathly Hallows, part 2 also known as the movie that tore my heart and soul into oblivion. If you thought goosebumps was the criteria for a good scene, then mix those goosebumps with emotional upheaval, coupled with your hands almost shaking and this is Deathly Hallows part 2 in its entirety.",_
23,14 June 2020,dickinsonjason-34081,10, It All Ends Here,This One Was By far my favorite of the series lot of great action I Loved it lot of great fun from start to finish,=
24,27 July 2021,papanloveu,10, Whole childhood memories.,"If I had watched every single movie on the Earth , i'd watch this 10 more times. This was so beautifully made , it just made tears come to my eyes. Its emotional.",t
25,6 December 2011,Doylenf,8, A very satisfying conclusion to an epic series...,"HARRY POTTER AND THE DEATHLY HALLOWS Part 2 moves forward where it left off with Dobby's death toward a stunning conclusion with the final violent confrontation between Harry and Lord Voldemort. The richly crafted characters bring a lot of warmth and humor between all of the tense situations, which makes the whole project such a delight to watch.",t
26,13 July 2011,kjm92,10, Brilliant!,I predict this will be the movie of the year.,_
27,17 July 2011,fjhuerta-2,6, Such an epic disappointment.,"It actually took me years to watch the first 3 Harry Potter movies, which I considered to be aimed straight at kids. Once I did, I really found myself enjoying them (especially Prisoner of Azkaban, IMHO the best of the series), so I decided to get the books.",u
28,16 December 2018,yasir619,10, last but not the least.,Harry potter will always be remembered in my life.this is underrated movie of all time and it is.each a every sequel i loved genuinely.i love it more than any movie.i will visit hogwarts someday wherever it exists.movie's series end but harry potter preserved in our hearts purely.,r
29,7 August 2021,jack_o_hasanov_imdb,9, Emotional Conncetion,"Good movie? Or bad movie? I don't know, because I've watched since I was a kid and grew up with them, there is an emotional connection.",v
30,20 July 2011,bkoganbing,8, Hogwarts Kids Are True To Their School,"Watching Harry Potter And The Deathly Hallows, Part 2 put me in mind of the old Beach Boys song about Be True To Your School. What these kids go through for the Alma Mater is definitely above and beyond for most of us, but all in a day's work for young wizards.",
31,17 July 2011,vane117,3, David Yates managed to kill the end of the series,"SERIOUS SPOILERS INCLUDED ***************************** David Heyman, the Producer of the Harry Potter films, made the single biggest mistake of his career when he decided that the Director of each film would be offered the opportunity to direct the next. Chris Columbus did a great job working with the young inexperienced actors and actresses in the first 2 films. Alfonso Cuarón and Mike Newell did good jobs with the next 2 (I wish Goblet of Fire had been split into 2 films to include many more subplots, but the primary emotional content was maintained). For various reason, each of these three directors stopped.",
32,26 December 2021,yugteng,10, The Endgame of 2011,One of the best series I've ever seen with an amazing conclusion.. A bit emotional saying goodbye to all the characters after 10 years.,
33,15 April 2012,atlihafsteinsson,5," As a Movie, It's Spectacular - As a Closure to the Story, It's Horrendous","I left the screening of Deathly Hallows Part 2 in a jubilant mood. As far as I was concerned, it was a satisfying, thrilling conclusion to a long-running series that captivated us all. When I watched it again, however, and subjected it to further scrutiny, there are several ways in which Deathly Hallows Part 2 is a very poor conclusion to Harry Potter's story arc.",
34,24 March 2020,IreneWatsonC,9, Good memories,"Harry Potter has a big part of my life for nearly 10 years. The movie was a perfect ending to my childhood. I've watched it over and over again. There are so many characters I love. Every character is so powerful. I will always be a crazy fan of Harry Potter. Especially, I love Emma. She is super brilliant and beautiful.",
35,30 August 2011,Bangell153,1," Boring, Ridiculous, Devoid of Tension","The final nail is hammered into the coffin of Harry Potter as the series dies in a stupid action-fest. I'm going to list three reasons I dislike this movie and the direction the Harry Potter films have taken, and then I'll let you all lynch me.",
36,21 July 2011,studioAT,8, The magic ends,So after ten years the Harry Potter film series is brought to a climax with this eighth film.,
37,29 July 2015,anaconda-40658,7, The Magic Is Done.,"Harry Potter and the Deathly Hallows, Part 2 (2011): Dir: David Yates / Cast: Daniel Radcliffe, Emma Watson, Rupert Grint, Ralph Fiennes, Alan Rickman: The final film in this wonderfully enchanting series of films and this time the youth wizard Harry Potter must face and vanquish the evil Lord Voldemort for good. All three principal actors have grown much in the ten years of films. Daniel Radcliffe as Potter faces severe facts that could be fatal. In fact, a major plus here is how Potter is placed in a battle situation where he appears to have lost. Emma Watson as Hermione and Rupert Grint as Ron have been Potter's friends and companions through every film and thankfully the film ties off their romantic feelings without stooping to Twilight level. Then we have Ralph Finnes as Voldemort, one of the most evil presence in films. There is no remorse. He will destroy even his own in order to conquer. The secret involve the wand he possesses is another highlight revelation. Voldemort is historically the murderer of Harry's parents. Now they clash wands in what will appear as if Voldemort will dominate. When he utters a victorious laugh, he doesn't realize that he hasn't thought of everything. Alan Rickman has played Professor Snape in all of the films but here he is at his best, particularly when certain facts surface. David Yates returns as director after having made The Deathly Hallows, Part 1, as well as entries The Order of the Phoenix and The Half-Blood Prince. These films were always pointless entertainment but with such enchanting visuals, it concludes with as much magic as it begun. Score: 7 / 10",
38,19 July 2011,abhinav-prakash,4, It could had been much much better,"Time for your OWL marks Mr. Yates and Kloves! No- don't bite your fingers; You don't get a Troll nor a Dreadful either- you have just managed yourself a resounding Poor though. Hmmm, better luck next time!- not for you but for HP fans who may want to see someone else re-doing the entire series in future. ",
39,7 August 2011,lasttimeisaw,8, Harry Potter and the Deathly Hallows: Part 2,"It all ended today, normally I am not a nostalgic type, but Harry Potter series have accompanying me through my entire 20s, which I am not certain whether is my brightest decade or not, nevertheless it represents the end of an era!",
40,24 July 2011,shubhodip-mukherjee,5, Very bad adaptation to end the epic tale,*contains spoilers.,
41,14 July 2011,3xHCCH,10, One Spectacular Highlight After the Other,"Despite being burned before about watching HP6 in 3D IMAX, I made it a point to see this one, for all its sentimental value, in that format. I must say that the 3D IMAX was worth every cent. The big images and the added dimension also added to our immense satisfaction about this film, added expense notwithstanding.",
42,3 August 2018,cricketbat,8, A fitting finish to the Harry Potter series,"Although I am bothered by some of the changes they made from the book, this film is a fitting finish to the Harry Potter series. It packs a powerful dramatic punch and shows how far our characters have come from the original movie. I'm sad to see the series go, but it was a great ride.",
43,30 July 2011,LeviticusStroud,2," Should have done much better, an insult to Rowling and the fans!",There are an awful lot of reviews talking about how this film is 'the best yet' and how it 'ticks all the boxes' or is 'a must for fans'. It is none of these!,
44,29 December 2011,Robert_duder,8, A fond farewell to a legendary Hollywood series,"Ten years ago when Harry Potter started it was simply mind blowing. Chris Columbus at the helm created a world and characters unlike anything we had ever seen on screen. I have never read the books and probably never will but I have enjoyed every single instalment of the series in different ways. However, post Goblet of Fire I personally began to see a gradual reduction in quality and story and characters. I suppose as they built up to the climatic inevitable battle against Voldemort that the sub-stories and characters would have to take a cut but its unfortunate. However, this is the perfect time for the series to bow out gracefully.",
45,21 September 2018,cuzzinman,10, Phenomenal Film!!,"Absolutely phenomenal film with great philosophical messages, acting, producing, directing, etc. It is a renowned and fantastic film! I highly recommend this film to everyone!",
46,6 March 2017,zkonedog,9, A Spectacular Rendering Of The Source Material,"The ending of J.K. Rowling's ""Deathly Hallows"" novel is a wonderful way to bring to close such an epic series of this order. In this film, director David Yates manages to translate all of those same emotions to the big screen to really re-create the magic of Rowling's pen into visual form.",
47,17 August 2011,tomgillespie2002,6, Exciting finale that improves on the book's climax,"So the Potter machine is finally at it's end, with the decision to split the final book into two films proving a financial masterstroke. Ten years on from the first, the films have had a number of different directors, used practically every fine British actor there is that's still alive, and have ranged vastly in quality. They have also become extremely dark, with the 'love will triumph over evil' moral and the never-truly-threatening bad guys of the early two films being replaced with murdered house elves, tortured children, mass murder, and main characters being mercilessly killed in the blink of an eye. Author J.K. Rowling wanted the fans to grow up with Harry and mature with the books, and on many levels it works very well.",
48,15 July 2011,alvispotter-1,10, The perfect ending for my perfect franchise,"Some might stop reading by my review title, and that's okay. First thing to know if you want to keep reading is that i'm more than a huge fan of Harry Potter, books and movies (even though i love the books much more... however, while i haven't been on board with every decision on screen, i have LOVED all the films and they are my favorite films in the world. I understand they're not the best, but they are my personal favorite, and considering all the love they get, i can honestly say i'm not alone).",
49,8 January 2020,andrewchristianjr,9, PERFECT ENDING.,"A perfect way to end the saga. Epic climax. Gonna miss these films, but cant stop rewatching the whole story again and again.",
50,25 August 2018,sullybo55,9, A fantastic ending,This movie was the perfect ending to the best movie series of all times. Start to finish perfect!,
51,8 March 2022,elyrov,10, after all this time: always!,"Perfect conclusion of a perfect saga. Every piece of the puzzle finally is in own place and now it all seems to make more sense. I always drop a tear when I watch this film, knowing that officially it is the last of the story. Every scene in this film is as precise as a Swiss watch and everything seems to fall into place. The final scenes are obviously the hardest and strongest to see, not only for the battles but also for the characters: it is very moving to see them at the end of a journey that has accompanied us for almost ten years of films but which will never abandon us. After all this time? Always!",
