Review_Date,Author,Rating,Review_Title,Review,Review_Url
0,4 November 2019,ArtVandelayImporterExporter,9, I hated this movie,"The first time I saw it. After one of my buddies claimed it was the greatest movie every made. I mean, what could live up to that hype.",/
1,10 September 2004,nycritic,10, Capturing the True Spirit of Film-noir,"The seventies were the last years of great (American) films. I say films because when we speak of movies nowadays, we allude to blockbusters that generate hundreds of millions of dollars, the least amount of controversy, and are mostly inane crowd pleasers with tacked-on endings.",r
2,30 January 2002,rmax304823,10, Marvelous,"There is a word, impossible to spell, that describes the alignment of solar bodies like the planets when they all fall into place together. A similar word would describe this film. Everything about it is right. Polanski never directed a better movie. The performers, down to the lowest atmosphere person, are superb. The editing, the score, the sound, the decor, the dialog, all are just about flawless. The photography is peerless. The white garden apartments, the terra cotta roof tiles, the palms and desert sand are all painted with a faint gold, faintly ripe with false promise, like the oranges that bounce from Gittes' desperately speeding car in the northwest Valley. ",e
3,15 November 2018,Tweekums,10, Great 'modern' film noir,"Set in late '30s Los Angeles this 1974 film opens with a woman, identifying herself as Evelyn Mulwray, asking private detective Jake Gettes to find out whether her husband, chief engineer of the LA Water and Power Company, is having an affair. He follows him and ultimately photographs him with another woman. Somehow these pictures end up in the papers and he is approached by another woman who it turns out is the real wife of Mulwray... and she intends to sue. He continues to investigate Mulwray and suspects some odd goings on at Water and Power... then Mulwray turns up dead; drowned during a severe drought. His continued investigation brings him closer to the real Evelyn as well as into real danger as he learns the truth about Water and Power's activities which could make some people very rich at the expense of other, poorer, people.",v
4,17 December 2003,Quinoa1984,10, As coolly intense and exceptionally-staged as any detective story/film-noir of the 40's & 50's,"Chinatown is a tremendous collaborative effort that produced one of the most memorable Hollywood pictures of the 1970's. Director Roman Polanski (his last film in America, and the first he made in America after the murder of Sharon Tate), stars Jack Nicholson & Faye Dunaway, and writer Robert Towne, all come together to create a detective story classic. At times it slows its pace down so the viewer can think along with Nicholson's character, to take in the environment as well as the situation he's in (i.e. when he goes to the empty reservoir, when he visits Noah Crosses house the first time). And the script has the perfect sense of drawing us into a story, fueled by curiosity, grit, and cynicism, and engages the viewer by its realistic dialog between the characters.",i
5,26 August 2017,stroggos,10, This movie got it all: perfectly paced study of human darkness,"I knew CHINATOWN was hailed as the paragon of a film noir, and that's why I finally got down to watching it. However, despite having known about the movie for quite a while, I wasn't really prepared for just how dark it could be. The movie starts slowly, with a private detective taking on what looks like a routine case. But soon he finds himself enmeshed in a web of conspiracy, murder, lies and deceit. The plot is like a perfect machine that relentlessly moves towards a final resolution that is truly epic and truly soul-wrenching.",e
6,19 January 2019,Instant_Palmer,10, Polanski & Nicholson's Finest Work. A Top 20 Greatest Film 💯,"Chinatown sits securely at the pinnacle of the Neo Noir genre. Fueled by Polanski-Nicholson synergy, anchored by one of greatest-ever original screenplays (written by Los Angeles native Robert Towne), brought to movie-life via PanaVision by brilliant cinematographer John Alonzo, and produced by the industry icon Robert Evans, this is one of film's greatest works of art, and being imo one of the top 20 greatest films ever made - it is a must-see movie.",w
7,23 December 2004,TBJCSKCNRRQTreviews,10," A noir masterpiece, possibly even a timeless classic...","While I don't care too much for Roman Polanski's style of direction(maybe I'll grow to like it eventually, maybe not), I can't deny that this is a truly great film. Jack Nicholson really shines through in his role, and his acting in this film perfectly fits the character... his shark smile, his voice, his tone... all of it, perfect. I always thought, when watching films with Nicholson, that he'd make a great lead in a noir film, so when I found this film and discovered that it was indeed noir, I naturally saw it as soon as possible. I found the film to have a slightly slower pace than what I would have preferred or expected, but apart from that minor detail, it was flawless. The plot is great, and thoroughly interesting and involving. The pacing, while not fast all the time, is more than acceptable. There are sequences that are really intense and exciting. The acting is great... like I said earlier, Nicholson shines through and really takes this character and makes him his own. The characters are well-written and credible. The special effects are well-done and still hold up pretty well. The dialog is very well-written and memorable. There are quite a few quotable lines, as well. The cinematography is good, and even when the plot doesn't move a lot, Polanski keeps our interest through interesting angles and sequences. I liked that there was often something subtle going on in the background, while we're focusing on what's directly in front of us. While Polanski certainly doesn't possess the attention to detail that Kubrick does, he manages to put a good bit of detail into many of the shots, and there is fairly little left to coincidence or chance, much like Kubrick. The film has a few twists that are quite good, and they come as surprises... I don't think I really saw them coming, and I doubt anyone would be able to. Of course, some might not find the twists to be that impressive, but the story stands on it's own nicely as well. This is a great movie, which should be seen by just about anyone who can take it(it's more than just casually adult in nature, even though there's not that much violence or sex in it). I recommend this film to anyone who enjoys film noir, watching Jack Nicholson in perfect shape in a role that was tailor-made for him, a good mystery, Roman Polanski's direction and just a good movie with a more adult tone that many others. 10/10",/
8,20 March 2006,Hitchcoc,10," Forget It Jake, It's Chinatown","This is a top ten for me. I have watched this film several times, and each time I see why Jack Nicholson is one of our great American actors. It starts with a story of complexity but accessibility. Nicholson's Jake Gittes, running around with a slit in the side of his nose, put there by Polanski, investigates, gets careless, and realizes what he has stumbled upon. Fay Dunaway as Mrs. Mulray and John Huston and that voice: ""Just find the girl."" There are comic scenes and Nicholson has feet of clay, but he finally puts his personal integrity on the line. He moves into darkness and sees the underside. And then there is Chinatown with its secrets, politics, incest, all of that. It is such an intelligent movies. One of the reviewers said it was compact. That says it all. Every scene is necessary. It's too bad Polanski can't work in the U.S. anymore--he still releases a treasures every so often. To get back to the movie, all that leads to the climactic last several minutes has been prepared for with loving care by the director. It's so nice to know that there are films like this that people will watch into the latter stages of the 21st century. One of finest.",r
9,18 October 2017,gab-14712,9, Example of Masterful Film Noir!,"Over the years, people have called Chinatown one of the best movies ever. I don't quite agree with that statement, but there is no denying that the movie is a masterpiece. I may not find it one of the best films all-time, but I do find it as one of the best films of 1974. This noir film hearkens back to the days where similar films were produced left and right. But starting from the 1960's, this genre slowly began to fade away. The film may come across as really taking its time to tell the story, but the thriller has lots of tension that builds up to its climatic ending. This film brought public awareness to some issues people may not have really known about. Water is a commodity for human survival and whoever controls the water, controls the money. This movie is a complex series of events surrounding the control of water and that people can die over this issue. Ah, the wonders of being a human being! The movie is a complicated follow, so don't lose yourself in any train of thought, or you might lose what will happen plot-wise. Boasting one of cinema's all-time greatest screenplays by Robert Towne and a powerful lead performance by Jack Nicholson, you are in for a fantastic time.",w
