Review_Date,Author,Rating,Review_Title,Review,Review_Url
0,5 September 2020,hwm-05554,9," Great movie, I hated every minute of it",This movie is about how drugs can affect your life. Watching this movie really hurts. If you want to convince someone to stop doing drugs / live more healthy this is the movie to do it. Great acting (especially by Ellen Burstyn) and a realistic / convincing story but man is it painful to watch. This is the kind of movie you are happy to have watched at some point but you don't want to rewatch it because it is a real mood killer.,/
1,23 August 2016,planktonrules,10, A visual assault on the senses about the hellishness of addiction.,"Jared Leto, Marlon Wayans, Jennifer Connelly and Ellen Burstyn all star in this incredibly painful film about four people who are chemically dependent. When the film begins, the first three folks are all using heroin yet seem to be reasonably functional. Over the course of the film, their lives begin to disintegrate badly. At the same time, Burstyn plays an older woman who becomes addicted to amphetamines because of an irresponsible doctor who tosses out pills like candy...and she goes from a relatively normal lady to someone who seems like she's crossed over the line from sanity to oblivion.",r
2,16 November 2019,devinbrown-19091,10, Disgusting,This movie is the most disgustingly beautiful and horrifying movie.,e
3,30 January 2002,Danfish,10, Like being repeatedly punched in the back of the head by Mike Tyson,"It's difficult to know what to say about Requiem For A Dream. I first saw it in the cinema when it was released in England and I have never seen an audience react to a film like this one. The climactic sequence, where the protagonists are effectively destroyed by their addictions, seemed to trigger a bout of heavy breathing in the audience. As it was ending I heard a few people crying. My girlfriend and I didn't say a single word to each other on the bus home.",v
4,5 April 2017,Horst_In_Translation,8, The ultimate addiction movie,"""Requiem for a Dream"" is an American 100-minute film from 2000 and probably still the most known work by director Darren Aronofsky, who also worked on adapting Hubert Selby Jr.'s novel for the screen here, actually with the late Selby himself. The cast includes Ellen Burstyn, already an Oscar winner at that point, the super stunning Jennifer Connelly, briefly before her Oscar win, and Jared Leto, a recent Oscar winner, so acting talent is certainly enough in here. Still this is a film that is really a lot more about the story and the overall picture than about individual performances, even if Burstyn managed to get nominated again, which was her most recent nomination at the Oscars, maybe even her final. I find it pretty shocking though that the movie did not get any nominations for other cast members (Leto and Connelly would not have been undeserving), for the direction, for the script, also for the make-up and for the truly memorable soundtrack. It is without a doubt one of the very best films from the first year of the new millennium and besides Gladiator it is also probably the most known from that year.",i
5,12 February 2001,Brian Scott Mednick,9," ""Requiem"" Is a Heavyweight","You will not so much as want to take a sip of wine after watching this mesmerizing film about the horrors of drug addiction.  I was not a fan of director Darren Aronofsky's debut film ""Pi,"" but with this movie he proves to be a filmmaker of unlimited vision and style.  Four characters in Brighton Beach, Brooklyn are all driven to despair due to their drug abuse, the saddest being Ellen Burstyn as a nice Jewish widow who unwittingly becomes addicted to prescription diet pills that help her lose weight but drag her into a world of hallucinations and paranoia.  Burstyn is superb. It is so refreshing to see such a great veteran like her in such a challenging leading role, one in which she goes through a hell worse than that in ""The Exorcist.""",e
6,27 February 2011,Leofwine_draca,10, Harrowing,"A tremendous movie, one of those ones that couldn't be improved in any way, shape or form. The script explores the nature of drug addiction on four different characters, showing how it grips and degrades them in different ways.",w
7,30 July 2001,tdao360,10," Brutal, honest, and a must see movie","This ranks up there as one of the three most powerful movies I have ever seen in my lifetime (Full Metal Jacket and Grave of The Fireflies being the other two).  This movie shows the brutal honest side of addiction and over-indulgence.  Not just drugs, although it heavily shows drug addiction. Also shows how one addiction can lead to another and how damaging it can be for you.  I watched this alone, and felt so stunned afterwards, I had to call a friend just to calm my nerves.  Seriously, this is a brutal (one more time)  BRUTAL film.  The acting is wonderful - Ellyn Burnstyn and Jenniffer Connely are just wonderful in this movie, and Marlon Wayons was such a shocker in a serious role.  Everyone must watch it, for it's entertainment value, and more importantly, it's educational value.  But it leaves chills down your spine for it's honesty and unforgiving lessons.",/
8,11 October 2020,PCC0921,9, No need for a comfort zone.,Requiem for a Dream (2000) - Directed by Darren Aronofsky,r
9,8 November 2000,Drakkhen,10, Absolutely Heartbreaking,"I had been looking forward to Aronofsky's follow-up to his critically acclaimed art-house film, Pi, of a few years back and when it did finally open in 1 theatre in Toronto, I gathered a bunch of friends to go down and see it.  Some have never even heard of Pi before.  For others, this would be their first Independent film experience.  However, coming out of the movie, we all agreed that it was one of most powerful piece of contemporary cinema that anyone has seen.",w
