Review_Date,Author,Rating,Review_Title,Review,Review_Url
0,6 November 2013,A_Different_Drummer,10," Last, butchered, unappreciated, work from one of the greatest...","... Directors of all time. Let's start with a story. Many years ago, when your grandfather was still a boy, a failed, beaten-down actor named Clint Eastwood packed up his horse and saddle (speaking metaphorically here), left Hollywood forever (or so he thought) and headed out to Europe to pick up cash wherever he could. He ended up doing a film in Italy for an almost-unknown director named Sergio Leone and an almost-unknown sound guy named Ennio Morricone. The film was (as history would later record) an ""Italian Western,"" that is, as the iconic western drama was all but disappearing in the US, it was being ""re-imagined"" by Italian writers and directors, and then filmed in Italy, using mainly Italian actors. On the set, Eastwood spoke in English and everyone else spoke in Italian. (Dubbing later fixed all that). Filming now over, Eastwood took his cash and left. Weeks later, in a bar in another part of Europe, he overheard mention that a certain film was the leading box office attraction on the continent. The name sounded familiar but, frankly, during production, a final name for the film he'd just done had not even been selected. He investigated. Yes, this was the film he had just completed, now titled A FISTFUL OF DOLLARS. The rest is history. Sort of. Two sequels were done with Eastwood playing the same character. Monster hits.",/
1,19 September 2004,philip_vanderveken,10, Make sure you get the director's cut!,"Many people compare ""Once Upon a Time in America"" with ""The Godfather"". In my opinion these two movies can't be compared. Both are masterpieces in their own way, but each of them has a different style. You don't compare a Picasso to Michelangelo's Sixteen Chapel either, do you?",r
2,15 May 2020,w-71474,10, Once a street teenager,"Years later, the desperate noodles returned to New York. In the bar of an old friend, loyal and foolish, he slowly asked him: ""How have you lived in these 35 years?"" Quietly answered: ""I just go to bed every morning."" It's hard to say a word, full of vicissitudes. His temples were covered with white hair. He was no longer a gangster on the street, and he was no longer a gangster in the sky. He was just a calm, stumbling old man. He had nothing but memories ...",e
3,21 January 2020,zeki-4,9, Probably the best movie I have ever seen,Make sure you watch the 220 minute version which is perfect. The butchered 139 minute version should never have been released and the added faded clips in the much longer 269 minute version aren't worth it.,v
4,19 October 2003,Quinoa1984,10," A sprawling, deliberately paced, and generally a superbly crafted piece of work","It's been said that when one watches a ""spaghetti"" western (one of the ""Man with no name"" films with Clint Eastwood) filmmaker Sergio Leone's trademark cinema style and flair for clear storytelling is instantly recognizable. This is no truer than in his most ambitious effort, Once Upon a Time in America, in which his usage of close-ups, concise camera movement, sound transitions and syncs, and the sudden change in some scenes from tenderness to violence. And, he pulls it off without making the viewer feel dis-interested. Of course, it's hard to feel that way when watching the cast he has put together; even the child actors (one of which a young Jennifer Connelly as the young Deborah) are believable. Robert De Niro projects his subtitles like a pro, with his occasional outburst in the right place; James Woods gives one of his first great performances as Max; Elizabeth McGovern is the heart of the film; and Joe Pesci should've had more than just a one scene appearance, thought it's still good. ",i
5,19 August 2003,MovieAddict2016,10," On par with ""The Godfather"" and ""Goodfellas""...","""Once Upon a Time in America"" is a film set free of time; it spans many different years and, like ""Citizen Kane,"" never tells the audience where it is. As many times as I watch it, I can never guess what is going to happen next.",e
6,23 October 2011,murtaza_mma,10, A Potpourri of Vestiges Review: Leone's magnum opus and a testament to the free spirit of Art,"In order to cater to their everlasting lust for making money, the movie production studios have always endorsed the motto of quid pro quo – ""A favor in return of another"". Every movie-maker capable enough to be called an auteur—by the virtue of his knack for eccentricity and novelty—has had to borne the brunt of this naked opportunism: be it D.W. Griffith, Charles Chaplin, Orson Welles or Stanley Kubrick. Sergio Leone too had to pay collaterally by having to make five Westerns in order to get funding for his dream project, Once Upon a time in America (OUTA). OUTA is a masterpiece of epic proportions and is consummate on almost every level. The uniqueness of the movie is such that it can be looked upon from various angles with each perspective adding immensely to movie's substance and profundity. The movie not only transcends genres by making simultaneous forays into the realms of Crime, Drama, Mystery, Suspense and Fantasy, but also crosses on several occasions the fine line that separates Dream from Reality. ",w
7,26 November 2005,ccthemovieman-1,8," Leone's ""Godfather"" Version, And About As Good","This Godfather-type film was done by Sergio Leone, of spaghetti-western fame, so you know you will see and experience several of his trademarks. Namely: (1) a lot of facial closeups; (2) some slow-motion or slow-moving dramatic scenes; (3) good overall photography and (4) a unique soundtrack.",/
8,8 May 2019,PCT1970,8, Leone Doing What He Does Best,"Leone helms a virtuous epic film in the crime / drama genre. This film has excellent direction, screenplay, editing, cinematography, score and acting. There are many famous artists involved in this film and they deliver superlative and realistic performances. De Niro and Woods in particular are superb. The plot revolves around a former gangster, Noodles, who returns to New York after disappearing four decades earlier to start a new life and for other reasons. The plot initially hints as to why Noodles left New York, but after his return we learn the entire story as seen through his own flashbacks. We see Noodles and his friends growing up in a Jewish slum in New York's Lower East Side. Noodles, a natural leader, rises to bootlegger and ultimately a Mafia boss. This does not come without violence, betrayal and remorse. The film does a magnificent job examining all of the characters and what makes them tick. The plot is gripping, intense, violent, gritty, bloody, duplicitous and has a cathartic ending. This is a sprawling story and thus turns into a lengthy and entertaining film which Leone is known for to begin with. It is a masterful work of art, memorable, timeless and a classic. This film takes a different path, as far as the storyline, than most traditional gangster films which is refreshing. This viewer has revisited this film many times and in my opinion it is bravura in it's genre and holds it's own with the other celebrated gangster / mob films.",r
9,25 December 2000,goggy turk,10," Beautiful, elegaic storytelling","I decided, on Christmas Eve, to reacquaint myself with an old friend- Sergio Leone's heavyweight gangster epic, which I had previously watched in two sittings, 10 years previously, at Uni.",w
