Review_Date,Author,Rating,Review_Title,Review,Review_Url
0,17 December 2013,gogoschka-1,10, In one word: perfection,"Needs to be seen to be believed; in one word: perfection. Every frame, every voice-over, every song - it all comes together at the exact right moment to create the perfect film experience. This film makes you really understand and feel what makes the American mafia so compelling; in the eyes of a kid, who was unfortunate enough to grow up in a tough neighborhood, those gangsters are rock stars. Live fast, die young - but when you die, it ain't gonna be of a glamorous suicide or drug overdose - the ending will be brutal, ugly and sad. And it may very well be one of your best friends that will blow your brains out.",/
1,31 March 2003,MovieAddict2016,10, An Offer You Can't Refuse...,"""As far back as I can remember, I've always wanted to be a gangster."" -- Henry Hill, Brooklyn, N. Y. 1955.",r
2,18 November 2009,AlsExGal,10, The best mobster film ever made,"After you see this movie, all other mobster movies you see or ever have seen will seem like garbage. They and their cast of characters will all appear cartoonish in comparison. Of course, this is a movie about the mafia from the working man/gangster point of view, where ""The Godfather"" was a mafia movie filmed from the viewpoint of the executive suite, so there really is no valid comparison there. ""Goodfellas"" really does seem ahead of its time when you realize that the only artistic work about the mafia that compares to it in quality is the HBO series ""The Sopranos"", which debuted nine years after this movie was made.",e
3,9 January 2011,TheLittleSongbird,10, A great director at the peak of his talents,"It is hard to describe the brilliance that is Goodfellas. As good as Raging Bull and Taxi Driver are, I think Goodfellas is Martin Scorsese's best film and is a textbook example of a great director at the peak of his talents. The film crackles with raw energy and enthusiasm, the film is superbly directed and the final sequence is nothing short of stunning. The script is also excellent with memorable quotes, the story is never less than compelling and the pop and rock soundtrack is winning. The cinematography and detail is immaculate, and the ensemble cast is one of film's finest. Joe Pesci won an Oscar for his performance, and as good as he was, he is perfectly matched by Robert DeNiro and Ray Liotta. All in all, it is a brilliant film and an instant classic no matter what time, day, week or year. 10/10 Bethany Cox",v
4,6 November 2004,mhasheider,10, One word: priceless,"If there was one word that I could use to describe Martin Scorsese's ""Goodfellas"": it'd be priceless.",i
5,11 April 2005,OriginalMovieBuff21,10, The greatest mob film still today,"Amazing is the one and only word to say for this film. I have always thought that Goodfellas was one of the greatest films ever made and set a landmark in the 90's or even in movie history. I bought Goodfellas last week and I got to watch the film a couple days ago. I really just couldn't lay my eyes off the film and everything about it was just simply worth watching. The acting was excellent, Ray Liotta, Robert DeNiro, Joe Pesci, Lorraine Bracco, and other actors did great and almost all of the characters they portrayed were 100% accurate. The camera-work also was brilliant and Martin Scorsese does a beautiful job by putting excellent camera shots in his films and I give him high credit for that. The soundtrack too is one of the best soundtracks ever made and the song ""Layla,"" put chills down my spine of how great this song fitted the film. Overall, Martin Scorsese made his best film in my opinion and him and Nicholas Pileggi made an excellent and sharp script that made this, the greatest mob film still today.",e
6,10 March 2022,whoisfishmooney,10, Iconic,One of the most iconic movies of the 90s. So many unforgettable moments in cinema history. Quotable lines throughout also. A fun film on a bit of a negative subject.,w
7,3 March 2022,alicetich,10, Aged like a fine wine,This film was released 32 years ago but still looks as good now as it did then. Great seeing the famous heist on the airport given mainstream light as it was a huge crime back all those years ago.,/
8,4 March 2022,tothestables,10, Instant classic,The rise and Fall of Henry Hill. A kid who always wanted to be a gangster and his progression up the criminal ladder to his ultimate downfall with those around him. Great film.,r
9,15 February 2007,bkoganbing,9, The Criminal Mindset,"The gangster film has been redefined so many times in cinema history it will be interesting to see how it is redefined once again. Goodfellas is a milestone film in that regard because just as Public Enemy and Little Caesar defined it in the Thirties, The Godfather trilogy in the seventies and eighties, Goodfellas set the standard that all other films including Martin Scorsese similar Casino try to meet. The interesting thing is that Martin Scorsese is young enough to redefine it again with another work.",w
10,25 April 2020,muamba_eats_toast,8, Slightly disappointed but still very good,Having never seen it before but heard so much about it I was expecting it to be one of the best films I've ever seen instead it was just very good in my eyes. Potentially it has lost some originality by so many other films copying features of it that it just didn't seem new anymore but whilst nothing was wrong with it and like I said it was very good with some fantastic performances it just didn't stand out against so many others of this genre for me.,0
11,29 May 2007,Robert_duder,6, As good as those fellas are...I just don't get it,"I have nothing against gangster films and I love Deniro, and Liotta and Pesci...in moderation...The Godfather were brilliant films and I finally made my way around to seeing the infamously talked about 'Goodfellas.' I don't get it. I'll take the heat from any fans and I know there are scores of them...Goodfellas was average at best and simply a trashy look at a mobster from childhood to his end in the mob with some decent but over the top performance, brutally gratuitous language and violence. I suppose in some circles that equivalents to a great film but I need far more. I mean even the story has little depth to it and it's more or less an extended episode of The Sopranos without the character depth. I suppose after having the film hyped for years and hearing about the 'classic' I had high expectations but for me it was run of the mill, annoyingly loud and abrasive but with some good direction. Scorsese knows how to make an epic from beginning to end starting the film in the 50's and 60's and taking it all the way to the mid 80's is a challenge and he does it flawlessly. The gritty underworld, the dark lighting, the facial expressions all very good but put to a pointless story and sub par characters unfortunately.",2
12,16 September 1999,baumer,10, Scorsese's best,"Goodfellas makes you feel like you are watching guys that you know or knew. To this day, I have a friend that still talks like Jimmy Two Times. He always says things like ""Nice Nice"" and that was just a background piece in Goodfellas. But that is the point, all that is background is just as important as the main players and locales. It all paints us a perfect picture of what mob life must be like. And with all due kudos to The Godfather, but there is no other film that has ever made mob life look so real and feel so tangible the way Goodfellas does.",8
13,29 May 2022,Critic_For_Life,10, Watching Goodfellas- lost count of how many times to watch,"Goodfellas is a gem, never get tired watching it and it's very fun to watch. One of the best Scorcese films along with Casino ( I know there are other films). Love all the characters and Liotta stands out (RIP) - my absolute favorite scene is when he's joking around with Pesci and tells him he's a funny guy; I read that that scene was improvised. Will miss you Ray Liotta - not your time to leave us.",2
14,29 March 2005,shanfloyd,8, A classic mobster film.,"This is one hell of a film about the mobsters, based on a true story and coming from one of the great directors of all time. This is about Henry Hill, the narrator of the story, an Irish simple person who gets involved with the Mafia at a very young age and continues his life through it. There is no major plot in this film, just isolated incidents one of which was the turning point of Hill's life. Scorsese, as brilliant as he ever was, shows violence, sex and drugs etc in his own trademark style. And his actors helps him to make this film one of the classics.",3
15,1 January 2023,Sleepin_Dragon,10, Martin Scorsese's masterpiece.,"The story of Henry Hill's life from youth to adulthood, from his own words.",0
16,24 July 2016,Leofwine_draca,10, Scorsese's masterpiece stands the test of time,"Martin Scorsese's unflinching portrayal of life in the mafia is a rightly acclaimed epic, at times funny, depressing but most of all frightening, all the more so because it's based on a true story. Basically it's the story of Ray Liotta's character's rise and fall in the mafia, and the way his relationships change with the various figures there as times come and go.",4
17,12 February 2006,wellthatswhatithinkanyway,10, Rightfully hailed as one of the greatest gangster epics of all time,STAR RATING: ***** The Works **** Just Misses the Mark *** That Little Bit In Between ** Lagging Behind * The Pits ,/
18,24 April 2012,mnpollio,7," Slick, flashy, often brilliant, yet cannot make you give a hoot about its characters","Goodfellas is a technically impressive film and interesting to review largely because of the huge following it has amongst film critics and Martin Scorsese fanatics alike, most of whom reverentially believe it is his best workand they may be correct.",?
19,27 May 2022,steiner-sam,8," The characters don't have the depth of those in ""The Godfather.""","It's a gangster biopic covering 25 years of gangster Henry Hill's life. It's set in Brooklyn, New York, from 1955 to 1980, when Hill testified against his associates and entered the witness protection program.",r
20,19 March 2022,doolanfile,10, Other mafia films struggle to hit same heights,Trouble with goodfellas is it sets the bar so high for mafia organised crime style movie. Outside of godfather and scarface this is the holy grail in its genre.,e
21,13 September 2000,thomashamps,9, A true classic,"This is the gangster film at its finest. Scorsese is on top form as are Pesci and De Niro. Liotta has never bettered the performance he gives here. The film starts as it means to go on - violent, full of profanity, fast paced and very stylish. The story follows Liotta's character from boy to man as he climbs his way up through the ranks of organised crime. We see all the highs and lows of his life and meet a host of very believable and very undesirable characters along the way. It's a film full of memorable scenes whilst remaining much more than the sum of its individual parts at the same time. This is what all movies should be like. It draws you in and won't let you out of its grasp at any point. When it finishes you feel exhausted and exhilarated at the same time. If ever the word 'masterpiece' was meant to be used, it was for this film.",f
22,3 September 2011,classicsoncall,9," ""The way I saw it, everybody takes a beating sometime"".","The first time I saw ""Goodfellas"", I didn't realize it was based on the Nichlas Pileggi book 'Wiseguy'. A lot of stuff seemed so familiar, and of course, the name Henry Hill was the tip-off, a non-Italian in the world of Mafioso high rollers and hit men. I read the book shortly after it came out, and the movie seemed to come out very quickly after. I don't remember a whole lot about the book now, but some of the things that stand out are the Air France job, the Lufthansa heist, and that bit about feeding a guy to a lion. Oh yeah, and the burial, exhumation and reburial of Billy Batts. You have to admit, ""Goodfellas"" has the best ba-da-bing opening of all time when Tommy (Joe Pesci) goes berserk on Batts in the car trunk and just keeps wailing.",_
23,18 March 2022,orangeblackwhite,10, Great lark,Great look into the Italian American culture and crime lifestyle of America. The filmmakers don't try and make the lifestyle look appealing but certain aspects actually do look good apart from hanging dead in a frozen meat van.,=
24,27 May 2022,handprime,10, The pinnicle,This is my absolute favorite movie. Watched it so many times. I seen Ray Liotta died yesterday and watched it again out of respect. This movie is what other movies hope with no faith to be measured against.,t
