Review_Date,Author,Rating,Review_Title,Review,Review_Url
0,20 September 2004,FilmOtaku,8, One of the shining stars of the French New Wave,"Every day life, however 'real' and gritty it may be, is rarely portrayed on film and was certainly a rarity in the 1950's. In Europe however, there was a movement in film-making that embraced this realism and searched for the deeper meaning in the 'here and now'. This is about the most basic and miniscule portion of the meaning behind the French New Wave of the 1950's  films that explored the filmmaker's surroundings, and eventually became an inspiration for filmmakers around the world. Francois Truffaut's 'The 400 Blows' is one of the most well-known films of this movement, and has been embraced and hailed as one of the greatest films of all time.",/
1,20 May 2006,EUyeshima,9, Deserved Truffaut Classic Benefits Significantly from Criterion's New DVD Package,"As the seminal work of the French New Wave, the 1959 directorial debut of 27-year old Francois Truffaut has such a vaunted reputation that the final film is bound to disappoint. However, the pristine print that comes with the new Criterion Collection DVD really makes me realize what a brave and emotionally resonant film he made ostensibly about his own troubled adolescence. It's worth seeing twice - once for the film itself and a second time to listen to the newly recorded commentary by Truffaut's childhood friend Robert Lachenay (the true-life inspiration for Rene in the film). Speaking in French but subtitled in English, he provides insights into the story and context of the film that no film scholar or even production associate could possibly provide. As a point of comparison, listen to the by-the-numbers commentary by film scholar Brian Stonehill (recorded back in 1992), which is thoughtful and well researched but devoid of the human factor.",r
2,2 April 2001,zetes,10, Perfection,"I first saw this film around three or four years ago for the first time. I had watched it late at night, and I was very sleepy after it ended. I was rather ambivalent towards it. To tell you the truth, I don't know whether I had even heard of it before I rented it. And I don't even remember if it was my first film by Francois Truffaut, either. I have seen two others, The Green Room, which I didn't like all that much, and Shoot the Piano Player, which I loved. My guess would be that I saw The Green Room first, then looked up what else Francois Truffaut had made, and which ones were considered his better films.",e
3,30 September 2015,Prismark10,7, All you need is love,The title of the film is The 400 Blows but it is actually an expression for 'Raising Hell.',v
4,20 September 2019,ma-cortes,7," Groundbreaking and semi-autobiographic film that initiated Truffaut's long career , concerning a peculiar character , Antoine Doinel","This classic and unforgettable movie with amazing freshness catapulted Truffaut to international acclaim , dealing with a the trails and rebellious of 13-year-old Antoine Doinel . He is a rogue French schoolboy , starred by an adolescent Jean-Pierre Léaud , being the first of Doinel series , following : L'amour à vingt ans (original title) or El amor a los veinte años (1962) , a Short titled Antoine et Colette (1962) , Stolen kisses or Baisers volés (original title) (1968) , Bed and Board or Domicile conjugal (1970) , Love on the run or L'amour en fuite (1979) . The downtroddem , neglected and rebel teen Doinel delves into a life of petty crime . Antoine (Jean-Pierre Léaud) is often in trouble at school , especially with his French teacher 'Petite Feuille', (Guy Decomble) and doesn't get along with his parents (Claire Maurier , Albert Remi) , particularly his mum . While his friend René suggests that they play truant . Both of whom often skip school to go to a funfair attraction park or to carry out tiny theft . Antoine and Rene are suspended from school , they go gallivanting around the town. Unless something drastic changes in Antoine's life, he is destined down a path that will lead to nothing good, which is more problematic as he gets older. Instead of going to school, Antoine along with his friend René go to the cinema, play pinball, and visit a huge amusement rotor , a real funfair attraction . The following day Antoine tells his teacher that his absence was due to his mother's death; unfortunately his parents show up at school .Then he briefly runs away from home but then goes back . Things go wrong when Antoine to get money steals a typewriter from his father's office , being trapped by a janitor. It is quasi-autobiographical account of 13-year-old Antoine's bleak odyssey through family life , reform school whose precarious permanence is questioned and getaway . From the Vanguard of New Film-Makers Comes an Extraordinary Motion Picture . The Best Directed Picture Cannes International Film Festival 1959 . Angel faces hell-bent for violence.",i
5,7 October 2015,grantss,7," Good movie, but hardly brilliant or a classic","Good movie, but hardly brilliant or a classic.",e
6,1 October 1999,Stroheim-3,10, Great Filmmaking by a Great Filmmaker,"The Four Hundred Blows is the semi-autobiographical story of Antoine Doinel, a boy trapped in a life of contemtptuous authority who turns to outward rebellion.  Truffaut shows his mastery of the cinema in this, his freshman attempt.",w
7,5 August 2001,dbdumonteil,4, Living a wild life,"This film  aka  ""the four hundred blows"" is a mistranslation.Faire les 400 coups"" means""to live a wild life. As a French,I'm stunned when I see the popularity of this good ,but by no means outstanding film. 1.It's not the first film of the ""nouvelle vague"" move;check Agnes Varda's ""la pointe courte"",(1956)Alain Resnais's ""Hiroshima mon amour""(1958),Claude Chabrol's ""le beau serge""(1958) are anterior .Historically,""les 400 coups "" comes after. 2.The ""nouvelle vague"" was sometimes ponderous and hard on their predecessors:Overnight,Julien Duvivier,Henri-George Clouzot,Claude Autant-Lara ,Yves allégret and a lot of others were doomed to oblivion.THis selfishness and this contempt is typically ""nouvelle vague"".You 've never heard (or read) the great generation of the thirties (Renoir,Carné,Grémillon,Duvivier already,Feyder) laugh at ,say,Maurice Tourneur or Max Linder.So,thanks to Truffaut and co,some people will never discover some gems of the French fifties or forties(Duvuvier's ""sous le ciel de Paris"",Autant-Lara's ""douce"",Yves Allégret's ""une si jolie petite plage "" and ""manèges"").THe novelle vague clique went as far as saying that William Wyler,Georges Stevens and Fred Zinemann were worthless! 3.""Les 400 coups "" is technically rather disappointing:it's very academic ,the story is as linear as it can be,the teachers are caricatures,and the mother Claire Maurier delivers such memorable lines as (you've got to be a French circa 1960 to understand how ridiculous  it is): Well ,your father 's got only his brevet (junior school diploma)and,as for me ,I've got only my high school diploma!You've got to know,that circa 1960,hardly 10%of the pupils had the HSD in France! Antoine Doinel should have been proud of his mother after all!She wants him to have diplomas,who can blame her? 4.Compared to the innovations of ""Hiroshima mon amour"",which features a brand new form,and a new ""fragmented "" content,""les 400 coups "" pales into significance.Truffaut will master a new form only with the highly superior ""Jules and Jim"", helped by the incomparable Jeanne Moreau. 5.The interpretation is rather stiff;Jean-Pierre Léaud ,arguably listenable when dubbed in English ,is still decent,but he will soon degenerate into the most affected of his generation. 6.The topic=stolen childhood  had better days,before (Julien Duvivier's ""Poil de carotte"" ,Luis Bunuel's ""los olvidados"") and will have after (Maurice Pialat's ""l'enfance nue"",Kenneth Loach's ""Kes"") I do not want to demean Truffaut,his movie is not bad,but,frankly,French movie buffs,prefer ""Jules and Jim"" ""l'enfant sauvage"" (a film honest ,true and commercially uncompromizing to a fault)""l'argent de poche""(as academic as ""400 coups"" but much more funny)or his nice Hitchcock pastiche ""vivement dimanche"".",/
8,24 July 2011,sme_no_densetsu,7, Well made but the story just didn't grab me,"François Truffaut's ""The 400 Blows"" is routinely listed as one of the greatest films in all of foreign cinema. At the time of its release it was hailed as an important film and subsequently proved to be immensely influential in the context of the French New Wave.",r
9,12 February 2006,maax48,10, French cinema at its best,"Truffaut has worked wonders here, creating a masterful tale of a boy confused, troubled, and unloved. Antoine Doinel (played superbly by Jean-Pierre Léaud in the lead role) has strict, unfaithful parents, and a harsh, oppressive teacher, and falls into delinquency because of his unhappiness. He lies, steals, skips school and runs away from home, and soon ends up in a juvenile delinquency centre.",w
