Review_Date,Author,Rating,Review_Title,Review,Review_Url
0,12 September 2004,Quinoa1984,10," Lady and the Tramp, before animation and at the start of talkies- one of the most wonderful films ever conceived and executed","If there is one Charlie Chaplin film to recommend, as others have pointed to in the past, City Lights is the one. Though Chaplin played his Tramp character superbly in other movies, like Modern Times and The Gold Rush, City Lights displays the Tramp at his funniest, his bravest, his most romantic, and his most sympathetic. It's tough for filmmakers in recent days to bring the audience so close emotionally with the characters, but it's pulled off. ",/
1,16 December 2005,EUyeshima,10, Chaplin's Masterpiece...and Oh Those Last Five Minutes!,"Let me join the consensus and call Charlie Chaplin's ""City Lights"" a masterpiece. It's only 81 minutes long, but they are among the best 81 minutes you could spend at the movies, and the last five minutes are simply exquisite. Keep your Kleenex box at arm's length as I doubt if there has been a more honestly heartbreaking scene captured on film. When the formerly blind girl gives the Little Tramp a flower and ultimately says ""Yes, I can see now"", the scene takes on such emotional gravity as to defy explanation.",r
2,22 December 2000,Anonymous_Maxine,10," You can't go wrong with Charlie Chaplin, but City Lights is even better than Chaplin's films usually are.","Chaplin takes himself a little more seriously in City Lights, and the results are spectacular. The musical score which Chaplin composed for the film was one of the many highlights, and even though Charlie's performance is much more dramatic than usual in some scenes, the hilarious comedy for which he is known and loved is still abundant. ",e
3,15 July 2007,ccthemovieman-1,9, One Of Chaplin''s Best & Most Endearing Films,"I always thought this was one of Charlie Chaplin's nicest, most under-appreciated silent movie gems. Then I discovered it really wasn't underrated; it's rated very high on most critics' lists. It may be that I usually hear about some of his other movies than I do this one.",v
4,19 April 2008,Nazi_Fighter_David,9, A one-man virtuoso performance,"Once again Chaplin plays his famous creation, the beloved Tramp The noble Little Fellow meets and falls in love with a blind flower girl She assumes he is wealthy man and offers him a flower, which he attentively accepts with his last penny ",i
5,10 October 2020,Xstal,8, The Caring Clochard...,"A good deal of silent black and white cinema is a chore to endure but the cream of that era still manages to rise to the top and compete, in its own unique and original way, with the cinema that followed over the decades up to and including today. A significant number of those films were written and performed by Charlie Chaplin and, if you watched nothing other than the films he made from that period, including this, your appreciation of his genius and talent would flower and grow, your vision of sincerity and generosity restore and your enchantment of the simpler and more genuine things in life embellish.",e
6,15 February 2003,lugonian,10, True Blind Love,"CITY LIGHTS (United Artists, 1931), written, directed and starring Charlie Chaplin (1889- l977), is a silent comedy-drama released at the height of the sound era. Distributing a movie in the silent film tradition at the time when silents were considered a fad, Chaplin gambled with this production, and made it pay off. Although Chaplin hails THE GOLD RUSH (1925) as the one movie he would most want to be remembered, CITY LIGHTS nearly dims out his GOLD RUSH and at the same time, practically places his other silent masterpiece, THE CIRCUS (1928) to oblivion. CITY LIGHTS has stood the test of time, balancing perfectly a mixture of comedy and drama, but in Chaplin's case, pathos.",w
7,14 August 2010,TheLittleSongbird,10," In my honest opinion, this is Charlie Chaplin's masterpiece","As much as I loved The Kid, The Gold Rush, Modern Times and The Great Dictator, City Lights is the film I consider Charlie Chaplin's masterpiece. And there are several reasons why this is so for me.",/
8,2 April 2011,ElMaruecan82,10, A cinematic triumph ... a universal masterpiece ...,"Charlie Chaplin was the greatest film-maker of all-time  and only two words are enough to measure up the greatness of his talent and its cultural significance in Cinema's history: ""City Lights"", a title that resonates in my heart as the most inspiring triumph of the human spirit. ""City Lights"" is not just a film; it's a cinematic gift from a genius, who sublimated the simplicity of the pantomime to create the greatest and most universal romantic comedy that ever enchanted the silver screen.",r
9,10 May 2009,Lechuguilla,10, The Zen-Like Little Tramp,"Waddling along with his cane and derby hat, and that tiny mustache, the little tramp (Charles Chaplin) is visually unlike any character in film history. The tramp is kind-hearted, always dignified. He's a simple soul who in ""City Lights"" tries to help out a young blind woman (well played by Virginia Cherrill). This is a silent film, of course, but the tramp's body language is his speech.",w
