Review_Date,Author,Rating,Review_Title,Review,Review_Url
0,21 October 2004,TBJCSKCNRRQTreviews,10," A great piece of cinema, a magnificent example of storytelling","I've heard so much told about Citizen Kane and Orson Welles, so I finally decided to get the film, and find out if it really is all that it's cracked up to be... I must say, it's great. The plot is great, and the way it's told is amazing. The story is first summed up in a matter of minutes, about 15, to be more accurate, and then the rest of the film has characters telling the story through flashbacks and retelling. We hear just about every opinion about Charles Foster Kane, apart from his own. The story is told after his death, and we see everything important that leads up to it, and only in the very end do we understand him, only then do we fully understand who he was, and what made him so. The ending also reveals one of the very most important things in any man or woman... one thing that everyone needs and knows of. I won't reveal it here, as it would almost be a crime to spoil the experience of this film to anyone. The acting is excellent; Welles himself is stellar as Kane, and his impressive appearance, along with his commanding voice, makes the character a forceful sight, nay, experience. The characters are well-written and credible. The character of Kane is probably the most well-rounded and perfectly built up I've seen in a movie, ever. The cinematography is excellent... the editing is great. I can't praise the angles, pans, zooms and transitions enough... it just has to be experienced. Now, for the one thing I can criticize in the film; the pacing. It's only two hours long, but it feels like much, much more. There were portions of the film where it felt like it didn't move at all. When there weren't great dialog or something equally as good in the film, it dragged terribly. There were too many scenes where the dialog seemed pointless, as well, I think. It didn't seem to be leading to anything. However, this criticism is so minor, due to the ending more than making up for it, that I still give this film a perfect score. I can't do anything but agree with its placing at the top of the top #250 films of all time, here on IMDb. As I'm writing this, it's #11. That's pretty much what it deserves, in my opinion. Not higher, not lower. Not the greatest film of all time(that pretty much still belongs to The Godfather, I think... at least, I haven't seen a better film than that, yet), but definitely far up there. I recommend this to any fan of film in general, and anyone who thinks they can understand it; it has a truly profound point that any man(and woman) should know of(preferably through seeing the film for themselves). Don't let the fact that it's old and black & white deter you from seeing this masterpiece. A true cinematic masterpiece, in every sense of the word. 10/10",/
1,12 November 2011,The-Sarkologist,9, Is a childhood worth sacrificing for wealth,"I think the quote that my friend made about this movie sums it up pretty much: it is a modern day work of literature. I agree with him precisely on that point. I do not give it a 10 because at places it is slow and dull, but one does not appreciate the brilliance that is this movie until after one has sat down and thought about it. Citizen Kane is not a movie is simply watch, it is one to think about and mull over the ideas that come through it. Another friend stated that it was the most boring piece of crap that he has ever seen, and though that might be his opinion, I feel that he missed the entire point of this movie.",r
2,6 December 2020,Cineanalyst,10, The Citizen Kane of Movies,"The most frequently acclaimed ""greatest film ever,"" idiosyncratic in its day yet massively influential, a cultural staple, a narrative and technical tour de force, and there's the whole thing of the wunderkind granted carte blanche for his debut to the machinery of classical Hollywood at its peak--the expectations for ""Citizen Kane,"" to say the least, are high. Indeed, it's a marvel of cinematography and plot. In both senses, there's a deep focus from various angles. The plot is a jigsaw puzzle of flashbacks from multiple sources--the ""News on the March"" film-within-the-film, the dead man's memoir, a reporter interviewing characters for the meaning of ""Rosebud""--linked by an also-layered sound design and framed by a curious camera violating the ""No Trespassing"" sign in entering and exiting the Xanadu estate. Moreover, the story is about a powerful storyteller notoriously based on William Randolph Hearst (and other famous rich guys, if not also a bit of Orson Welles)--a newspaper man, populist politician, overseer of his lover's career, and who even dictates the story beyond his grave with his final word. The picture constantly exploits a deep depth of field, with figures in the foreground and background in focus, to show it off. Much of this was accomplished by composite photographic effects. While ""Kane"" is famous as an arty old black-and-white film, which it is, it belies that it was genre-mixing popular entertainment and a special-effects extravaganza of its day: the virtuosity of the editing and sound design in addition to the matte paintings, miniatures, multiple-exposure photography, rear projection, and the most significant use of the optical printer in between ""King Kong"" (1933) and ""Star Wars"" (1977). The difference is that the effects here are realistic as opposed to fantastic.",e
3,25 April 2007,bkoganbing,10, An Expert On What People Will Think,"The problem with writing about a film like Citizen Kane is that with 809 previous comments on the boards here, there is little that hasn't been said already. The best you can do is not look at any others and express your own thoughts your own way.",v
4,5 May 2008,WriterDave,8, All That Ballyhoo!,"On the Criterion Collection DVD of Orson Welles' classic ""Citizen Kane"" there is an original theatrical trailer where Welles cleverly advertises the film by introducing us to the cast including the chorus girls, whom he refers to as some nice ballyhoo. That pretty much sums up my opinion of the often over analyzed film that always shows up at the top of the list of greatest films ever made. Even though this was the first time I sat down to watch the film as a whole, I knew everything about it from studying it in film class and from the countless number of essays, homages, and parodies that have come down the pike over the years. It seems impossible now to judge the film against a blank slate, but with great ballyhoo comes great scrutiny.",i
5,31 October 2015,ilpohirvonen,10," Why Is ""Citizen Kane"" the Best Film of All Times?","Anyone who sees ""Citizen Kane"" (1941) for the first time today does so because he or she has heard that it is the greatest film ever made. One simply doesn't come across the film by accident on TV, watching it ""for what it is,"" so to speak. The common approach of seeing it to believe it can be at best exhilarating and at worst hostile. Unfortunately, the latter is usually, although quite understandably, the case. For how can one do anything but look down at a film that elitist snobs have praised for years and years? One simply must prove oneself right by falsifying the critics' claims, leaving the theater or the living room with a shrug and a condescending comment: ""it was okay."" This will not do. It is a great tragedy if ""Citizen Kane"" suffers from these kinds of incidents since it ought to be treated with the same kind of respect as Shakespeare's ""Hamlet"" or Beethoven's ""9th Symphony"". In order to make this happen, or perhaps enhance someone's viewing experience, I would like to try and explain not why ""Citizen Kane"" necessarily is the best film, but rather why people have considered it to be. There are over a thousand reviews of the film on this site, and mine will probably drown in the vast sea with them, but hey what can I lose, and who doesn't love talking about Welles and ""Citizen Kane""?",e
6,27 September 2010,TheLittleSongbird,10," While it is an example of a film I admire rather than adore, I can see why this film is seen as a classic","That is not to say I didn't love it, this film is absolutely brilliant in every respect. I just more admire it rather than adore it, but I completely understand its reputation as a classic. The cinematography is enough to earn the film's reputation, every shot, every angle is exemplary and has so much visual drama, and you never know from looking at Citizen Kane that it was made on a shoestring budget. That is not all though. Bernard Hermann's score is superb, the story while not easy to understand at first is interesting and the screenplay is thought-provoking. Not only does Orson Welles direct impeccably, he turns in a magnificent performance as Charles Foster Kane, while the supporting acting is excellent too. People may dismiss Citizen Kane as boring and dull, and I have known people outside of IMDb to say that, but I have yet to hear any of those people to say it is not well-made or directed. As for me, I loved this film very much, and while my praise doesn't completely go beyond sheer admiration I cannot deny it is a great film. 10/10 Bethany Cox",w
7,1 August 2016,eagandersongil,10," It may not even be the best in history, but it sure is the most revolutionary.","Citizen Kane is a film with epic characteristics, and was at least 30 years ahead of his time, let's start by spectacular Gregg Toland photography, which for me is one of the top 5 best film photography, all the camera angles, metaphors, editing, close-ups, the use of natural and artificial light, mounts scenarios are something inexplicable (Remember Kane's speech), J. Mankiewicz script is great, using flashbacks (something new in time) and the timeline in your favor, I really can not say if this film was the first film to use these narrative resources, I think not, but it sure was one of the first to use a magnificent way, the soundtrack it is accurate, and the performances are very good, especially the Orson Welles doing a magnificent job, as director and actor, worth a reference scenes ""Post credit"" which explains that all the actors are new, cool also speak the name the cinematographer Gregg Toland is credited alongside Orson, Citizen Kane marked the history of cinema as we know it, so you go to see the movie today will notice that most of the ""things"" are very common nowadays and did not understand why the film is so prestigious, but remember that citizen kane invented this pile of ""things.""",/
8,29 June 2008,Lechuguilla,6, Wonderful Cinematography,"If ever there was a film that I had a love-hate relationship with, ""Citizen Kane"" is surely it. Some of the non-script elements are as good as what one would find in any other film. Yet, the story of Charles Foster Kane (Orson Welles), an early twentieth century newspaper tycoon is terribly dated and painfully boring.",r
9,15 April 2001,caspian1978,10, A must film for any film maker,There's something worth stealing from Citizen Kane if you're a film maker. What else can you say about this film except for it being the greatest gift one can give to the film industry. Having it have been a box office bomb when it opened in LA in the 1940's only adds to the films greatness. Citizen Kane was before its time and still remains today a movie marvel. There is not a single film school in the World that will not show this film at least twice to its students. A perfect film to watch and discuss for the entire class period. Citizen Kane has more examples of modern movie making than any other film made before or after.,w
