Review_Date,Author,Rating,Review_Title,Review,Review_Url
0,21 October 2000,zetes,10, Absolutely Perfect. One of the best films ever made. 10/10,"It is a little known fact that India produces more films per year than any other country. The reason that most people don't know that is because their films do not generally appeal to us, and we would see them as oddities suspended in their own culture. Possibly they'd be amusing or interesting to watch, but they would probably be hard to enjoy (to demonstrate the difference in taste, Roger Ebert attended an Indian film festival a year or two ago, and when he questioned its director what American film did the best business over there, he answered that the movie _Baby's Day Out_, which is basically like one of those Popeye cartoons where Sweet-Pea wanders through construction sights blindly, except extended to 90 minutes, had theaters packed in India all throughout its run; the film bombed completely in the US). Tastes differ. Humanity does not. This is proved to the utmost in Ray's masterful _Pather Panchali_. ",/
1,1 March 1999,harry-76,10, An Indian Classic,"Ray's ""Pather Panchali,"" the first of his unforgettable ""Apu Trilogy,"" is a remarkable film experience. The acting is strong, the direction and script, sure, and the total work, eloquent and moving. A film which one can return to again and again, and each time one can discover new elements.  This is a staple of my video library, along with Ray's other two films which complete the trio, ""Aparajito"" and ""The World of Apu."" I have watched the trilogy in a continuous sitting on two occasions, and the experience was emotionally overwhelming.",r
2,29 September 2021,Xstal,9, An Asymmetric Kaleidoscope in Monochrome...,"... but definitely not black and white. The lives of an impoverished rural Bengal family, their daily fight for survival and the monotony of that fight - all brought to life by the genius of Satyajit Ray.",e
3,25 November 2000,Himadri,10, Possibly the best film ever made about childhood,*** WARNING: SPOILERS ***,v
4,2 August 2006,Camoo,10, one of the most profound films ever made,"I won't go into detail about this film, because the greatest films ask that you really just sit back and enjoy them without questioning. This is in a very very small handful of films that create a kind of 'ecstatic truth' that Werner Herzog is always talking about. There is not a moment of hand-fed emotion, and that's probably what hits you first after the film is finished. This is probably why the film has not hit even the first 250 on the IMDb list, while it is more easily accessible than, say, most 'foreign' pictures, it still refuses at every turn to make a cliché out of itself or to be unfair to the audience or its characters by making its machinations obvious, a ploy that most filmgoers fall for time and time again. A reason for this might be that Ray, a young director at the time who had already worked with Jean Renoir on his landmark film about India called 'the River', really didn't have a lot of money or power to wield around, and made this tight, intimate story on a shoestring with an amateur crew, without real concern for anything else but this story that he wanted to tell. A lot of that comes across - the locations, the actors - were all real, however this is a work of masterful collaboration between director, cinematographer, actors, sound recordist, and particularly the editors, a collaboration that is unparalleled in most modern, big budget films. This is a movie created solely with passion, and I am joining in the crusade to make this one of the top 250 on IMDb, though it should, by default, belong on the top 10 of anybody's list.",i
5,30 January 2004,ballweg,10, As good as remembered...,"I originally saw the Apu trilogy in 1961 in a little theater in Berkley. Sat through a straight showing of all three films and walked out after six hours in awe. It was a defining day in the development of an avid film buff. I have waited three years for the DVDs to be released, and hoped against hope that Criterion would get the rights, but it was not to be. Sony has released an unadorned, Mirchant and Ivory Foundation restoration: but they are finally available. I bought all three of the Trilogy the day they were released, but have been reluctant to put them on. So many of my memories of ""great"" films have made me wonder what I was on when I saw it to think that was great. Think ""Brewster McCloud."" My experience of Pather Panchali and the full trilogy was a memory I didn't want diminished in any way. Tonight I came home from work, put the Pather Panchali in and sat totally rapt for the full two hours. The DVD production values and the print quality are really bad in spots, but all that fades as one of the really great art films takes over, and the immersion in the lives behind the film works its magic. Film doesn't have to be an act of corporate commerce: Pather Panchali is living proof that film can be a medium of great art.",e
6,18 July 2005,infoseeker531,9, What a story!,"I have just finished Pather Panchali. To be honest, it took almost two weeks to watch it. Not only interruptions, but the shear poverty of the individuals--the family--is overwhelming. Each member exhibits their poverty and destitution in a different way. My favorite character is Durga, who gives and gives until she reaches the point where she is tired of not receiving.",w
7,15 May 2004,erwan_ticheler,10, The Beginning of a Legend,POSSIBLE SPOILERS:,/
8,25 March 2009,artzau,10, Incredible,"As an anthropologist who is a film buff, I'm always fascinated by films with solid ethnographic content. Ironically, I must confess that I had never seen Pather Panchali completely. The several times I started to watch the film, seemingly something arose during those few times and I never got very far into it. However, now in my senescent years, I finally got around to seeing it after realizing that I never had taken the time to see it. Having read about the trilogy and about Satyajit Ray, I look back and wonder why of all the classics I've seen, I'd overlooked these works of Ray. Maybe it was the trauma I experienced 50 years ago at UC Berkeley while taking a year of Sanskrit but I doubt it. I'll only say now I must have been saving it for a treat during my later years. And, what a treat! The film has a languid quality and moves slowly, listfully. The imagery is diffused due to in part the quality of the film but the eye of the camera misses nothing from shots of nature to a kitten stumbling and licking itself, to the old Auntie brushing away flies from her food. The starkness of their poverty does not affect the world of a little boy as it does his frustrated mother and sister. His father, a kind-hearted dreamer, seems resigned to his lot and is willing to take less to keep his sense of life and desire in balance. All of this life trajectory is classic Indian and Ray shows us to us through the camera's eye in a way that is moving, joyous and profound. This is their world and Ray lets us see it through their eyes. Akira Kurasawa called Ray a genius and we guess we could say, it took one to know one.",r
9,9 September 2005,sumanta6,10, One of the best,The film is certainly a masterpiece. The film is overwhelmingly real and the key element in the movie is the maintenance of this realism. The characters are so true to the ethnic rural-sixties Indian existence that one is compelled to wonder if the film was captured through surveillance cameras. ,w
