Review_Date,Author,Rating,Review_Title,Review,Review_Url
0,3 August 2001,Smells_Like_Cheese,10, An intense and very terrifying movie that will make you sleep with the bible a few nights in a row,"The Exorcist is one of the best movies to come out of the 70's and deserves better than slowly descending down the top 250. It's one of those essential films you have to see in order to understand what a movie truly is and this is more than a horror film. Unfortunately there are so many people who are saying they got bored, I think because they expected a terrifying movie, people! This isn't a slasher movie, this isn't some scary Michael Myers that you can shoot, this is a story about normal people in a normal house and upstairs there is a little girl who happens to be possessed by ""The devil himself"". Faith is so strong and when it's shaken, anything in your imagination can run wild.",/
1,20 July 2004,clydestuff,10, The Devil Made Her Do It,"In late 1973 and early 1974, women and men were lined up for blocks. People were known to become ill watching it. Some fainted. Some ran out of the theater in tears. There were reports of people having to be institutionalized, and at least one miscarriage was attributed to viewing it. No, it wasn't a Rolling Stones Concert. It was a film called The Exorcist.",r
2,21 October 2018,knersisman,8, The Exorcist,"Stunning visuals, effects and overall horror for 1973. The characters are very strongly portrayed and the feeling of hopelessness is ever-present throughout the movie. Even though some scenes are outright shocking and provocative, there is also a strong element of the uncanny present. This is a very haunting movie that still shocks, amazes and intrigues after all these years.",e
3,6 August 2018,agro_sydney,10, Still A Masterpiece After 45 Years,"I recently revisited this film on Blu-ray after some 45 years. It still rates as one of my favourite horror films, one of my top ten films and a masterpiece of film making. Beautiful photography, great locations, sets, special effects and acting.
It still stands up as a great film today",v
4,13 October 2011,TheLittleSongbird,10, One of the few movies to genuinely unsettle me,"The horror genre is a genre that has been growing on me overtime, and I genuinely believe The Exorcist is a landmark of it. Not just how much it's talked about or parodied, but also its ability to unnerve and unsettle me even years later. The Exorcist is a fantastic film, both as a film of its genre and of film full-stop. The effects are superb and have held up very well, and the sound is marvellous and adds to the many startling moments. The cinematography and scenery are also incredibly well done. The macabre, obscene demonstrations of manifest evil on display still startle even now, while William Friedkin's direction is one of his best and most intelligent of his career, not just making the scares genuine but also combining these with allegorical religious subtleties. The performances also lift, Linda Blair is really quite startling, and you couldn't have had more perfect support from Max Von Sydow and Ellen Burstyn. Overall, genuinely unsettling and effective. 10/10 Bethany Cox",i
5,10 August 2019,NpMoviez,10, One of the greatest ever!!,Some movies are landmarks. This is one of them.,e
6,3 March 2008,ma-cortes,8," Suspense , mystery , shocks and grisly horror is this classic terror film","This known story concerns about a mother (Ellen Burstyn) and her daughter (Linda Blair), the latter is possessed and two Fathers , Karras (Jason Miller) and Merrin (Max Von Sidow) attempt to free Regan MacNeil from possession by the devil . Meanwhile , a Police Inspector (Lee J. Cobb) is investigating the weird events . And the priests suffering incredible risks trying to unravel mystery of demon living inside Regan .",w
7,6 December 1998,Collins,10, THE EXORCIST---A PERFECT FILM,"Many people complain that this movie's too slow but those are the kind of folks who only like 80-minute splatter films with characters so dumb and one-sided, you pray for the bad guy to kill them.  This monster of a drama is both beautiful and bold.  It has CHARACTERS and not simply LAMEBRAINS lined up for slaughter.  It has class and purpose.  It takes the audience into the darkest recesses of humankind and then brings them back through a message of hope and self-sacrifice.  The movie is NOT anti-religion, it's anti-evil.  Anyone who likes smart, clever, meaningful horror-drama should see this film at least twice.  It is surprisingly touching and amazingly powerful.",/
8,26 February 2016,jadavix,10," Still shocking, all these years later",This one has lost none of its power to shock or terrify.,r
9,27 March 2011,ElMaruecan82,10," Simply, the greatest ""Horror"" film ever made ...","What scares us more than anything? The answers are multiple : the dark, the evil, a mysterious presence, death ultimately; in fact, anything incontrollable. And when you think about it, all these elements have something in common: they refer to an unknown force whose presence is palpable. Indeed, the unknown scares, because it can't be seen, can't be controlled, therefore, can't be fought.",w
10,29 October 2006,classicsoncall,10," ""You're telling me I should take my daughter to a witch doctor, is that it?""","When I reflect back on the movies of the 1970's, I'm struck by how many of them helped reinvigorate their respective genres. There was ""Star Wars"" for fantasy, ""Alien"" for sci-fi, and ""Jaws"" for the shark crowd, though I don't think that's really a genre. For horror fans, ""The Exorcist"" was the one that had everyone talking in 1973, and not only talking, but lining up around the block to get a chance to see it. In fact, the first time I tried, the person directly in front of me in line was the last one allowed in for that showing.",5
11,19 July 2020,rocknroll8484,10, Deserves to be on IMDb Top 250!!!,"I'm not sure why this film isn't on IMBb's Top 250 anymore but it deserves to be in at least the top 50 on the list. Maybe it's because millennials rate such beautiful classics lower since they're not getting the jump scares and torture porn of the modern era of horror... Not sure. Either way, this movie is THE horror film, the Godfather of it's genre! Absolute perfection! And it needs to be recognized as such!",0
12,25 December 2009,CihanVercan,9," One Genre Renewal movie: The Exorcist - Horror with no Crime, instead Horror with Spirits","Two terrible sequels and one irrelevant remake were never replaced with the original, the 1973 version of The Exorcist; and no other version will never be any more. Written for the screen and produced by William Peter Blatty, both The Exorcist movie and the novel are incident driven basis of the actual happenings from 1949.",8
13,16 June 2019,UniqueParticle,10, Possessive mastery - Verdict 10 out of 10,"Among the most authentic horror ever made with shockingly well done practical effects! Best of everything, Regan (Linda Blair) and Damien Karres (Jason Miller) were so damn good! Nothing to judge about this incredible film, it's better than hundreds of horrors out there especially possession wise it's spot on with grossness and very disturbing satanic aspects. Christians wouldn't be happy to watch this lol.",1
14,28 March 2000,pheonix19,10, Unmatched brilliance,There is a reason for the hysteria and mystique surrounding THE EXORCIST. And it's called genius.,8
15,17 October 2020,AlsExGal,7, It just doesn't scare me anymore...,... and it was pretty scary when I saw it in 1974. Maybe the horror has shifted somewhat for me. In 1974 I was 16 and I was sheltered from the horror of real life. So horror films were the only thing that probably could scare me.,5
16,9 July 2016,Leofwine_draca,10, One of the few films to actually have sickened me,"Well, I couldn't miss the opportunity to see this horror classic in the cinema, or I'd have to wait another 25 years till the 50th anniversary. So I went along to the cinema, where it was playing in an original version (none of this remastered malarkey, I'll thank you very much). And suffice to say, I was impressed. Very impressed. In fact the film lived up to all expectations I had of it.",3
17,31 January 2005,mjw2305,8, A Horror Classic,"This is a very highly rated horror movie for a good reason, when it was realised it broke the mould of everything that preceded it, and set the standard for the horror genre for decades to come; because of this it should retain its place Movie history forever.",/
18,25 August 1999,baumer,6, I almost feel ashamed for not liking this film,"There is a very frustrating scene from Jaws 2 where Brody walks into the selectsmen's meeting carrying the photograph that the two divers took as they were being eaten.  Brody sees the outline of the mouth and the eye. And he should know what a shark looks like.  But when he passes it around, Harry saysSeaweed?"" Verna Fields says, ""it's under water isn't it?  That's why it's so dark?""  They can't see something that is so obviously and that is bothersome.  That is how I feel about my reaction to the Exorcist. Everyone has told me how frightening it is and how it is a psychological trip.  And I know the reaction that audiences had towards it in the 70's. But as much as I try, I just can't see it.  It is not a scary movie and it is not even an enjoyable one, and I would even go so far as to say that it is not even a good movie.",?
19,9 July 2015,anaconda-40658,10, Blair Gets Exorcised!,"The Exorcist (1973): Dir: William Friedkin / Cast: Ellen Burstyn, Linda Blair, Jason Miller, Max Von Sydow, Lee J. Cobb: Terrifying masterpiece based on the book by William Peter Blatty. There are many Biblical accounts where Jesus himself drove demons out of people, so an exorcist is obviously someone who rids what doesn't belong. Ellen Burstyn stars as an actress whose daughter is possessed by demonic forces. After the shocking image of her daughter screaming atop a shaking bed, she seeks professional help. When doctors fail in finding answers it is suggested that a Priest see the girl. Intelligent, shocking with a sense of insight where Burstyn asks the right questions regarding exorcism. Quite an accomplishment for director William Friedkin who previously made another masterpiece in The French Connection. Burstyn brilliantly mirrors frustration mixed with fear. Linda Blair is both sympathetic and commanding as the possessed victim. Jason Miller plays a troubled Priest whom questions his faith after his mother's death. Lee J. Cobb steals moments as a police inspector. Then there is Max Von Sydow is compelling as the exorcist who sensed the demonic force in the film's opening and ultimately understands the standoff he will eventually face. A masterpiece in horror with excellent makeup and spellbinding measures of faith. Score: 10 / 10",r
