Review_Date,Author,Rating,Review_Title,Review,Review_Url
0,9 January 2001,lugonian,9, The Man With Hitler's Face,"""The Great Dictator"" (United Artists, 1940), became the long awaited talking debut of silent film comedian, Charlie Chaplin (who also wrote and directed), in a political satire on Adolph Hitler, only the way Chaplin dared to do at the time. He plays a Jewish barber and Hynkel, dictator of Tomania. Some of the humor cannot really be absorbed at first glance, but after repeated viewing, it gets better. My personal classic moment occurs with Chaplin in the barber shop working on a bald-headed customer by giving him a shave while listening to a classical composition on the radio, never missing a beat. Co-starring opposite Chaplin for the second and final time is Paulette Goddard as Hannah. Goddard became the only Chaplin leading lady to ever make a success on her own while the others just drifted to ""B"" movies or faded away. Jack Oakie as Napaloni, the Dictator of Bacteria (a spoof on Mussolini), appears late in the story but shares with Chaplin some of its brilliant comedic moments. Both Chaplin and Oakie earned Academy Award nominations for their performances (Chaplin for Best Actor/Oakie for Best Supporting Actor), but no wins. Henry Daniell as Garbitsch and Reginald Gardiner as Schultz also share the spotlight. Aside from Chaplin's screenplay in poking fun of its then current issues on European invasion by the Nazis, ""The Great Dictator"" expertly blends satire with dramatic overtones. Its closing scene in which Chaplin makes a speech pleading for all people to follow the path of peace, brotherhood and democracy, is not to be missed. Whether this movie is above or beyond the Marx Brothers' ""Duck Soup"" (Paramount, 1933) is anyone's matter of taste. (***)",/
1,3 March 2009,ma-cortes,8, Immortal classic movie with dual character for Chaplin as barber Jew and Dictator Hynkel,"This ingenious and innovate comedy packs many priceless moments and great sense of pace , though overlong . Chaplin's satire with several classic scenes , he has dual role as a Jewish barber and dictator Hynkel , an offensive portrayal of Hitler . Then the barber is mistaken for the Hitlerian tyrant and there happens bemusing events . Funny and extraordinary acting all around , as the stunning co-stars Jack Oakie as Napolini (Mussolini-alike) , Henry Daniel as Gasbstich (Himmler-alike) and Billy Gilbert as Herring (Goering) . Chaplin's first spoken film is brilliantly photographed by Karl Struss . This splendid film contains numerous amusing scenes , the funniest are the followings : 1) The one when during the WWI the barber-soldier along with a co-pilot are flying in a turned plane without to be aware 2) When Dictator Adenoid Hynkel tells overacting speeches , including a twisted microphone 3) Hynkel playing with an enormous world balloon 4) The Jew-barber shaving a man while fitting to Hungarian Dance : number 5 by Brahms 5) when Hynkel and Napolini each try to keep his body higher than other in a barber's chair , among them .",r
2,18 October 2010,Steffi_P,9," ""Can you hear that?""","Back at the dawn of the talkie era, Charlie Chaplin defended his decision not to start making sound films by saying ""The moment the little tramp talks, he's dead"". He was right of course. His comic persona was the creation of an era in cinema when words and voices were irrelevant. The little tramp's appeal lay entirely in how he did things, not in what he was supposed to be saying. And yet it was inevitable that if Chaplin wanted to continue in the business he would have to cave in eventually. Besides Chaplin's agenda was itself changing, and he had now reached a point in his life where he really wanted to speak to the world.",e
3,20 October 2020,Xstal,9, 'In this world there is room for everyone'...,"... and in today's parlance that means regardless of race, ethnicity, gender or sexual orientation but you might struggle to know it with the polarisation that continually pulls us apart, doing more damage to culture and society than any aspiring dictator could ever do.",v
4,5 August 2017,areatw,10," You, the people, have the power!","The tagline of 'The Great Dictator' is 'the comedy masterpiece', and I couldn't think of a better line to sum this film up. It's a hilarious political satire, but it also delivers a vitally important message. This film was released at the time when Hitler was at the height of his power and the main character, dictator Hynkel, is obviously a reference to him.",i
5,14 September 2000,Nazi_Fighter_David,8, Chaplin's comment on fascism is his first talking film...,"Hynkel, dictator of Tomania, is a spoiled child who becomes angry when he cannot gets what he really wants... And what he simply wants is nothing less than the world...",e
6,19 May 2013,slokes,7, First Laughs And Last Laughs,"Charlie Chaplin's boldest film for its willingness to take on Adolf Hitler before nearly anyone else, ""The Great Dictator"" was also Chaplin taking on sound 11 years after everyone else. If it had to be the end of cinema's greatest Silent Clown, he did what he could to take down history's greatest monster in the process.",w
7,23 January 2005,muzikla,10, We think too much and feel too little.,"I was surprised and impressed to find out this movie was released in 1940, before the United States entered World War II. On the surface, satirizing something as solemn and horrible as Nazi Germany could be misconstrued as rash. But Chaplin's brilliance isn't limited to making a joke out of everything. In fact, the seriousness of his message wouldn't have been nearly as valid if not for the excellent use of humor in this movie along with the moments of stark drama blended in. Drama alone wouldn't have had the bite and resonance that this film did. Laughing at someone (Adenoid Hynkel) can be the best way to attack them, while laughing with someone (the Jewish Barber) can be the best way to love them. In the Jewish Barber's final speech, I forgot for a moment that the war he was talking about happened more than half a century ago. They are words that have meaning now, and in any time of war. For this reason I believe the film did far greater good than harm, as it still has the same profound effect today.",/
8,29 October 2001,Kakueke,10, Masterpiece,"The Great Dictator is a beyond-excellent film.  Charlie Chaplin succeeds in being both extremely funny and witty and yet at the same time provides a strong statement in his satire against fascism.  The anti-Nazi speech by Chaplin at the end, with its values, is one of filmdom's great moments. Throughout this movie, I sensed there was some higher form of intelligence, beyond genuinely intelligent filmmaking, at work.",r
9,30 November 2010,bkoganbing,10, The Tramp Finally Speaks,Charlie Chaplin certainly put off speaking on cinema long enough. His bread and butter was made with his little tramp character on the silent screen. But when Chaplin finally did speak he spoke some of the most memorable prose ever spoken on the cinema. The eloquence of his appeal for universal brotherhood is maybe more relevant today than even back in 1940 when he decided to satirize Nazi Germany in The Great Dictator.,w
