Review_Date,Author,Rating,Review_Title,Review,Review_Url
0,6 March 2017,zkonedog,10," So Much More Than Just A ""Shark Movie""","Reputationally-speaking, ""Jaws"" will forever be known for two things: director Steven Spielberg's unique ""shark-eye view"" camera work and building of suspense, and composer John Williams' two note ""attack"" motif that became as iconic as any piece of music ever created. Perhaps those two aspects alone would have been enough to make ""Jaws"" an iconic film--who knows. But the fact is, this 1975 effort is about so much more than just suspense/horror. It is one of the most well-rounded, complete movies ever made.",/
1,17 December 2013,gogoschka-1,10, One of the experiences that made me fall in love with movies,"I will never forget the first time I saw Jaws. I was glued to the seat from start to finish. I jumped, I held my breath; this was one of the experiences that made me fall in love with movies. This was probably the first film where I completely forgot everything around me. I was there, in that boat, in that gloomy cabin, with those people - everything seemed so real (and alas, the sea never looked the same again). When I watch it these days I still marvel: the atmosphere and the performances in this film are simply magical. Spielberg without the schmalz. He has never been better.",r
2,1 January 2022,planktonrules,9," Even with very dated technology, this is a great film to watch.","Back in 1975, ""Jaws"" made a huge splash (pardon the pun) in theaters. It set all sorts of box office records and made the covers of magazines all over the country. And, the film was seen as groundbreaking and amazing. When seen today, it's still a great film to watch even with it's very dated technology. In other words, the shark often looks very fake but the story is so good and handled so well, you really don't care. Excellent acting, a very nice script and excellent direction make this a definite must-see.",e
3,12 June 2008,hitchcockthelegend,10, Jaws,"A man eating shark is terrorising the holiday island of Amity. Police chief Martin Brody, shark hunter Quint and marine biologist Matt Hooper set sail in the hope of killing the great white monster.",v
4,23 May 2017,fairlesssam,9, A monster of a movie,I re-watched this film recently and was blown away by the absolute suspense it invoked in me. My daughter (whom is 17) and I were both stunned at the quality and realism of a film made in 1975!! Our TV is 55 inches which showed the movie off to it's full potential and it certainly did not disappoint.,i
5,13 April 2003,Smells_Like_Cheese,10," If this movie scares you to the point where you can't go back into the water, then Spielberg has done job well done","Jaws is a movie the I grew up with, it's like the first real horror film I ever watched. What a great one to start with, right? This movie not only scarred me out of the water, I was afraid to go to the bathroom! I thought Jaws was going to pop up out of the toilet and bite my butt! :D I know it was silly, but that was how much Jaws effected me. I know also that it has not lost it's effect to this day. I'm questioning, because it seems like all the terrific horror films came out of the 70's.",e
6,8 November 2016,Idiot-Deluxe,10, JAWS = Timeless Cinema,"It's true, few movies tell a story better and in a more compelling way than JAWS - the original summer blockbuster, which was a world-wide smash-hit or ""phenomenon"" upon it's initial release in May of 1975. Forty-one years later it still stands as one of the best movies of all time and having seen it well over 100 times in the past 30 years, I can firmly attest to it's extreme longevity and at this point it would seem JAWS' ability to entertain me, myself and the masses is indefatigable. In other words: JAWS IS ETERNAL. An ageless, universally beloved masterpiece and due to the films great originality, it has always been easy for me to admire it.",w
7,26 May 2019,EmmeCHammer,10, Classic,"I hate reading reviews from people who think movies were always made with CGI , we'll my young friends there was a time when it took genius filmmakers to make a masterpiece movie not just a computer doing all the work. You do realize this was 1975 and was a one of a kind Cinematic Masterpiece. Receiving oscars because it was great, ahead of its time. Also starting the career of Spielberg. Some of you people (that's right I said it ) make me laugh thinking movies started in the 2000s, go back and watch it and then realize it's time of release and the impact it had on the Cinema, before you say it's not groundbreaking and surely before YOU can compare it to Sharknado, Meg, and other ridiculous CGI hacks! People will be talking about this CLASSIC long after you and I are making our meaningless reviews, 10*s if ever a movie deserves it.",/
8,29 August 2016,Tweekums,10, Spielberg's original blockbuster,"On the fictional New England resort island of Amity tourism is the main industry and each summer the beaches are backed with people hoping to swim in its beautiful waters the last thing the authorities want is news that a shark has killed somebody. When I girl disappears at sea it is first assumed she just drowned but when her body is found the Island's new Police Chief, Martin Brody, wants to close the beaches but the mayor is determined to keep them open and pressures the local doctor to certify that she was killed by a boat a second death, just off a crowded beach, causes a major panic and the mother of the victim offers a three thousand dollar reward to whoever catches the shark. This attracts everybody with a boat but doesn't impress local fisherman Quint, who demands $10,000, or shark expert Matt Hooper, who Brody invited to the island. After further deaths Brody, Quint and Hooper set of in Quint's boat, the Orca, to hunt down the great white shark that has been terrorising the island. Once they find the shark it becomes clear that catching it will not be easy.",r
9,21 August 2022,Xstal,8," Hunter Gatherers, Hunted then Gathered...","There are perils when it comes to beach and sea, on occasion they might make you want to flee, a large mandible or two, clamping down right over you, could be one, and you'll become, an absentee (or an amputee if your lucky).",w
10,30 July 2022,TigerHeron,9, It holds up,"I saw this movie again after a few decades. There are a lot of movies from past eras that don't hold up over time, but this one does. It's just as suspenseful as it was in 1975. But the best reason to watch it is Robert Shaw's performance. You hardly ever see those type of personalities in movies anymore.",3
11,27 May 2017,Sleepin_Dragon,10," All this machine does is eat, sleep and make baby sharks.",A great white shark terrorises a small community.,3
12,19 July 2004,Boba_Fett1138,10, Spielberg turns weak story into a cinematic masterpiece.,"Every once in a while the right talented people are at the right place together and come up with a masterpiece. ""Jaws"" is definitely one of those movies, that is thanks to the amazing cast and the crew the classic masterpiece that it is today.",3
13,9 August 2003,Nazi_Fighter_David,9, A well-made film which efficiently manipulate its elements of suspense and horror...,"The film opens with a shot of a group of teenagers enjoying a campfire out on Amity beach... A couple leaves the group for a midnight swim... The silhouette of a woman is seen in full flight toward the sea... Her dress, bra, and panties fly toward her drunk admirer who can't make a fist to catch them... ",8
14,16 December 2020,iainsmith-18061,10, The Best,Still the best movie of its time and doesn't ever grow old to this day. Absolutely genius of a movie and the actors cast in this well that was true genius .,1
15,27 December 2002,Movie Nuttball,10, Jaws!!!,Jaws is an epic movie and it is My favorite shark film.Great acting by Roy Scheider and Richard Dreyfuss but the acting was superb in My opinion by Robert Shaw!The shark itself was awesome!The view of the water in Jaws is spooky and it makes you feel that anything can be in it!The music by John Williams is great and the direction by Steven Spielberg is terrific!Jaws has three other sequels but they aren't classics like this!If you like shark movies and haven't seen Jaws or even if you have check out Jaws today!,3
