Review_Date,Author,Rating,Review_Title,Review,Review_Url
0,26 January 2006,claudio_carvalho,10, Heart is the Mediator Between Brains and Muscles - A Futuristic View of the Fight of Classes,"In the future, the society of Metropolis is divided in two social classes: the workers, who live in the underground below the machines level, and the dominant classes that lives on the surface. The workers are controlled by their leader Maria (Brigitte Helm), who wants to find a mediator between the upper class lords and the workers, since she believes that a heart would be necessary between brains and muscles. Maria meets Freder Fredersen (Gustav Fröhlich), the son of the Lord of Metropolis Johhan Fredersen (Alfred Abel), in a meeting of the workers, and they fall in love for each other. Meanwhile, Johhan decides that the workers are no longer necessary for Metropolis, and uses a robot pretending to be Maria to promote a revolution of the working class and eliminate them.",/
1,16 February 2001,Anonymous_Maxine,10, Early science fiction story that presents a pessimistic prediction of a future society.,"Who ever heard of an epic science fiction film? Especially in the 1920s? Sure, some science fiction movies are huge today, such as George Lucas' latest goofy Star Wars movie, but in 1926, Fritz Lang came out with a brilliant film about what the future would be like if people went on living the way they were living back then. And sure enough, we went right ahead living the way we were living, the population got bigger and more crowded, and now modern society is not a whole lot different from what was presented in Metropolis. ",r
2,25 August 2005,Coventry,8, So oldand yet so futuristic!,"Fritz Lang's groundbreaking landmark remains one of the biggest mysteries in the world of cinema. How can a movie that'll soon turn 80 years old still look so disturbingly futuristic?? The screenplay by Thea Von Harbou is still very haunting and courageously assails social issues that are of all ages. The world has been divided into two main categories: thinkers & workers! If you belong to the first category, you can lead a life of luxury above ground but if you're a worker, your life isn't worth a penny, and you're doomed to perilous labor underground. The further expansions and intrigues in the screenplay are too astonishing to spoil, so I strongly advise that you check out the film yourself. It's essential viewing, anyway! ""Metropolis"" is a very demanding film-experience and definitely not always entertaining. But, as it is often the case with silent-cinema classics, the respect and admiration you'll develop during watching it will widely excel the enjoyment-aspect. Fritz' brutal visual style still looks innovative and few directors since were able to re-create a similarly nightmarish composition of horizontal and vertical lines. Many supposedly 'restored' versions have been released over the years (in 1984 and 2002, for example) but the 1926-version is still the finest in my opinion, even though that one already isn't as detailed and punctual as Lang intended it. ""Metropolis"" perhaps is THE most important and influential movie ever made. ""2001: A Space Odyssey"", ""Star Wars"" and ""Blade Runner"" owe their existence (or at least their power) to it.",e
3,24 April 1999,PIST-OFF,9, The father of sci-fi cinema.,"Silent movies are not for everyone. Neither are subtitles. Those brave enough to view a movie with no sound and words that are far and few between should definitely enjoy this silent masterpiece. One of the biggest productions of its time, Metropolis still holds its own when set design and special effects are compared. But what Metropolis really has is orginality. This German-Expressionist film had such originality in everything from its costumes to its views of a future (modern) city that its ideas can still be seen everywhere in modern sci-fi. Star Wars's C-3PO was based on Bridgette Helm's robot. Dark City and Brazil both have Metropolis look-a-like cities. This is a very good movie. It's too bad most movies don't have its originality.",v
4,24 June 2010,F Gwynplaine MacIntyre,10," My favourite film, my last review.","'Metropolis' is my all-time favourite movie, so I've saved this for the last review that I plan to write for this wonderful website IMDb. I've enjoyed sharing my experiences of the movies I've seen, but now I'm moving on to other passions.",i
5,30 September 2020,Xstal,9, The Foundation of Dystopian Science Fiction...,"Absolutely crammed full of future references to all of your favourite science fiction feature films, series, books, comics and video games. There's also quite a lot rooted in the current world of science non-fiction with the age of automation and robots concurrently being consumed by A.I. and Machine Learning. You could squeeze gene editing in as well if you have the imagination.",e
6,5 July 2019,AlsExGal,10," Even if you ignore the story, I could spend 150 minutes staring at the art design...","... and the story is worth paying attention! It is just about a perfect silent film experience. It is the story of a two-tiered society. Above ground, a modern city, with most of the young people immersed in decadent behavior and leisure, because all of the machines, below ground, do the work. Joh Fredersen is the architect of the city, and must be some kind of strongman, because if he fires you the result is you are sent to live ""in the depths"", below the city, with the workers. The workers have an existence so bleak that they trudge together in some kind of synchronized slouched shuffle as the shift changes among those tied to the giant machines. Even those getting off for the shift show no joy. It is almost prescient of concentration camp occupants a decade or so later .",w
7,25 April 2005,ignatz928,9, Watch the Kino DVD!,"Technically speaking, I have seen this Fritz Lang silent sci-fi before, but this was the first time I saw it in any shape by which I could fairly evaluate it. I had previously watched Metropolis on a public domain VHS from the 80s. The print was terribly scratched and while there were a few memorable images, the story was so incoherent that their context was usually unclear. Though this was clearly not the best way to see Metropolis, I was still left with an impression of this supposed classic as a dusty museum piece that was praised by critics because they were expected to like it. So finally seeing a restored and expanded copy was as much as a revelation as seeing Once Upon a Time in the West letter boxed in how it led me to reevaluate my opinion of the movie. The movie is a strange mixture of political speculation political parable, apocalyptic fantasy, and religious allegory. It depicts a futuristic city that is divided between the wretched workers, who toil in the depths tending the machines, and the upper classes, who dwell in luxury up in the skyscrapers. The hero, the idle, pampered son of the city's supervisor Joh Fredersen, changes his ways and becomes concerned with the plight of the lower classes after catching a glimpse of Maria, the Madonna of the workers. His father, meanwhile, is plotting to thwart Maria with the help of the mad scientist Rotwang, who has discovered how to create robot replicas of human beings. One of the most surprising things about watching this version is just how much I didn't see. In addition to restoring scenes to the film, the DVD also includes inter titles to explain pieces of the plot that cannot be found in any version. With these changes, the story becomes much clearer, particularly the machinations of Rotwang and the master of Metropolis. Perhaps most importantly, a whole new subplot is added involving the hero's dead mother Hel, who was loved by both his father and Rotwang. With this clarification of the back-story, the close but adversarial relationship between Rotwang and Fredersen becomes much clearer. In some ways it recalls the family back-story of the Star Wars movies. Of course, the real strength of Metropolis isn't the story, which is pretty silly and probably wouldn't have worked in anything but a silent film, but its amazing visuals, which in their scale and ambitiousness look forward to 2001 and Blade Runner. Actually, though in most respects silent films now look primitive, one area in which they have the edge over modern film-making is in their frequently grandiose production design. Metropolis employs huge sets to show the hellish factories of the subterranean world. The models of the city's towering skyscrapers are also surprisingly convincing for a 1920s film. Even beyond the expansive production design and (for the time) special effects, Lang's visuals are all consistently inventive. The robot Maria provides some of the movie's most iconic images, including her transformation into a human being. In a later scene, she performs for upper-class men in a nightclub, and as she performs a striptease that in 1920s Germany was apparently seen as very decadent, the screen is filled with wet staring eyeballs. A sign of Lang's visual lavishness, and the studio's, that he doesn't hesitate to throw in lavish dream and hallucination sequences to drive home a point or illustrate a character's state of mind. For instance, when the hero first enters the subterranean city and sees rows upon rows of workers toiling on huge machines, he imagines the furnace transforming into a monstrous idol's head into which the workers are being sacrificed. At another point, while he's sick in bed he imagines statues of the Seven Deadly Sins coming to life and advancing out from a wall in a cathedral. When Maria preaches her message of peace and understanding to the workers, she tells them the story of the Tower of Babel of a management vs. labor parable, and Lang gives us spectacular images of the tower's construction and fall. In a sound film many of these scenes would have seemed redundant and over-literal, but they're what silent cinema does best -tell a story without the advantage- or obstacle- of dialogue. The story is a little slow to start, but once it picks up Metropolis becomes one of the most directly involving silent films that I've seen. In addition to being a pioneering example of the cinematic possibilities of science fiction, Metropolis also has to be one of the earliest disaster films, as the workers riot and sabotage the machines, endangering the entire city. Lang creates a sense of rising fury and nihilism in the last hour that in a strange way reminded me of what was going to happen to Germany in less than 20 years.",/
8,3 December 2004,ACitizenCalledKane,8," Highly influential and, dare I say, prophetic?","Fritz Lang's Metropolis is the first true masterpiece of science fiction in film. You can see it's influence in films such as Star Wars, The Matrix, Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb, Blade Runner, and countless others. Despite the fact that parts of the film are no longer available, the efforts to reconstruct the original film from its remains are valiant enough to provide enough to make the story clear. The special effects were far ahead of their time and the set designs were, in some cases, phenomenal. I can see where some people may not enjoy this movie. It is hard for some to really appreciate a movie that is 77 years old, because a lot has happened in film since then. Yet, if you look at the basic elements of this movie - its story, characters, artwork, cinematography, etc., I believe this movie has just as much to offer now as it must have in the late 1920's. Also, take into consideration the asthetics of German expressionist film when viewing this. The performances and set designs are going to be over the top. That was part of the style. Metropolis may not be for everyone, but, for those willing to read between the lines, this film still has a lot to offer!",r
9,30 January 2019,elicopperman,8, The Future Displayed through Social Allegory,"Whenever people are asked what they consider to be revolutionary and historically significant in terms of classic cinema, one answer that frequently comes up is Metropolis, and it's not hard to see why. In addition to being a very impressive technical achievement for its time, the film is well known as the very first feature-length sci fi film. While it wasn't met with a very warm reception upon its release (not to mention having been cut since then), it has made a massive impact over the decades for its biting allegory and themes of purity mixed in with knowledge and strength.",w
10,27 April 2021,Fella_shibby,10, Far ahead of its time n still rocks.,I first saw this in the early 90s.,9
