Review_Date,Author,Rating,Review_Title,Review,Review_Url
0,24 December 2003,Quinoa1984,10," ""You don't mind if I kill all of you?"" ""What? Kill me if you can!"" ""It'll hurt.""","Akira Kurosawa's Yojimbo is a not too long, not too short action film that uses its action with just the right touches of voracity and excitement, and in the backdrop is also a sense of humor to the process. If I had to recommend a Kurosawa film to someone who's never seen one before (and might be impatient to sit through the three and a half hour Seven Samurai, or might not get the non-linear structure of Rashomon), I'd put this one in their hands to try out.",/
1,26 September 1999,Peach-2,10, Kurosawa.,"Only a handful of directors know atmosphere the way Akira Kurosawa does, only a handful. Yojinbo opens with a tracking shot of a ronin samurai walking down a dusty road. The camera wisely stays behind the samurai, played by Toshiro Mifune, so we cannot see his face or expressions. This samurai is desperate. Mifune has no master and no money. Kurosawa doesn't let you see his desperation, instead focusing on the back of his head and his profile to set up one of the most memorable characters in cinema history. The film has been copied many times, its practically the most influential film of the modern action genre. Yojinbo isn't action packed however, Kurosawa takes his time setting up characters and plot. The fact that this masterless samurai has deep compassion for strangers is different than most modern action movies alone. Toshiro Mifune is magical in the lead role. His presence is felt all throughout the film even when he isn't on camera. All film buffs should watch this film, it is a perfect example of a director and actor with confidence in their craft.",r
2,6 February 2004,Ben_Cheshire,9, The epitome of cinema cool.,"If you ever watched Pulp Fiction and thought: movie cool was born here, or maybe you saw any single Sergio Leone movie and thought: this guy invented movie-cool (if you haven't, i thoroughly recommend it - Kill Bill is nothing to his Good, the Bad and the Ugly or Once Upon a Time in the West), then experience Yojimbo, or The Bodyguard. Kurosawa's camera sits behind Toshiro Mifune's man-with-no-name, inviting us to look up at the back of his head as he walks the earth, inviting us to be in awe of this man. And as he walks, super-cool walking-the-earth music plays. Later on, when he's taunted and asked to prove himself, he slices a guy's arm off and plays the petty, money-grabbing rival factions in the town he wanders into off each other.",e
3,9 November 2002,funkyfry,10, First class samurai action tale with philosophy to boot,"Classic samurai action pic; often imitated but never equalled.  Mifune creates a memorable character (who appeared in a sequel) in the Ronin who decides the course of his life on the toss of a stick, and ends up risking his life to save a village full of peasants he finds revolting.  It's possible to see ""Yojimbo's"" actions as either heroic or as the game of a bored warrior in need of amusement -- as often in Kurosawa's films, the fact that the characters' motives remain open to interpretation adds depth to the film.",v
4,13 April 2017,elvircorhodzic,9," ""I'll get paid for killing, and this town is full of people who deserve to die.""",YOJIMBO is an action drama about a rōnin who finds himself at the center of a conflict between the two crime lords.,i
5,27 October 2009,murtaza_mma,9, A Potpourri of Vestiges Review: Akira Kurosawa and Toshiro Mifune - The undisputed masters of their respective arts,"Yojimbo is a timeless masterpiece; elegant, enigmatic and taut; one of the best and the most influential of the action movies, and a delectable feast to the lovers of the genre. It is the most sought-after of the Akira Kurosawa's movies, shamelessly imitated on multiple occasions – the most infamous being 'A Fistful of Dollars' by Sergio Leone. Yojimbo is a delightful addition to an unending list of avant-garde movies made by the Oriental master. It is as superior to any of the movies that it has inspired as a master is to his artless apprentice. ",e
6,28 October 2002,InzyWimzy,10, Great movie with one cool character,I just figured out why Toshirô Mifune is so mesmerizing to watch.  It's just the way he expresses himself.  This guy's amazing!,w
7,17 October 2006,faraaj-1,10, Kurosawa's most entertaining film,"Yojimbo, based on noir writer Dashiel Hammett's Red Harvest is a magnificently entertaining film. Toshiro Mifune stars as the nobody who calls himself Sanjuro (thirty but closer to forty). He enters a town destroyed by warring factions and plays a double-game to pit one faction against the other thus destroying the criminal element.",/
8,17 September 2002,OttoVonB,10, Reinventing the Western,"After a string of classic masterpieces, Kurosawa confronted his influences head-on. Throwing John Ford's Western aesthetics into a blender and painting them pitch black. The results are Yojimbo and its legacy.",r
9,21 July 2011,ilpohirvonen,9, Homo Homini Lupus,"The famous Latin phrase ""homo homini lupus"" meaning ""man is a wolf to (his fellow) man,"" could easily be the motto of Akira Kurosawa's 21st film Yojimbo (1961). It is purely a genre-film at its best: a film in which the basic realizations and contents of a genre have been internalized perfectly. In this case the genre is samurai-film which is strongly related to the genre of western. Whereas from western the American mythology exhales, from samurai-film Japanese does. Although, the history of samurai-film extends to the 1930-40's it found its dynamic form and was truly born in the early 1950's when Japanese films first came to Europe. The genre still lives on but Yojimbo is, without a doubt, among the five best samurai-films ever made. Both, ironic humor and conception of the eternal weakness of the human nature characterize this exquisite film about a mythical character.",w
10,6 June 2006,Witchfinder-General-666,10, Kurosawa's Influential Stroke Of Genius,"Akira Kurosawa is widely (and rightly) thought of as one of the most important filmmakers in the history of motion pictures. ""Yojimbo"", one of the masterpieces that have earned him this more than deserved reputation, is not only one of the best, but also one of the most influential movies ever made. Only three years after its release another great director, Sergio Leone, who named Yojimbo one of his favorite movies, used it as the model for another masterpiece, ""A Fistful Of Dollars"" and rose the Italian Western to an international level.",7
