Review_Date,Author,Rating,Review_Title,Review,Review_Url
0,30 August 2004,Quinoa1984,10," If you like ransom/police storiesmysteries, and have interest in Kurosawa &/or Mifune, check it out at least once","High and Low, like Yojimbo and Throne of Blood, combines elements to create something special while seeming rather routine- while Yojimbo seems like a bad-ass samurai flick, it has the ingredients of a western and satire, and Throne of Blood is a rather faithful, strange adaptation of Macbeth in the guise of a warlord/samurai tale, High and Low does a similar method. Akira Kurosawa, a filmmaker who gets film buff's ears lit up at the mere mention of him, can usually be counted on to keep a film interesting even if it may not be entertaining to some of the crowd that likes a section of his movies or another (there's usually a split between his samurai/medieval tales and epics, and his dramas about the tragedies of ordinary people). ",/
1,1 August 2004,jemmytee,10, Kurosawa at his best and most subtle,"This is one of those rare movies I had to watch twice to catch all the meaning and beauty of its construction, that is how sleek and polished this film is. The storyline is deceptively simple -- a businessman named Gondo is about to take control of the company he's worked in for years when he's told his son's been kidnapped.  It turns out the kidnappers got his chauffeur's son by mistake, but they still want him to pay the ransom.  If he does, he will be financially ruined.  If he doesn't, he will be reviled.  Which will he choose?  This makes up the first half of the movie, culminating in a breathtaking scene on one of Japan's bullet trains.  The second half is the police search for the kidnapper/murderer and how a case is built that will take him to the gallows.",r
2,27 July 2004,kmscb-1,10," The film ""Ransom"" could have been.","""High and Low"" is one of those deceptive detective-thrillers that sneak in under your radar and grab you from behind with their storytelling magic. It's proof positive of Kurosawa's mastery of film and all its imagery.",e
3,8 January 2023,Sleepin_Dragon,10, Another Kurosawa masterpiece.,"The only of a successful shoe company receives a ransom demand for his son, but it's a case of mistaken identity.",v
4,11 January 2023,reelreviewsandrecommendations,9, A Powerful Police Procedural,"Kingo Gondo is a wealthy executive at the National Shoes company in Yokohama. He aims to make affordable, sturdy footwear for the masses. His co-workers opt instead for those of the cheap, low-quality variety that will wear easily, meaning they will need to be replaced often. In secret, Gondo organizes a leveraged buyout of the company, mortgaging all he has to afford it. However, just before he makes the deal, the son of his chauffeur is kidnapped and held for ransom. It's clear the kidnappers intended to kidnap Gondo's child, and he feels just as responsible as if they had. Will the police- led by the capable Inspector Tokura- be able to find the child and solve the extortion plot before it's too late?",i
5,6 April 2018,classicsoncall,8," ""I'd rather be told the cruel truth than to be fed gentle lies.""","Up till now I've only seen Toshiro Mifune in Kurosawa's samurai movies, so it was kind of comical to see and hear him in this film when he stated ""Shoes are my life"". It just struck me as rather funny, but then, almost on a dime, Mifune's character Kingo Gondo reacted to his young son playing cowboys with a friend by stating that in a tense situation, ""Man must kill or be killed"". That had to be a subliminal rationale for Gondo's decision to wrest control of his National Shoe Company away from the owner and executive board. Borrowing against everything he owned, he was about to make a business deal that would have set him up for life.",e
6,10 October 2001,dorlago,10, Intense and Highly Entertaining,"""High and Low"" could be considered two movies.  The first, ""High"" takes place in Kingo Gondo's (Mifune's) hilltop mansion.  The crime occurs and what follows in the next hour is one of the most meticulous and brilliantly constructed film segments I have ever seen!  The first half of the film could almost be considered theatre.  It is static and deceptively simple but.....so intense!  The ensemble acting is superb with Mifune a stand out as usual!  Connecting these two movies is the train sequence.  After the calculated intensity of the first part this scene comes at you like a sledgehammer!  These four or five minutes are magnificent!  So very exciting and so very quick it leaves you drained when it ends!  ""Low"" begins with the hunt for the criminal.  Only ""Stray Dog"" comes closer to capturing the cop's decent into hell.  This last part of the film is fast and furious.  We are no longer an observer.  We have become part of the chase.  First, we know who the criminal is.  The police do not know and what follows is a fascinating puzzle being put together before our eyes!  The last scene in the film is unexpected, deeply disturbing and left me numb and staring at the TV screen after the film had ended.  Like Gondo we are left with the answers  that we did not want to hear.",w
7,22 July 2005,planktonrules,9, highly underrated Kurasawa flick,"Too often when people talk about Akira Kurasawa, they emphasize the samurai movies he made so much that the average film buff might incorrectly assumed that's all he did. In fact, most of his films were NOT about the samurai culture, but about modern Japan.",/
8,7 October 1999,theorbys,10, About the best police procedural you're ever likely to see,"Toshiro Mifune is a businessman in a Japan that is on the brink of the Economic Miracle of the Sixties.  He is an honest man who loves his job as a shoe factory exec and is in a battle for corporate control against a pack of hyenas.  He has mortgaged and borrowed and scraped to raise the money for a surprise coup when his son is kidnapped.  But there is a major plot twist: it is not HIS son that was taken but his son's playmate, the chauffeur's kid and the ransom demanded is astronomical.  If he pays he will lose everything he has worked so hard for, but can he just sacrifice the chauffeur's child because it is not his?  From here on High and Low (perhaps better translated as Heaven and Hell) is a police procedural based on an Ed McBain 87th precinct story.",r
9,25 September 2004,marstokyo,9, I was enthralled from start to finish.,"This movie was incredible!! They called it Film Noir but, my God, it's so much better than THAT-- This film out-Hitchcocks Hitchcock! And I'm a Hitchcock devotee. The issues Kurosawa wrestles with in this, and his other films; the ethic responsibility we have as humans, humanity vs. greed, crime and punishment are universally understood. Nothing he presents in black and white(except literally in the film stock)-- but every shade of grey is reflected on. The story unfolds slowly but contains many twists and turns as the viewer questions the motives of each character. It's not just the force of good against evil--but a question of what is morally right and morally wrong. The title itself clues the viewer in to the ambiguities of class, greed, and moral ethic.",w
10,7 June 2019,ElMaruecan82,10," Morality as a choice-driven virtue, not a duty...","""High and Low"" is Akira Kurosawa's unsung masterpiece, it's strikingly similar to ""Straw Dog"" in its meticulous depiction of police procedural and the indirect canvas it offers for an exploration of Japan's social strata in the mid-sixties, from the highest layers to the lowest depths, presenting in painstaking precision the cohabitation between the upper and lower classes, made of protocoled compliance and officious defiance. It's one of the few modern dramas directed by the Master, as if his usual period ""Samurai"" movies wouldn't fit the social significance he's aiming at.",3
11,30 September 2007,Steffi_P,7," ""It's very interesting to make fortunate people unfortunate""","In the late 50s and early 60s Kurosawa's pictures began to get increasingly pessimistic and depersonalised. High and Low pretty much represents the peak of this trend, a film noir every bit as cynical and universal in its condemnations as Robert Aldrich's Kiss Me Deadly or Orson Welles' Touch of Evil.",0
12,14 February 2001,ross_d,10," The masterpiece of the ""police procedural"" genre","This is one of the outstanding detective films.  For me, the most remarkable feature of this film is its architecture - the beginning is a long, static set piece taking place in one room.  however, about a third of the way through the movie, it erupts into action, showing the resourcefulness of a largely blue collar police force tracking a lone sociopathic criminal.",4
13,5 December 2015,Leofwine_draca,9, Top-tier Kurosawa thriller,"HIGH AND LOW is one of the excellent contemporary thrillers that Akira Kurosawa made during the peak of his career. Unfortunately it's a sub-genre that seems mostly forgotten about today, passed over in favour of Kurosawa's well-renowned samurai movies. It's a shame because these films often have just as much to offer.",6
14,18 June 2000,pete-283,10," Best crime film of 1960s, among the best all time","Even at nearly two and a half hours, this movie can rivet even casual movie-watchers.  High and Low was adapted from the novel ""King's Ransom"" by Ed McBain, and though I haven't read the novel, the film stands up surprisingly in a completely different setting (Japan, as opposed to America).  The script is great, the cinematography is outstanding, and if you're watching the Criterion print available on DVD you'll find yourself wondering if it was really made in 1963.  This film scores an easy 10 with me.  I can't think of a crime film that I enjoyed more than this one.",5
15,29 July 2016,net_orders,9, Hitchcock Japanese Style.,"Viewed on DVD. Perhaps the best in the Kurosawa canon! A close to seamless cinema/home-video experience with suspense (the nail-biting kind), intrigue (the edge-of-your-seat kind), thrills (due to an excellent script with many NON-telegraphed twists and turns), terrorism, kidnapping, restrained but none-the-less powerful acting (mostly involving the director's acting troupe), etc. The black & white cinematography in ultra wide format (at least 2.35 to 1.0) is often startling with frames always fully utilized (side to side) by the Director. The music score underlines what is on the screen without drawing unnecessary attention to itself. There are many now classic cinema scenes. Those in the police station especially stand out. Every question you may have asked yourself while watching events unfold are methodically raised, explored, and addressed with reasoned discourse (by a cast of about 20 police officers and undercover investigators). Hitchcock Japanese Style And With A Vengeance! (You might want to watch it frequently with the subtitles off to expand your formal/informal Japanese comprehension.) WILLIAM FLANIGAN, PhD.",2
16,16 March 2010,rmax304823,7, Absorbing Crime Drama.,"I hope no one is put off by the fact that this was directed by Akira Kurosawa and has Japanese subtitles. Kurosawa, true, directed some atmospheric stuff. Who can forget the ghost scene in ""Throne of Blood""? But for all that, his films always packed a commercial wallop.",5
17,7 August 2001,Anonymous_Maxine,10, Akira Kurosawa uses his tremendous filmmaking talents to analyze the difference between different layers of the social and class structure.,"As the title suggests, High and Low deals a lot with class structure and it's finite importance.  This film seems to say that there are times when financial success must be set aside for the compassionate preservation of endangered human life. Kingo Gondo is a high powered executive in a prestigious Japanese shoe company, and he is approached by a group of other executives who have a plan to produce different shoes that would bring in more profits. Gondo refuses, because the proposed shoes are cheaply made and fall apart easily. He kicks them out of his house and, very soon after, he gets a call saying that his son has been kidnapped for ransom. It turns out that the kidnappers accidentally kidnapped his chauffeur's son, yet they still demand the ransom.",/
18,7 October 2019,grantss,10, Superb: great police-drama mixed with an interesting social and moral angle,"A wealthy businessman is told his son has been kidnapped and he will have to pay a very large sum for him to be returned safely. It is then discovered that his son is safe at home: the kidnapper took his chauffeur's son by accident. The kidnapper says this makes no difference: pay up or the child dies. This leaves him with a moral dilemma, as he really needs the money to conclude a very important business deal.",?
19,24 July 2021,Shilo_R_A,7, 7.5/10 - Maybe I Missed Something?,"I mean, I did like it, it was decent, but...I mean, it's rated 9/10 on letterboxd as of now, and I don't really get it. Maybe I miss something.",r
20,15 October 2000,zetes,8," Masterful first hour, but then the film gets thrown out the window...","**SPOILERS**As I began watching this movie, I was glued to it from the very start. The situation which was set up was a masterful one: a man kidnaps a child whom he believes to be the son of a rich businessman, but who actually turns out to be the son of the businessman's servant. The kidnapper still insists on getting the money from the businessman. The ransom equals much, much more than the businessman can afford. So what are his choices? He can either pay the ransom and become poor, or he could indirectly kill a young child and be forever blameworthy in the eyes of the public, his associates, his son, his wife, and, most importantly, in his own eyes. This businessman, Gondo, played masterfully by Toshiro Mifune, undisputedly one of the best film actors of all time, struggles with his decision, and I struggled with him. And every second of the film for the first hour or so is extremely intense until...",e
21,30 June 2012,TheLittleSongbird,10, Right up there with Kurasawa's best,"Not my favourite Akira Kurasawa film by all means, but for me definitely in the top 10 of his best films. Perhaps the final sequence is a little too safe, but it's not too much of a big problem compared to how good everything else is. Kurasawa's movies all have the advantage of being well made and directed, and High and Low is certainly no exception. The single-set scenery is both atmospheric and epic, and the cinematography is as ever exceptional. While Kurasawa's direction is one of his more subtle overall directorial jobs, it never undermines the riveting and tense feel of the always compelling story. The score is suitably haunting, and Toshiro Mifune's lead performance is very brooding.",f
22,19 January 2018,jimniexperience,10, Intelligent Investigator Movie - Kurosawa at his finest,"Two-part story, one narrative following Mr. Gondo's kidnapping narrative, and the other following the police investigation to track down the perpetrators. ",_
23,13 March 2009,jzappa,10, Eternally To Be One of the Very Best Police Films or Procedurals of Any Kind Ever To Be Seen,"Eternally to be one of the very best police films or procedurals of any kind ever to be seen, High and Low attains its title's suggestion of social tangents by bouncing on restless, loud rock n' roll, unremittingly scooping waste on Schubert's Trout quintet, and deepening the highest point of its murder investigation with the counterpoint of the mechanical, repetitive style and beat of early swing music on a radio performance of It's Now or Never.",=
24,2 March 2021,THE-BEACON-OF-MOVIES-RAFA,10, Japanese ( A+ Movie) My Ratings 10/10,GRANDFATHER OF ALL RANSOM MOVIES,t
25,27 April 2022,Holt344,10," High and Low is Kurosawa and Mifune at their finest, bringing a police procedural of structural and thematic brilliance","This film has quickly become one of my favorites of Akira Kurosawa's filmography, the realistic and slow approach to solving the kidnapping case, and the authentic police work. There's so many things Kurosawa does right in this film, pure brilliance. High and Low is about an executive of a Yokohama shoe company who becomes a victim of extortion when his chauffeur's son is kidnapped by mistake and held for ransom. But it's so much more than that, because of the themes Kurosawa used in the film, High and Low dissects its characters through a diptych construction, involving its audience in a wealth of human drama to contemplate Kurosawa's most prevalent, lingering questions about humanity and the factors that prevent us from relating to one another.",t
26,7 August 2021,aerozot,4, Stock up on beer,"Kurosawa is one of my favorite directors, but some of his movies - although rated highly are extremely boring f.e. - Ran. I barely sat through the movie. Sure - it's a masterpiece, influential yada yada yada. But boy is it boring. Same goes for High and low. Sure, one could say it's an old movie, but old doesn't necessarily equals boring. Fritz Lang's M is much older and waay more fun to watch. High and low is very well filmed and extremely well acted (like all of Kurosawas movies) but boy is it slow and boring. The pacing is one of it's weakest components. I think if an hour would've been trimmed of this movie it would've helped. Anyway - worth the watch, but stock up on beer. It'll help.",_
27,16 March 2014,SnoopyStyle,9, Great drama and police procedural,"Kingo Gondo is an executive at the National Shoe Company. He mortgages everything to buy up shares and gain control. Just as he achieves what he wants, he gets a call that his son has been kidnapped. It soon dawns on everybody including the kidnappers that it's the chauffeur's kid that had been kidnapped. They threaten to kill the boy anyways, and Gondo pays them off in a high speed train money drop. The police go into a large scale investigation to find the culprits.",u
28,15 April 2014,Hitchcoc,9, No Samurai,"This film took time to engage my interest. It starts with a group of shoe company executives, arguing about the future of the company. Mr. Gondo, played by Toshiro Mifune, finds has managed to accumulate enough of the company to take control and move in a whole new direction. He mortgages himself up to his ears, but knows the future is bright and he will recoup his money with patience and creativity. Just as he is about to make his move, a horrible incident occurs. He receives a call from a kidnapper, saying his son has been abducted. Strangely, the boy appears a few moments later, but it is revealed that his chauffeur's son has actually been taken because he was wearing some of the other boy's clothes. The kidnapper asks for a huge amount of money for the return of the boy. The responsibility falls on Mr. Gondo, who, if he complies, will fall into ruin. If he refuses, he will be shamed forever, as will his family. The police are involved throughout, but must play by the rules. The likable Gondo is in a no win situation. This is an excellent movie, with many twists and turns, wonderful cinematography, all amid the cultural realities of the Japanese culture. We are also given a tour of the drug trade and its implications. This is more psychological cinema than police drama, though it has parts of both. An excellent film from one of the greatest directors of all time.",r
29,23 December 2016,lasttimeisaw,9," well done, again, maestro!","In Akira Kurosawa's HIGH AND LOW, a drawn-out, monochromatic (save one key scene with the lurid smoke) contemporary crime drama clocks in at 2 hours and 23 minutes, the story can be roughly divided into two parts, in the first half, Kurosawa forcibly broaches an existentialist moral conundrum to Kingo Gondo (Mifune, not unexpectedly brings forth the urgency and telling ambivalence to the fore), an executive of a major shoe company called National Shoes, just when he is ready to implement his clandestine leveraged buyout plan to gain control of the company against his rebarbative and avaricious fellow members of the board, who manifestly advocate manufacturing shoddy shoes in order to lower the cost and bring more financial gain, he receives an extortion call which claims that his son is being kidnapped, and he must pay a colossus amount of money in cash, which basically is all his saving including the mortgaged capitals for the buyout. ",v
30,8 January 2015,gavin6942,8, Kurosawa's Police Procedural,An executive of a shoe company (Toshiro Mifune) becomes a victim of extortion when his chauffeur's son is kidnapped and held for ransom.,
31,12 July 2022,bretttaylor-04022,10, One of the best crime dramas I've ever seen,One thing I've started to notice about Kurosawas films is that he uses a lot of the same actors and you don't really realise they're the same actors until you read the cast on here. Which just shows how good they are at acting.,
32,2 May 2020,jamesjustice-92,10, Kurosawa's best,"There are many reasons why I don't fancy japanese movies and the most famous person in its cinema industry, Mr Akira Kurosawa, but there are way more reasons not to pay any attention to that fact. I've heard lots of favorable reviews and pleasant words about Kurosawa since I just started getting into the world of movies over 20 years ago and it took me almost as much to watch the first one of his works - ""Seven samurai"" (1954) which I found pretty boring at times, considering its length of over 3 hours, but very entertaining nonetheless. After that I knew where most of the Hollywood directors took the inspiration for their big budget ensemble cast blockbuster movies throughout the years - it was Kurosawa they were trying to copy and pay homage to. After a streak of less impressive movies of his I've discovered ""The hidden fortress"" (1958) which saw the director take a somewhat different approach and the comedy direction he had chosen I liked in an instant but once again it was overly long - the fact that didn't allow me to enjoy the movie at its fullest.",
33,1 January 2014,kurosawakira,10," Shocking, Radical, Effortless, Entertaining","I have yet to see a Kurosawa that doesn't somehow rock my world. Revisiting them is just as eye-opening, but to experience one for the first time is always what? Rewarding? Beyond that. It's about seeing a peerless master at work, seeing perfection with one's own eyes.",
34,23 March 2021,higherall7,10, A Master of Cinema reveals extremes of the Spirit...,"""... and so, they covet a lifestyle that is unattainable in their current state...""
-- John Alexander",
35,6 March 2020,gbill-74877,9, Intelligent and very satisfying,"Great film, and one of the most interesting crime dramas I've seen. Part of the reason for that is Kurosawa's brilliant craftsmanship, and part of it is in how different the various segments of this movie are from one another, despite them all fitting together so well. The opening scenes feature a shoe executive (Toshiro Mifune) facing the ethical dilemma of making a ransom decision, since the stakes are so high for him. It's a sequence that is elongated, as some of the others that follow are, but this allows the angst to build, with the tension palpable in the body language of everyone around him, as they turn away, their gazes averted.",
36,15 May 2019,cricketbat,8," A slow-moving, but well-thought-out story","Considering that most of High and Low takes place in one setting, this movie does a great job of building suspense and holding the interest of the audience. It also feels very realistic as the detectives try to discover the location and the identity of the kidnapper. It's a slow-moving, but well-thought-out story with characters that you care about.",
37,2 April 2010,luisguillermoc3,8, The difficult choice between the moral and money,"There are times when you choose is not easy. Life, with its unpredictable exercise, gives us from time to time against the sword and the wall and we are in complex situations when making a decision. It is as if they entered our room, fully available, Charlize Theron and Scarlett Johansson, and you could see the dilemma of choosing one of the two to stay with you. ",
38,9 September 2020,SAMTHEBESTEST,7," Probably Kurosawa's best version of Tensed, organic, dark, social, suspenseful and thrilling drama in 60s.","High And Low (1963) :
Brief Review -",
39,13 April 2016,sharky_55,10, Tengoku to jigoku,"Gondo is about to complete a corporate takeover of a large company, having acquired all the funds by placing everything he owns on the line. That is all placed on standby as a kidnapper calls asking for a ransom for his kidnapped son. He immediately agrees - what is money compared to his own flesh and blood? But the kidnapper has kidnapped the wrong boy, not Gondo's, but the son of his lowly chauffeur, Aoki. Suddenly all eyes turn back to Gondo. A moral dilemma for the ages - is this boy worth the same ransom? In High and Low, Kurosawa tackles how capitalism has a tendency to transform citizens, to elevate some and shunt off others, to create a breeding ground where morality and integrity are often brushed aside for material gain.",
40,30 April 2020,jamesrupert2014,10, Highly detailed and compelling 'police procedural',"A wealthy executive agrees to pay an exorbitant ransom when his son is kidnapped, only to find out that the snatched child was actually the son of his chauffeur. Kurosawa deftly weaves a tightly-plotted police drama with observations about capitalism and social inequality without ever being 'preachy' or overly simplistic. Mifune is excellent as the executive caught in a fiscal no-win scenario, go broke paying the ransom or go broke due to public backlash if he puts money ahead of a child's life (note: that is a highly simplified synopsis). The lengthy film is well paced, the cast and script are excellent (I watched an English sub-titled version), and the resolution, which is built to slowly and methodically, is satisfying and 'realistic'. Outstanding.",
41,28 March 2019,minister_of_silly_walks,10, Kurosawa's Film Noir,Wow! A film noir by the mastermind behind the most famous samurai movies of all time? Yes! And it's amazing! The camera work and the shot composition is pure genius and it's perfectly directed by the master himself. Add to that atmospheric lighting heavily influenced by film noir and a story that has so many twist and turns that will make your head spin and you have one of Kurosawa's best movies in his impressive and massive filmography.,
42,13 July 2021,slabihoud,10, Book versus Film,"Akira Kurosawa adapted a very diverse number of books and dramas into films and to most them he did justice. Not that the material was all on the same level, he adopted Shakespeare, Dostoyevsky and Gorky, but also Dashiell Hammett and Ed McBain.",
43,1 August 2018,Gresh854,10, A Gripping Experience From Start To Finish,"WOW! This is my first time watching a Akira Kurosawa film and I've instantaneously converted into being a massive fan of his after witnessing this! High and Low plays out almost as if it was two different movies; the first half being an intense, claustrophobic thriller and the second half being a detailed crime investigation. The mystery and eminently realistic atmosphere surrounding the film's story-which is greatly achieved thanks to its extraordinarily written screenplay-is gruesomely gripping. High and Low is the original Chinatown/Se7en/Fargo/Blue Velvet/Prisoners. Imagine those movies all combined into a single package and you can essentially picture how brilliantly eccentric I found this film to be. (Verdict: A+)",
44,30 November 2008,lastliberal,8, Success isn't worth using your humanity.,"What a film! It is almost underwhelming, but it is powerful.",
45,9 August 2018,mukherjeesubham93,9, Underrated Kurosawa Masterpiece,"Kurosawa made such good movies, even gems like these get ignored. Though filmed in 1963, it holds up really well even today and doesn't feel like a old movie because it was way ahead of it's time. The Kidnapping itself was orchestrated so well, it led to rise in Kidnappings in Japan post the movie's release. The movie must be watched for another reason, the Police procedure. It's depicted with realism, intensity, yet it never becomes complex for an average viewer. The best thing about Kurosawa, much like Ray, is the fact, his movies are simple yet so powerful, and are accessible to everybody. Highly recommended.",
46,19 June 2019,aminreza-g,10, The best kidnaping movie,"""High and low"" is one of those films that knocks you off your feet without you ever seeing it coming. That's the best kind of film. The one that surprises you. I wasn't aware that Kurosawa could top his already masterful filmography. I was wrong because ""High and low"" just might be my favorite of his.
Beautiful cinematography, heartfelt acting and white knuckle pacing makes for a masterpiece of a film.",
47,5 December 2014,avik-basu1889,10, A tale of two halves !!!!!,"High and Low is one of the few widely acclaimed Akira Kurosawa films which don't tell stories about samurais. But even then, Kurosawa's mark is apparent in every frame of this tremendous movie. A hard working businessman named Gondo faces a huge morality test when a kidnapper kidnaps the son of his chauffeur. If he pays the huge ransom demanded, he will lose everything in his life which he has worked very hard to earn, on the other hand, if he refuses to pay the money, he will forever remain guilty in his own eyes and lose his humanity. ",
48,26 March 2023,objviewer,6, Something I didn't like.,"Yojimbo is one of my favorite movies. It occurred to me some of the themes in High & Low similar to Yojimbo. Powerful man (Yojimbo, fighter; Gondi, business genius) honorably sacrifices everything to help milquetoast ineffectual little guy (villagers, chauffeur) against evil guys (Gondo's business associates with no honor, and evil kidnapper who's evidently eaten up by jealousy of the superior rich people).",
49,27 November 2010,mjneu59,9," tense, two-part crime story","Moviegoers who subscribe to the idea that serious Japanese cinema should be limited to epic feudal morality plays and intimate domestic dramas might well have their heads turned by Akira Kurosawa's gripping, multi-layered crime thriller, set in and around contemporary (circa 1963) Yokohama. It can be enjoyed on several levels: as a classic police procedural, or for the complex moral issues involved in businessman Toshiro Mifune's decision whether or not to gamble a fortune by paying a kidnapper who mistakenly stole his chauffeur's young son instead of his own. The film begins slowly, confined to Mifune's luxury home perched high above the city, but opens up with (literally) the speed of a bullet train as the deadline for payment nears. The second half follows a long, methodical accumulation of evidence leading to a riveting manhunt, with police pursuing their quarry through the blighted warrens of Yokohama's underworld. Even with a 2½ running time there isn't a wasted scene in the entire movie.",
50,22 April 2008,theowinthrop,10, The Forgotten Kurasawa - the Director of Modern Society Stories,I guess that it is impossible for some directors to be separated from the film they are most associated with. John Ford did films like THE GRAPES OF WRATH and HOW GREEN WAS MY VALLEY and THE LOST PATROL and THE INFORMER. But people love to discuss his magnificent westerns. Hitchcock is always associated with suspense and mystery...and with reason his best films being in those genres. But he did do (for better or worse) MR. AND MRS. SMITH (the original one) and WALTZES FROM VIENNA and RICH AND STRANGE. Maybe Howard Hawks was the only great director who actually jumped effortlessly from one type of film to another: adventure like ONLY ANGEL HAVE WINGS) to western (RED RIVER) to social comedy (BRINGING UP BABY or the 1952 MONKEY BUSINESS) to musicals (GENTLEMEN PREFER BLONDS. ,
51,6 November 2019,alansabljakovic-39044,10, Bold and amazing,"Another masterpiece from Kurosawa that inspired so many movies. Great acting and even better directing. Tension is always present and you are always wondering what will happen next. I watched an interesting video on Cinefix about blocking in this movie,  I think you will appreciate more after watching it.",
52,29 April 2015,GeorgeRoots,10, Could You And Would You?,"""This film brought awareness and somewhat changed laws when it came to child kidnapping in Japan, and is easily one of Kurosawa's finest outside of his period dramas"". If I could end this review with just that statement I would be very happy, for those who have seen the movie know exactly what I'm talking about.",
53,4 October 2004,FilmOtaku,8, Kurosawa does Noir,"Kurosawa's 1963 noir classic 'High and Low' presents a classic kidnapping tale with a twist. Gondo, (Toshiro Mifune) an executive at the National Shoe Company is having problems with his fellow executives at work. They are insisting that they should start making shoes at a lower cost (and therefore lower quality) while Gondo, having served 30 years with the company wants to continue to make quality shoes at a slightly higher price. They threaten to join forces in a coup to force him out of the company unless he complies with their directives. What they didn't realize is that Gondo had been spending the last couple of months securing 50 million yen by mortgaging everything he owns in order to buy a controlling share of stock. Just hours before making this deal, Gondo and his wife receive the distressing news that their son has been kidnapped, and is being held for a 30 million ransom. When their son turns up mere minutes after the phone call, it is soon realized that it wasn't their son that was kidnapped, but their houseman's young son instead, and Gondo has to choose between personal and financial ruin, and saving the life of the young boy.",
54,29 May 2002,poe426,10, The greatest crime would be to miss this one...,"Kurosawa's police procedural opens with a moral dilemma and segues into a marvelous manhunt. The camera is unflinching throughout, and Kurosawa's superb sense of composition is clear as the opening scenes play out in long, static shots that are nonetheless fascinating to watch. It's the actions/reactions of the characters that keep us riveted, and Kurosawa never cheapens the emotional impact by intercutting to the traditional close up reaction shots that, in less capable hands, would be belaboring the point that something that has occurred or is being said is of ""great significance."" We are VOYEURS, and Kurosawa ""the director"" never intrudes. I have yet to see a Kurosawa film that didn't impress me in some fashion, and HIGH AND LOW is one of his best.",
55,29 September 2014,Sergeant_Tibbs,8, Set the bar for cop thrillers to come.,"Even though Akira Kurosawa is mostly associated for his samurai classics, I'm really not a fan of them, besides his later opus Ran. I admire many of Kurosawa's techniques but I don't connect. High and Low is the first of his modern day films I've seen since Ikiru many years ago and although they're as respected but not as popular as his samurai films, I think I've found the niche where I love Kurosawa. The first hour is set in one place, boasting a riveting moral dilemma ripe for the textbooks. It's a fascinating psychological study to watch how protagonist Mr. Gondo's behaviour differs between the threat of holding his son hostage to the actual threat of holding an employee's son hostage, thanks to Toshiro Mifune's great performance. ",
56,19 May 2023,Mymoviediscography,8, A Riveting Japanese Thriller by a Master Filmmaker,"""High and Low"" is a gripping Japanese thriller directed by the legendary filmmaker Akira Kurosawa. Based on the novel ""King's Ransom"" by Ed McBain, the film revolves around a wealthy executive, Gondo, who becomes embroiled in a high-stakes kidnapping case when his chauffeur's son is mistakenly abducted instead of his own child. As Gondo wrestles with the moral dilemma of paying the ransom or preserving his fortune, a thrilling game of cat and mouse unfolds.",
57,17 July 2022,ksf-2,8, partnership of mifune and kirosawa,"Mifune and kirosawa made so many great films together, and this was kind of in the middle, towards the end of their collaboration. Good suspense thriller. The kidnappers have abducted the wrong child; instead of taking the ceo's child, they have mistakenly taken his driver's kid. Like a (long) episode of dragnet, we follow the cops around as they follow up on leads. And so many cops available for this one case! There must not have been much crime in japan in 1963. It's good. Much discussion of doing the right thing, once we figure out what the right thing is. Life puts us in odd situations, and we play the hand we're dealt. Gondo's house is on top of a hill, representing wealth and success, while the blue collar workers live at the bottom of the hill. Good stuff. Kirosawa was nominated for the film ran, and finally given a lifetime achievement award in 1990.",
