Review_Date,Author,Rating,Review_Title,Review,Review_Url
0,25 October 2013,KissEnglishPasto,10," This Film So Overwhelmed Me With Joy, I Feel Obligated to Share My Emotion With All Who Would Listen!","From Pasto, Colombia--Via: L. A. CA., CALI, COLOMBIA & ORLANDO, FL",/
1,16 February 1999,ruby_fff,10, Wholesome 100% natural cinematic staple -- well-leavened and savory!,"This translates to MUST-SEE! It's a credulous incredible storytelling of a young brother and sister in Tehran, and the adventurous saga around one very important pair of sneakers.",r
2,1 March 2011,Peter_Young,9, Oh those golden childhood days...,"Majid Majidi's Bacheha-Ye Aseman is a fascinating and deeply moving piece. It is a children movie which will be equally enjoyed by adults, and that's simply because it will take any adult back to their childhood days, back to the days when they did something wrong and were afraid to confess to their parents. The film was made with great simplicity and soul, and its impact is perfectly made through the characters of Ali and Zahra, two amazing kids who can set an example to anyone. Majidi brilliantly captures the world of these young golden-hearted creatures. They are smart, intelligent, innocent, respectful and caring. It's quite impressive to see how little kids pay respect to their seniors, what moral values they have, and their tender care for their parents' economic status and daily struggle is particularly moving. More than anything, it is their own sibling relationship which tugs at the heartstrings. Majidi's portrayal of the neighbourhood, the school where the kids study, and their own home, is most lifelike and authentic. Without a doubt, the script is the film's main winner, but the casting is one of the film's biggest strengths. Amir Farrokh Hashemian and Bahare Seddiqi are astonishing in their roles - charming, convincing, heartbreaking and totally relatable. You really feel for these kids and really want to settle their problems so that they can move on. This film is a true example of superb acting by child artists, and it shows how far they can go in their ability to explore the innocent spirit of childhood. Bacheha-Ye Aseman is a wonderful cinematic experience, which must not be missed by anyone. Just go and grab your seat, I assure it will keep you on the edge of it for one hour and a half and will be engraved in your heart long afterwards.",e
3,23 November 2003,ollie501,10," Simple, passionate and beautiful",Bacheha-Ye aseman (Children of Heaven),v
4,26 July 2004,blue-7,10, ENCHANTING & UPLIFTING EXPERIENCE,"What a marvelous thing film can be. It can touch us and open our hearts to a culture that is both different and familiar to ours. CHILDREN OF HEAVEN, a film by Iranian filmmaker, Majid Majidi, takes us into the world of a little boy and his sister, letting us feel the love and trust that they have in each other. The boy, through no fault of his own, loses his little sister's newly repaired school shoes the day before she needs them. It becomes their secret. They try sharing a pair of his sneakers -- the girl wearing them in the morning and he in the afternoon to school. The wonderful, innocent faces of the beautiful Iranian children and their code of honor, even in poverty, provides the bases for a very uplifting tale of children trying to overcome a crisis. The direction, cinematography, music are all outstanding -- but it is the children that you will fall in love with. Well worth picking up on DVD (though there are no ""Extras"" to speak of).",i
5,2 August 2014,g-bodyl,8, Very Talented Filmmaking!,"Children of Heaven, which is Iran's selection for best foreign film at the Academy Awards, is a very good movie mainly because anyone in this world can relate to the topic of family and showing love to each other no matter the living circumstances. As an Iranian film, it is definitely played safe but a film with such an universal theme and elegantly told as here should really not be missed, especially by movie-lovers.",e
6,26 April 2003,Drewboy-2,10, Beautiful!,"I just saw this film in South Korea at a church.  The film is spoken in Farsi, the subtitles were in Korean.  It didn't matter that I couldn't understand a single word, because the cinematography and the faces of the children, their parents and the other cast members did all the talking. A wonderful film that dispelled my notions of Tehran as a dark and forbidding place - actually it's quite beautiful!  We Americans have not seen Iran since 1979 and it is my hope that soon we can restore relations again.  I wouldn't mind visiting.",w
7,5 August 2007,DICK STEEL,10, A Nutshell Review: Children of Heaven,"Finally I've gotten my hands on a copy of Majid Majidi's Children of Heaven (not illegally of course, but from the library's collection), and have set aside some time to viewing this much talked about masterpiece. And I couldn't agree more that the film is of great quality. I've often selected titles for my pop to view since he's retired, and have gotten a call from him during a working day that I MUST watch this film. Of course I had to clarify that Jack Neo's Homerun is an adaptation of it, given that he found some similarities in plot, but I must say, any movie is worth its salt if it can move my pops.",/
8,10 April 2000,piapia,9, A piece of neo-realism as moving as The Bicycle Thief,"Neo-realism was the school of cinema developed by the Italians just after World War II. From 1945 to approximately 1954, directors like De Sica, Rossellini and Zampa delivered  masterpieces like Open City, Paisan, To Live in Peace, Shoe Shine, The Bicycle Thief, Umberto D and Miracle in Milan. But the Italian (not the World) audiences got tired of seeing poverty and everyday problems and demanded something more sophisticated. Federico Fellini added imagination to the down-to-earth themes of Neo-realism and gave the world a new concept of cinema. Neo-realism, it was said, was proper to poor, not to wealthy cinematic industries. It this was son, Iranian Director Majid Majidi accepted the challenge, and has made Children of Heaven, the most moving and perfect piece of neo-realism that has been filmed outside of Italy.  The story is much like that of The Bicycle Thieves: it's a pair of shoes that are stolen. But Majidi has provided us with the most wonderful performances from children that the screen has ever seen. A great story, magnificent color and camera work,perfect actors both children and adult, and a firm direction that never misses an opportunity to engage and captivate the audience.  I have never seen a better motion picture from that part of the world.",r
9,9 December 2009,Tweekums,9, Made me smile from start to finish,"Until a fortnight ago I'd never seen an Iranian film and assumed any film from their would just be religious or political propaganda... perhaps there are films like that but having just watched this film and ""Offside"" it is clear that they also make fantastic character based films that are a delight to watch.",w
