Review_Date,Author,Rating,Review_Title,Review,Review_Url
0,30 December 2013,SnoopyStyle,9, Real tear jerker opening,Carl Fredricksen (Ed Asner) as a young quiet kid idolized explorer Charles Muntz (Christopher Plummer) and his discovery of Paradise Falls. Ellie is much more animated and also a great fan of Muntz. Together they would marry and live their lives together until the day she dies. Now Carl is hounded by a property developer and forced to go to a retirement home. Instead he ties a sea of helium balloons to his home and float away to Paradise Falls. Wilderness Explorer scout Russell who's trying to get an Assisting the Elderly badge gets dragged along on the adventure.,/
1,17 May 2010,TheLittleSongbird,10," In my personal opinion, this is Pixar's funniest and most poignant film","I love Pixar and feel they have been pretty consistent. True I do prefer Toy Story over Cars and Finding Nemo over Ratatouille, but I find their films amazingly animated and thrilling. I thought that after the first two Toy Story films, that Pixar wouldn't be able to make a film to top them. WALL-E, yes I loved it, came pretty close, but in my opinion Up is Pixar's masterwork. And why do I say that? Because it is widely imaginative and astonishing in its emotional range.",r
2,29 May 2009,DonFishies,10," Imaginative, fun and moving - as close to perfect as Pixar has ever been","Carl Frederickson (Ed Asner) has lived a long life, but dreams of adventuring to South America. He wants to spend his remaining days in his home, but new high-rises are being constructed around it. After a chance accident, Carl loses his home, and is set to be taken into a retirement home. Unhappy with this idea, the former balloon salesman ties thousands of balloons to his house and simply floats away, en route to his dream adventure. Except, he is not alone – young ""wilderness explorer"" Russell (Jordan Nagai) inadvertently shows up in mid-air, and Carl sees no other choice but to bring the boy with him.",e
3,9 September 2021,bevo-13678,10, Paradox,"If you asked Rick Astley for a copy of this movie he wouldn't because he stated ""I'm never gonna give you up"" but then he would be letting you down. Therein lies the Rick Astley Paradox.",v
4,31 May 2009,ferguson-6,9, It's Just a House,"Greetings again from the darkness. Another crackling collaboration of Pixar and Disney, and as expected, it is touching, funny, thrilling and amazing to look at and watch. Only a step below Toy Story just because it is not quite as ground-breaking, though the story is even better.",i
5,22 November 2009,ccthemovieman-1,9, Another Feast For The Eyes,"This is another film in which it really helps to know in advance what it is, or more specifically, what it isn't. Then, you go from there. I enjoyed the animated film very much but, some of that was due to the fact a friend clued me in first, saying ""this isn't really a comedy or a film for little kids. Don't expect a ton of laughs."" So, instead of seeking laughs (although I still got them here and there), I just enjoyed the adventure story and marveled at the amazing artwork. ",e
6,4 June 2009,Smells_Like_Cheese,10," Up ""uped"" the bar once again! Wonderful movie","Seriously, I'm convinced, Pixar is maybe the only movie studio that is providing the best movies around. Who said that animated films can't be considered real movies? Can't be considered an art form? Up is the latest creation from Disney and Pixar, after last year's smash hit WALL-E, I felt like they couldn't at all top themselves and they did it again with this incredibly charming story. Admittingly from the trailer, I wasn't sure this story was going to work as well, but I got the opportunity to see Up this week and was just totally blown away by it's story, animation and characters. The thing I adore about these movies that Disney and Pixar are creating is that they're not just for the kids, but the adults as well, this is something that I could even see an adult seeing by themselves. This story doesn't insult kid's intelligence and is extremely entertaining for anyone to enjoy, to go through this adventure with an old man who just wanted to make his wife happy.",w
7,3 August 2021,Erik_Stone,10, One of the best movies ever made,"It will put you through every emotion that a human can experience, that is, if you are an adult and not a psychopath.",/
8,4 February 2023,Sleepin_Dragon,10, An outstanding movie.,"A young Carl Fredricksen wanted to find and explore Paradise Falls. Years later, he and Boy Scout Russell embark, transporting his house with thousands of balloons.",r
9,23 September 2015,ironhorse_iv,8, Lighten Up with UP! It's up there as one of the best animation movies of all-time!,"What's up? Up is up! It was very successful movie! It even was nominated for Best Picture by the Academy Awards. It was the second animation film to do that. Directed by Pete Docter, Up is Pixar's tenth film in their series and their first full-length 3-D film. The film tells the story of an elderly widower named Carl Fredricksen (Voiced by Edward Asner) whom trying to fulfill his late wife's dream by taking their house to South America. The only problem is, that an earnest Boy Scout named Russell (Voiced by Jordan Nagai) has tagged along, making the simple trip, so much, more complex. Can Carl make it to South America or will his late wife's dreams be shattered? Watch the movie to find out! Without spoiling the movie, too much, I found this movie to be very entertaining. The movie is gorgeous and colorful. Sadly, the 3D isn't worth it, but it's still, beautiful to the eyes. I love the amazing music by Michael Giacchino. I just wish, the tune sound more South or Latin American, than European, because it would make more sense. The movie is unsurprisingly well action part. Great pacing. The film is also well-acted. Everybody did their parts, very well. Edward Asner was a great choice as Mr. Fredricksen. I love his grumpiness in his voice. The use of mostly grunts, make it seem, like his responses come from a protective stance, rather than his own grouchy nature. Jordan Nagai as Russell is just as likable. He has the most lines, in the film, and none of it, sounds too annoying. I guess, there was something, sweet about his voice. You really do hear it, whenever, Russell speaks. I love that the actor wasn't even trying to get cast for the role, but end up, getting it, over his brother who was. It show, how charming, his voice is. The supporting cast's voice acting is just as memorable. Christopher Plummer as the villain, Charles Muntz, the explorer was fun to listen to. Bob Peterson as Dug, the dog, was pretty amazing. His voice in this, remind me so much of veteran voice actor, Dom DeLuise. I also love the cameo from Pixar's own favorite actor, John Ratzenberger in his minor role. As much as I love the voice acting; I really love, how the cartoon characters appear in this film. I like how, they have more child-like appealing cartoony look. The whole over the top celebrity caricatured facial appearances kinda works, because the older computer model for humans, used in Toy Story 1&2 are just way too bland-looking and unappeased. It has that creepy uncanny valley look to it. Anyways, I think, the new model gives the movie, the amount of surrealism to make the plot to work. I really doubt, the film could work, with more realistic facial appearances, because how bizarre, the premise is. While, the appearance of Carl is meant to resemble Spencer Tracy as he appeared in his final film, 1967's Guess Who's Coming to Dinner. I like his short square status, and cartoony facial expressions. It makes Carl stand out. Unlike some critics, I also love, how Russell look. He doesn't look, like a kid with Down syndrome. He looks like a normal kid. I think, they were a little too harsh in their judgment. I also love the fact, that Russell is clearly Asian American, but his character lack the typical Asian over-stereotyping. Surprising, it makes the character, so much, more appealing, because it's not stepping over to over-used racial clichés. Charles F. Muntz really looks like, an old explorer, but his character's looks was a bit jarring. I really had a hard time, believing, that he's that well maintain, at his age, when he spent, most of the film, living for so long, outside of civilization. In my opinion, he should have, look, a little more broken-down. Last is Dug. He's a very realistic looking golden retriever. I own one, and they got it exactly right. I like how he closes his mouth and freezes when he notices a squirrel. Funny moment right there. For the story, it's both a hit and miss. I love that the film deals with more adult like drama, than childish antics. Having Carl still dealing with the loss of his wife, gave the movie, so much depth. It was really needed. However, besides the awesome and unexpected genuine tearjerker opening marriage montage, the film goes into another direction, with its absurdity. It's really off the wall, crazy and convenient, that Carl able to travel to South America in the way, he's traveling. The movie takes great artistic license, when it comes to engineering and physics. You have to really, be willing to suspension your disbelief from the rest of the entire film. Especially, when Russell was designed to be the child that Carl and his wife were unable to have, in both a figurative and literal spirit. Another thing, I didn't get about the plot, is how Charles Muntz can be, easily discredited. Clearly, the amount of what he found, in his short life, would give, his statements about the exotic bird, some credit. Clearly, much of the unexplainable questions in the plot, could be solve in the Carl is crazy theory that certain people has latch on. In theory, Carl didn't travel to South America, instead the Balloons are metaphors, reflecting Carl's happy and uplifting memories of his wife. Hints, why he was stubbornly clinging to them and refuses to let go, as if he's afraid he's going to fall. It wasn't until he did, was he able to live life, once more. Other people have notice, some themes similarity in the plot to John Milton's great poems Paradise Lost, Harvey Potter's Balloon Farm by Jerdine Nolen, and most of all, several really obvious references to Studio Ghibli. Overall: It deserve its good praise. A must-watch. Things can only go up from here.",w
