Review_Date,Author,Rating,Review_Title,Review,Review_Url
0,13 August 2011,ferguson-6,7, Minny Don't Burn Chicken,"Greetings again from the darkness. The film is based on the controversial best selling novel by Kathryn Stockett. It was controversial because it is the story of Jim Crow-era maids written by a white woman. Yes, the book is actually the fictionalized story of a white woman getting black maids to discuss their lives as maids for white folks. Rather than get into some politically correct dissertation on the book, movie or story, I will only comment on the film itself ... this very entertaining movie that also manages to deliver a timeless message.",/
1,1 November 2012,JamesHitchcock,8," Well-acted, emotionally satisfying human drama","There have been a number of films about the Deep South during the Civil Rights era, mostly (""Mississippi Burning"" and ""Ghosts of Mississippi"" being examples) concentrating on the political struggle for equality. ""The Help"" is a recent film which brings a slightly different approach to this period, concentrating on the relationship between well-to-do white Southerners and their black maids. ",r
2,17 February 2018,joshfedderson,10, You is kind. You is smart. You is Important,"My wife read this book for a college class and she loved it. The I told her my mom had the movie and she wanted to watch it after she read the book. She invited me to watch it with her, and I have to say I loved it from start to finish.",e
3,4 February 2012,planktonrules,8, Some really nice acting here....,"While ""The Help"" has received TONS of great press and a ton of SAG and other awards, I am also aware that there is some controversy concerning the film. Some people have felt that the film was a bit paternalistic--as it might be interpreted as yet another story of a rich, enlightened white lady going out to help all the downtrodden black folk. I am just not sure if I could see this or not--especially as the black women in the film end up showing LOTS of strength during the course of the film. BUT, I am also a white guy--and it's not fair for me to automatically brand the film one way or another. Just be aware that there are a few who resent the idea of this film.",v
4,3 September 2011,muyoyeta,10, Powerful movie,"Look folks, I'm not the one to go watch a movie and then come and write a review. This is very rare, in fact this is the first time. First of all, I'm a black middle-aged male living in Australia. I'm not into that black-white-red-yellow affirmative action, divide or whatever you call it and I have not experienced that American slavery or racism history except seeing it presented one-sided or biased on TV.",i
5,4 September 2011,littlemartinarocena,7, Disney's Help,"Lovely performances makes this far too clean and neat story, not merely palatable but enjoyable. We know by now that the plight of the ""colored"" in the South wasn't that clean cut or gentle in any way or shape. Here we can sit and watch discovering the depth of he ordeal in the wonderful face of Viola Davis. But, it all remains in the mild margins of the real story. Entertaining yes but I couldn't forget documentaries of the period or ""The Long Walk Home"" with Whoopi Goldberg and Sissy Spacek. Sissy Spacek is in ""The Help"" too and she's very funny. It also shows Bryce Dallas Howard under a new light. The bitchy, almost evil light. She's better here than she's ever been. Emma Stone is lovely and the wonderful Allison Janney in a disturbingly recognizable character raises the film to unexpected levels. I felt the film was too long and too careful not to offend anybody and that's were its weaknesses lay. But, I do recommend it.",e
6,23 October 2011,DICK STEEL,10, A Nutshell Review: The Help,"The Help is one of the many films that's set in the 60s that deals with themes like prejudice and racism involving segregation amongst the Whites and the African Americans in Jackson, Mississippi, but having the very same themes also being relevant in society today even here in Singapore especially, with recent talk and focus on the issue of domestic help and our attitudes toward household maids that many employ for various reasons, who assist in looking after the children and the elderly, as well as to keep home while the rest of the adults are neck deep in economic pursuits. While racism is generally kept under control here, there are niggling incidents that pop up every now and then, so clearly we're not off the hook and there will always be individuals who choose intolerance.",w
7,13 August 2011,facebook-124-955845,9," A Must See, Oscar Worthy film","Recently the other Dude and I were discussing that not many award worthy movies come out during the summer; then I see The Help. To say it is not a story that I am normally interested in would be an understatement. I wasn't around during the time of segregation to fully appreciate the depth of this story. Additionally, if there was ever a movie that screamed ""chick flick"" it would be this one. In spite of that, I've heard wonderful things about the book and decided to view the movie. I'm happy to say that I'm glad that I did. Virtually unknown director Tate Taylor put together a cast of relatively unknown actors and actresses that truly made the story go. ",/
8,9 June 2011,stevemcalevey,10, See this film,"I just returned from seeing a special preview of ""The Help,"" which is due out in theaters this summer. ",r
9,7 September 2011,xJags,9, Not what I expected.,"The Help is set in the 1960's where colored people had little to no rights and mainly focuses on the colored maids working for the ""white"" people.I didn't really want to see the movie but it got great reviews so I decided to check it out. I must say this movie was quite touching and very well done.",w
