Review_Date,Author,Rating,Review_Title,Review,Review_Url
0,20 September 2020,Xstal,9, Emphatically Outstanding...,"It takes your breath away over 100 years later so imagine how it must have felt walking out of a picture house in 1921! Quite rightly considered a work of genius by a genius, you must have a heart of stone if the story depicted fails to move you but when you consider the way it's presented, the music, the choreography, the longevity - then it really does become something a bit special indeed.",/
1,24 November 2005,ccthemovieman-1,9, One Of The Most Memorable Silent Films Ever,"Wow, is this a memorable film! It is one of the most famous silent movies ever and justifiably so. That fact that it still entertains over 80 years after it was made is quite a testimony. ",r
2,29 August 2005,Cineanalyst,9, Smiling and Tearing,"""The Kid"" is a powerfully emotional and wonderfully hilarious motion picture and was a tremendous breakthrough in Charlie Chaplin's oeuvre. He hadn't filled a film so fully with pathos since ""The Vagabond"" (1916), and then it was in a very limited way--subject to the confines of two reels. And, ""Sunnyside"" (1919) was a failure. The feature length of ""The Kid"" also allows Chaplin to elaborate and refine the gags, pranks and set pieces, and with the support of Jackie Coogan, it's one of his funniest comedies.",e
3,22 October 2004,lugonian,10, Charlie Finds a Son,"THE KID (First National Pictures, 1921), a comedy-drama written, directed and starring Charlie Chaplin (1889-1977), plays an important part his screen career. Aside from Chaplin cast opposite Marie Dressler in TILLIE'S PUNCTURED ROMANCE (1914), a Mack Sennett production hailed as the first feature length comedy, THE KID starts Chaplin with a whole new cycle of feature comedies, but releases coming once every two to three years. A comic genius who got his start in comedy shorts starting in 1914, eventually under the supervision and direction of himself, Chaplin's methods in movie making improved with each passing film. Like himself, Jackie Coogan, Chaplin's littlest co-star and title character, made such an impression with his initial performance, nearly upstaging his impresario, that he immediately found himself starring in movies on his own, becoming Hollywood's first important child star.",v
4,9 March 2008,bkoganbing,9, Pathos And Comedy,"Due to an unwed mother abandoning her child in an automobile and said automobile being subsequently hijacked, The Little Tramp winds up with the baby and proceeds to raise it in its first five years.",i
5,21 August 2008,Quinoa1984,10, rarely has there ever been such a deft mix of wonderful absurdity and (dark) sentiment as here,"It's easy to call Charlie Chaplin a genius, but I'll say it once again: the man was a genius, if only at doing a certain particular kind of film. You wouldn't ever see Charlie Chaplin doing a silent horror film, or at least one like out of Germany, or even a big epic that ran Griffith lengths. His artistry was concerned with those who could just about afford the price of a ticket back in the 20s and 30s to see his films and he combined pathos that was incredible and unique in and of its spectrum of humor and compassion. Some may call films like the Kid and even City Lights sentimental, but they may miss the greater picture at work which is that any sentiment is orchestrated and (the usual kicked-around word) manipulated amid the comedic set-ups. Earned sentiment is different than faux sentimentality chucked on to the viewer, and if any case could show this distinction better it would be hard to find a better example then the Kid.",e
6,1 January 2010,bobsgrock,8," A picture with laughter and a few tears, indeed.","Charlie Chaplin was perhaps the most innovative auteur of the silent era and certainly the most famous. His character, the Tramp, is now a cultural icon and will forever be a symbol of poverty and travesty that was American society in the early 20th century, but something all of us can overcome.",w
7,3 February 2010,khanbaliq2,10, The Kid was Charles Chaplin's first self-produced and directed feature film.,"The Kid became a critically hailed international hit. A tramp (Charles Chaplin) brings up an abandoned baby (Jackie Coogan), and later loses him to his mother (Edna Purviance); but there is a happy ending.",/
8,21 August 2010,Steffi_P,9," ""Proper care and attention""","What makes a feature film different to a short? It isn't just length. After all, some of Charlie Chaplin's later shorts were as long as forty-five minutes, while The Kid is barely an hour. No, when Chaplin made his graduation to full-length features, he also strove to broaden the scope, scale and above all the dignity of his work. The Kid is not just the addition of another fifteen minutes of funny business; it is truly a turning point in Chaplin's career.",r
9,2 August 2011,ElMaruecan82,9," ""A picture with a smile-and perhaps, a tear."" You were too modest, Sir Chaplin ...","""The Kid"" was released in 1921, at the pinnacle of the Silent era, when emotions came to screen through looks and body language, when ""we didn't need dialog, we had faces"". And if there's one film where Charlie Chaplin's face oddly illuminates the screen, it's definitely ""The Kid"". ",w
10,13 January 2003,talking_tree,10, There are no words to phraise this movie enough,"It is hard to find such delightful and adorable movies these days as ""The Kid"". It is a silent movie but so rich, winning and beautiful that you don´t nead words. Chaplin and 6-year old Coogan are possibly the most charming pair I have ever seen in my life. The film succees to be nicely light and full of joy but also overwhelmingly sad and sentimental. I always get my eyes full with tears of saddness and happiness. And I really never cry in movies. And the music...its simply Oscar-level! The movie is sympathetic, full of feeling, touchingly funny moments. It is truly a masterpiece showing how extraordinary talented person Charlie Chaplin was considering this film is respectively over 80 years old! So don´t you miss it because of it´s age, don´t miss it.",3
