Review_Date,Author,Rating,Review_Title,Review,Review_Url
0,5 July 2019,Jeremy_Urquhart,10, One of the best films of this decade,"I am remarkably stingy with my 10/10 ratings. I'll be the first person to acknowledge this. Of the roughly 2600 titles I've rated on here, only 34 have a 10.
Parasite is one of them. If this isn't a masterpiece, then I don't know what is.",/
1,6 October 2019,jtindahouse,8," You name a genre, this movie covers it","I can't remember the last time I saw a movie that contained as many genres as 'Parasite'. The movie starts out almost like an 'Ocean's Eleven' heist film and then expands into a comedy, mystery, thriller, drama, romance, crime and even horror film. It really did have everything and it was strikingly good at all of them too.",r
2,25 August 2019,nehpetstephen,10, Meritocracy: it's metaphorical,"In a meritocracy, success and fortune are reserved for those who deserve it--those who develop solid plans according to their talents and abilities and who execute those plans through hard work and determination. Anyone can rise to the top, and for some lucky Cinderella, plucked from the cinders and gussied up in gowns, the meritocracy represents the heights of perfect egalitarian society: ""I started with nothing and ended up with everything I ever desired; you, too, can achieve you dreams, if only you try.""",e
3,1 November 2020,Leofwine_draca,10, Thoroughly entertaining,"PARASITE is an excellent effort from Korean director Bong Joon Ho, a talent I've long admired since seeing THE HOST over a decade ago. He's had his ups and downs over the years, although they've generally been ups rather than downs, but this is perhaps his towering masterpiece. It's a quiet and reflective work, his maturist yet, a parable playing out which looks at class divide in a scathing and extremely telling way. The issue is universal, which is why this film did so well abroad (and at the Oscars), although I've been championing the quality of South Korean cinema for a long time. The technical qualities are exemplary and the acting is particularly astounding, with an unusual storyline building to an unexpected climax. A film that thoroughly entertains as well as making you think.",v
4,18 October 2019,mysticfall,10, For those who didn't like the movie because of its second half,"It's not really a review but my attempt to explain how I interpreted the movie to those who complain that the film is overrated, especially if the reason is that they didn't like the second half of it.",i
5,19 August 2019,keezo9uno,10, A true masterpiece.,"This movie is a gosh darn masterpiece. It will make you belly laugh, it will chill you to the bone, and it will make you shed a tear. This movie will stay with you long after the credits are over.",e
6,9 December 2021,boblipton,10, Thought It Might Win Best Foreign Movie,"When the buddy who got into college tells him he's moving to the US, and he's passing on the 14-year-old he's been tutoring -- just tell 'em you're enrolled in college, even though you aren't -- the son of a family so low class they've sunk through the foundation finds them very nice, very accepting, and very clueless. So he and his layabout family get all the help fired; his sister is hired as an art psychologist to help the sister, the father as the new chauffeur, and the mother as the cook/housekeeper. Yet even though you don't see them, there are vermin living in the foundations, and they come out when the people in charge aren't around.",w
7,12 January 2020,impeyrules-54634,9, An original dark comedy about class struggles,This is a well written and well perfomed original film. With a lot of repetitive cinema these day i felt this was something new. I felt connected and engaged with the character throughout the film. There are several well directed tense moments throughout the film. A popular topic of class struggled well portrayed. Its always nice to see foreign language films having worldwide success.,/
8,7 August 2020,Hitchcoc,9, Totally Unique,"Usually I don't read reviews before seeing a film. This one, however, I did, and happily so. First of all, it was good to know what cinema in Korea is all about. We need to shed our cultural biases, including ""how"" to make films. This had a very clever plot and an engaging group of characters. The title, I assume, means the principle figures have managed to infest a body and then use it to sustain themselves. I hope to see more from this director in the future.",r
9,16 January 2020,perica-43151,9, Multilayered portrayal of the real Korea,"This is a movie about a class struggle in South Korea, like what movie ""Us"" attempts to do but done properly. It is a stark reminder of what true living standards for most South Koreans look like, and its realism is very painful. Few are aware of the fact that up to the 1980s, South Korea was in fact more impoverished than North Korea, and it was only late that the situation reversed with famines of the 90s etc, but many people still live miserable lives, and situation is very similar to that in China, where a few got gloriously rich but the urban masses still live in bug infested cheap dwellings.",w
