Review_Date,Author,Rating,Review_Title,Review,Review_Url
0,17 April 2001,MadReviewer,9, The Genius of Buster Keaton,"Probably Buster Keaton's best film, and oddly enough, it's not even a straightforward comedy  it's actually an action film, with clever doses of romance and comedy tossed in for good measure.  `The General', which is set during the Civil War, is about a train engineer named Johnny Gray (Buster Keaton, of course) who tries to enlist in the Confederate Army . . . and is turned down because the army feels he'd be much more valuable for the war effort as an engineer instead of a soldier.  However, through a series of misunderstandings, both Johnny's family and his girl think he's a coward, and they refuse to speak to him until he becomes a soldier.  Months pass, and Johnny, sad and alone, is piloting his train  the General  when it is stolen from him by the North.  Johnny's efforts to recover the General  and to win back his girl's love  become an unbelievably funny and action-packed series of events, as Johnny tries to go from being a sad-sack buffoon to being a hero.",/
1,21 June 2006,imogensara_smith,10, Understated Perfection,"Buster Keaton once said that if he hadn't been a comedian, he might have been a civil engineer. He was not only a mechanical whiz but a spatial genius who devised stunts and gags with the grace of pure physics. It's no wonder he adored trains, the most elegant of machines, and brought them into his movies whenever he could. When one of Keaton's former gag-writers loaned him a book recounting the theft of a locomotive from Georgia by Union raiders during the Civil War, he was immediately fired with enthusiasm to bring this ""page of history"" to life. His first certainty was that the production had to be ""so authentic it hurts."" He even insisted on using historically accurate narrow-gauge railroad tracks, which he found, along with appropriate landscapes, near the sleepy town of Cottage Grove, Oregon.",r
2,27 May 2006,theowinthrop,10, The Greatest War Comedy ?,"It is ""generally"" (or should I pun and say ""General Lee""?) said that the best comedy of the silent film career of Buster Keaton's career was his Civil War epic THE GENERAL. Apparently planned with more care than any of his other film projects, it involved not only researching a period of history some sixty years in the past, but getting the correct rolling stock, costumes, weapons, and props to make it look correct. And it worked so well that Keaton never really could (despite some great moments in STEAMBOAT BILL JR.) out-do it. In fact, the closest thing to his best sound film (or film that he influenced that was a sound film) was his work with Red Skelton in the comedy A SOUTHERN YANKEE, where he returned to a Civil War theme.",e
3,27 March 2017,AlsExGal,9, It is more appreciated now than when it was released,"This film flopped when it was released in late 1926 for several reasons. First, its premiere was delayed because ""Flesh and the Devil"" was such a sensation that it was held over an extra couple of weeks. Second, people came to the movies to see Buster Keaton the comedian, not Buster the filmmaker and director, which is more of the role he played here. The film was funny, but it was not gag after gag, like so many of Keaton's other films. Keaton plays a railroad engineer living in the South. A title card declares he has two loves - his girl and his engine. when the Civil War starts he tries to enlist, but is considered too valuable to be in the Army due to his profession. His girlfriend misunderstands, thinks him a coward, and says she won't speak to him again until he is in uniform.",v
4,19 February 2014,SnoopyStyle,8, Buster Keaton at his best,"It's 1861. Johnnie Gray (Buster Keaton) is a train engineer. He loves his train ""The General"" and Annabelle Lee. They won't let him fight in the Civil War because he's needed as an engineer. People tell Annabelle that he's a coward, and she won't speak to her until he's in uniform. A year later, Union spies have captured The General and kidnapped Annabelle intend on recking havoc on the South. Johnnie comes to the rescue.",i
5,20 May 2020,Xstal,9, Locomotive Majesty...,The locomotive majesty of silent motion pictures amplified tenfold by the genius of Buster Keaton.,e
6,1 May 2011,classicsoncall,7," ""If you lose this war, don't blame me"".","I would have eventually gotten around to watching this film, but my curiosity was piqued when I saw that it had miraculously jumped to Number #17 on the 2007 version of AFI's Top 100 Movies of all time list. It didn't make the cut at all for the original compilation in 1997, so even before seeing the picture, I had to wonder what might have affected movie critics in the intervening decade to reach this conclusion. I usually line up with the majority in most cases, but I have to admit, I don't quite get it with this picture. I found it entertaining enough on occasion, but I never got the sense that it was one of the great comedy classics of all time the way it's heralded on the DVD sleeve. I don't think the Civil War lends itself much to comedy, so right there my expectations were greatly reduced. Keaton's somber demeanor and generally stone faced disposition don't help. On the flip side, I wouldn't have expected slapstick to move the story along either, so at least I wasn't disappointed in that regard.",w
7,24 April 2006,planktonrules,10, Keaton is in top form,"I just wrote a review for STEAMBOAT BILL, JR. and that makes this review VERY difficult, because I really can't decide which of these two films is better. To me, they are both nearly perfect and represent the best full-length material Keaton performed--at least when it comes to stunts and laughs. It's sad really, as just after these two triumphs came the sound era--and a seriously negative down-turn in Keaton's career, as MGM repeatedly gave him terrible material--pairing him with the brash and inappropriate humor of Jimmy Durante. ",/
8,29 September 2016,Prismark10,6, The Locomotion,To me Buster Keaton is more unknown compared to his other silent era rivals like Harold Lloyd or Charlie Chaplain whose work were shown more often on British television. Maybe Chaplain is more appreciated in Britain because he was British.,r
9,6 March 2017,SimonJack,10, Keaton shows why he was king of comedy stunts,"""The General"" is one of the great films and treasures of the silent era. It's among the best movies of the talented comedy actor, Buster Keaton. In this film, Keaton shows the athletic ability and courage that made him one of the best of the early comedians who performed their own stunts. His physical antics on and off his train, The General, support his title as king of comedy stunts. ",w
