Review_Date,Author,Rating,Review_Title,Review,Review_Url
0,13 September 2006,imogensara_smith,9, Through the Movie Screen,"Buster Keaton's most surreal movie sprang from his insistence on logic and realism. His tribute to cinema was inspired by stage magic tricks he remembered from his vaudeville career. His most dazzling and original movie is also one of his least formally perfect. All these paradoxes belong naturally to this ""through the looking glass"" work, which examines the dream-like nature of filmor is it the film-like nature of dreams? ",/
1,17 September 2020,Xstal,8, Anything but Elementary...,"You can only marvel at the craft of Buster Keaton. The choreography and precision in coordinating these stunts and sequences would be astounding and breathtaking whatever period of cinema they came from but more so here as the medium was still in its infancy. For an imagination to conjure up such things, with the practice and patience to perfect them, can genuinely be considered genius. A performance by an absolute legend of silent picture perfection.",r
2,16 September 2006,didi-5,9, marvellous and inventive,"This Keaton classic is both funny and extremely clever in its construction. Our hero is a cleaner but dreams of becoming a detective, always with his nose buried in a book on the subject.",e
3,5 March 2006,up2u,10, A World of Possibilities,"Not only is this Buster Keaton's best film, but it is among the greatest achievements in the history of cinema, period. While it is not a feature-length film--and thus barred from most critics' lists of great films--it invented just about every single basic special effect known to movies (except for morphing). The story itself, about a film projectionist who desires to become part of the movies, and then does, by walking right onto the screen, made palpable the desire that we all have to be in the movies: To get the girl, to be an action hero, to outsmart the bad guys. Keaton invented meta-cinema before anyone even had a phrase for it.",v
4,14 September 2005,Polaris_DiB,10, Intensely Poetic and Creative,"Though a lot of older films tend to be neglected, Sherlock Jr. definitely isn't a film that could be called obscure. I imagine most people at least know OF this movie with its famous movie-in-a-movie surrealist scene.",i
5,8 January 2002,Damfino1895,10, A hard act to follow,"As I sat reading the other reviewers comments I wondered what I could add. Oddly enough I watched Sherlock jr only this afternoon, after so many viewings it still amazes me how far ahead of his time Buster Keaton was, often copied, rarely equalled never surpassed. I would hate to be the kind of movie fan who never watches silent or black and white movies (you'd be surprised how many there are). So if you are like that do yourself a favour, get hold of a copy of this movie and enjoy, it shocks me that films such as 'Something about Mary' are rated higher than this masterpiece of comedy, there is nothing wrong with 'SaM' even I laughed at it, but, watching it once was enough, however I watch Sherlock jr again and again in pure amazement at Buster Keaton and his cameraman, Elgin Lessley's achievements without the aid of modern technology, like most other's the scene where he dives through a window to reappear as a little old lady gobsmacks me, how did he do it? Keaton can only be described in one word, genius. I have to add that I have the Kino version on DVD with the appalling soundtrack, but, luckily I also have it with a more appropriate soundtrack, which is far superior and adds extra enjoyment to an already fabulous movie.",e
6,11 October 2020,AlsExGal,10, Very inventive short feature,"Sherlock Jr., is only 45 minutes long. It actually failed when it was released, but today it is considered ground-breaking. Keaton performs some stunts such as appearing to jump through a woman backed up against a fence that remained a secret for years. He also, at the beginning of the film, jumps into a motion picture that is running in the theatre where he works as a projectionist. Once on the movie screen, Keaton has to adjust his strategy as the scene changes from the front steps of a house, to the edge of a cliff, to a lion's den.",w
7,9 March 2019,TheLittleSongbird,10," Footage of laughter, romance and technical audaciousness","Am somebody who likes humour with wit and sophistication when it comes to comedy (that's why so many pre-1970 comedy appeals a lot to me), while appreciating comedies with a broader style providing it doesn't become too vulgar and the risque kind. Have found though that in recent years that there has been those that are very juvenile, crude and even puerile to the point of offensiveness, which is as one may have guessed appeals to me far less.",/
8,15 November 2003,Nich-merry,10, A rare treat :),I have to say that this is by far Keaton's finest work. I have seen and own about 19 of his films/short films and this is the one that truly stands out.,r
9,14 July 2018,grantss,9, A classic of the Silent Era,A young man works as a projectionist at a movie theatre but dreams of becoming a famous detective. His studies toward this goal are put to the test when visiting his girlfriend. A rival steals his girlfriend's father's watch and frames him for the crime. He is forbidden from seeing her again. Now he must fight to clear his name.,w
