Review_Date,Author,Rating,Review_Title,Review,Review_Url
0,4 May 2008,Nazi_Fighter_David,10," Kazan's film constitutes an extraordinary tour de force of fluid direction and nervous, edgy acting","""On the Waterfront"" is basically the story of one man, Terry Malloy, a young dock worker with a little, and unsuccessful, experience as a boxer but not much intelligence or purpose He wastes his time around the docks, vaguely discontented about his life and revealing a tender trace in his otherwise tough manner as he tends his pigeons caged on the roof of his modest building ",/
1,4 May 2012,ma-cortes,8," Powerful portrait of N.Y. docks , being stunningly performed and excellently directed by Elia Kazan","This compelling and dynamic drama is set on New York's dock where mobsters control the Union and stevedores . An ex-prize fighter named Terry Malloy (Marlon Brando who deservedly won an Academy Award) turned longshoreman struggles to stand up to his corrupt union bosses (Lee J Cobb) and is embroiled in violence . Malloy faces the terrible dilemma of whether or not to turn informer . While his brother (it was originally offered to Lawrence Tierney , but he asked for too much money so the role went to Rod Steiger who was nominated for an Academy Award for his performance) is a crooked lawyer and he meets a beautiful ex-nun (Eva Maria Saint , Grace Kelly turned down the role of Edie Doyle, deciding to make Rear Window instead) and falls in love for her .",r
2,31 March 2008,ExpendableMan,9, A classic for all the right reasons,"Watching On The Waterfront nowadays, two scenes stand out head and shoulders above the rest. First is the impassioned speech by Father Barry (Karl Malden) to the gathered dock workers in the hull of a ship where he tries to rally them against the mobsters running their lives. Second is the confrontation between Terry and Charlie Malloy (Marlon Brando and Rod Steiger) in the back of a taxi which ends in one brother pointing a gun at the other and Brando's now legendary ""contender speech."" Both of them are sequences where the characters do nothing but talk but each is a fine example of what makes On The Waterfront the undeniable classic it is; acting, scripting, cinematography, music, everything fits into one cohesive whole and the end result is a welcome addition to any film collection.",e
3,6 February 2007,blanche-2,10, Magnificent statement about the power of one,"""All that is necessary for the triumph of evil is that good men do nothing."" (Edmund Burke) The evil in 1954's ""On the Waterfront"" is the union bosses, brilliantly portrayed by Lee J. Cobb, Rod Steiger and their thugs. They are allowed to do business because of the fright, intimidation, and passiveness of an entire group of longshoremen, who either work or don't while the big shots take kickbacks and steal from them. Then Joey Doyle, who had agreed to testify against the union bosses, is set up by a clueless Terry Malloy (Marlon Brando) and thrown off of a roof. His sister Edie (Eva Marie Saint) is determined to find out what happened. But no one will talk. She shames Father Barry (Karl Malden) into taking more of an interest in what is happening on the docks, and he does. Still, no one's talking. Terry falls in love with Edie but still can't do the right thing. Another man is killed. When the killing finally affects Terry, he realizes something has to change.",v
4,16 March 2012,Kubris,9, Not what I expected- so much more.,IMDb Top 250: 105,i
5,28 February 2018,PeachesIR,10, A film I consider absolutely perfect,"I watched ""On the Waterfront"" last night, and I have seen it many times. This movie is a perfect capsule for any viewer. The actors are superb in their roles, the dialogue is raw and powerful, the staging is tight and reflects the claustrophobic nature of the characters' lives in this part of Hoboken. You have the feeling that they never leave this area of maybe a few blocks, because they feel trapped by their circumstances, poverty, grueling work, and the corruption that's endemic in this place and system.",e
6,1 July 2008,sme_no_densetsu,7, Excellent performances; so-so story,"Elia Kazan's ""On the Waterfront"" is frequently listed among the greatest of all American films. It concerns a longshoreman's inner and outer struggles in exposing the corruption of union bosses.",w
7,1 February 2006,ccthemovieman-1,10, Still Packs A Wallop,"Still powerful after all these years, it's easy to see why this film won so many awards. Even though it isn't classified as ""film noir,"" it might as well be, as it has the earmarks of one: gritty, downbeat with a feeling of dread, magnificent black-and-white cinematography, etc.",/
8,4 November 2020,Fella_shibby,10, One of the most gripping film with a top notch mesmerizing performance by Brando.,"I first saw this in the early 90s.
Revisited it recently.
I love this masterpiece n Brando's performance is the highlight of the film.
While there is no boxing action shown in the film, the film looks very realistic. Brando's performance of that of a broken n tortured soul is mesmerizing.",r
9,9 March 2015,Leofwine_draca,9, A deserved masterpiece,"It's nice to find a well-regarded, 'classic' movie which is every bit as good as its reputation would have you believe. ON THE WATERFRONT is such a movie, a well-shot, compelling and perfectly written story about real people struggling to cope with the varying demands in their lives and their abilities to do the right thing.",w
