Review_Date,Author,Rating,Review_Title,Review,Review_Url
0,3 September 2010,claudio_carvalho,9, Unforgettable and Heartbreaking Bleak Tale of Friendship and Loneliness,"In 1976, in Australia, the misfit and outcast eight-year old girl Mary Daisy Dinkle lives in Mount Waverley with her alcoholic shoplifter mother Vera Lorraine Dinkle that is addicted in Sherry and her absent father Noel Norman Dinkle that works in the Earl Grey Factory attaching strings in the teabag and spends his leisure time in his hobby - taxidermy. Mary has absolutely no friends and is teased by her schoolmate Benny Clifford. She has a complex because of her brown birthmark in the forehead and she adores her favorite cartoon The Noblets that she watches with her rooster Ethel and condensed milk. Meanwhile, in New York, the lonely forty-four year-old Max Jerry Horowitz has Asperge Syndrome and trouble to sleep and is obese since he eats chocolate hot-dogs to compensate his anxiety. He frequently goes to the Overeaters Anonymous Meeting. Max does not have any friend, only the invisible Mr. Ravioli, and also loves The Noblets. His life goals are to have a friend, Noblets and chocolate. One day, Mary picks Max address out of an American phone-book and she decides to write to him to ask from where babies come in America. Along their lives, they become pen pals and their unusual friendship oscillates due to the anxiety attacks of the unstable Max.",/
1,10 April 2009,Likes_Ninjas90,8, Refreshing and engaging given the home-grown talent involved.,"In Australia in 1976, a young girl named Mary (voiced by Bethany Whitmore) is a lonely child looking for a friend. She lives with both her parents but her mother is a chain smoking drunk and a thief and her father, who works in a factory putting the strings on teabags, would rather spend time with his collection of dead birds. Mary remains curious about life and finds the address of an American living in New York. She writes him a letter to become his pen pal. The recipient is Max (Philip Seymour Hoffman), a severely overweight Jewish hypochondriac and full-time no-hoper. Gradually, as they send each other letters, Mary and Max's relationship develops and we begin to learn more about their past and their heartache and insecurities of being alone.",r
2,14 April 2009,MatthewInSydney,8, Mary & Max - wonderfully unique and personal animation,"There's a constant stream of animated films these days, but mostly they're either glossy Hollywood product (Pixar/Dreamworks), or Japanese anime. For adults wanting something different we have to wait for the likes of The Nightmare Before Christmas, Waltz With Bashir, Persepolis, or Aardman's films to turn up. Mary & Max is one of these films that comes as a complete departure from all the others, both in visual and storytelling style, and sticks in the mind because of it. I won't repeat the plot here, so I'll just mention a few pros and cons. The cons are obvious. Some people will be put off by the almost constant narration (which took me a while to get used to), the rather numerous calamities (a lot more than you'd expect if you thought this was just a kids film), and the sadness within some of these people's stories. It's actually a little surprising that the film got made without the people financing it demanding a script that was more tailored to appeal to a wider audience. What we get is something that feels a whole lot more personal than the higher profile animated films. It feels personal, and therefore real, and the explanation is that it was written from life by a director who has a real feeling and sympathy for people who don't quite fit into the world, and feel alienated or are misunderstood by others. Mary was partly inspired by the director's own childhood (and there's a little bit of Toni Collette's Muriel Heslop thrown in I suspect), and Max is also based on a real person he's been pen friends with (but so far has never met in person). The way the film handles his Asperger's Syndrome just feels different to how you'd normally see such an issue handled on screen. There's a constant stream of humour (ironic, black, childish), and I really enjoyed the small perfect touches on growing up in an Australian suburb in the 70's and 80's, and the depiction of grey New York, as it appears to the easily frightened Max. The animation is constantly a joy to watch, and I highly recommend seeing it on the big screen where it can be properly appreciated in all it's hand-made glory.",e
3,25 October 2020,Xstal,8," Solitude, Isolation & Loneliness...","Masterfully directed, edited and animated to pique your interest from the off, it has you falling into the worlds of Mary and Max and sharing their challenging journeys through life, as well as their genuine, realistic and engaging correspondence and gifts to each other. Stuffed full of sad and sorrowful events, the solitude and isolation felt by both characters is palpable all the way through. Not really a film to make you smile but one that will make you think and that, after all, is what the best of storytelling is really all about.",v
4,22 March 2010,manicman84,10, lovely oddball and admirably complex,"Coming from Australia, Mary and Max is one of these few films you'll remember all your life. This amazing claymation touches upon an unlikely friendship between two pen pals: a young girl living in Australia and an aging Jew from New York. It's unbelievable what a precisely structured narrative this is. Director-writer Adam Elliot blends odd scatological, yet clever humour with poignant dramatizations to a splendid effect creating one of the best tragicomedies of the past few years. The fact that it's in the form of claymation only helps to enhance uniqueness of the whole experience. The movie was 5 years in the making and this is visible in its every frame. Elliot masterly captures the motion in an endlessly creative manner. Most importantly though, his lovably oddball characters are well developed and admirably complex with all their awkward traits and quirks. Due to its serious themes and dark tone, Mary and Max is an adult movie aiming much higher than its big studio counterparts. It happens to be more contemplative, and intelligent mimicking the real life with all its ups and downs. Calling Elliot's movie an extraordinary piece of art is certainly not an overstatement.",i
5,31 October 2010,jon-larsen,9, Masterpiece!,"To say it short, this movie is about a friendless 8 year old girl in Australia who befriends an obese 44 year old male in New York by writing mails to each other.",e
6,21 January 2010,hyder_sagg2003,10, G r e a t.,"Just finished watching this, And Loved it. Previously Wall-e was the only animation that I rated 10/10. And this is the second one.",w
7,1 January 2011,planktonrules,10," After seeing his previous films, I just had to watch this one...","Having already watched several of Adam Elliot's other films (""Harvey Krumpet"", ""Brother"", ""Cousin"" and ""Uncle""), I felt a strong compulsion to watch ""Mary and Max"". After all, these other films were wonderful and very original and you find yourself hooked when you watch them--though you probably won't know why. Now, with Elliot's latest film, I have a chance to finally watch a feature-length version of his wonderful and very strange work.",/
8,21 August 2009,ori_64,10," So excellent, that I couldn't recommend it more!","It's hard to describe just how excellent this film is. The story is great, both very funny and touching. The art-design and animation are a delight, thoughtful, very rich in details, and very consistent in style. The music is great. The storyline and direction... I can't find a bad word to say, except that the story drags a little half- way through, but then picks itself up again toward the end. Truly, a must-see. If you like adult animation, this is definitely for you. I agree with those comparing it to Aardman films, Waltz with Bashir and Persepolis, but this movie's animation is so professional, that only Aardman truly compares.",r
9,6 March 2011,TheLittleSongbird,10, Unforgettable,"One of my favourites of 2009, Mary and Max is a truly unforgettable film in all respects. The clay animation is just gorgeous with all the characters well modelled and the colours done in atmospheric shades, and gives a nostalgic and unique feel to it, and the music is beautiful and heart-breaking. The characters add a lot to the film as well, the title characters are sweet, emphatic and engaging, with Mary very cute and Max endearing in his own way, and the audience sympathises with them and their predicaments, while the writing is both funny and poignant and the haunting, affecting and personal story packs a real emotional punch on its own and is thematically quite deep. The voice work is top notch, Barry Humphries provides a both amusing and gentle narrative and Toni Collette(Bethany Whitmore as the younger Mary) and Phillip Seymour Hoffmann are brilliant as Mary and Max. What made Mary and Max other than the superb direction and gentle pacing was the adept mix of hilarious humour and poignant drama, there is evidence of both and both are done wonderfully. Overall, a beautiful, unforgettable film with a 10/10. Bethany Cox",w
