Review_Date,Author,Rating,Review_Title,Review,Review_Url
0,19 January 2006,claudio_carvalho,10," The Most Impressive, Depressive and Realistic Dramatic Movie about the World War II","""Der Untergang"" is certainly the most impressive, depressive and realistic dramatic movie about the World War II ever made. I have never seen a film picturing the insanity of Hitler in his very last days in a bunker in Berlin with his high command, and how the German people were hypnotized by him like in this film. Last year, I saw the deceptive, boring, pretentious and overrated ""Molokh"", showing a caricature of Hitler and Eva Braun in Bavaria. But ""Der Untergang"" is awesome and comparable to ""Apocalypse Now!"", my favorite movie of war.",/
1,24 August 2005,Galina_movie_fan,9," ""You have to feel that Hitler was a human being; only then he is a real horror.""","The first internationally released German production to feature Hitler as a central figure, ""Downfall"" (2004) takes place in the dismal gloomy Berlin during April - May 1945 in anticipation of the inevitable German defeat. The film shows the last days of Hitler and those close to him through the eyes of his young secretary, Traudl Junge.",r
2,21 April 2005,The_Void,8, A magnificent piece of cinema. Spectacular in every respect,"Truly great movies are few and far between these days; but Der Untergang most definitely represents one of those rare occasions. Oliver Hirschbiegel, who brought us the wonderful 'Das Experiment' has produced a film that is very nearly perfect. Depicting the final ten days of Hitler and the National Socialist regime, Der Untergang or 'The Downfall' to give it it's English title is an expose of failure and the way that a madman can bend a whole nation into doing his bidding. The film is very realistic, and an excellent ensemble cast breathe life and believability into the roles of the various members of the Nazi party and because every performance is picture perfect, the whole thing comes together brilliantly as one whole piece. Bruno Ganz gives the central performance as the Fuhrer himself and it is one of the greatest performances I've ever seen in a film. His portrayal of Hitler in the middle of his downfall is absolutely perfect, and Ganz excellently portrays the man's every emotion. It must be difficult to play such a notorious character as Hitler himself, but Ganz rises to the occasion and gives it his all.",e
3,19 March 2005,jotix100,10, The last days at the bunker,"This magnificent film goes where no one else dared to go to show us the last days of Adolf Hitler. The director, Oliver Hirshbiegel, working with a big cast, brings to life the madness of the last days of the monster, as observed by a young and impressionable secretary who witnessed most of the crisis.",v
4,18 January 2005,Coventry,10, A mesmerizing experience and one that will hopefully remind people all over the world that history may never repeat itself!,"All I can say about ""Der Untergang"" is: WOW! This is one of those rare films that prove that the darkest pages in our world history easily surpass the fiction tales of the most imaginative fantasist. This soon-to-be landmark in cinema portrays the final ten days of Hitler's reign at the well hidden bunker in Berlin. In the opening sequences, we see how the Führer hires Traudl Junge (flawless performance by Alexandra Maria Lara) as his personal secretary and we largely witness the rest of the story from her viewpoint. Recent documentary footage with the real Junge is showed to audience at the end of the movie, stressing even more that this is a very intelligent and carefully elaborated production. A form of criticism I often encountered stated that Hitler was portrayed too ""human"" by the Swiss actor Bruno Ganz. Let me tell you that people who claim this haven't got the slightest clue what they're talking about! It's true that Hitler sometimes strokes his dogor even gives a compliment to his servant for cooking him such a lovely dinner! But only moments after, you're exposed to the real Hitler again! Alternately a mad-raving dictator, a disillusioned conqueror or simply a pathetic old man. But perhaps the most astonishing scenes in ""Der Untergang"" are the ones in which the persons close to Hitler  either professional or amicable  remain unconditionally loyal to him! It is deeply disturbing to behold how so many people blindly swear by the unworldly beliefs of a madman, even prepared to follow him into death. This accurate portrait results in a series of brilliant sequences with the severely shocking fate of the Goebbels family as an absolute highlight.",i
5,21 August 2005,wforstchen,10, This Historian is awed by the effort for accuracy,"I teach a college course on WWII, in graduate school studied under several experts on the subject and have interviewed numerous survivors on both sides. This film comes out on top, perhaps the finest ever made on the subject of the war (though the Belorussian ""Come and See"" & ""Schindler's List"" are darn close as well).",e
6,5 June 2005,ilovedolby,10," A deeply disturbing, intimate portrait of the insanity of Hitler and the blind faith of his followers at the end.","In recent years, war films have given a new exposure to the sheer nature of war. In ""Saving Private Ryan,"" ""Black Hawk Down"" and ""Born on the Fourth of July,"" we were exposed to the realities that a soldier endures not only on the battlefield, but what they take with them long after the battles end. However, ""Downfall,"" a German film nominated for Best Foreign Language Film at the 2005 Oscars, brings a unique perspective to the table. It is about the last days of Hitler and the Third Reich and the ultimate demise of both. More so than a war movie, this feature exposes the insanity of Hitler and the blind faith of his followers at the end. It is a deeply disturbing, intimate portrait of the cruelty that he inflicted not only upon 6 million Jews, but ultimately on his own countryman at the end.",w
7,13 March 2015,planktonrules,10, Very important historically but not for the faint of heart,"This film is based on the experiences of Hitler's secretary as well as other survivors of the bunker during the final days of Nazi Germany. It follows these people (with a strong emphasis on Hitler through the first 80% of the film) and excels at its historical accuracy. Unlike some of the other Hitler biopics (such as the ones starring Richard Basehart and Alec Guinness), this one shows an odd and 3-dimensional man--screaming and irrational one moment yet rather kind and likable the next. If Hitler had ONLY been a screaming madman (as he's generally shown) no one would have followed him and he never would have led Nazi Germany. Here he is much more believable and the writer, director and actor (Bruno Ganz) all created the best screen Hitler to date. ",/
8,24 November 2004,nosiesnetnieuws,10," Impressive achievement, realistic and shocking","This film definitely is a must-see because of the incomparable degree of realism displayed in it. Direction, camera and acting are of an unparalleled level and make you, as the viewer, feel as if you are actually in Berlin, 1945, and in the FÃ¼hrer's bunker. The film does not provide any commentary or judgment, it just shows facts.",r
9,28 March 2006,rmax304823,8, Unforgettable,"I tuned in late to this film, not expected very much, because we have all I suppose seen so many documentaries of Hitler's last days in the bunker, and a reconstruction with Alec Guiness thrown in for good measure. Many of these presentations depend on interviews with Trudl Junge, Hitler's secretary at the time. Her descriptions of the goings on during the final days are cool, precise, and dispassionate. First Hitler said this, then Eva Braun said that, and then they went up into the garden. A human surveillance camera who seems to have no personal mechanism for judgments.",w
10,12 November 2004,hermes-10,9, Amazing realism,Der Untergang makes you live the horrors and craziness of war. Bruno Ganz's interpretation of Adolf Hitler is worthy of an Oscar. He is completely believable. Also the rest of the cast performs admirably. You feel transported to Berlin as it was bombarded by the Russians. You get a very clear insight (or an impression?) in how the military decisions were taken during those final days of the war. The movie balances well between large-scale effects of bombs exploding in ruined streets and depictions of different persons going though the experience  from Hitler and his staff in the well-protected bunkers to the principal military commanders torn between reason and loyalty and German civilians trapped in an inferno. The movie is neither pro-Nazi nor does it depict all Nazis as mindless monsters. It gives an impression of utter realism. Go see it in a good cinema  your seat will tremble as the bombs explode. A nine out of ten.,1
11,15 February 2005,philip_vanderveken,10," It's amazing and unbelievably realistic... Go see it people, NOW!!!","Having a huge interest in both World Wars and all that happened during the time period 1910-1950, I've seen a lot of movies and read even more books on the subject. Name me a more or less realistic war movie and I've probably seen it, so when ""Der Untergang"" was first released in Germany, I already knew I wanted to watch it as soon as it would be released over here. The commotion that it caused, the good critics that it got, all made me look forward to the day that I would see it, but really nothing could prepare me for what I saw... It was amazing, it was great, it was jaw-dropping...",3
