Review_Date,Author,Rating,Review_Title,Review,Review_Url
0,19 January 2019,Hitchcoc,10, I Was Captivated,"I saw Don Shirley perform in college in 1966. At the time I simply thought he was a hell of a pianist, using that bass and cello to come up with a unique sound. So when this movie came along, I thought ""I saw that guy!"" I know the critics are being hard on this film, but I sat for two hours, totally captivated. I know there are stereotypes. Could that be because the repeated actions against minorities and the actions of racists have become so commonplace they seem like stereotypes. I believe the performances of these two fine actor made the show. There is a subtlety to this movie that transcends many others of its type. Yes, there are Southern cops; yes, there are men's rooms that are off limits; yes, there are simplistic views of racism by white New Yorkers. But what I got was a realistic presentation of an evolving friendship. Shirley is abrasive and self-centered; Lip is clueless most of the time. And I believed in them. See this film.",/
1,23 January 2021,Sleepin_Dragon,10," A captivating watch, with sensational acting.","Not often these days so I give ten stars to a film, with Green Book however, I had no other choice, this film had me totally captivated.",r
2,26 June 2020,Instant_Palmer,9, Ranks #5 on my IMDb Top 25 Best Buddy Films List. A Feel Good Movie at its Core,"Ignore the sour grapes criticism from Spike Lee. This was THE best film of 2018, and one of the best-ever feel-good buddy/road films. There is something very sincere about this film - it is understated in its messaging, and keeps the focus on the evolving bond and respect that grows between two polar opposite personalities. A well-made film, with first-rate acting, that makes you feel this good without feeling ""manipulated"", is a rare treat indeed. Highly recommended.",e
3,25 November 2018,taylor_king-890-815491,10," ""Green Book"" is Gold","We loved Green Book along with the sold-out crowd who applauded loudly at the end. Based on true story of piano virtuoso, Don Shirley's road trip through the south during the 60's, the film pays tribute to his genius and courage as a black man who tries hard to soar above the ugliness of the times. The elegant trappings of his home and his success as a concert pianist leave him arrogantly cold and lonely, but his life begins to change when he hires Tony as his road trip driver. With a history as nightclub bouncer with Mafia connections in New York, Tony is the antithesis of Don's perfection and their evolving relationship on the road makes the movie soar above the ordinary and become magical. Viggo and Ali in the main roles are remarkable, and it's funny and endearing to watch them discard stereotypes and discover their mutual humanity. What we liked best is the
movie teaches without preaching, it all unfolds through a myriad of natural moments between two great actors and a strong supporting cast. Top all this off with a really good soundtrack, excellent direction and production values, and an audience that laughed out loud and vigorously applauded at the end...this one is a true 10!",v
4,2 January 2019,Top_Dawg_Critic,8, A perfect example of Yin & Yang - and black and white has nothing to do with it.,"Outstanding true story film showing that color doesn't define us, but how we act ourselves and towards others, does.",i
5,5 March 2019,classicsoncall,9," ""It takes courage to change people's hearts.""","In an awards season that offered five Best Picture nominations based on real life stories, that might have been a record in itself. Having seen them all, I think the Academy probably got it right this year in celebrating ""Green Book"" as it's big winner. It does tend to be formulaic in it's treatment of a white racist working for a black professional musician, who by their association come to understand a little bit about each other and form a bond that survives their two month road trip. But the relationship between Dr. Don Shirley (Mahershala Ali) and Tony 'Lip' Vallelonga (Viggo Mortensen) is never sugar coated. The dialog between the two men is unusually grating most of the time to be funny, though there are moments of humor that break through. It's hard to imagine how this association came to be in the first place, as the two men are so diametrically opposed in temperament, style and erudition. But underlying Tony's acceptance of a job offer came a profound sense of honor and loyalty to his employer, one that couldn't be shaken by mob acquaintances, dirty cops, or genteel elite who profess surface politeness while refusing service to a member of the black race. What particularly struck me was how the only time Dr. Shirley looked really happy was when he played at the Orange Bird saloon in the Deep South, casting aside his refined demeanor to really play his heart out for an audience that responded so enthusiastically. What the two men learn about each is directly at the heart of the story, one which transcends race, religion and background in an effort to understand what makes people similar rather than the differences that keep them apart.",e
6,26 February 2019,BassLightyear,7, A review as a respons to other (negative) reviews.,"I understand why a lot of critics don't like this film, but at the same time I feel like they're making up their minds about what they think the movie is - or should - be about. They (who disagree with the film) will say that it diminishes the horrors that the black community faced in America during the 50's - and because of that they think it's a bad film. But I thought it was a good film; in my opinion it's not a movie about Shirley and his struggles facing ruthless racism - it's about Tony Lip's psychologically reforming journey changing his mind about black people through the witnessing of Shirley's experiences. And it's that central story line the critics are disagreeing with and eschews the whole film on the premiss that it should've been about something else (Shirley journey - not Tony's).",w
7,10 December 2019,TheLittleSongbird,8, A re-awakening journey,"My main reason for watching 'Green Book' was due to me wanting to see as many 2018 films as possible, and that it had won the Best Picture Oscar (so naturally wanted to see too that it was that good). Like Viggo Mortensen as an actor, the film's concept was appealing and it looked appetising. Word of mouth, including from very trusted friends online and in real life, was very positive so there were plenty of other reasons too.",/
8,22 September 2018,Art Snob,9, Critic-proof festival hit should be big holiday winner,"Some of my movie friends were stunned when I mentioned in a thread that this was my ""People's Choice Award"" vote for TIFF 2018 (it won, btw). I generally go for weightier fare, so my being won over by a PG-13 road film with the familiar ""they-couldn't-have-been-more-different"" premise directed by the auteur co-responsible for such recent classics as ""Dumb and Dumber To"" and ""The Three Stooges"" elicited a virtual double-take.",r
9,23 February 2019,AlsExGal,7, Not to say it isn't a decent movie...,"... just that it's so inoffensive, safe, and cliche that I feel like I've seen it a million times before. Mortensen and Ali are terrific actors, and I am thankful for them. Without their charisma (and Viggo's willingness to shove insane amounts of food down his throat), I fear Green Book would be dead on arrival.",w
