Review_Date,Author,Rating,Review_Title,Review,Review_Url
0,17 October 2005,claudio_carvalho,10," A Magnificent Timeless Tale of Ambition, Manipulation and Betrayal - Certainly One of the Best Classics Ever","The ambitious Eve Harrington (Anne Baxter) gets close to the great and temperamental stage artist Margo Channing (Bette Davis) and her friends Karen Richards (Celeste Holm) and her husband, the play-writer Lloyd Richards (Hugh Marlowe); her boyfriend and director Bill Sampson (Gary Marrow); and the producer Max Fabian (Gregory Ratoff). Everybody, except the cynical critic Addison DeWitt (George Sanders), believe that Eve is only a naive, humble and simple obsessed fan of Margo and they try to help her. However, Eve is indeed a cynical and manipulative snake that uses the lives of Margo and her friends to reach her objectives in the theater business.",/
1,4 June 2009,TheLittleSongbird,10," Wow, an 11 if possible!","All About Eve is my idea of a perfect film,(and I am 17) beautiful and brooding at the same time. People consider this as one of the finest films ever made, and I cannot disagree. This and Shawshank Redemption are actually films that deserve to be in the top 250. The black and white cinematography is gorgeous, and the script is sharp and focused with great lines such as ""Fasten your seat belts, it's going to be a bumpy night"". The direction is excellent, and this is further advantaged by a terrific cast, a very good subject matter and sumptuous costumes. I couldn't help being captivated by Bette Davis's performance as Margo Channing, her presence in the film is actually the film's main merit. Davis was an incredible actress, and while not exactly pretty compared to Maaureen O'Hara and Rita Hayworth and not very easy to work with at times, she always brought a sense of command to all her roles, especially in this film. I still think that All About Eve is her best film, I honestly do, and she is well supported by a terrific supporting cast with the likes of the idealistic Anne Baxter and the suave George Sanders. All in all, a beautiful film, that is a must-see, if you haven't seen it already. It is quite long, but it is well worth watching for Davis's performance. 10/10 Bethany Cox",r
2,30 August 2017,JohnHowardReid,10, Just Brilliant!,"Brilliantly acted and cleverly characterized, with sparkling dialogue that mercilessly parries the gloss from the New York theater world's highly sophisticated veneer, ""All About Eve"" is a scintillating comedy of manners that compels rapt attention for the whole of its 2¼ hours. We like George Sanders, pointing out Gregory Ratoff to his escort, Marilyn Monroe (whom the script describes as ""a member of the Copacabana school of acting""), with the words: ""There's a real live producer, honey! Go and do yourself some good!"" And the final scene, in which Sanders asks Barbara Bates, ""Do you want some day to have an award like that of your own?"" — ""More than anything else in the world!"" she answers. ""Then you must ask Miss Harrington how to get one"", he replies. ""Miss Harrington knows all about it!""",e
3,20 February 2010,Lechuguilla,9, Superb Acting And Dialogue,"What a movie! It's the cinematic ideal, the standard by which subsequent films are judged, at least in terms of acting and dialogue. Maybe the camera, which does nothing but sit there as the actors act, could have been made a little less static. But the story screams stage play, which implies lots of talk and not much ""action"". The film doesn't pretend to do all things. But what it does do, it does extremely well.",v
4,20 March 1999,Don-102,10, All About Great Writing and Great Acting...,"In show business, there is probably an Eve Harrington born every day. Someone who butters up to a performer of note, acting innocently, revealing none of the coldhearted ambition they really have.  Anne Baxter plays this type of person to a tee.  She looks like a baby-faced fan, but little do we know, there is a fame machine at work in her mind.  Bette Davis, as Margo Channing, star of the stage, is a veteran who has seen it all.  She is quite the egotist.  Margo is a brilliant actress and she knows it.  Eve discovers her blind spot and moves in on her like a quiet storm.  This is the premise of ALL ABOUT EVE, Joseph L. Mankiewicz's masterpiece of sly wit and subtle manipulation.  Mankiewicz also wrote the picture (winner of the Best Picture Oscar of 1950) with such skill, the talented cast need only to memorize the lines and deliver them with the proper technique.",i
5,7 October 2021,AlsExGal,10," Just a perfect film, and I know nothing about the theater.","And you really don't need to know about the theater, because it is ultimately about the many facets of human nature.",e
6,29 July 2015,SnoopyStyle,9, two great performances,"In June, actress Eve Harrington (Anne Baxter) is the youngest to win the Sarah Siddons Award. Flash back to October, shy Eve is waiting outside of the theater for Margo Channing (Bette Davis) after her lead performance. The playwright's wife Karen Richards notices her there as always after every performance and invites her backstage. The obsessed fan tells them that she lost her husband in the war. Eve insinuates into Margo's life first by moving in and then becoming her assistant. Slowly, Eve schemes to undermine Margo and take over her place.",w
7,3 March 2023,Sleepin_Dragon,10," Fasten your seatbelts, it's a bumpy night.","Talented, but ageing actress Margot Channing is captivated by young fan Eve, who's devoted fandom and sad back story are enough for Margo to take her to her heart, and her home, a lamb is hiding out in a wolf's clothing, but which one?",/
8,19 March 2004,marcosaguado,10, A Miracle Of A Movie,"What a genius Joseph L Manckiewicz was. A literary script that is totally accessible. A melodrama for the thinking man. A film that is as engrossing and entertaining every time you see it. Bette Davis touches all the raw nerves of her mythological career. Anne Baxter never went this far. Thelma Ritter became a sort of icon. Marilyn Monroe gives us a preview of forthcoming attractions as a graduated from the ""Copacabana"" academy of dramatic arts. Celeste Holm represents us, all of us and George Sanders creates a prototype for a cultured monster that is immediately recognizable. I don't recall another film in which the nature of selfishness is so wittily dissected. A total triumph.",r
9,22 February 2001,gbrumburgh,10," A masterpiece of old-style theatre back-stabbing with a cherished, hand-picked cast.","THE definitive saga of backstage brouhaha ever dished out by Hollywood.  A triumph of screen-writing, never will one see such ripe, acrid dialogue spewed out like this again -- every indelible scene gloriously stained with classic one-liners.  An actress wanna-be looking for her big break carefully worms her way into the glamorous life of a legendary Broadway star, then tries to supplant her privately and professionally.",w
