Review_Date,Author,Rating,Review_Title,Review,Review_Url
0,3 December 2005,Smells_Like_Cheese,10, Well of course when you've got nothing better to do with a broken leg you will accuse your neighbor of murder!,"Finally, I watched ""Rear Window"" by famous Alfred Hitchcock. First off, I saw this movie on the top 250, and it's #14 on top of that! I mean, it's gotta be great or a classic, right? Also, I'm a fan of the Simpsons, and I got the 6th season where Bart breaks his leg and has to watch the kids outside and accuses Flanders of murdering his wife, Maude. I watched it with commentary and the writers said this was taken from the movie ""Rear Window"", I had to see this movie! I know it sounds silly that I was more inspired by a show, but it's a good reference if it's from The Simpsons.",/
1,10 April 2001,FlickJunkie-2,10, Another Hitchcock masterpiece,"Alfred Hitchcock is considered by most to be the master of suspense.  I believe he was also a master of understanding human nature.  He intuitively understood that human beings are voyeurs by nature, not in the perverted sense, but in the curious sense.  We are a species that slows down to look at accident scenes and steals furtive glances at lovers in the park who are oblivious to everything but each other.  A major appeal of cinema and television is that they offer us an opportunity for guilt free voyeurism. When we watch a film, aren't we in essence looking through a window and watching people who behave as if they don't realize we are there?",r
2,22 June 2009,TheLittleSongbird,10," Sophisticated Hitchcock, with a wonderful performance from James Stewart!","Rear Window is a one of the more sophisticated Hitchcock films, and I will always consider it a masterpiece. It has tension, suspense, humour, has a strong voyeuristic tone to it and moves along at a good pace. The cinematography was truly excellent, dark in some scenes and beautiful in another. The script is fantastic and genuinely memorable(Thelma Ritter's wisecracks especially), likewise with the story, about a man who is convinced that his neighbour has killed his wife. I have always considered Rear Window's main merit to be the performance of James Stewart, he was perfect as Jeff, the man who is in a wheelchair, due to a broken leg. The other performances go without fault either, especially from the beautiful Grace Kelly as Lisa and Raymond Burr in a chilling performance as ""the villain of the piece,"" Mr Thorwold. The music was expressive and atmospheric courtesy of Franz Waxman, and the climax was possibly the highlight of the film, after Stewart's performance. The 1954 version of Rear Window will always be a classic, not the inferior TV remake with Christopher Reeve. All in all, a must see for those who are fans of Hitchcock. 10/10 Bethany Cox.",e
3,15 January 2004,Quinoa1984,10," In the mid-fifties, Hitchcock brought remarkable suspense by reverting to the logic of a silent film (with an observer behind the lens as the hero)","Many reviewers and critics have commented on Alfred Hitchcock's theme of the voyeur in Rear Window (the mere thought of a voyeur in a suspense film conjures up images from other classic Hitchcock films), and I felt that voyeuristic bug as well.  But I realized something that I hadn't thought of as I watched it for the first time- this is a return for Hitchcock to his skills as a master of silent-film chills.  As L.B. Jeffries (Jimmy Stewart in one of his most infamous performances) is in his wheelchair viewing out one perspective to other inhabitants in the apartment, the audience views right along-side him.  So, for more or less 50 percent of the film, the only sounds we hear are the sounds of mere realism, as Hitch's camera keeps a close eye on things.  ",v
4,8 April 2004,dxia,10, Our Obsession with Voyeurism,"After viewing 'Rear Window' again, I've come to realize that Alfred Hitchcock was not only a great moviemaker but also a great moviewatcher. In the making of 'Rear Window,' he knew exactly what it is about movies that makes them so captivating. It is the illusion of voyeurism that holds our attention just as it held Hitchcock's. The ability to see without being seen has a spellbinding effect. Why else is it so uncommon to have characters in movies look directly into the camera? It just isn't as fun to watch someone when they know you're there. When we watch movies, we are participating in looking into another world and seeing the images of which we have no right to see and listening to the conversations that we should not hear. 'Rear Window' and Powell's 'Peeping Tom' are some of the best movies that aren't afraid to admit this human trait. We are all voyeurs.",i
5,18 June 2000,michaelRokeefe,9, Tremendous thriller. Classic Hitchcock.,"In '54, I was seven years old and this is one of the first 'grown up' movies I remember seeing. I have seen it at least ten times since and realize seeing something different each time.",e
6,15 April 2018,yocarlosvarelapr,10, Rear Window is 64,"I must say, no signs of aging. Embedded in its day and yet totally relevant. Perhaps the most entertaining of all of Hitchcock's films. Marriage is the theme and murder is the hook. James Stewart is as perfect as he's ever been. He uses the contradictions of his character to create someone immediately familiar. Thelma Ritter's practicality includes a rant about the destructive effect of intelligence. Grace Kelly enters the scene like a character in a dream. She remains a sort of dream that's why to see her climb the killer's balcony is one of my most cherished film memories. If you haven't seen the film you may think I'm rambling but if you have, you know exactly what I mean, don't you?",w
7,16 August 2002,DennisLittrell,8, Midcentury voyeurism,"This is the quintessential Hitchcock flick, easy to understand, addictively interesting, featuring great stars (Grace Kelly and James Stewart), familiar bit players (Thelma Ritter in one of her best roles as Stewart's talkative nurse), and a kind of almost imperceptible satire on the human animal. In this case, Hitchcock has glorious fun displaying a whole range of human behaviors through the device of watching them through a Greenwich Village rear window before the age of air conditioners when everyone had to leave their windows open (and some even slept on the fire escape–I've done that) to cope with the appalling heat and humidity during an eastern seaboard heatwave.",/
8,24 November 2004,dtb,10, Reading from Top to Bottom...Hitchcock's Sophisticated Masterpiece,"Not only does REAR WINDOW (RW) have Alfred Hitchcock's trademark wit, suspense, and romance (with a touch of friction) in spades, but it's one of his most well-crafted, cleverly-staged movies; in fact, even though RW is based on a Cornell Woolrich story, I can't imagine this story being told as effectively in any medium other than cinema. However, the technical accomplishments (explained most entertainingly in the DVD's documentaries) would be nothing without the engaging characters. James Stewart's neighbors are interesting enough to warrant their own movies, and in addition to providing a wry microcosm of New York City life (the only dated thing about it is the lack of air conditioning), they all reflect possible outcomes for the somewhat stormy romance between laid-up shutterbug Stewart and the luminous Grace Kelly as his upscale fashion maven inamorata. As Brent Spiner said while hosting a showing of RW on TNT, the real perversion of the film is Stewart's reluctance to commit to the irresistible Kelly! In fact, one of the things I like about the movie is the way it shows these two very different people gradually learning to compromise and work together. The piquant final shot shows that a woman can have a happy relationship with a man without submerging her own personality -- refreshing for the 1950s! Great supporting cast, too, including Wendell Corey, Raymond Burr in one of his last bad-guy roles before PERRY MASON, and the scene-stealing Thelma Ritter. Incidentally, the restored special edition RW DVD was put together just in time to include Georgine Darcy (""Miss Torso""), then one of the last surviving cast members. Darcy died earlier this year; she will be missed.",r
9,8 April 2001,telegonus,9, The Master In Control,"Alfred Hitchcock's Rear Window, wittily written by John Michael Hayes, is one of his many films I think of as much of a technical exercise as anything else. It is in this sense like his silent The Lodger, the static, confined Lifeboat, and the cut-less, one set Rope. Considered in this light it is a cold masterpiece, playing more with the audience's thoughts and fears than with its softer, more personal emotions. As such, it is a very cerebral and satisfying piece of work. The plot is deceptively simple: a photographer (James Stewart) is stuck indoors with his leg in a cast during a hot New York summer. His socialite girl-friend (Grace Kelly) is eager to marry him but Stewart has his doubts, since he lives a wandering life and is from a different social class. He spends most of his time idling about and playing with his camera. In time he becomes a voyeur (which he probably already is, to a degree) and begins to observe his neighbors' private lives, as he views them through his lens in the courtyard. He develops attitudes toward each of them, ranging from mild amusement to empathy to sexual interest, depending on who he's looking at. Without realizing it he is really looking at different aspects of either himself or his relationship with Kelly. The courtyard is a kind of mirror of his soul. These people and their predicaments represent different sides of his (and to a lesser extent Miss Kelly's) personality, offering glimpses of potential past, present and future selves; and it is not always a flattering picture. The newlyweds are continually having sex; Miss Torso is a beautiful young woman who entertains many suitors; there is a childless, somewhat pathetic-seeming middle-aged couple who dote over a pet dog; Miss Lonelyhearts is a depressed, aging spinster with no apparent friends; and the young, bachelor song-writer, when he isn't trying to compose songs, is either throwing parties or fits. Then there are the Thorwalds, a squabbling couple across the way. Stewart is at first only slightly interested in them until Mrs. Thorwald disappears and her husband starts going out at night carrying paper parcels that look like they came from a butcher shop. Soon Stewart is, understandably, suspicious. He convinces Kelly that something is amiss, but has trouble with his detective friend. His nurse Stella agrees that something is wrong across the courtyard, and the threesome become amateur detectives. Rear Window is great fun. It's a thriller, a romance, a mystery, and at times a comedy of manners. The actors all give superb, unflashy performances. Hitchcock had been making movies for three decades by the time he undertook this one, and he knew exactly what he was doing; everything happens as it should, on time, with no fuss or bother. The courtyard set is magnificently designed and photographed; it looks both artificial and realistic, and seems almost to change at times, as circumstances dictate. This is, after Dial M For Murder, Hitchcock's first truly 'fifties' film, which is to say it is a far cry from the genteel romances and spy stuff he'd been doing before. There's less use of atmosphere here, as a new, more independent director was emerging, decidedly post-Selznick, often using color. Hitchcock is playing a sort game of cinematic chess, moving people and things around here and there, changing camera angles slyly, never showing his hand. The film lacks only warmth. All sorts of learned books and articles have been written about this picture, some of them quite silly; all at least partly right. This is at times a profound film, but it also aims to entertain, it has a light touch, and it can be scary, it's romantic about couples and cynical about people. There's a little bit of everything in it,--it's a work of art.",w
