Review_Date,Author,Rating,Review_Title,Review,Review_Url
0,12 July 2006,planktonrules,10, Probably the greatest WWII naval movie,"This is an amazing achievement, and it's obvious because it is one of the only German language films to receive widespread distribution in American theaters since the silent era. It was just that good! When it came to America, the movie was cut down a little from it's original HUGE length and it was released in both dubbed and subtitled versions.",/
1,25 November 2017,claudio_carvalho,10, German Masterpiece,"In October 1941, the German Capt.-Lt. Henrich Lehmann-Willenbrock (Jürgen Prochnow) of the U-96 U-Boat receives the war correspondent Lt. Werner (Herbert Grönemeyer) to cover the work in the submarine during their mission in the Atlantic Ocean. They sail out of the shipyard La Rochelle and along the next weeks, Werner learns the lives, loves, fear and behavior of the young crew, the veteran Captain and his officers. The skilled captain hunts British vessels to sink and dives to depths below the limit of the boat to escape from the destroyers. Near Christmas, they plan to return to La Rochelle; but out of the blue, Captain Henrich receives an order to cross the Strait of Gibraltar to go to Italy. But the captain knows how protected the area is and plans a means to lure the British Navy. Will the U-96 succeed in crossing the Strait of Gibraltar?",r
2,7 December 2020,Essex_Rider,10, Emotionally Draining,"My late father served in the Royal Navy in WWII and was torpedoed by a U Boat, so when I sat with him to watch this in 1986, I fully expected him to be filled with hatred for them. Nothing could have been further from the truth. He told me that seamen, even those on opposite sides, share something unique. He told me that his ship picked up some U Boat survivors from a ramming. They were just ordinary men doing the bidding of their masters, just like he was. They were put down at Scapa Flow as POW's after being at sea for 5 weeks. Many of them had formed friendships with the Royal Navy men, including my father. He formed a friendship with a submariner called Gotz Stiffel and they remained friends until Gotz passed away. My father attended his funeral in Duisburg and he was welcomed as an old friend by the survivors of that U Boat sinking. My father said that film bought tears to his eyes. They were just ordinary men caught up in extraordinary times and this film captured everything from fear to boredom and relief. He said, and I utterly agreed with him this was just about the finest anti-war film ever made.",e
3,19 December 2010,secondtake,8," Believable, above all, and a WWII submarine movie, all the rest is just intensity",Das Boot (1981),v
4,26 November 2006,classicsoncall,10," ""Now it all turns psychological, gentlemen.""","The more films I view, the harder it is to dole out a rating of '10', and I've never been liberal about it anyway. With ""Das Boot"", I have no such reservations. Here's a film that takes all your preconceived notions about Nazi villains and stands them on their head, by portraying a World War II submarine crew as human beings, facing life and death daily in the cramped confines of an underwater prison. Not only does one come to understand their plight, but sympathize with them as well, to the point of hoping that they make it through their Atlantic ordeal. The only problem being that once they do, a cruel fate intervenes to usurp the lives of innocents in a way that their harrowing underwater ordeal could not.",i
5,18 August 2004,Theo Robertson,9, Review Of The Director's Cut,I've decided not to review the 1981 dubbed cinematic release of DAS BOOT . Instead I've decided to review Wolfgang Petersen's director's cut which is far closer to the miniseries version which most readers will be familiar with ,e
6,8 September 1999,susy-7,10, 15 years and I'm still thinking about it,"Das Boot is not just a great war film: it's a great film period. Maybe it is true that epic themes make the greatest novels and films.  Here is a movie that explores heroism, duty, patriotism, hope, fear and the futility of war--all grand themes--explored in the confined, and collapsing, spaces of a German u-boat.",w
7,21 December 2014,SnoopyStyle,9, Superior submarine movie,"It's the Autumn of 1941. The German U-boat fleet is starting to suffer heavy losses. The Captain (Jürgen Prochnow) shows Naval war correspondent Lt. Werner (Herbert Grönemeyer) around as his men party while on leave. The Captain is a pragmatic veteran. Some are on the verge of a mental breakdown, others are concerned but all respect their captain. They leave port for the dangerous North Atlantic. After a tough tour, they are redirected to pass through the Strait of Gibraltar and go to Italy.",/
8,25 March 2005,Mike_Wiggins,10, The best submarine film ever made.,"While it has been a very long time since I have seen this movie, it is one of the very few that I own. Wolfgang Petersen's magnificent accomplishment in ""Das Boot"" is reiterating the dictum that ""war is hell"", no matter which side you look at it from and no matter where the battlefield is located.",r
9,7 July 2000,shmuey barak,10, Take it from a real submariner-,"on modern ""boats"" life isn't easy- but compared to the living hell that the German U-Boats were, modern submariners have nothing to complain about. People in certain professions don't like to watch movies about those professions (Doctors and Nurses shy away from hospital dramas, for example). Submarine sailors are different. We love to watch every submarine movie ever made, from ""Run Silent, Run Deep"" and ""Destination: Tokyo"" to ""The Hunt For Red October"", ""Crimson Tide"" and ""U-571"". Why? Because we can always use a good laugh. For those in the know, submarine movies are usually absolutely hilarious. Except this one. After being in the Navy for four years, serving with around 350 different men, and being acquainted with a further 200-300, all of them submarine sailors, I think that I can state with absolute certainty that this film is the ONLY submarine movie that ALL submariners take seriously. And that is the highest praise a movie like this can possibly get.",w
