Review_Date,Author,Rating,Review_Title,Review,Review_Url
0,29 April 2019,MoistMovies,7, Not as good as infinity war..,"But its a pretty good film. A bit of a mess in some parts, lacking the cohesive and effortless feel infinity war somehow managed to accomplish. Some silly plot holes and characters that could've been cut (Ahem, captain marvel and thanos). The use of Captain marvel in this film was just ridiculous. Shes there at the start, bails for some reason? And then pops up at the end to serve no purpose but deux ex machina a space ship...",/
1,6 May 2019,dschlatter,7, Success does not equal quality,"The soon-to-be most successful movie of all times actually ranks fairly low among its companions. I'd say it is about as good as Winter Soldier.
As a fan of the pevious films, expecially Infinity War, I couldn't miss this one. I think that goes for most movie-goers. After Infinity War, we HAD to see how it ends. Infinity War was an almost perfect movie.
And now we get less than perfect. Now, we get ""good"" or ""very good"" and in comparison it seems almost bad.
My issue is not how the film is made. But with the story they chose to tell:
1. Thanos can't be the stronger villain without his gauntlet. That's poor writing.
2. Captain Marvel and Captain America are NOT equally strong (when fighting Thanos).
3. Stormbreaker was this amazing weapon in Infinity War. It beat Thanos with all stones in his gauntlet. Now it's just as steong as the hammer.
4. Thor has just found his purpose and strength in Ragnarok and Infinity War. Now he is a joke.
5. The time travel is, well, how itz always is. Hardly logical.
Those are the issues that now trouble me after having seen it two days ago. It just wasn't as good as Infinity War. They missed their mark.",r
2,13 December 2021,ACollegeStudent,8, Not as good as infinity war but a great movie,Rating: 8.6,e
3,26 November 2021,davyjones-636363,10, Crazy in every sense,"This film is an emotional rollercoaster with some of the coolest superhero plot lines ever drawn up. It's straight up the most epic Marvel film that will probably ever be created. I don't see how Marvel could ever top this, but getting to see these characters all together at least one last time was a reward all on its own.",v
4,8 May 2019,dhiraj-yahoo,10, Perfect ending,"After watching Infinity war, I was looking forward to much more this time, still a perfect ending.",i
5,25 April 2019,ahmetkozan,10, The End of an Era!,"After Avengers Infinity War, we waited for the Avengers Endgame. We wondered how the story would go on, how our heroes would turn back, what would be the end of Thanos. Many theories related to this have been put forward. Avengers Endgame was undoubtedly the most anticipated film of recent years. Normally, the higher the expectation, the higher the probability of disappointment. But this is not the case for Endgame. Whatever you're expecting, you find much more in the film. This means that the biggest concern about the film has disappeared.",e
6,24 April 2019,larshoeijmans,10, The ending made all 22 movies worth it,"If you're going to watch this movie, avoid any spoilers, even spoiler free reviews.
Which is why I'm not going to say anything about the movie. Not even my opinion. All I'm going to say is:",w
7,24 April 2019,ymyuseda,10, Absolute Perfection End Game,"Rating 10/10
Absolute perfection end game !! Good acting performance to all the characters. Great cgi's. Truly epic & perfect ending to a long journey of marvel movie. Go see it you wont regret it !! Perfection Marvel Endgame !!",/
8,24 April 2019,Mardolin,8, A little bit underwhelmed,"Don't get me wrong, the movie was great, but would I watch it a second time? Probably not - until the DVD comes out.",r
9,9 May 2019,jke_up,7, A decent end of an era.,"Infinity war was overall a better movie, but this movie had the disadvantage of being the follow up to that movie. A good chunk of this movie is essentially remembering what happened during infinity war. The struggle against Thanos in this movie... It just isnt done in a satisfying way.",w
10,19 August 2019,patrickpink2013,8, nothing here keep on walking,"3 hours out of my life I will never get back.
not worth the hype. you think the soap opera is done by the ultimate battle.
think again. let us milk it and release another spider man. geez a lou.",4
11,22 August 2019,randomStuff101,6," slighty awkward or boring at times, slow dialog, some cool stuff","Unfortunately clumsy. I enjoyed all previous Avengers, and a few scenes in this are very cool and funny, but this one lowers the bar overall. For me the story petered out instead of maintained momentum from previous movies. The dialogue struggles to be interesting, boring sequences at time.",8
12,6 May 2019,jtindahouse,4, Time travel is such a lazy way to write stories,Only a month or so back I was talking to a friend about how much I hate it when serious movies use time travel to get their characters out of problems. I have no problem with movies like 'Back to the Future' or 'Hot Tub Time Machine' that are both comedy based and use the time machine as a plot for the movie as opposed to a solution for characters problems. When a serious movie uses it though it as lazy as writing as dream sequence in my opinion.,0
13,2 August 2019,ferdmalenfant,10, Just terrible!,They've really scrapped the bottom with this one! Oh so Bad!,2
14,24 April 2019,vert2712,9, The zenith of the MCU franchise.,"I feel like I'm wasting my time writing down my thoughts about Avengers: Endgame, because nothing I (or any critic) could say about it would ever dissuade a prospective viewer from seeing it. But after having had the chance to watch it at a preview screening, I can't help but say a few spoiler-free words.",2
15,12 May 2019,ravi2445,9, Very disappointing,"Right in the beginning, you know how the movie is going to end...the good guys are going to win. How anti-climactic that was.. The stage is not set right (half of all humanity is gone, but the enormity of that is not explored...)...when you have Thanos give his explanation as to why he did what he did, I found myself thinking - well, he actually has a point.
In the meanwhile, every single superhero is given time to fight, say some cute things, some say a few smart things, a few even manage to say profoundly philosophical statements...
The quantum physics explanations used to explain how things are done, are plainly non sense... ..they just made stuff up as they went on.
Alls well that ends well. Except we spent 3 hours to find that out.",9
16,2 March 2020,Leofwine_draca,9, Great climax!,"So here we have it, AVENGERS: ENDGAME, the expansive sequel to not only AVENGERS: INFINITY WAR but also to the whole last 13 years or so of Marvel cinema. It's a film that had big boots to fill but the good news is that it's a complete success and every bit as enjoyable as its predecessor. At three hours I wasn't sure about the pacing, but even during the slower first half the viewer's interest remains piqued thanks to the witty dialogue and huge cast of well-established characters doing their thing.",2
17,24 April 2019,rjcattermole,10, The best Marvel Superhero movie ever and also the epic conclusion to the 21 movies in the MCU,Avengers: Endgame is above all the best Marvel superhero movie to date. This is also the best and epic conclusion to the 21 movies in the first 10 years of the MCU. This is the epic culmination. The best storytelling ever told.,/
18,25 March 2021,jamiepick-16042,10, Overrated.,The Most Overrated Movie Of All Time. (Will Always be the Most Overrated and most Forgettable Movie Of all Time.),?
19,27 April 2019,nickgray-12862,7, Emotional but bit messy.,"So it all ends. I have loved most of the MCU, some have been too predictable but I awaited after IW to see how it would all pan out. Firstly some of my favourite characters are a joke. Please don't dumb Thor or Banner/Hulk down, not necessary. Great starting scene, then slow dramatic next 1.5 hours. It builds to the time travel reversing all section with too many plot holes. We've all seen other time reversing movies who have done it so much better. The last hour is spectacular, great to see all the gang back but it feels rushed. Emotion runs high and defo not a kids film in my eyes. Cap is great Stark is amazing but everyone else feels like there just there. What I loved was the beauty of the final scenes, wonderful score and saying goodbye to old friends. Overall wanted more, but even far from perfect is still pretty good.",r
