Review_Date,Author,Rating,Review_Title,Review,Review_Url
0,5 November 2013,Fella_shibby,10," 'My child always comes first in class', this syndrome has truly ruined everything.","The film brings to light what it is truly like to be dyslexic. Aamir Khan succeeded in creating the awareness about dyslexia thru this film.
Sometimes we really need to step into the shoes of kids and see the world thru their point of view.
The irony is that we all were kids, we all went thru the pressure of performing in sports n studies but yet we push our kids, especially in India n China.",/
1,9 October 2011,drpakmanrains,10, Best Depiction of Dyslexia Ever in a Fictional Film,"As I just became aware of this film a few weeks ago, and ordered a DVD and watched it today (10-9-11) this review is unlikely to be seen by many because the film is 4 years old and there are nearly 250 user reviews already. So rather than rehash the plot, I will first mention that I have been an Educational Therapist for over 45 years, and have worked extensively with dyslexic and ADD and ADHD children in my practice, so this film had intrinsic interest to me going in. But despite seeing many films on learning problems through the years, some very good, I have never seen any movie that can come close to this one both in emotional power and subject accuracy. When I saw that the film is 165 minutes long, I was expecting to watch it in two sittings, but I never once felt the need to take a break, and in the second half of the film, when the director Aamir Khan enters the story, I was riveted continuously, and embarrassingly shed more than a few tears. If you have any interest in education and the problems the outsiders face, this is a must-see. And if you just want to see an intelligent drama with no car chases, explosions, sex scenes, or ultra violence, then you will be glad you saw this wonderful film, which, by the way, while it is about children, is not really for children, unless they are over about 11 or 12, or have suffered the experience of failing due to undiagnosed or treated reading or similar learning difference. Don't let the Disney Studio name fool you, this does not feel like a typical Disney movie, but the film does point out that Walt Disney himself had school learning problems as a child. Another aspect of the film is something I always try to impart to my clients: There is life after school. And it is not necessary to be the best at everything to be successful. Just become the best you are able and try to find something you like doing that makes you happy.",r
2,20 August 2021,planktonrules,10, Among the best films I've ever seen...and the best Indian one...and that's saying A LOT!,"I love Indian films and have seen more than most Americans. However, considering the country makes more films than any other (about 800 a year), I really have only seen a small number of their films. But, I must say that ""Tarre Zameen Par"" (""Like Stars on Earth"") is the best Indian film I've seen...even slightly better than ""Kahaani"""" and ""Three Idiots"" (another Aamir Khan film). It truly is a wonderful film and is better than nearly anything coming out of Hollywood these days.",e
3,27 June 2017,ThomasDrufke,8, Every Child is Special,"I'm not always a fan of the Bollywood style of filmmaking: overrun with musical montages and exaggerated dialogue and acting. But 'Like Stars on Earth' is a magical film about the magnificent abilities that children have, even when all the odds are against them. With a story as powerful as this one, it doesn't matter where or how the story is told.",v
4,28 October 2020,Xstal,8, Two Celestial Bodies Make Three...,"The performance of Darsheel Safary, as convincing as any eight year old boy limited by the ignorance of others and, Aamir Khan, one of the most awe inspiring actors of his generation, of any generation from any corner of the world - combined together to create a super nova of a film, packed full of inspiration, empathy, generosity, beauty and learning. With some belting tunes to accompany the painting of a picture that seeks to raise awareness of the missed opportunities and damage an intense and blinkered culture of success can lead to, the finale is a joy to behold.",i
5,21 December 2007,die_Heuchler,8, Some intelligent film-making there,"How many times has there been a movie you could really relate to? How many times has it happened that you've seen a character on the screen that reminds of something that you've been through in your life? As I saw Ishan (Darsheel Safary) today, I felt, somewhere deep within that that's me.",e
6,21 December 2007,TuFNuT,9," Aamir scores an Ace, TZP a natural delight.","The ghost (director) has been resurrected in human flesh and yes, Mr Perfectionist has got it all perfect. His maiden directorial venture is a delight for one and all. Whether you are a kid, or a teenager, just married, or if you are a parent -- Yes... You'll love it! Pre-release in what appeared to be a non mainstream film, shines like a UNIVERSAL film which will keep the box office abuzz.",w
7,21 December 2007,satyanshu_singh,9, a special film for the special child in all of us,"for a mainstream Hindi film, the following is rare: 1. a film for children2. the only star of the film getting a limited screen space 3. high quality animation4. choosing undertones over melodrama, 5. no regular masala stuff 6. strong message that can actually change lives of people 7. conviction and honesty of the makers palpable in every frame 8. and in spite of all this, the movie offering complete, healthy entertainment...",/
8,22 December 2007,danzs,9, Oxygen to Revive the Soul,A good film on children has always been much needed for Indian film-goers. And when in this moment of dearth one gets treated to a movie that simply touches the soul - needless to say - Taare Zameen Par - does just that.,r
9,23 December 2007,kaustubh-2,10, Undoubtedly the best Hindi movie of 2007,"If you haven't seen Taare Zameen Par, you are missing out. The best Hindi movie of 2007 without doubt. Extremely sensitively handled, and flawlessly executed performances, especially by Darsheel Safary. This movie really hits you.",w
10,25 December 2007,big_malique,10, This has rocked the core in me !,"I sat down in my local theatre with no expectations at all, and what I was in for, for the coming couple of hours, was just mind boggling. Taare Zameen Par might not win any awards, might not get the praise it so surely deserves, but don't let that fool you. For this movie is not just a story about Ishaan, but a masterpiece ! Ishaan is a 8 year old boy who suffers from dyslexia, no matter how hard he tries he just doesn't succeed in day to day activities. But what is mostly the case in our hard society is that people don't understand him and his shortcomings. Most of the times they paint him off as a lazy-no good-brat and this drives his father so far that he will have no more of this nonsense and sends young Ishaan off to boarding school, where he gets treatened even worse. But one day arrives Mr Ramshankar Nikumbh, a temporary art-teacher and the only person in the world that understands Ishaan's problem. Taare Zameen Par moves on as Mr Nikumbh tries to understand and help out Ishaan with his problem. This starts a journey far greater and more beautiful we could ever imagine.",4
11,18 July 2008,angelshalz,10, Carries a lot of emotional weight and room for connection...,"I was impressed with this movie. Even more than with the Kite Runner. Mainly because it is one of the most sensitive and realistic Hindi movies that I have ever seen in my life. The first thing my sister said when we were out of the theater was ""I want that kid's autograph."" Darsheel Safary did a brilliant job as the dyslexic but cute Ishaan. I recommend that ALL parents watch this movie WITH their kids. This movie shows the effects of parental pressure, social isolation, andinspiration, of course. Aamir Khan was very provoking as the caring art teacher, Nikumbh, that recognizes young Ishaan's mental withdrawal yet his amazing ability to paint and build. It is one thing to imagine such bizarre things, but to put it on paper or construct things in an appealing way is definitely a gift. I thought that no part of the movie was melodramatic or overly done which is a major concern in Indian movies. Instead, I thought that there was a lot of promise in this movie just like how there is a promise in every child that has the motivation and faith to achieve something. And the title translated as ""Little Stars on Earth"" describes all children that are looking for this promise although they may not have everything that most children have. Wowwhat an effect this movie had on me",6
12,26 December 2007,vaibhav_bhandeo,10," Taare Zameen Par: Rated ""PRG"" (Parents Required Guidance)","If all start living on their own terms, this world will be altogether a different place. Childhood is that juvenile period in life when the dreams have no boundaries and sky is the limit. It's only when the weight of someone else's dream comes on your shoulder; life turns full circle and you start as if there was no past. Resisting sticking with past raises questions to your capabilities as in this world there is only one way to get praised which is to perform the best in all the fields.",8
13,8 February 2008,springsunnywinter,10, Every child is special,"Anyone who has rated Tare Zameen Par lower than 8 out of 10 (especially those who have given it a 1 out of 10 rating) either has not seen the movie or has a heart of stone because this was an absolute beautiful and heart touching film about a relationship between a teacher and a student. I felt really sorry for the boy Eshaan and his main problem was that he has a learning disability and is always lost in his fantasy world. The film gave a terrific insight to his fantasy world by showing spinning objects around his head and by an animated sequence. The best scene was the first appearance of Aamir Khan. I have always liked Aamir Khan's films and I would put Tare Zameen Par number 2 on his top 5 best movies & number 1 would be Lagaan. The story was very uplifting, which shows that even the worst student can become the best. It was already on the IMDb top 250 when it came out and was on about 180 place but sadly not anymore and I'm disappointed. There is a huge list of crappy films that are on the top 250 but not a single Bollywood movie and this gem is original.",7
14,21 December 2007,camouflage_s,8, Yet another quality movie from Bollywood...oh now this is taking me by surprise...,Its a fine Friday morning in Kolkata...the winter vacation has just commenced...we have planned a day out...gonna watch Francis Lawrence's I Am Legend...but due to last minute change of plans under unavoidable circumstances we are reluctantly drawn into the first day first show of Taare Zameen Paar...we are a bunch of movie buffs who watch a Bollywood movie once in a blue moon...within the next 2.5 hrs our opinions had changed...,0
15,27 December 2007,mukesh-kumarin,10," A great inspiring movie for all, Every child is special",Although Bollywood releases 100s of movies every year but few of them has really left a mark on the audience for a long time. I am pretty much sure that this movie has done an excellent job for all those people who are creative but not good in academics. Many people think things differently but in India like country where competition begins at the age of 4 they are just a dumb in the society. ,4
16,27 December 2007,NikiYan,10, The Most beautiful movie I have ever seen,"""Taare Zameen Par"" A hopeful drama, the most beautiful movie I have ever seen, is a MUST-see, everyone on this Planet MUST see this film, I mean everyone.......",1
17,21 December 2007,obscure_reality,9, A splendid effort..,First point: Taare Zameen Par is not a movie for children. Its also not a movie only about 'special' children. What it stands for and depicts stunningly is how the cruel world outside is stealing away our children's precious childhood. It is about how our parents are turning into monsters and imposing their own dreams and aspirations on their children which eventually destroys our children's confidence and can only create a generation of hate. Its about how each child needs attention and care and how we so lack those qualities in this life thats bounded by time.,/
18,26 December 2007,ssnadig,10, Simply Sensational,"An excellent direction, beautiful narration and an emotional ending. This movie deserves the best of applause. The director has done an out of the world job. At no point in the movie does he overshadow the kid. The best thing I love about the movie is the facial expressions of Kid. This kid is a genius and has filled life into the role of a dyslexic. Movie is so perfect, doting mom, lovable brother and a strict dad. The manifestation of problems has been toned beautifully and the way the kid is helped to get out the problems is artistic. I hope I could vote more than 10 for this masterpiece. Missing this movie would be a blunder.",?
19,21 December 2007,Hrithan2020,10, A Solid Movie!!,"Though the film is about children,it shouldn't be confused as a film for children.The film excelled with fine performances from Darsheel Safary and Aamir Khan.The first part of the film dealt mainly with the problems faced by the protagonist Ishaan.He is a bundle of creativity,but is not able to fare well academically being dyslexic.His father,tired of the numerous complaints from teachers and other parents sends him to the boarding school to get disciplined.There he gets even more lonely and dejected,being away from his family.Aamir Khan steps in as the new art teacher,Ram Shankar Nikhumb.He encourages the children to think differently and act on their true potential.He soon realizes the reason why Ishaan is so unhappy.The rest of the film is about Ishaan realizing his true potential.The film is a must see for this Christmas!!So what are u waiting for...",r
20,27 March 2014,lucas_carvalhaes,10, I'm crying. This is a master piece.,"Here is the deal this time. If you are sensible, you are gonna get crushed. This movie is deep in so many aspects of our society, and at the same time deals with everything in such a cute and delicate way, that one cannot watch this and feel nothing. The movie talks about a boy that has dyslexia and is miss interpreted by everything he cares about. It is touching at the same time it is critic. The entire history is permeated with subtle irony and heavy criticism about the contemporary way of doing things and solving problems. Talks about the objectification of persons in order the achieve our own personal goals... well, there is so much to this movie that I believe I just got lost here. Lets get to the point, this movie is just beautiful. Completely amazing. Who should watch? Everyone. I'm not going to talk about moods in this one since it is so important because of its contents... Just watch it.",e
21,22 December 2007,bobbysing,10, In simple words  THAT'S CINEMA IN ITS PUREST FORM,"Taare Zameen Par  Words fell short as I start writing about this impressive emotional movie from ""Aamir Khan"" & his team. Unarguably the film deserves a standing ovation for its unusual content and for its near perfect execution. The impact I felt after viewing it was quite similar to what I felt after watching movies of great film makers like Bimol Roy and Guru Dutt. Aamir Khan delivers what was expected from him, an out of the routine, emotional, memorable and enlightening film which is capable of bringing changes in the lives of many families. The film revolves around a boy who is facing difficulties in studies and his teacher who comes in his life as a morning breeze. The film emphasizes completely on the character of the child, his thoughts and it's a journey into the imaginative world of his mind. The visual interpretation of what he is thinking is innovatively shot and is a visual treat to watch . Aamir Khan is a thinking brain with a heart of gold and that he has proved with his directorial venture. He has the guts of following his heart and coming out with an unconventional film like this. Another merit of the film is that it is not preachy, it teaches along with providing the required entertainment to the viewers. The film talks about a condition of a child who is finding tough to compete with his classmates but it never talks about it as a disease or a mental disorder to cure. Aamir focuses on the fact that we got to give proper attention to all kids as everyone has his own areas of abilities. He also pin points on to the parents who always want their children to score in their studies and just ignore the other aspects of life relating to art and culture. Darsheel Safary, the eight year old child has given a stunning performance. He is not acting, he is emoting his character and has done his part so well that he even overshadows the subtle and cool performance of Aamir. Another actor to watch out is Tisca Chopra as the mother of the child. She is just perfect and makes you remember the motherly touch in your childhood days. The scenes of Aamir with the father of the child are the most effective in the movie. The lyrics of Prasoon Joshi are above than the music by Shankar Ehsaan Loy. They both are more impressive while watching the movie. In short, it's the movie which should be watched as a compulsion by all parents along with their children (would be parents too) and also by all the teachers who should feel the responsibility they have towards each & every child they teach. Concluding my review I would like to request my Indian film lovers that this is a movie which is meant to be watched without munching the popcorn and rightfully deserves a respectful viewing. Hats off to Aamir Khan & Thanks for giving us ""Taare Zameen Par"". The movie is simply above the star rating system",f
22,21 December 2007,lovermire,10, A must watch for every parent.....!,"""Taare Zameen Par"" is an exceptional story, but it is only and exceptional film because of its director (Aamir). Aamir does an amazing job of engaging his audience, introducing a brilliant main character (Ishan), and making the audience experience the reality of children's paradise & their inner world. The story to which very people could relate; however, the directorial & cinematography mastery exhibits throughout allows the audience to accompany Ishan on his journey and awareness of his weakness. Anyone who has been close to the frailties of the human mind will appreciate how respectfully and honestly this film approaches the subject. Aamir is able to portray all the complex reactions to mental dimension's while maintaining the humanity and essence of the subject. Superbly directed, wonderfully acted by Tanay Chheda (ishaan) and cast, this film succeeds on every level.",_
