Review_Date,Author,Rating,Review_Title,Review,Review_Url
0,4 January 2010,Davor_Blazevic_1959,9, Unprecedented loyalty in a story of age-old friendship,"Knowing the real-life story behind it, Hachiko: A Dog's Story (2009) has been made in a sort of staged documentary style, similar to the kind of movies often seen on documentary channels (e.g. NatGeo), however without a narrator so common in documentaries, and including well-known actors (Richard Gere, Sarah Roemer and Joan Allen), making it more suitable for theatrical distribution.",/
1,23 August 2009,JapanGaijin,10, Enough to make a grown man cry!,"Hachi is a movie based on the true story about a dog in Japan, Hachiko, who would wait at the train station every day for his owner to arrive even after the owner passed away.",r
2,4 December 2009,elish-enuma-1,10, Couldn't stop crying,"I'm not at all an emotional person,but this movie really touched me,i couldn't even stop crying after 15 minutes from the final.I just sat on my armchair,and started to cry. This movie,teaches us first of all about love,there is no power bigger than love,nothing compares to this strong feeling. I'm really objective when it comes about movies,and honestly no one till now,have cut me as deep. It's surprising...but true,that everything in this world,is ruled by love,and if you thought that only humans are aware of this,you did wrong. I liked the performance,i loved the music(it was so so calm)",e
3,2 February 2010,surfer-lancealot,10, Extremely Emotional,Well what can i say. I'm a guy i don't cry about movies i know its fake but i gotta say this one caught me by surprise even tho id watched the trailer and read a few reviews already. by the end of the movie i was in tears absolutely broken down crying my eyes out. and saying that i probably haven't shed a tear in about 8 years for anything but i love dogs and this is the most amazing story I've ever seen this is probably the best movie I've seen in about 10 years and i have seen almost everything.,v
4,29 November 2017,classicsoncall,8," ""You want to wait for him, don't you?""","Oh my, hold everything. You want to be prepared to watch this movie with plenty of Kleenex on hand. It really does resonate for viewers who have a special bond with their pets, but I think it probably moves a few hearts of those who don't share hearth and home with a favorite canine. It's a bit ironic actually, to think about the picture's impact on a person, when a dog's reaction to it's missing owner invites more sympathy than one feels for the owner himself, who died of a heart attack.",i
5,18 March 2010,ccthemovieman-1,10, Loyalty: A Trait To Be Admired,"I don't think you find a better example of a dog's devotion to his master than this one, a based-on-a-true-life tale of a dog who was into a routine of meeting his beloved male owner every day at 5 p.m. at the train station.",e
6,17 August 2009,maria_c54,9, So Touching and Real!,"I just saw this movie today, and I'm so glad I did.",w
7,5 February 2010,ankurin,10, You cannot get it any better than this,Its really hard to articulate when you have so much to write and so little words to express. And even lesser words which could actually help you convey what you want to say. The closest word which comes to my mind in this case is 'stupendous'.,/
8,6 March 2010,nainwal,10, Will not leave you the same,"I think at the end of the day, what matters in a movie is how different it leaves you after you've watched it. It could be technically brilliant and leave you in amazement about how a narrative can be structured, leave you thinking about an issue from a totally unique perspective or just leave you thinking.",r
9,16 August 2009,lectrolux,9, Be sure to take tissues!,"Well, I just came back from seeing this in Shinjuku earlier and I can honestly say that I have NEVER seen so many people crying at the end of a movie.... it really is a sad story.",w
10,19 November 2009,bobnsri,10," If You've Ever Owned a Dog, Don't Miss This Film About Loyalty Love and Devotion.","Finally a film without explosions, computer graphics, and violence. A family film with a message. Adults will relate to the story of life-long friendship and loyalty. Children will love the ""dog story"" A tender story will huge box office potential. The possible ""sleeper hit"" of the holidays. Pet lovers everywhere will relate to this film and will leave theaters in tears. A weepy, wonderful film about the bond that develops between one man and a dog after a chance meeting at a train station. Bring extra tissues! Based on a true story, this film was shot mostly in Woonsocket, Rhode Island at a historic old train station. Beautifully shot and edited. The film runs less than 2-hours. The film generally adheres to the actual true story of a dog in Japan. The dog became a national treasure and a monument was erected to honor him.",3
11,15 November 2009,whateveer,8," Well-written and filmed, really touching.","I first knew about ""Hachiko: A Dog's Story"" because of Sarah Roemer, my favorite actress. When I read more about this movie and found out that Richard Gere and Joan Allen were in the cast too, I was really excited.",1
12,8 January 2010,pchk-629-36011,10," Not sad, but eyes red","Finally a film from the USA (albeit based on a true story in the 1920s Japan) that is without guns, explosions and free of violence and not based at all on romantic elements!",3
13,4 February 2010,StarGlitter,10, A true story and one of the best films of all time ! (not exaggerating),"I have watched some touching and moving movies in my lifetime and about 2 movies have made me cry, However i was crying my eyes out when i was watching this Hachiko movie. I was crying for a good 10 -15 minutes even after this movie ended. I have browsed through the comments and reviews on this IMDb board and on other online forums and have noticed that so many other people who watched this movie have also cried. I really think NO OTHER MOVIE has made so many people cry. Whenever i saw Hachiko go to the station and sit there waiting oblivious to the fact his owner died, my heart died a little each time.",6
14,17 January 2010,Abbye-Sei,10, A truly inspiring story,"This is one of the best films that I have ever watched, it is the most heartwarming and yet the most heart wrencking movie, can't recall any film have such emotional impact on me. I still keep thinking about the story and every time when I think about it, I felt sad and so sorry for both the Prof and the dog, I am sure this is a film I won't forget ... the soundtrack is another praise.., definitely a classic for Richard Gere.. ",7
