Review_Date,Author,Rating,Review_Title,Review,Review_Url
0,1 October 2006,bkoganbing,10, Economic Dislocation,John Ford's film of John Steinbeck's novel has deservedly a classic film mirroring the views of both men and the times the book was written and filmed. Ford won his second Oscar for Best Director and Jane Darwell was the Best Supporting Actress of 1940.,/
1,13 February 2001,Anonymous_Maxine,10, John Ford's stark portrayal of a poor family in the depression remains one of the most moving films in history.,"The Grapes of Wrath is the story of the Joad family, who are run off of their land in Oklahoma because of drought and poverty. I think that one of the most striking elements of this movie is the black and white cinematography. Obviously, there wasn't a lot of variation on this particular subject in 1940, but especially today, the lack of color enhances the feelings of poverty and desperation and emptiness due to the family's loss of their home. In this way, because it would not be nearly as noticeable in 1940 as it is today, this time-enhanced effect of the black and white film stock has allowed for the film's impact to actually grow with time. ",r
2,10 February 2006,evanston_dad,9," Not the Book, But Beautiful in Its Own Right","It's difficult on a first viewing of ""The Grapes of Wrath"" not to be somewhat disappointed with it. So much of Steinbeck's beautiful novel is left out of the film, and it's hard to see his story and characters wedged into the ""gee whizz"" style of film-making so prevalent at the time. But once you get beyond a comparison of the movie to the book, you begin to realize that John Ford created a beautiful piece of work of his own, and the film inspires a great deal of admiration, and deserves credit for its gutsiness at tackling a story that wouldn't have gone down smoothly with film executives at the time.",e
3,16 April 2018,inkblot11,10, Everyone should see Grapes of Wrath and be thankful for what they have!,"In rural Oklahoma, Tom Joad (Henry Fonda) is walking and hitchhiking home from prison, after a stay of four years. After taking a knife at a dance, Tom hit the attacker with a pan, killing him. Nevermind that it was self-defense, Tom still gets sent to prison. He hasn't heard from his parents, Ma (Jane Darwell) or Pa because they aren't the ""writing types"". A fierce dust storm makes Tom's final few steps treacherous. Arriving back at their small cabin, where his family are sharecroppers, Tom and his passing friend, Casy (John Carradine) are startled to find no one at home. A shell-shocked neighbor informs the other two that the family has been kicked off their land in foreclosure. They are nearby at Uncle John's house, where his family is about to suffer the same fate. Its the Depression and the Dust Bowl has ruined the land, taking off the top soil; no one can grow crops. When Tom catches up with his Ma and company, they are overjoyed to see him, for their plans are to pack a truck and move to California, where handbills show pickers are needed. Grandpa doesn't want to leave the only home he has ever known, so they drug him with medicine and haul him along. Now on the Mother Road, route 66, the journey is difficult; the truck breaks down frequently, no one wants them to stay long anywhere they rest, and Grandpa dies of a stroke. Will California really be the Golden, Promised Land? NOT ON YOUR LIFE! This heartbreaking adaptation of Steinbeck's classic is a must-see for the whole wide world. This family of hard-working folks has one calamity after another, just trying to earn an honest and living wage. Those who lived in the Dust Bowl part of the country were hit especially hard, as the soil had been overworked and winds took the topsoil off, creating damaging storms to crops, humans, and animals. No better were the ""lies"" of the handbills, advertisements that migrants were needed in California, where over 300,000 poor helpless folks showed up for very few jobs. The cast, with Fonda at the helm, is wonderful as is the scenery, costumes, and careful direction to show the truth of a desperate situation. Wanna get down on your knees and thank the Lord for what you have, Americans? You will when you view this amazing film!",v
4,4 May 2007,jluis1984,10, A masterpiece...,"During most of the decade of the 30s, the United States lived under the shroud of the Great Depression, a decade of unemployment and high poverty that would changed the face of the country forever. While the entire country suffered the effects of the Depression, the inhabitants of the prairie lands had to face an extra difficulty: the Dust Bowl. The Dust Bowl was a terrible ecological disaster that destroyed many farms in the area of the Great Plains, and forced people to migrate looking for better working conditions. The difficulties and social problems that those migrants had to endure in this sad chapter of history became the inspiration for John Steinbeck's novel, ""The Grapes of Wrath"", a book that quickly became a classic due to its powerful depiction of the era. Soon after it's release, plans for a film adaptation began to be made, and the man who would bring the novel to the screen would be none other than John Ford.",i
5,9 November 2021,Fella_shibby,10," Every family needs a character like Ma Joad, pragmatic and warm-spirited.",I first saw this in the early 90s. Revisited it recently with my kids.,e
6,19 December 2015,grantss,10, A masterpiece,"A masterpiece, based on John Steinbeck's classic Pulitzer Prize- winning novel. Captures the desperation, hopelessness and human suffering caused by the Great Depression better than any other movie. Surely one of the saddest, most depressing, movies ever made.",w
7,29 March 2016,Richie-67-485852,10, Down but not Out,"Anytime you are tempted to feel down and out, watch this movie. I personally have seen it many times and are currently reading the book which I highly recommend. I cannot emphasize this enough. This is as down as you can get and still survive. We are taught to be grateful when watching this and to also consider the other guy, whoever he is and at the least, do not add to his burden. Actors are on their game as is the Director. Of course, none of this exists if it wasn't for John Steinbeck and his book. I thought about this movie during the recent Real Estate downturn and what the banks did in real life was indeed captured in this movie way back when. Indifferent, callous, and greedy while practicing their rights leaves one with a bad taste in the mouth and we bailed them out if that isn't the gall of galls. Have something to eat while watching to appreciate that you have food and the people in the movie do not, a tasty drink and a snack which is unheard of back during the depression days will help you connect more to the movie theme. There is humility, gratitude and lessons to be learned while being entertained. Its called a TEN thank you",/
8,2 April 2006,jay4stein79-1,10," Wherever they're showing the Grapes of Wrath, that's where I'll be","Do I have your attention? Okay: Go out and watch this movie immediately because to not do so is, well, it's un-American. John Ford, with this nifty little film, made the greatest argument for populist/socialist politics in cinematic history. This movie understands the Depression and the Dust Bowl and the poor and the hungry and the starving and all those people that the sign at Ellis Island (or is it at the Statue of Liberty?) says that we'll take on and help. It understands those people better than anyone or anything else I know. Steinbeck's novel helps this movie get to where it needs to be, but, let's be honest, the Grapes of Wrath is all John Ford. ",r
9,28 November 2005,gene-mcdaniel,10," My experience of living the movie, its so true to life","This movie is so real..at least to this person, who lived these things that happened in the movie. I will tell a short version of my personal life to let you know how it affected me from my own experience of growing up in the Thirties",w
