Review_Date,Author,Rating,Review_Title,Review,Review_Url
0,12 March 2003,MovieAddict2016,10," Does For Monsters What ""Toy Story"" Did For Toys!","Monsters, Inc.",/
1,21 January 2004,Boba_Fett1138,10, Adorable movie with top class entertainment.,"The best way to describe this movie in one word is; fun! ""Monsters, Inc."" is a movie you can easily fall in love with. It has some great fun character, some awesome moments and some well placed comical moments. ""Monsters, Inc."" is entertainment at its bests.",r
2,10 July 2006,ccthemovieman-1,9, Nothing To Criticize Here - Very Solid Animated Film,"This is a very entertaining animated film. I've seen it twice and enjoyed even more the second time. Billy Crystal said he enjoyed making this film as much as any film he's ever done, so that's a good testimony that you'll get some laughs and enjoy this movie as an adult, too. ",e
3,2 January 2002,Spleen,10," The best computer animated film of them all, and the most adult","Until now I couldn't bring myself to believe that computer animation was the equal of either stop motion animation or hand-drawn animation.  All computer animated films looked a little (usually more than a little) too sterile, many were animated poorly (""Antz"", ""Shrek"", ""Final Fantasy""), and even the single unqualified success (""Toy Story 2"") provided little evidence that a computer animated film COULD reach the heights other kinds of animation could.  ""Toy Story 2"" had flawless character animation, but nothing as inspired as the best in ""Tarzan"" (released the same year, although I could have chosen almost any other Disney cartoon to make my point); effective art direction, but nothing to match ""Fantasia"" or ""The Nightmare Before Christmas"".  And I thought that ""Toy Story 2"" was as good as the art was ever going to get.",v
4,15 October 2011,theinaniloquent,10," ""We scare because we care""","Monsters generate their city's power by scaring children, but they are terribly afraid themselves of being contaminated by children, so when one enters Monstropolis, top scarer Sulley finds his world disrupted.",i
5,8 January 2019,jamesrupert2014,9, Monstrously clever and funny early Pixar CGI feature,"Sully and Mike (voiced by John Goodman and Billy Crystal) are employees at Monsters Inc., a scream-fueled plant that provides power to Monsteropolis. Screams are generated by 'scarers' (and Sully is the best), who enter children's bedrooms via the closet and are harvested by their partners (in Sully's case, his best friend Mike). Extreme care must be taken, as children are highly toxic to monsters, so when one is accidently transported to the factory, pandemonium ensues. The film is the fourth of Pixar's full length animated features and like most of the studio's work, is excellent. The story is fun with a clever 'twist' to the ending, the animators manage to inject a tremendous amount of character and personality into the CGI characters, and the choice of voice talent is perfect (I especially liked Steve Buscemi as the chameleonic villain Randall). CGI technology has advanced considerably since the film was released but the imagery still holds up and the vast 'closet door' storage facility is great. Typical of the studio, there are a lot of amusing details in the background that are worth watching for. Good, timeless fun for all ages.",e
6,29 December 2019,jackgdemoss,9, The animation even holds up at times.,"I was recently gifted a ""100 movie advent calendar"" for Christmas. When you are ready to watch a movie you scratch one of the boxes off and it tells you what to watch. The first draw was Monsters, Inc. I haven't seen this classic for over 10 years, but my wife was pulling quotes out verbatim. The opening 10 minutes are executed to perfection. The characters are introduced nicely, the plot and obstacle to overcome laid out, the world built, and the comedic timing perfect. The compilation of Mike training Sully with scare exercises had me rolling. The movie does lose steam after this first 10 minutes but it certainly never sputters out. Monsters, Inc. is a classic for a reason, and is a must see.",w
7,12 December 2001,ahill-1,10, Now here's a story children and adults can relate too. Monsters in the closet.,"While monsters in the closet may seem to be a scary reality for some children, `Monsters, Inc.' makes it light hearted by showing them it's all in a night's work.  The characters are as charming as the cast that speaks for them.",/
8,17 April 2020,moviesknight,8, Screams to laughter,"Hardwork doesnt guarantee success and so doesnt talent without hardwork. You may not be fit for the job, so choose the future correctly. But together we can make better future. The friendship to last long. Understanding each others power, strength and weakness. The core of our institution may be hollow and biased but are we strong enough to challenge the black sheeps in the institution? Fun with screams and laughter. Enjoy.",r
9,16 June 2009,TheLittleSongbird,9, Definitely one of the best films of 2001!,"This was a wonderful movie, with colourful characters, a fun storyline, and a funny and sometimes touching script.(I liked Shrek as well, but I slightly preferred this) I don't think it is quite as good as Toy Story, but I found it an enormously entertaining film, it was much better than I expected. The animation was truly excellent, with colourful and engaging backgrounds, and no stiff movements as far as I could see. I wasn't hugely keen on the song playing over the end credits, but compared to the overall goodness of the film, that is such a minor criticism, and it is fair to say that people have different tastes in music. The script was very, very funny, particularly with the character Roz. The voice talents were fantastic, John Goodman and Billy Crystal were brilliant as Sulley and Mike, Steve Buschemi clearly has a lot of seedy fun as Randall, Jennifer Tilly is wonderfully innocent as Mike's girlfriend, and the late James Coburn is wholly convincing as Waternoose. And I loved the character of Boo, she was so cute, and I loved the ending, people complained it was overly-sentimental but I thought it was so sweet. The story, as is always the case with Pixar films is highly original and charming, and doesn't drag at all. Overall, a wonderful film, truly entertaining and a must-see, and if you are starting to lose faith in Disney and their countless sequels, this is perfect for you. 9.5/10 Bethany Cox.",w
