Review_Date,Author,Rating,Review_Title,Review,Review_Url
0,9 July 2016,dfranzen70,8," Tense, fearless","In The Wages of Fear, four men in a remote South American town have the enviable task of transporting a metric buttload (technical term) of nitroglycerin across mountainous roads in poor condition. It's a taut, superbly suspenseful thriller, guided with a steady hand by director Henri-Georges Clouzot, who would go on to direct the classic Diabolique in 1955.",/
1,19 November 2006,Galina_movie_fan,9, A gripping action film and a powerful study of failure,"""The Wages of Fear"" was awarded by unanimous verdict the Grand Prix at 1953 Cannes Film Festival where it won over 27 films, some of which were made by Jacques Tati, Alfred Hitchcock, and Luis Buñuel. Cluozot's own screenplay (based a novel by George Arnaud) focuses on four down-and-out European adventurers (Yves Montand, Folco Lulli, Peter Van Eyck, Charles Vanel) who stuck nearly penniless in a festering town in an unnamed South American country. An oil company need a load of highly dangerous and explosive nitroglycerin to be delivered to a remote well fire 300 miles away burning out of control. The route is through jungles and over crude and treacherous mountains and those men are desperate enough to take the chance. None of these men is heroic or generous, they are in for the money. The four were chosen by the managers of oil company because ""if something happens to them, no one would care, they have nobody to worry about them"". Henri-Georges Clouzot's view on humanity is not particularly optimistic but he finds a way to make a viewer care about disenchanted but desperate characters. Thanks to Clouzot's ability to create not only a gripping action film but a powerful study of failure, the four men will stay for long time in our memory.",r
2,26 May 2018,grantss,9," Enthralling, nail-biting drama","In a remote South American town, four men are hired by an American oil company to transport two truckloads of nitroglycerin to an oil field, to put out a fire. It's a very hazardous task - the nitroglycerin can explode for the slightest reason, the road is treacherous and the journey is a long one. However, the money is very good and their current situation in the town is rather dire - they will do anything to improve their situation. ",e
3,16 July 2005,planktonrules,9, it starts off slow and ends with a bang!,"The first quarter of this movie was not particularly exciting but did set the stage for the rest of the movie. So, if you initially feel bored--STICK WITH IT!!! The plot is so incredibly simple that it seems like it must be a pretty boring picture: an oil company in South America needs to transport shipments of nitroglycerin 300 miles to an oil fire ASAP. However, due to the rotten condition of the roads and equipment, the trip seems like certain death, so they get some hungry out of work guys to do this. It doesn't sound very interesting, I'm sure, but it is. The writing, editing, pacing, acting and direction are PERFECT during this LONG trip. So many times, I found myself tensing up or moving in my seat as each near-death event occurred. The only negative? Well, the ending might be a bit of a letdown for some (though, in hindsight, I liked it despite being a bit of an anticlimax).",v
4,22 November 2017,classicsoncall,7," ""Well, now you've been warned. You're taking your lives in your own hands.""","As a kid watching TV shows and movies in The Fifties, I can't tell you how many I ran across that had nitroglycerine as part of the plot. There were at least a couple of Westerns along with straight dramas, but it didn't seem to matter the genre. A souped up hot rod carrying four quarts of nitro that just happened to be hanging around was used by the main character to destroy ""The Giant Gila Monster"" in a campy 1959 monster flick.",i
5,7 May 2002,DennisLittrell,10, Macho naturalism extraordinaire,"This is an extraordinary movie. From the opening scene showing the squalor of a Latin American town with filth and vultures in the street and naked children begging for food amid the oppressive, fly-stirred heat, to the finale on a winding mountain road, it is just plain fascinating. True, some of the action does not bear close scrutiny. One does not siphon nitroclycerine nor does one avoid potholes or bumps in the road by driving at forty miles per hour. No matter. Let's allow a little license. And the title doesn't entirely make sense because the wages of sin are death, but the wages of those who followed their fear and did not seek to drive a nitroclycerine truck over 300 miles of bad road are life. Again, no matter.",e
6,20 June 2017,Vartiainen,7," Intense, hair-raising experience","The setting is a dead end South American village in the middle of nowhere. Its only distinguishing feature being an American oilfield some distance away from the village. But then an accident causes a fire to spread into the oil and the only way to stop it is to literally blow it out. With nitroglycerin. The only problem being that they don't have the safety equipment needed to transport the nitro from the village. But ""luckily"" such villages have no shortage of men at the end of their ropes, willing to do anything for a final paycheck.",w
7,25 June 2018,lasttimeisaw,9," THE WAGES OF FEAR denotes a hefty import of Clouzot's unrivaled cinematic legacy, that reinvented narrative cinema with its high-octane vicariousness","A 4K-restoration screening in the Shanghai International Film Festival, Clouzot's pièce-de-résistance is a vehement testimonial of his aptitude in orchestrating white-knuckle thrills and chills, meanwhile, it is also a scorching dissection of human's abject fear and cruelty.
 
Set up in the boondocks of Las Piedras, allegedly Venezuela, a posse of foreign deadbeats is vegetating under the blistering sun, jobless and hankering for a plane ticket to leave the purgatory, they are churlish opportunists and rowdy bar brawlers, among them stands the French ladies' man Mario (a sexpot Montand), who toys with the affection of the barmy barmaid Linda (Mme Clouzot in her film debut), and has no qualms about jilting his benevolent Italian roommate Luigi (Lulli, truly the salt-of-the-earth type), to hobnob with his blow-in compatriot, the ex-gangster Jo (Vanel), fancying an easy way out, but the truth is, Jo is also at the end of his rope. ",/
8,2 December 2001,Spleen,10, The kind of film that instantly announces that it's the best of its kind,"This is richer, tenser, more atmospheric, and in all ways a better film than Clouzot's next one, ""Les Diabolique"" - which is saying a lot.  I've never understood why Clouzot isn't more highly regarded.  Indeed, for a long time I simply couldn't believe that he wasn't.",r
9,24 April 2005,dtb,9, The Wages of Fear Vs. Sorcerer,"Georges Arnaud's novel LE SALAIRE DE LA PEUR has been filmed twice, by Henri-Georges Clouzot as THE WAGES OF FEAR (1953) and by William Friedkin as SORCERER (1977). While both films are worth seeing, the earlier version is the one regarded as a classic, and rightly so. Although SORCERER goes into more detail about the political climate and the various misdeeds that led the four desperate protagonists to the South American hellhole where they accept high-paying but life-risking jobs driving nitroglycerin through treacherous terrain, WAGES... distinguishes the men's personalities better, giving the audience more rooting interest in them. Both films have excellent casts, with charismatic leads in Yves Montand (WAGES...) and Roy Scheider (SORCERER), plus WAGES... also provides feminine charm in the form of beguiling Vera Clouzot as the café waitress who loves Montand. Both films have tense action sequences as well, but somehow for all the staging and skillful editing, SORCERER's action scenes seem strangely slow, slogging along in the mud just like the protagonists in their less-than-state-of-the-art trucks. Both versions have enough good things in them to be worth a look, but if you only have the time and resources to check out one of them, it's WAGES... that really pays off!",w
10,20 May 2010,evanston_dad,9," To Fear Is to Be Human, But Not for These Guys","Four unsavory down-and-outs whiling away their hours in a poverty-stricken South American village accept the fool's errand of transporting two truckloads of nitroglycerin across terrible roads to an oil company accident site. Once some preliminary character development is disposed of and the men are on their way, the movie settles into one hell of a nail-biter, sort of a French, 1950s inversion of ""Speed"" -- if they go too fast, or make one false move, they go up in flames.",3
11,6 October 2005,barleeku,10, One of the greatest movies ever made,"This movie is astonishing, a gritty story filmed in an ultra-real style that relies simply on the beauty of lighting and film to achieve its stunning effects. It seems from another world, which in a way, it is. The acting is superb: Montand's Mario is full of jerky movements and intense impulses but always maintains his Gallic savoir-faire, while Charles Vanel as Jo brings, at first at least, a type of macho to the screen that modern movie-makers simply do not comprehend. The rest of the cast, especially the camp chief, Luigi, and Peter van Eyck as Bimba are incredible, as is Vera Clouzot who is incomprehensibly but believably upbeat and innocent - and totally gorgeous - in the midst of the hellhole of a town they're all stuck in. Clouzot's directing is flawless - I don't think anyone has ever squeezed more tension with just a few essential scene elements. The trucks wheeze and grunt as well as they ever have in the movies - the only comparison is Spielberg's early gem, ""The Duel"", but Clouzot's automotive cinematics outdo even Spielberg. The stripped down existentialism of the characters, the starkness of their shared dilemma, the grim and grimy scenery, and the cinematography itself are all of a piece. The latter is what elevates this movie to the very top rank, including some of the most dramatic and effective black and white shooting I've ever seen. Yet it never becomes mannered or gratuitous - it is orchestrated with the rise - and rise! - of tension in the film. The final scene takes on a surreal as opposed to ultra-realistic quality that has its own logic. One last word about the acting - we don't see anything like it anymore. The self-conscious mannerism of method acting (which has had its own triumphs) and the toxic awareness of everyone from the actors to the audience, the camera, directors, etc. that each actor is a celebrity and potential artiste, has ruined that conviction that actors were once larger than life people before they went on-screen, that they came to acting as an outcome of living rough, unadorned, and yet imaginative lives as opposed to shooting for fame and fortune and celebrity within an artificial corporate star-making incubator.",2
12,11 December 2005,Nazi_Fighter_David,8, A great depiction of greed with the corrupting influence of capitalism disguised as an adventure film...,"In Clouzot, relationships are arenas of conflict: violent, callous, and often destined to sink into a whirlpool of deceit and destructive cruelty ",2
13,31 July 2018,Prismark10,8, The road to danger,"In a shanty town somewhere in Latin America, men come from all over the world to run away and hide. Jobs are scarce and hunger is common. They are free to walkabout but soon realise that the town is one big prison as any of the men lack money to get a ticket to fly out of here.",8
