Review_Date,Author,Rating,Review_Title,Review,Review_Url
0,1 December 2017,classicsoncall,10," ""...it's not how you fall that matters. It's how you land.""","After watching this film I reflected back on a whole host of films I've seen produced by Warner Brothers back in the Forties and Fifties, having to do with the subject of poverty and how that can lead to crime and lost lives. In a lot of cases, civic and moral dilemmas could often be resolved with right winning out over wrong in the end. In today's world, 'right' often comes up empty handed, and often there's a fine line between differentiating the good from the bad. In many cases, moral equivalency enters the picture, and we're left to distinguish between bad and less bad. It doesn't make for a hopeful situation.",/
1,22 December 2013,gogoschka-1,10, The most relevant French film of the last 20 years,"'Mean Streets' in french - and so much more. While there are so many references to Scorsese that you could almost call it an homage, this French milestone deals with the disillusioned youth who live in the outskirts of Paris in such an elegant - and honest - way, that I would go so far as to call it the most relevant French film of the last 20 years. But it's also a cinematic masterpiece and great, often hilarious entertainment. Everything fits: the musical choices, the outstanding performances by the 3 main characters, the beautiful cinematography and flawless direction. And, perhaps most of all, THE perfect script. ",r
2,18 June 2020,kosmasp,10, Circle of ... hate,"This was released 25 years ago, but still feels relevant. Especially with what is going on in America (once again), with the killing of George Floyd. Now the movie does not concentrate on Black Lives Matter (the movement did not exist back then), but focuses on police brutality, a seemlingless inescapable path french youth in certain areas was facing (probably still are facing).",e
3,17 May 2002,Bogey Man,10, Great achievement. One of the most unforgettable Euro movies of the 90's.,"La Haine aka Hate is a story about three friends living near Paris in France (one Jew, one Arab and one black) who have nothing special in their lives and try to live a day at a time by drinking and having a good time and also working (at least the black character, who owns a boxing hall). Their friend, however, is captured by a police which tortures and maltreats him so badly that he is sent to a hospital in a critical condition. This makes the youth gangs in city including the three protagonists start a war against the police and authorities for the horrible wrongs they and their friend have suffered, and suddenly they notice the whole society is collapsing, and all there is is hate and need to revenge...Violence and mayhem is almost everywhere, including authorities which should do nothing but fight against it..",v
4,2 May 2006,dbdumonteil,8, the most important thing isn't the fall but the landing,"""La Haine"", probably one of the most momentous French movies of the nineties caused a stir when it opened in 1995 so much so that it became a big social phenomenon. It heralded a genre: the ""film De Banlieue"" whose backdrop is high-risk French suburbs and in its wake, other movies emerged like ""Bye-Bye"" (1995) or ""ma 6-T Va Crack-Er"" (1997). ""La Haine"" remains Mathieu Kassovitz's best moment. Afterwards, he didn't cease to disappoint me. ""Assassin(s)"" (1997) left me uncomfortable and queasy and ""les Rivières Pourpres"" (2000) was an absolute turkey. I haven't seen ""Gothika"" (2003) but he shot it with the Hollywood presence on his back and I fear the worst.",i
5,6 August 2007,Sergeant_Tibbs,10," ""La Haine""; Mathieu Kassovitz' stark social study of violence, fear and hatred, remains the powerful masterpiece it was in '95.","In 1995, Mathieu Kassovitz wrote and directed a film that showed the controversial truth; ""La Haine"", which translates to ""Hate"", a film deemed so important the then-prime minister Alain Juppé arranged a special screening and ordered his entire cabinet to watch the film. Kassovitz rightfully won the Best Director award at the Cannes festival for his film that had and still has a huge impact on French society. La Haine mixes ethnics to emphasise the overriding importance of solidarity against the police. In my opinion, the greatest film ever made. A cinematic phenomenon so close to my heart.",e
6,24 November 1999,Atlaz,8, Better and Better,I have seen La Haine a handful of times now and with each viewing it just gets better.,w
7,14 February 2002,hard2xplain,10, this concerns everyone,"Moviemakers when filming French based films have traditionally tended to sentimentalise the people' through the celebration of les petits gens, the little people of Pagnol and Clair as well as more recently the fantastical Parisian wonderland environments of Amelie and Moulin Rouge. With La Haine, young director Mathieu Kassovitz took the flipside of this and gave an illustration of the awfulness of life in the depressed blue-collar areas of Paris",/
8,30 May 2002,The_Wood,10, Blew me away 10/10,"Out of nowhere this film came along, blew me away, and left me begging for more.  A totally original and brilliant piece of work by writer/director Mathieu Kassovitz -- Hate is one of the best films I have ever seen. Vincent Cassel gives a draw dropping performance, but the real star of this film is the dangerous screenplay.  Few films have left me in as much awe as Hate.  A must see.",r
9,7 May 2007,zetes,7, Didn't do much for me,"Good, but somewhat overrated. It's a French Do the Right Thing, which is its biggest problem. It apes Spike Lee so much that I don't think it ever finds a voice of its own. Plus, its three protagonists, Vinz, Saïd and Hubert are all pretty despicable. Am I really to feel sorry for these guys when they've been insulting and assaulting every person they run into? Kind of reminds me of the American film Kids, too. Sure, the film is, I assume, steeped in honesty about its characters. But that doesn't mean I feel sorry for them in the end. The film is very well made, if a little self-conscious about its freshness. Doesn't surprise me much that director Kassovitz went on to make Gothika.",w
